lambda n k
300E-9 0.13 2.92 
301E-9 0.13 2.92 
302E-9 0.13 2.92 
303E-9 0.13 2.92 
304E-9 0.13 2.92 
305E-9 0.13 2.92 
306E-9 0.13 2.92 
307E-9 0.13 2.92 
308E-9 0.13 2.92 
309E-9 0.13 2.92 
310E-9 0.13 2.92 
311E-9 0.13 2.92 
312E-9 0.13 2.92 
313E-9 0.13 2.92 
314E-9 0.13 2.92 
315E-9 0.13 2.92 
316E-9 0.13 2.92 
317E-9 0.13 2.92 
318E-9 0.13 2.92 
319E-9 0.13 2.92 
320E-9 0.13 2.92 
321E-9 0.13 2.92 
322E-9 0.13 2.92 
323E-9 0.13 2.92 
324E-9 0.13 2.92 
325E-9 0.13 2.92 
326E-9 0.13 2.92 
327E-9 0.13 2.92 
328E-9 0.13 2.92 
329E-9 0.13 2.92 
330E-9 0.13 2.92 
331E-9 0.13 2.92 
332E-9 0.13 2.92 
333E-9 0.13 2.92 
334E-9 0.13 2.92 
335E-9 0.13 2.92 
336E-9 0.13 2.92 
337E-9 0.13 2.92 
338E-9 0.13 2.92 
339E-9 0.13 2.92 
340E-9 0.13 2.92 
341E-9 0.13 2.92 
342E-9 0.13 2.92 
343E-9 0.13 2.92 
344E-9 0.13 2.92 
345E-9 0.13 2.92 
346E-9 0.13 2.92 
347E-9 0.13 2.92 
348E-9 0.13 2.92 
349E-9 0.13 2.92 
350E-9 0.13 2.92 
351E-9 0.13 2.92 
352E-9 0.13 2.92 
353E-9 0.13 2.92 
354E-9 0.13 2.92 
355E-9 0.13 2.92 
356E-9 0.13 2.92 
357E-9 0.13 2.92 
358E-9 0.13 2.92 
359E-9 0.13 2.92 
360E-9 0.13 2.92 
361E-9 0.13 2.92 
362E-9 0.13 2.92 
363E-9 0.13 2.92 
364E-9 0.13 2.92 
365E-9 0.13 2.92 
366E-9 0.13 2.92 
367E-9 0.13 2.92 
368E-9 0.13 2.92 
369E-9 0.13 2.92 
370E-9 0.13 2.92 
371E-9 0.13 2.92 
372E-9 0.13 2.92 
373E-9 0.13 2.92 
374E-9 0.13 2.92 
375E-9 0.13 2.92 
376E-9 0.13 2.92 
377E-9 0.13 2.92 
378E-9 0.13 2.92 
379E-9 0.13 2.92 
380E-9 0.13 2.92 
381E-9 0.13 2.92 
382E-9 0.13 2.92 
383E-9 0.13 2.92 
384E-9 0.13 2.92 
385E-9 0.13 2.92 
386E-9 0.13 2.92 
387E-9 0.13 2.92 
388E-9 0.13 2.92 
389E-9 0.13 2.92 
390E-9 0.13 2.92 
391E-9 0.13 2.92 
392E-9 0.13 2.92 
393E-9 0.13 2.92 
394E-9 0.13 2.92 
