lambda n k
350E-9 0.1145 1.319 
351E-9 0.1111 1.3426 
352E-9 0.1077 1.3662 
353E-9 0.1043 1.3898 
354E-9 0.1009 1.4134 
355E-9 0.0984 1.4323 
356E-9 0.0962 1.4497 
357E-9 0.094 1.4671 
358E-9 0.0918 1.4845 
359E-9 0.0896 1.5019 
360E-9 0.0874 1.5194 
361E-9 0.0852 1.5368 
362E-9 0.083 1.5542 
363E-9 0.0808 1.5716 
364E-9 0.0786 1.589 
365E-9 0.0764 1.6064 
366E-9 0.0742 1.6238 
367E-9 0.072 1.6412 
368E-9 0.0699 1.6584 
369E-9 0.0684 1.6737 
370E-9 0.0669 1.6889 
371E-9 0.0654 1.7041 
372E-9 0.0639 1.7194 
373E-9 0.0625 1.7346 
374E-9 0.061 1.7498 
375E-9 0.0595 1.7651 
376E-9 0.058 1.7803 
377E-9 0.0565 1.7955 
378E-9 0.0551 1.8108 
379E-9 0.0536 1.826 
380E-9 0.0521 1.8412 
381E-9 0.0506 1.8565 
382E-9 0.0499 1.8706 
383E-9 0.0499 1.8835 
384E-9 0.0499 1.8965 
385E-9 0.0499 1.9094 
386E-9 0.0499 1.9224 
387E-9 0.0499 1.9353 
388E-9 0.0499 1.9483 
389E-9 0.0499 1.9612 
390E-9 0.05 1.9742 
391E-9 0.05 1.9871 
392E-9 0.05 2.0001 
393E-9 0.05 2.013 
394E-9 0.05 2.026 
395E-9 0.05 2.0389 
396E-9 0.05 2.0519 
397E-9 0.05 2.0649 
398E-9 0.05 2.0778 
399E-9 0.05 2.0907 
400E-9 0.05 2.1036 
401E-9 0.05 2.1165 
402E-9 0.05 2.1294 
403E-9 0.05 2.1423 
404E-9 0.05 2.1552 
405E-9 0.0501 2.1681 
406E-9 0.0501 2.181 
407E-9 0.0501 2.1939 
408E-9 0.0501 2.2068 
409E-9 0.0501 2.2197 
410E-9 0.0501 2.2326 
411E-9 0.0501 2.2455 
412E-9 0.0501 2.2584 
413E-9 0.0501 2.2713 
414E-9 0.0497 2.2827 
415E-9 0.0491 2.2936 
416E-9 0.0485 2.3045 
417E-9 0.0479 2.3153 
418E-9 0.0473 2.3262 
419E-9 0.0468 2.3371 
420E-9 0.0462 2.3479 
421E-9 0.0456 2.3588 
422E-9 0.045 2.3696 
423E-9 0.0444 2.3805 
424E-9 0.0438 2.3914 
425E-9 0.0432 2.4022 
426E-9 0.0427 2.4131 
427E-9 0.0421 2.4239 
428E-9 0.0415 2.4348 
429E-9 0.0409 2.4457 
430E-9 0.0403 2.4565 
431E-9 0.04 2.4668 
432E-9 0.04 2.4763 
433E-9 0.04 2.4859 
434E-9 0.04 2.4955 
435E-9 0.04 2.5051 
436E-9 0.04 2.5147 
437E-9 0.04 2.5242 
438E-9 0.04 2.5338 
439E-9 0.04 2.5434 
440E-9 0.04 2.553 
441E-9 0.04 2.5626 
442E-9 0.0401 2.5721 
443E-9 0.0401 2.5817 
444E-9 0.0401 2.5913 
445E-9 0.0401 2.6009 
446E-9 0.0401 2.6105 
447E-9 0.0401 2.62 
448E-9 0.0401 2.6296 
449E-9 0.0401 2.6392 
450E-9 0.0401 2.6488 
451E-9 0.0402 2.6585 
452E-9 0.0406 2.6688 
453E-9 0.0411 2.6791 
454E-9 0.0416 2.6894 
455E-9 0.0421 2.6997 
456E-9 0.0426 2.71 
457E-9 0.043 2.7203 
458E-9 0.0435 2.7306 
459E-9 0.044 2.7409 
460E-9 0.0445 2.7512 
461E-9 0.045 2.7616 
462E-9 0.0455 2.7719 
463E-9 0.0459 2.7822 
464E-9 0.0464 2.7925 
465E-9 0.0469 2.8028 
466E-9 0.0474 2.8131 
467E-9 0.0479 2.8234 
468E-9 0.0484 2.8337 
469E-9 0.0488 2.844 
470E-9 0.0493 2.8543 
471E-9 0.0498 2.8646 
472E-9 0.05 2.8743 
473E-9 0.05 2.8834 
474E-9 0.05 2.8926 
475E-9 0.05 2.9017 
476E-9 0.05 2.9108 
477E-9 0.05 2.92 
478E-9 0.05 2.9291 
479E-9 0.05 2.9382 
480E-9 0.05 2.9474 
481E-9 0.05 2.9565 
482E-9 0.05 2.9656 
483E-9 0.05 2.9748 
484E-9 0.05 2.9839 
485E-9 0.05 2.993 
486E-9 0.05 3.0022 
487E-9 0.05 3.0113 
488E-9 0.05 3.0204 
489E-9 0.05 3.0296 
490E-9 0.05 3.0387 
491E-9 0.05 3.0478 
492E-9 0.05 3.057 
493E-9 0.05 3.0661 
494E-9 0.05 3.0752 
495E-9 0.05 3.0844 
496E-9 0.05 3.0935 
497E-9 0.05 3.1027 
498E-9 0.05 3.112 
499E-9 0.05 3.1212 
500E-9 0.05 3.1305 
501E-9 0.0499 3.1397 
502E-9 0.0499 3.1489 
503E-9 0.0499 3.1582 
504E-9 0.0499 3.1674 
505E-9 0.0499 3.1766 
506E-9 0.0499 3.1859 
507E-9 0.0499 3.1951 
508E-9 0.0499 3.2043 
509E-9 0.0499 3.2136 
510E-9 0.0499 3.2228 
511E-9 0.0499 3.232 
512E-9 0.0499 3.2413 
513E-9 0.0499 3.2505 
514E-9 0.0499 3.2598 
515E-9 0.0499 3.269 
516E-9 0.0499 3.2782 
517E-9 0.0499 3.2875 
518E-9 0.0499 3.2967 
519E-9 0.0499 3.3059 
520E-9 0.0499 3.3152 
521E-9 0.05 3.3244 
522E-9 0.0503 3.3339 
523E-9 0.0507 3.3434 
524E-9 0.051 3.3528 
525E-9 0.0514 3.3623 
526E-9 0.0518 3.3718 
527E-9 0.0521 3.3813 
528E-9 0.0525 3.3907 
529E-9 0.0529 3.4002 
530E-9 0.0532 3.4097 
531E-9 0.0536 3.4192 
532E-9 0.0539 3.4287 
533E-9 0.0543 3.4381 
534E-9 0.0547 3.4476 
535E-9 0.055 3.4571 
536E-9 0.0554 3.4666 
537E-9 0.0558 3.476 
538E-9 0.0561 3.4855 
539E-9 0.0565 3.495 
540E-9 0.0568 3.5045 
541E-9 0.0572 3.5139 
542E-9 0.0576 3.5234 
543E-9 0.0579 3.5329 
544E-9 0.0583 3.5424 
545E-9 0.0586 3.5518 
546E-9 0.059 3.5613 
547E-9 0.0594 3.5708 
548E-9 0.0597 3.5803 
549E-9 0.0598 3.5892 
550E-9 0.0595 3.5973 
551E-9 0.0592 3.6055 
552E-9 0.0589 3.6136 
553E-9 0.0587 3.6217 
554E-9 0.0584 3.6298 
555E-9 0.0581 3.6379 
556E-9 0.0578 3.6461 
557E-9 0.0575 3.6542 
558E-9 0.0572 3.6623 
559E-9 0.0569 3.6704 
560E-9 0.0566 3.6786 
561E-9 0.0563 3.6867 
562E-9 0.056 3.6948 
563E-9 0.0557 3.7029 
564E-9 0.0554 3.7111 
565E-9 0.0551 3.7192 
566E-9 0.0548 3.7273 
567E-9 0.0545 3.7354 
568E-9 0.0542 3.7436 
569E-9 0.0539 3.7517 
570E-9 0.0536 3.7598 
571E-9 0.0533 3.7679 
572E-9 0.053 3.7761 
573E-9 0.0527 3.7842 
574E-9 0.0524 3.7923 
575E-9 0.0521 3.8004 
576E-9 0.0518 3.8086 
577E-9 0.0515 3.8167 
578E-9 0.0512 3.8248 
579E-9 0.0509 3.8329 
580E-9 0.0506 3.841 
581E-9 0.0503 3.8492 
582E-9 0.0501 3.8573 
583E-9 0.0503 3.8657 
584E-9 0.0506 3.8742 
585E-9 0.0509 3.8826 
586E-9 0.0511 3.8911 
587E-9 0.0514 3.8996 
588E-9 0.0517 3.908 
589E-9 0.052 3.9165 
590E-9 0.0523 3.9249 
591E-9 0.0526 3.9334 
592E-9 0.0529 3.9419 
593E-9 0.0531 3.9503 
594E-9 0.0534 3.9588 
595E-9 0.0537 3.9673 
596E-9 0.054 3.9757 
597E-9 0.0543 3.9842 
598E-9 0.0546 3.9926 
599E-9 0.0549 4.0011 
600E-9 0.0552 4.0096 
601E-9 0.0554 4.018 
602E-9 0.0557 4.0265 
603E-9 0.056 4.0349 
604E-9 0.0563 4.0434 
605E-9 0.0566 4.0519 
606E-9 0.0569 4.0603 
607E-9 0.0572 4.0688 
608E-9 0.0574 4.0772 
609E-9 0.0577 4.0857 
610E-9 0.058 4.0942 
611E-9 0.0583 4.1026 
612E-9 0.0586 4.1111 
613E-9 0.0589 4.1195 
614E-9 0.0592 4.128 
615E-9 0.0594 4.1365 
616E-9 0.0597 4.1449 
617E-9 0.0599 4.1533 
618E-9 0.0597 4.161 
619E-9 0.0595 4.1688 
620E-9 0.0592 4.1765 
621E-9 0.059 4.1843 
622E-9 0.0588 4.1921 
623E-9 0.0585 4.1998 
624E-9 0.0583 4.2076 
625E-9 0.0581 4.2153 
626E-9 0.0578 4.2231 
627E-9 0.0576 4.2309 
628E-9 0.0574 4.2386 
629E-9 0.0571 4.2464 
630E-9 0.0569 4.2541 
631E-9 0.0567 4.2619 
632E-9 0.0564 4.2697 
633E-9 0.0562 4.2774 
634E-9 0.0559 4.2852 
635E-9 0.0557 4.2929 
636E-9 0.0555 4.3007 
637E-9 0.0552 4.3085 
638E-9 0.055 4.3162 
639E-9 0.0548 4.324 
640E-9 0.0545 4.3317 
641E-9 0.0543 4.3395 
642E-9 0.0541 4.3473 
643E-9 0.0538 4.355 
644E-9 0.0536 4.3628 
645E-9 0.0534 4.3705 
646E-9 0.0531 4.3783 
647E-9 0.0529 4.386 
648E-9 0.0527 4.3938 
649E-9 0.0524 4.4016 
650E-9 0.0522 4.4093 
651E-9 0.052 4.4171 
652E-9 0.0517 4.4248 
653E-9 0.0515 4.4326 
654E-9 0.0513 4.4404 
655E-9 0.051 4.4481 
656E-9 0.0508 4.4559 
657E-9 0.0506 4.4636 
658E-9 0.0503 4.4714 
659E-9 0.0501 4.4792 
660E-9 0.0499 4.487 
661E-9 0.0496 4.4949 
662E-9 0.0494 4.5028 
663E-9 0.0492 4.5107 
664E-9 0.049 4.5186 
665E-9 0.0487 4.5265 
666E-9 0.0485 4.5344 
667E-9 0.0483 4.5423 
668E-9 0.0481 4.5501 
669E-9 0.0479 4.558 
670E-9 0.0476 4.5659 
671E-9 0.0474 4.5738 
672E-9 0.0472 4.5817 
673E-9 0.047 4.5896 
674E-9 0.0468 4.5975 
675E-9 0.0465 4.6054 
676E-9 0.0463 4.6133 
677E-9 0.0461 4.6212 
678E-9 0.0459 4.6291 
679E-9 0.0456 4.637 
680E-9 0.0454 4.6449 
681E-9 0.0452 4.6528 
682E-9 0.045 4.6607 
683E-9 0.0448 4.6686 
684E-9 0.0445 4.6765 
685E-9 0.0443 4.6844 
686E-9 0.0441 4.6923 
687E-9 0.0439 4.7002 
688E-9 0.0436 4.7081 
689E-9 0.0434 4.7159 
690E-9 0.0432 4.7238 
691E-9 0.043 4.7317 
692E-9 0.0428 4.7396 
693E-9 0.0425 4.7475 
694E-9 0.0423 4.7554 
695E-9 0.0421 4.7633 
696E-9 0.0419 4.7712 
697E-9 0.0417 4.7791 
698E-9 0.0414 4.787 
699E-9 0.0412 4.7949 
