lambda n k
300E-9 0.27571 3.61265 
301E-9 0.27754 3.62538 
302E-9 0.27937 3.63812 
303E-9 0.2812 3.65085 
304E-9 0.28303 3.66359 
305E-9 0.28485 3.67632 
306E-9 0.28668 3.68906 
307E-9 0.28851 3.70179 
308E-9 0.29034 3.71453 
309E-9 0.29217 3.72726 
310E-9 0.294 3.74 
311E-9 0.29596 3.75263 
312E-9 0.29792 3.76525 
313E-9 0.29988 3.77788 
314E-9 0.30185 3.7905 
315E-9 0.30381 3.80313 
316E-9 0.30577 3.81575 
317E-9 0.30773 3.82838 
318E-9 0.30969 3.84101 
319E-9 0.31165 3.85363 
320E-9 0.31361 3.86626 
321E-9 0.31557 3.87888 
322E-9 0.31754 3.89151 
323E-9 0.3195 3.90414 
324E-9 0.32146 3.91676 
325E-9 0.32342 3.92939 
326E-9 0.32538 3.94201 
327E-9 0.3274 3.95461 
328E-9 0.32944 3.96718 
329E-9 0.33148 3.97976 
330E-9 0.33352 3.99234 
331E-9 0.33556 4.00491 
332E-9 0.3376 4.01749 
333E-9 0.33964 4.03007 
334E-9 0.34168 4.04264 
335E-9 0.34372 4.05522 
336E-9 0.34577 4.0678 
337E-9 0.34781 4.08037 
338E-9 0.34985 4.09295 
339E-9 0.35189 4.10553 
340E-9 0.35393 4.1181 
341E-9 0.35597 4.13068 
342E-9 0.35801 4.14326 
343E-9 0.36005 4.15583 
344E-9 0.36209 4.16841 
345E-9 0.36421 4.18091 
346E-9 0.36638 4.19335 
347E-9 0.36855 4.20578 
348E-9 0.37072 4.21822 
349E-9 0.37289 4.23066 
350E-9 0.37506 4.2431 
351E-9 0.37724 4.25553 
352E-9 0.37941 4.26797 
353E-9 0.38158 4.28041 
354E-9 0.38375 4.29285 
355E-9 0.38592 4.30528 
356E-9 0.38809 4.31772 
357E-9 0.39027 4.33016 
358E-9 0.39244 4.3426 
359E-9 0.39461 4.35503 
360E-9 0.39678 4.36747 
361E-9 0.39895 4.37991 
362E-9 0.40112 4.39235 
363E-9 0.4033 4.40478 
364E-9 0.40547 4.41722 
365E-9 0.40768 4.42964 
366E-9 0.41001 4.44201 
367E-9 0.41233 4.45438 
368E-9 0.41466 4.46675 
369E-9 0.41698 4.47913 
370E-9 0.41931 4.4915 
371E-9 0.42163 4.50387 
372E-9 0.42396 4.51624 
373E-9 0.42629 4.52861 
374E-9 0.42861 4.54098 
375E-9 0.43094 4.55335 
376E-9 0.43326 4.56573 
377E-9 0.43559 4.5781 
378E-9 0.43791 4.59047 
379E-9 0.44024 4.60284 
380E-9 0.44256 4.61521 
381E-9 0.44489 4.62758 
382E-9 0.44721 4.63996 
383E-9 0.44954 4.65233 
384E-9 0.45186 4.6647 
385E-9 0.45419 4.67707 
386E-9 0.45651 4.68944 
387E-9 0.45884 4.70181 
388E-9 0.46122 4.71412 
389E-9 0.46366 4.72635 
390E-9 0.4661 4.73858 
391E-9 0.46854 4.75081 
392E-9 0.47097 4.76305 
393E-9 0.47341 4.77528 
394E-9 0.47585 4.78751 
395E-9 0.47829 4.79974 
396E-9 0.48073 4.81197 
397E-9 0.48317 4.82421 
398E-9 0.48561 4.83644 
399E-9 0.48805 4.84867 
400E-9 0.49048 4.8609 
401E-9 0.49292 4.87314 
402E-9 0.49536 4.88537 
403E-9 0.4978 4.8976 
404E-9 0.50024 4.90983 
405E-9 0.50268 4.92206 
406E-9 0.50512 4.9343 
407E-9 0.50755 4.94653 
408E-9 0.50999 4.95876 
409E-9 0.51243 4.97099 
410E-9 0.51487 4.98323 
411E-9 0.51731 4.99546 
412E-9 0.51975 5.00769 
413E-9 0.52219 5.01992 
414E-9 0.52469 5.03215 
415E-9 0.52723 5.04438 
416E-9 0.52977 5.05661 
417E-9 0.53231 5.06883 
418E-9 0.53485 5.08106 
419E-9 0.5374 5.09329 
420E-9 0.53994 5.10552 
421E-9 0.54248 5.11774 
422E-9 0.54502 5.12997 
423E-9 0.54756 5.1422 
424E-9 0.5501 5.15443 
425E-9 0.55264 5.16665 
426E-9 0.55518 5.17888 
427E-9 0.55772 5.19111 
428E-9 0.56026 5.20334 
429E-9 0.5628 5.21556 
430E-9 0.56534 5.22779 
431E-9 0.56788 5.24002 
432E-9 0.57042 5.25225 
433E-9 0.57296 5.26447 
434E-9 0.5755 5.2767 
435E-9 0.57804 5.28893 
436E-9 0.58058 5.30115 
437E-9 0.58312 5.31338 
438E-9 0.58566 5.32561 
439E-9 0.5882 5.33784 
440E-9 0.59074 5.35006 
441E-9 0.59328 5.36229 
442E-9 0.59582 5.37452 
443E-9 0.59841 5.38674 
444E-9 0.60125 5.39892 
445E-9 0.6041 5.4111 
446E-9 0.60695 5.42329 
447E-9 0.6098 5.43547 
448E-9 0.61264 5.44765 
449E-9 0.61549 5.45983 
450E-9 0.61834 5.47202 
451E-9 0.62119 5.4842 
452E-9 0.62403 5.49638 
453E-9 0.62688 5.50856 
454E-9 0.62973 5.52075 
455E-9 0.63258 5.53293 
456E-9 0.63542 5.54511 
457E-9 0.63827 5.55729 
458E-9 0.64112 5.56947 
459E-9 0.64397 5.58166 
460E-9 0.64681 5.59384 
461E-9 0.64966 5.60602 
462E-9 0.65251 5.6182 
463E-9 0.65536 5.63039 
464E-9 0.6582 5.64257 
465E-9 0.66105 5.65475 
466E-9 0.6639 5.66693 
467E-9 0.66674 5.67911 
468E-9 0.66959 5.6913 
469E-9 0.67244 5.70348 
470E-9 0.67529 5.71566 
471E-9 0.67813 5.72784 
472E-9 0.68098 5.74003 
473E-9 0.68383 5.75221 
474E-9 0.68668 5.76439 
475E-9 0.68952 5.77657 
476E-9 0.69237 5.78875 
477E-9 0.69525 5.80093 
478E-9 0.69855 5.81309 
479E-9 0.70185 5.82524 
480E-9 0.70514 5.83739 
481E-9 0.70844 5.84955 
482E-9 0.71173 5.8617 
483E-9 0.71503 5.87385 
484E-9 0.71833 5.88601 
485E-9 0.72162 5.89816 
486E-9 0.72492 5.91031 
487E-9 0.72821 5.92246 
488E-9 0.73151 5.93462 
489E-9 0.73481 5.94677 
490E-9 0.7381 5.95892 
491E-9 0.7414 5.97108 
492E-9 0.7447 5.98323 
493E-9 0.74799 5.99538 
494E-9 0.75129 6.00753 
495E-9 0.75458 6.01969 
496E-9 0.75788 6.03184 
497E-9 0.76118 6.04399 
498E-9 0.76447 6.05615 
499E-9 0.76777 6.0683 
500E-9 0.77106 6.08045 
501E-9 0.77436 6.0926 
502E-9 0.77766 6.10476 
503E-9 0.78095 6.11691 
504E-9 0.78425 6.12906 
505E-9 0.78755 6.14122 
506E-9 0.79084 6.15337 
507E-9 0.79414 6.16552 
508E-9 0.79743 6.17767 
509E-9 0.80073 6.18983 
510E-9 0.80403 6.20198 
511E-9 0.80732 6.21413 
512E-9 0.81062 6.22629 
513E-9 0.81391 6.23844 
514E-9 0.81721 6.25059 
515E-9 0.82051 6.26275 
516E-9 0.8238 6.2749 
517E-9 0.82736 6.287 
518E-9 0.83145 6.29898 
519E-9 0.83554 6.31097 
520E-9 0.83963 6.32295 
521E-9 0.84371 6.33494 
522E-9 0.8478 6.34693 
523E-9 0.85189 6.35891 
524E-9 0.85598 6.3709 
525E-9 0.86006 6.38289 
526E-9 0.86415 6.39487 
527E-9 0.86824 6.40686 
528E-9 0.87233 6.41885 
529E-9 0.87642 6.43083 
530E-9 0.8805 6.44282 
