lambda n k
300E-9 1.80004 1.9193 
301E-9 1.80304 1.91897 
302E-9 1.80603 1.91864 
303E-9 1.80903 1.91831 
304E-9 1.81203 1.91798 
305E-9 1.81502 1.91765 
306E-9 1.81802 1.91732 
307E-9 1.82101 1.91699 
308E-9 1.82401 1.91666 
309E-9 1.827 1.91633 
310E-9 1.83 1.916 
311E-9 1.8306 1.91415 
312E-9 1.8312 1.91231 
313E-9 1.8318 1.91046 
314E-9 1.8324 1.90861 
315E-9 1.83301 1.90677 
316E-9 1.83361 1.90492 
317E-9 1.83421 1.90307 
318E-9 1.83481 1.90122 
319E-9 1.83541 1.89938 
320E-9 1.83601 1.89753 
321E-9 1.83372 1.89482 
322E-9 1.83143 1.89211 
323E-9 1.82914 1.88941 
324E-9 1.82685 1.8867 
325E-9 1.82456 1.88399 
326E-9 1.82227 1.88128 
327E-9 1.81998 1.87857 
328E-9 1.81769 1.87587 
329E-9 1.8154 1.87316 
330E-9 1.81311 1.87045 
331E-9 1.80992 1.86867 
332E-9 1.80673 1.86689 
333E-9 1.80354 1.8651 
334E-9 1.80035 1.86332 
335E-9 1.79716 1.86154 
336E-9 1.79396 1.85976 
337E-9 1.79077 1.85797 
338E-9 1.78758 1.85619 
339E-9 1.78439 1.85441 
340E-9 1.7812 1.85263 
341E-9 1.7782 1.85207 
342E-9 1.77519 1.85152 
343E-9 1.77219 1.85097 
344E-9 1.76918 1.85042 
345E-9 1.76618 1.84987 
346E-9 1.76318 1.84932 
347E-9 1.76017 1.84877 
348E-9 1.75717 1.84822 
349E-9 1.75416 1.84767 
350E-9 1.75116 1.84712 
351E-9 1.74872 1.84797 
352E-9 1.74628 1.84883 
353E-9 1.74383 1.84969 
354E-9 1.74139 1.85055 
355E-9 1.73895 1.85141 
356E-9 1.7365 1.85226 
357E-9 1.73406 1.85312 
358E-9 1.73162 1.85398 
359E-9 1.72917 1.85484 
360E-9 1.72673 1.8557 
361E-9 1.72468 1.85845 
362E-9 1.72263 1.8612 
363E-9 1.72059 1.86395 
364E-9 1.71854 1.8667 
365E-9 1.71649 1.86945 
366E-9 1.71444 1.8722 
367E-9 1.71239 1.87495 
368E-9 1.71035 1.8777 
369E-9 1.7083 1.88045 
370E-9 1.70625 1.8832 
371E-9 1.70442 1.88657 
372E-9 1.70258 1.88994 
373E-9 1.70075 1.89331 
374E-9 1.69892 1.89668 
375E-9 1.69709 1.90005 
