lambda n k
300E-9 1.88212 1.60599 
301E-9 1.88212 1.60599 
302E-9 1.88271 1.59468 
303E-9 1.88329 1.58336 
304E-9 1.88388 1.57205 
305E-9 1.88447 1.562 
306E-9 1.88506 1.55357 
307E-9 1.88565 1.54635 
308E-9 1.88624 1.54574 
309E-9 1.88682 1.54514 
310E-9 1.88741 1.54453 
311E-9 1.888 1.54393 
312E-9 1.88859 1.54332 
313E-9 1.88918 1.54272 
314E-9 1.88977 1.54211 
315E-9 1.89036 1.54151 
316E-9 1.89491 1.5409 
317E-9 1.90042 1.5403 
318E-9 1.90593 1.53969 
319E-9 1.91191 1.53877 
320E-9 1.92227 1.53603 
321E-9 1.93263 1.53329 
322E-9 1.94299 1.53055 
323E-9 1.95335 1.52781 
324E-9 1.95975 1.52507 
325E-9 1.96434 1.51954 
326E-9 1.96892 1.51362 
327E-9 1.97351 1.5077 
328E-9 1.97757 1.50178 
329E-9 1.97987 1.49586 
330E-9 1.98217 1.48995 
331E-9 1.98447 1.48403 
332E-9 1.98677 1.47811 
333E-9 1.98906 1.47027 
334E-9 1.98779 1.46081 
335E-9 1.98653 1.45134 
336E-9 1.98527 1.44188 
337E-9 1.98401 1.43241 
338E-9 1.98275 1.42206 
339E-9 1.98149 1.41167 
340E-9 1.98022 1.40128 
341E-9 1.97896 1.39151 
342E-9 1.9777 1.38559 
343E-9 1.97644 1.37967 
344E-9 1.97439 1.37375 
345E-9 1.97152 1.36783 
346E-9 1.96864 1.36191 
347E-9 1.96576 1.35599 
348E-9 1.963 1.35007 
349E-9 1.96028 1.34415 
350E-9 1.95756 1.34127 
351E-9 1.95484 1.33914 
352E-9 1.95212 1.337 
353E-9 1.9494 1.33487 
354E-9 1.94669 1.33273 
355E-9 1.9439 1.3306 
356E-9 1.94084 1.32846 
357E-9 1.93778 1.32633 
358E-9 1.93472 1.32419 
359E-9 1.93165 1.32206 
360E-9 1.92859 1.31992 
361E-9 1.92553 1.31779 
362E-9 1.92247 1.31565 
363E-9 1.9194 1.31352 
364E-9 1.91645 1.31138 
365E-9 1.91417 1.30925 
366E-9 1.9119 1.30838 
367E-9 1.90962 1.30751 
368E-9 1.90734 1.30664 
369E-9 1.90506 1.30577 
370E-9 1.90278 1.3049 
371E-9 1.90051 1.30404 
372E-9 1.89823 1.30317 
373E-9 1.89595 1.3023 
374E-9 1.89367 1.30143 
375E-9 1.89139 1.30056 
376E-9 1.88912 1.29969 
377E-9 1.88684 1.29882 
378E-9 1.88456 1.29795 
379E-9 1.88228 1.29709 
380E-9 1.88 1.29622 
381E-9 1.87773 1.29535 
382E-9 1.87545 1.29448 
383E-9 1.87317 1.29361 
384E-9 1.87111 1.29274 
385E-9 1.8692 1.29187 
386E-9 1.8673 1.291 
387E-9 1.8654 1.29014 
388E-9 1.8635 1.28927 
389E-9 1.8616 1.2884 
390E-9 1.85969 1.28753 
391E-9 1.85779 1.28666 
392E-9 1.85589 1.28579 
393E-9 1.85399 1.28492 
394E-9 1.85209 1.28405 
395E-9 1.85018 1.28318 
396E-9 1.84857 1.28232 
397E-9 1.8472 1.28145 
398E-9 1.84583 1.28058 
399E-9 1.84447 1.27971 
400E-9 1.8431 1.27884 
401E-9 1.84173 1.27797 
402E-9 1.84036 1.2771 
403E-9 1.839 1.27653 
404E-9 1.83763 1.2763 
405E-9 1.83626 1.27607 
406E-9 1.83489 1.27583 
407E-9 1.83353 1.2756 
408E-9 1.83216 1.27537 
409E-9 1.83079 1.27514 
410E-9 1.82942 1.2749 
411E-9 1.82806 1.27467 
412E-9 1.82669 1.27444 
413E-9 1.82532 1.2742 
414E-9 1.82396 1.27397 
415E-9 1.82259 1.27374 
416E-9 1.82129 1.27351 
417E-9 1.82019 1.27327 
418E-9 1.81909 1.27304 
419E-9 1.81799 1.27281 
420E-9 1.81689 1.27258 
421E-9 1.81579 1.27234 
422E-9 1.81469 1.27211 
423E-9 1.81359 1.27188 
424E-9 1.81249 1.27164 
425E-9 1.81139 1.27141 
426E-9 1.81029 1.27118 
427E-9 1.80919 1.27095 
428E-9 1.80809 1.27071 
429E-9 1.80699 1.27048 
430E-9 1.80589 1.27025 
431E-9 1.80501 1.27002 
432E-9 1.80412 1.26978 
433E-9 1.80324 1.26955 
434E-9 1.80236 1.26932 
435E-9 1.80148 1.26909 
436E-9 1.8006 1.26885 
437E-9 1.79971 1.26862 
438E-9 1.79883 1.26839 
439E-9 1.79795 1.26815 
440E-9 1.79707 1.26792 
441E-9 1.79618 1.26769 
442E-9 1.7953 1.26746 
443E-9 1.79442 1.26722 
444E-9 1.79354 1.26699 
445E-9 1.79266 1.26681 
446E-9 1.79177 1.26669 
447E-9 1.79089 1.26656 
448E-9 1.79001 1.26644 
449E-9 1.78913 1.26631 
450E-9 1.78825 1.26619 
451E-9 1.78736 1.26606 
452E-9 1.78648 1.26594 
453E-9 1.7856 1.26581 
454E-9 1.78484 1.26569 
455E-9 1.78414 1.26556 
456E-9 1.78343 1.26544 
457E-9 1.78273 1.26531 
458E-9 1.78202 1.26519 
459E-9 1.78132 1.26506 
460E-9 1.78061 1.26494 
461E-9 1.77991 1.26481 
462E-9 1.77921 1.26469 
463E-9 1.7785 1.26456 
464E-9 1.7778 1.26444 
465E-9 1.77709 1.26431 
466E-9 1.77643 1.26419 
467E-9 1.77578 1.26406 
468E-9 1.77514 1.26394 
469E-9 1.77449 1.26381 
470E-9 1.77385 1.26369 
