lambda n k
300E-9 2.23691 0.71264 
301E-9 2.22873 0.70124 
302E-9 2.22054 0.68985 
303E-9 2.21236 0.67845 
304E-9 2.20417 0.66706 
305E-9 2.19599 0.65566 
306E-9 2.18781 0.64426 
307E-9 2.17962 0.63287 
308E-9 2.17144 0.62147 
309E-9 2.16325 0.61008 
310E-9 2.15507 0.59868 
311E-9 2.14178 0.59685 
312E-9 2.12849 0.59501 
313E-9 2.1152 0.59318 
314E-9 2.10191 0.59135 
315E-9 2.08863 0.58952 
316E-9 2.07534 0.58768 
317E-9 2.06205 0.58585 
318E-9 2.04876 0.58402 
319E-9 2.03547 0.58218 
320E-9 2.02218 0.58035 
321E-9 2.01426 0.59391 
322E-9 2.00634 0.60746 
323E-9 1.99842 0.62102 
324E-9 1.9905 0.63457 
325E-9 1.98258 0.64813 
326E-9 1.97466 0.66169 
327E-9 1.96674 0.67524 
328E-9 1.95882 0.6888 
329E-9 1.9509 0.70235 
330E-9 1.94298 0.71591 
331E-9 1.95549 0.73231 
332E-9 1.96799 0.7487 
333E-9 1.9805 0.7651 
334E-9 1.993 0.7815 
335E-9 2.00551 0.7979 
336E-9 2.01802 0.81429 
337E-9 2.03052 0.83069 
338E-9 2.04303 0.84709 
339E-9 2.05553 0.86348 
340E-9 2.06804 0.87988 
341E-9 2.09163 0.87902 
342E-9 2.11522 0.87816 
343E-9 2.1388 0.87731 
344E-9 2.16239 0.87645 
345E-9 2.18598 0.87559 
346E-9 2.20957 0.87473 
347E-9 2.23316 0.87387 
348E-9 2.25674 0.87302 
349E-9 2.28033 0.87216 
350E-9 2.30392 0.8713 
351E-9 2.31988 0.85468 
352E-9 2.33584 0.83805 
353E-9 2.3518 0.82143 
354E-9 2.36776 0.8048 
355E-9 2.38372 0.78818 
356E-9 2.39968 0.77156 
357E-9 2.41564 0.75493 
358E-9 2.4316 0.73831 
359E-9 2.44756 0.72168 
360E-9 2.46352 0.70506 
361E-9 2.46579 0.68531 
362E-9 2.46805 0.66556 
363E-9 2.47032 0.64582 
364E-9 2.47258 0.62607 
365E-9 2.47485 0.60632 
366E-9 2.47712 0.58657 
