lambda n k
300E-9 2.22309 0.6958 
301E-9 2.21799 0.70523 
302E-9 2.21144 0.70941 
303E-9 2.20358 0.7192 
304E-9 2.19438 0.72079 
305E-9 2.18422 0.73737 
306E-9 2.17306 0.72379 
307E-9 2.16107 0.72442 
308E-9 2.14846 0.72632 
309E-9 2.13546 0.71979 
310E-9 2.1222 0.72246 
311E-9 2.10879 0.70802 
312E-9 2.09554 0.71053 
313E-9 2.08244 0.7077 
314E-9 2.06951 0.70385 
315E-9 2.05707 0.70338 
316E-9 2.04514 0.6982 
317E-9 2.03397 0.69861 
318E-9 2.02358 0.70227 
319E-9 2.01385 0.70295 
320E-9 2.00528 0.70645 
321E-9 1.99755 0.70754 
322E-9 1.99107 0.71931 
323E-9 1.9858 0.72486 
324E-9 1.98167 0.73661 
325E-9 1.97895 0.74621 
326E-9 1.97757 0.76291 
327E-9 1.97753 0.77527 
328E-9 1.97903 0.79117 
329E-9 1.97945 0.80939 
330E-9 1.98091 0.83042 
331E-9 1.98416 0.84623 
332E-9 1.98843 0.86881 
333E-9 1.99396 0.89207 
334E-9 2.00076 0.90932 
335E-9 2.00907 0.92771 
336E-9 2.0186 0.94157 
337E-9 2.02979 0.95772 
338E-9 2.04281 0.97791 
339E-9 2.05755 0.9828 
340E-9 2.07411 0.99804 
341E-9 2.09222 1.00666 
342E-9 2.11234 1.02021 
343E-9 2.134 1.02923 
344E-9 2.15681 1.03665 
345E-9 2.1808 1.03138 
346E-9 2.20544 1.04299 
347E-9 2.23012 1.04467 
348E-9 2.25457 1.04175 
349E-9 2.27847 1.03777 
350E-9 2.30122 1.04061 
351E-9 2.32308 1.03136 
352E-9 2.34327 1.03023 
353E-9 2.3619 1.01918 
354E-9 2.37844 1.00064 
355E-9 2.39335 0.97535 
356E-9 2.40628 0.93841 
357E-9 2.41747 0.93378 
358E-9 2.42695 0.90974 
359E-9 2.43453 0.89399 
360E-9 2.44048 0.87053 
361E-9 2.44531 0.84932 
362E-9 2.44857 0.82891 
363E-9 2.45063 0.80444 
364E-9 2.45171 0.78703 
365E-9 2.45157 0.76932 
366E-9 2.45054 0.74794 
367E-9 2.4488 0.73154 
368E-9 2.44614 0.71215 
369E-9 2.44301 0.69297 
370E-9 2.43929 0.67599 
371E-9 2.4351 0.65448 
372E-9 2.43076 0.63769 
373E-9 2.42607 0.62005 
374E-9 2.42138 0.60032 
375E-9 2.41654 0.58418 
376E-9 2.41166 0.56809 
377E-9 2.4066 0.55108 
378E-9 2.40156 0.53819 
379E-9 2.39649 0.52426 
380E-9 2.39138 0.5092 
381E-9 2.38626 0.49789 
382E-9 2.38102 0.48638 
383E-9 2.37564 0.47698 
384E-9 2.3703 0.46964 
385E-9 2.36475 0.46154 
386E-9 2.35921 0.45347 
387E-9 2.35366 0.44677 
388E-9 2.3479 0.44138 
389E-9 2.3422 0.43545 
390E-9 2.33649 0.43085 
391E-9 2.33073 0.42593 
392E-9 2.3251 0.42091 
393E-9 2.31958 0.41853 
394E-9 2.31403 0.41258 
395E-9 2.30879 0.40827 
396E-9 2.30345 0.40517 
397E-9 2.29821 0.40168 
398E-9 2.29315 0.39992 
399E-9 2.28818 0.39931 
400E-9 2.28335 0.3962 
401E-9 2.27875 0.3944 
402E-9 2.27423 0.39244 
403E-9 2.26972 0.39186 
404E-9 2.26535 0.39276 
405E-9 2.26098 0.39098 
406E-9 2.2569 0.39068 
407E-9 2.25304 0.39112 
408E-9 2.24921 0.38887 
409E-9 2.24567 0.39072 
410E-9 2.24218 0.3901 
411E-9 2.23884 0.39007 
412E-9 2.23558 0.39004 
413E-9 2.23258 0.39159 
414E-9 2.22976 0.39079 
415E-9 2.22715 0.39196 
416E-9 2.22462 0.39169 
417E-9 2.22233 0.39492 
418E-9 2.22017 0.3961 
419E-9 2.21818 0.39712 
420E-9 2.21627 0.40092 
421E-9 2.21458 0.40157 
422E-9 2.21298 0.40453 
423E-9 2.21153 0.40681 
424E-9 2.21027 0.40878 
425E-9 2.20919 0.40998 
426E-9 2.20821 0.41352 
427E-9 2.20742 0.41543 
428E-9 2.20672 0.41829 
429E-9 2.20628 0.42115 
430E-9 2.20598 0.423 
431E-9 2.20586 0.42557 
432E-9 2.20562 0.42671 
433E-9 2.20554 0.42881 
434E-9 2.20577 0.43092 
435E-9 2.20576 0.43398 
436E-9 2.20606 0.4357 
437E-9 2.20643 0.43686 
438E-9 2.2072 0.43922 
439E-9 2.2079 0.44071 
440E-9 2.20861 0.44309 
441E-9 2.20958 0.4445 
442E-9 2.21069 0.44534 
443E-9 2.2118 0.44676 
444E-9 2.21302 0.44842 
445E-9 2.21413 0.44739 
446E-9 2.21528 0.44864 
447E-9 2.21659 0.45005 
448E-9 2.21783 0.44835 
449E-9 2.21909 0.4505 
450E-9 2.22029 0.45258 
451E-9 2.22195 0.45234 
452E-9 2.22317 0.45243 
453E-9 2.224 0.45252 
454E-9 2.22478 0.45136 
455E-9 2.22542 0.45127 
456E-9 2.22616 0.44983 
457E-9 2.227 0.44965 
458E-9 2.22787 0.44786 
459E-9 2.22876 0.44699 
460E-9 2.22948 0.44416 
461E-9 2.23025 0.44335 
462E-9 2.23106 0.44127 
463E-9 2.23182 0.44018 
464E-9 2.23283 0.43765 
465E-9 2.23374 0.43467 
466E-9 2.23455 0.4303 
467E-9 2.23549 0.42917 
468E-9 2.23645 0.42743 
469E-9 2.23728 0.4243 
470E-9 2.23825 0.42099 
471E-9 2.2392 0.41894 
472E-9 2.2401 0.41559 
473E-9 2.24097 0.413 
474E-9 2.24196 0.40979 
475E-9 2.24297 0.40665 
476E-9 2.24383 0.40358 
477E-9 2.24484 0.39944 
478E-9 2.24594 0.39625 
479E-9 2.2469 0.39479 
480E-9 2.24799 0.3899 
481E-9 2.24921 0.38753 
482E-9 2.25052 0.38419 
483E-9 2.25161 0.38268 
484E-9 2.25291 0.37992 
485E-9 2.2543 0.37457 
486E-9 2.25573 0.37107 
487E-9 2.25733 0.36978 
488E-9 2.25868 0.36624 
489E-9 2.2601 0.36367 
490E-9 2.26175 0.36082 
491E-9 2.26334 0.35688 
492E-9 2.26494 0.35309 
493E-9 2.26667 0.35029 
494E-9 2.26818 0.34647 
495E-9 2.26975 0.34399 
496E-9 2.27126 0.34132 
497E-9 2.27287 0.33773 
498E-9 2.27448 0.33421 
499E-9 2.27585 0.3293 
500E-9 2.27737 0.32592 
501E-9 2.27891 0.32262 
502E-9 2.28047 0.31876 
503E-9 2.28188 0.31432 
504E-9 2.28329 0.3082 
505E-9 2.28486 0.3064 
506E-9 2.28618 0.30098 
507E-9 2.28741 0.29442 
508E-9 2.28858 0.29015 
509E-9 2.28959 0.28466 
510E-9 2.29071 0.27839 
511E-9 2.29159 0.27556 
512E-9 2.29228 0.2684 
513E-9 2.29296 0.2615 
514E-9 2.29357 0.25654 
515E-9 2.29404 0.2493 
516E-9 2.29396 0.24477 
517E-9 2.29364 0.23785 
518E-9 2.29333 0.23251 
519E-9 2.29279 0.22554 
520E-9 2.29214 0.21997 
521E-9 2.29131 0.21275 
522E-9 2.29033 0.20712 
523E-9 2.28921 0.20071 
524E-9 2.28787 0.19408 
525E-9 2.28645 0.18762 
526E-9 2.28488 0.18142 
527E-9 2.28312 0.17577 
528E-9 2.28132 0.16952 
529E-9 2.27931 0.1648 
530E-9 2.27724 0.15879 
531E-9 2.27502 0.15345 
532E-9 2.27277 0.14622 
533E-9 2.27032 0.14278 
534E-9 2.26785 0.13865 
535E-9 2.26526 0.13273 
536E-9 2.2626 0.12865 
537E-9 2.25995 0.12367 
538E-9 2.25731 0.12025 
539E-9 2.25458 0.11494 
540E-9 2.25189 0.11109 
541E-9 2.24923 0.10763 
542E-9 2.24665 0.10465 
543E-9 2.24397 0.10265 
544E-9 2.2415 0.09885 
545E-9 2.23908 0.09683 
546E-9 2.23666 0.09491 
547E-9 2.2342 0.09157 
548E-9 2.23191 0.08893 
549E-9 2.22966 0.08667 
550E-9 2.22748 0.08663 
551E-9 2.22534 0.08537 
552E-9 2.22311 0.08198 
553E-9 2.22109 0.08183 
554E-9 2.21919 0.07984 
555E-9 2.21717 0.07978 
556E-9 2.21533 0.08003 
557E-9 2.21352 0.07782 
558E-9 2.21176 0.07858 
559E-9 2.2101 0 
560E-9 2.20845 0 
561E-9 2.20694 0 
562E-9 2.20541 0 
563E-9 2.20388 0 
564E-9 2.20246 0 
565E-9 2.2011 0 
566E-9 2.19976 0 
567E-9 2.19843 0 
568E-9 2.19716 0 
569E-9 2.19589 0 
570E-9 2.19466 0 
571E-9 2.19346 0 
572E-9 2.1923 0 
573E-9 2.19116 0 
574E-9 2.19006 0 
575E-9 2.18893 0 
576E-9 2.18785 0 
577E-9 2.18677 0 
578E-9 2.18569 0 
579E-9 2.18462 0 
580E-9 2.18352 0 
581E-9 2.18245 0 
582E-9 2.18136 0 
583E-9 2.1803 0 
584E-9 2.17925 0 
585E-9 2.17816 0 
586E-9 2.17711 0 
587E-9 2.17607 0 
588E-9 2.17501 0 
589E-9 2.17395 0 
590E-9 2.17288 0 
591E-9 2.17186 0 
592E-9 2.17085 0 
593E-9 2.16983 0 
594E-9 2.16883 0 
595E-9 2.16784 0 
596E-9 2.16687 0 
597E-9 2.16596 0 
598E-9 2.16507 0 
599E-9 2.16423 0 
600E-9 2.16339 0 
601E-9 2.16261 0 
602E-9 2.16184 0 
603E-9 2.16111 0 
604E-9 2.16044 0 
605E-9 2.15981 0 
606E-9 2.15926 0 
607E-9 2.15877 0 
608E-9 2.15827 0 
609E-9 2.15781 0 
610E-9 2.15742 0 
611E-9 2.15705 0 
612E-9 2.15674 0 
613E-9 2.15643 0 
614E-9 2.15611 0 
615E-9 2.15583 0 
616E-9 2.15557 0 
617E-9 2.15531 0 
618E-9 2.15501 0 
619E-9 2.15472 0 
620E-9 2.15445 0 
621E-9 2.15411 0 
622E-9 2.15378 0 
623E-9 2.15339 0 
624E-9 2.15296 0 
625E-9 2.15268 0 
626E-9 2.15236 0 
627E-9 2.15199 0 
628E-9 2.15156 0 
629E-9 2.15109 0 
630E-9 2.15054 0 
631E-9 2.14998 0 
632E-9 2.14937 0 
633E-9 2.14872 0 
634E-9 2.14805 0 
635E-9 2.14732 0 
636E-9 2.14655 0 
637E-9 2.14575 0 
638E-9 2.14492 0 
639E-9 2.14407 0 
640E-9 2.14321 0 
641E-9 2.14232 0 
642E-9 2.14141 0 
643E-9 2.14048 0 
644E-9 2.13957 0 
645E-9 2.13865 0 
646E-9 2.13771 0 
647E-9 2.13677 0 
648E-9 2.13581 0 
649E-9 2.13486 0 
650E-9 2.1339 0 
651E-9 2.13294 0 
652E-9 2.132 0 
653E-9 2.13107 0 
654E-9 2.13014 0 
655E-9 2.12925 0 
656E-9 2.12833 0 
657E-9 2.12741 0 
658E-9 2.12651 0 
659E-9 2.12561 0 
660E-9 2.12469 0 
661E-9 2.12379 0 
662E-9 2.12288 0 
663E-9 2.12198 0 
664E-9 2.12107 0 
665E-9 2.12017 0 
666E-9 2.1193 0 
667E-9 2.11844 0 
668E-9 2.11759 0 
669E-9 2.11674 0 
670E-9 2.11592 0 
671E-9 2.11508 0 
672E-9 2.11424 0 
673E-9 2.11344 0 
674E-9 2.11266 0 
675E-9 2.11188 0 
676E-9 2.11113 0 
677E-9 2.11039 0 
678E-9 2.10967 0 
679E-9 2.10895 0 
680E-9 2.10822 0 
681E-9 2.10749 0 
682E-9 2.10674 0 
683E-9 2.10598 0 
684E-9 2.10522 0 
685E-9 2.10446 0 
686E-9 2.10367 0 
687E-9 2.10285 0 
688E-9 2.10212 0 
689E-9 2.10153 0 
690E-9 2.10078 0 
691E-9 2.09998 0 
692E-9 2.0992 0 
693E-9 2.09842 0 
694E-9 2.09761 0 
695E-9 2.09685 0 
696E-9 2.09607 0 
697E-9 2.09527 0 
698E-9 2.09446 0 
699E-9 2.09366 0 
700E-9 2.09283 0 
701E-9 2.09203 0 
