lambda n k
300E-9 3.46 0.848 
301E-9 3.43 0.85333 
302E-9 3.4 0.85867 
303E-9 3.37 0.864 
304E-9 3.34 0.86933 
305E-9 3.31 0.87467 
306E-9 3.28 0.88 
307E-9 3.25 0.88533 
308E-9 3.22 0.89067 
309E-9 3.19 0.896 
310E-9 3.16 0.90133 
311E-9 3.13 0.90667 
312E-9 3.1 0.912 
313E-9 3.07 0.91733 
314E-9 3.04 0.92267 
315E-9 3.01 0.928 
316E-9 2.98 0.93333 
317E-9 2.95 0.93867 
318E-9 2.92 0.944 
319E-9 2.89 0.94933 
320E-9 2.86 0.95467 
321E-9 2.83 0.96 
322E-9 2.8 0.96533 
323E-9 2.77 0.97067 
324E-9 2.74 0.976 
325E-9 2.71 0.98133 
326E-9 2.68 0.98667 
327E-9 2.65 0.992 
328E-9 2.62 0.99733 
329E-9 2.59 1.0027 
330E-9 2.56 1.008 
331E-9 2.53 1.0133 
332E-9 2.5 1.0187 
333E-9 2.47 1.024 
334E-9 2.44 1.0293 
335E-9 2.41 1.0347 
336E-9 2.38 1.04 
337E-9 2.35 1.0453 
338E-9 2.32 1.0507 
339E-9 2.29 1.056 
340E-9 2.26 1.0613 
341E-9 2.23 1.0667 
342E-9 2.2 1.072 
343E-9 2.17 1.0773 
344E-9 2.14 1.0827 
345E-9 2.11 1.088 
346E-9 2.08 1.0933 
347E-9 2.05 1.0987 
348E-9 2.02 1.104 
349E-9 1.99 1.1093 
350E-9 1.96 1.1147 
351E-9 1.93 1.12 
352E-9 1.9 1.1253 
353E-9 1.87 1.1307 
354E-9 1.84 1.136 
355E-9 1.81 1.1413 
356E-9 1.78 1.1467 
357E-9 1.76 1.152 
358E-9 1.73 1.1573 
359E-9 1.72 1.1627 
360E-9 1.71 1.168 
361E-9 1.68 1.1733 
362E-9 1.65 1.1787 
363E-9 1.63 1.184 
364E-9 1.61 1.1893 
365E-9 1.59 1.1947 
366E-9 1.57 1.2 
367E-9 1.55 1.2053 
368E-9 1.52 1.2107 
369E-9 1.51 1.216 
370E-9 1.49 1.2213 
371E-9 1.48 1.2267 
372E-9 1.47 1.232 
373E-9 1.45 1.2373 
374E-9 1.43 1.2427 
375E-9 1.42 1.248 
376E-9 1.4 1.2533 
377E-9 1.39 1.2587 
378E-9 1.37 1.264 
379E-9 1.36 1.2693 
380E-9 1.34 1.2747 
381E-9 1.33 1.28 
382E-9 1.32 1.2858 
383E-9 1.31 1.2917 
384E-9 1.3 1.2975 
385E-9 1.29 1.3033 
386E-9 1.28 1.3092 
387E-9 1.27 1.315 
388E-9 1.26 1.3208 
389E-9 1.25 1.3267 
390E-9 1.24 1.3325 
391E-9 1.23 1.3383 
392E-9 1.22 1.3442 
393E-9 1.21 1.35 
394E-9 1.205 1.3553 
395E-9 1.2 1.3607 
396E-9 1.19 1.366 
397E-9 1.19 1.3713 
398E-9 1.18 1.3767 
399E-9 1.17 1.382 
400E-9 1.16 1.3873 
401E-9 1.16 1.3927 
402E-9 1.15 1.398 
403E-9 1.15 1.4033 
404E-9 1.14 1.4087 
405E-9 1.14 1.414 
406E-9 1.14 1.4193 
407E-9 1.13 1.4247 
408E-9 1.13 1.43 
409E-9 1.12 1.435 
410E-9 1.12 1.44 
411E-9 1.11 1.445 
412E-9 1.11 1.45 
413E-9 1.11 1.455 
414E-9 1.11 1.46 
415E-9 1.1 1.465 
416E-9 1.1 1.47 
417E-9 1.1 1.475 
418E-9 1.1 1.48 
419E-9 1.1 1.485 
420E-9 1.1 1.49 
421E-9 1.1 1.495 
422E-9 1.09 1.5 
423E-9 1.09 1.5062 
424E-9 1.09 1.5123 
425E-9 1.09 1.5185 
426E-9 1.09 1.5246 
427E-9 1.09 1.5308 
428E-9 1.09 1.5369 
429E-9 1.09 1.5431 
430E-9 1.09 1.5492 
431E-9 1.09 1.5554 
432E-9 1.09 1.5615 
433E-9 1.09 1.5677 
434E-9 1.09 1.5738 
435E-9 1.09 1.58 
436E-9 1.1 1.5847 
437E-9 1.1 1.5893 
438E-9 1.1 1.594 
439E-9 1.1 1.5987 
440E-9 1.1 1.6033 
441E-9 1.1 1.608 
442E-9 1.1 1.6127 
443E-9 1.1 1.6173 
444E-9 1.11 1.622 
445E-9 1.11 1.6267 
446E-9 1.11 1.6313 
447E-9 1.11 1.636 
448E-9 1.12 1.6407 
449E-9 1.12 1.6453 
450E-9 1.12 1.65 
451E-9 1.125 1.655 
452E-9 1.13 1.66 
453E-9 1.13 1.665 
454E-9 1.13 1.67 
455E-9 1.14 1.675 
456E-9 1.14 1.68 
457E-9 1.15 1.685 
458E-9 1.15 1.69 
459E-9 1.15 1.695 
460E-9 1.16 1.7 
461E-9 1.16 1.705 
462E-9 1.17 1.71 
463E-9 1.17 1.715 
464E-9 1.17 1.72 
465E-9 1.18 1.725 
466E-9 1.18 1.73 
467E-9 1.19 1.735 
468E-9 1.19 1.74 
469E-9 1.19 1.745 
470E-9 1.2 1.75 
471E-9 1.2 1.755 
472E-9 1.21 1.76 
473E-9 1.22 1.765 
474E-9 1.22 1.77 
475E-9 1.22 1.775 
476E-9 1.23 1.78 
477E-9 1.23 1.785 
478E-9 1.24 1.79 
479E-9 1.24 1.795 
480E-9 1.25 1.8 
481E-9 1.26 1.805 
482E-9 1.26 1.81 
483E-9 1.27 1.815 
484E-9 1.27 1.82 
485E-9 1.2733 1.825 
486E-9 1.28 1.83 
487E-9 1.29 1.835 
488E-9 1.29 1.84 
489E-9 1.3 1.845 
490E-9 1.3 1.85 
491E-9 1.31 1.855 
492E-9 1.32 1.86 
493E-9 1.32 1.8647 
494E-9 1.33 1.8693 
495E-9 1.34 1.874 
496E-9 1.34 1.8787 
497E-9 1.3433 1.8833 
498E-9 1.35 1.888 
499E-9 1.36 1.8927 
500E-9 1.37 1.8973 
501E-9 1.37 1.902 
502E-9 1.38 1.9067 
503E-9 1.38 1.9113 
504E-9 1.39 1.916 
505E-9 1.4 1.9207 
506E-9 1.41 1.9253 
507E-9 1.42 1.93 
508E-9 1.42 1.9343 
509E-9 1.42 1.9386 
510E-9 1.43 1.9429 
511E-9 1.44 1.9471 
512E-9 1.44 1.9514 
513E-9 1.45 1.9557 
514E-9 1.46 1.96 
515E-9 1.46 1.9643 
516E-9 1.47 1.9686 
517E-9 1.48 1.9729 
518E-9 1.49 1.9771 
519E-9 1.5 1.9814 
520E-9 1.5 1.9857 
521E-9 1.5 1.99 
522E-9 1.51 1.9947 
523E-9 1.52 1.9993 
524E-9 1.53 2.004 
525E-9 1.53 2.0087 
526E-9 1.54 2.0133 
527E-9 1.55 2.018 
528E-9 1.56 2.0227 
529E-9 1.56 2.0273 
530E-9 1.57 2.032 
531E-9 1.575 2.0367 
532E-9 1.58 2.0413 
533E-9 1.59 2.046 
534E-9 1.6 2.0507 
535E-9 1.6 2.0553 
536E-9 1.61 2.06 
537E-9 1.62 2.0643 
538E-9 1.63 2.0686 
539E-9 1.64 2.0729 
540E-9 1.65 2.0771 
541E-9 1.65 2.0814 
542E-9 1.66 2.0857 
543E-9 1.665 2.09 
544E-9 1.67 2.0943 
545E-9 1.68 2.0986 
546E-9 1.68 2.1029 
547E-9 1.69 2.1071 
548E-9 1.7 2.1114 
549E-9 1.71 2.1157 
550E-9 1.72 2.12 
551E-9 1.73 2.1247 
552E-9 1.73 2.1293 
553E-9 1.74 2.134 
554E-9 1.745 2.1387 
555E-9 1.75 2.1433 
556E-9 1.76 2.148 
557E-9 1.77 2.1527 
558E-9 1.77 2.1573 
559E-9 1.78 2.162 
560E-9 1.79 2.1667 
561E-9 1.8 2.1713 
562E-9 1.81 2.176 
563E-9 1.82 2.1807 
564E-9 1.82 2.1853 
565E-9 1.84 2.19 
566E-9 1.84 2.1947 
567E-9 1.84 2.1993 
568E-9 1.85 2.204 
569E-9 1.86 2.2087 
570E-9 1.87 2.2133 
571E-9 1.88 2.218 
572E-9 1.88 2.2227 
573E-9 1.89 2.2273 
574E-9 1.9 2.232 
575E-9 1.91 2.2367 
576E-9 1.92 2.2413 
577E-9 1.9267 2.246 
578E-9 1.93 2.2507 
579E-9 1.93 2.2553 
580E-9 1.94 2.26 
581E-9 1.95 2.2636 
582E-9 1.96 2.2671 
583E-9 1.97 2.2707 
584E-9 1.97 2.2743 
585E-9 1.98 2.2779 
586E-9 1.99 2.2814 
587E-9 2 2.285 
588E-9 2.01 2.2886 
589E-9 2.015 2.2921 
590E-9 2.02 2.2957 
591E-9 2.03 2.2993 
592E-9 2.04 2.3029 
593E-9 2.04 2.3064 
594E-9 2.05 2.31 
595E-9 2.06 2.3143 
596E-9 2.07 2.3186 
597E-9 2.08 2.3229 
598E-9 2.08 2.3271 
599E-9 2.09 2.3314 
600E-9 2.095 2.3357 
601E-9 2.1 2.34 
602E-9 2.11 2.3443 
603E-9 2.12 2.3486 
604E-9 2.13 2.3529 
605E-9 2.14 2.3571 
606E-9 2.14 2.3614 
607E-9 2.15 2.3657 
608E-9 2.16 2.37 
609E-9 2.17 2.3746 
610E-9 2.18 2.3792 
611E-9 2.18 2.3838 
612E-9 2.1833 2.3885 
613E-9 2.19 2.3931 
614E-9 2.2 2.3977 
615E-9 2.21 2.4023 
616E-9 2.22 2.4069 
617E-9 2.23 2.4115 
618E-9 2.23 2.4162 
619E-9 2.24 2.4208 
620E-9 2.25 2.4254 
621E-9 2.26 2.43 
622E-9 2.27 2.434 
623E-9 2.2767 2.438 
624E-9 2.28 2.442 
625E-9 2.28 2.446 
626E-9 2.29 2.45 
627E-9 2.3 2.454 
628E-9 2.31 2.458 
629E-9 2.32 2.462 
630E-9 2.33 2.466 
631E-9 2.33 2.47 
632E-9 2.34 2.474 
633E-9 2.35 2.478 
634E-9 2.36 2.482 
635E-9 2.3667 2.486 
636E-9 2.37 2.49 
637E-9 2.37 2.4947 
638E-9 2.38 2.4993 
639E-9 2.39 2.504 
640E-9 2.4 2.5087 
641E-9 2.41 2.5133 
642E-9 2.42 2.518 
643E-9 2.43 2.5227 
644E-9 2.43 2.5273 
645E-9 2.44 2.532 
646E-9 2.4467 2.5367 
647E-9 2.45 2.5413 
648E-9 2.45 2.546 
649E-9 2.46 2.5507 
650E-9 2.47 2.5553 
651E-9 2.48 2.56 
652E-9 2.49 2.5633 
653E-9 2.5 2.5667 
654E-9 2.5 2.57 
655E-9 2.51 2.5733 
656E-9 2.52 2.5767 
657E-9 2.525 2.58 
658E-9 2.53 2.5833 
659E-9 2.54 2.5867 
660E-9 2.54 2.59 
661E-9 2.55 2.5933 
662E-9 2.56 2.5967 
663E-9 2.57 2.6 
664E-9 2.58 2.6033 
665E-9 2.59 2.6067 
666E-9 2.6 2.61 
667E-9 2.61 2.6133 
668E-9 2.61 2.6167 
669E-9 2.615 2.62 
670E-9 2.62 2.6233 
671E-9 2.62 2.6267 
672E-9 2.63 2.63 
673E-9 2.64 2.6345 
674E-9 2.65 2.6391 
675E-9 2.65 2.6436 
676E-9 2.66 2.6482 
677E-9 2.67 2.6527 
678E-9 2.67 2.6573 
679E-9 2.68 2.6618 
680E-9 2.6867 2.6664 
681E-9 2.69 2.6709 
682E-9 2.69 2.6755 
683E-9 2.7 2.68 
684E-9 2.72 2.6845 
685E-9 2.72 2.6891 
686E-9 2.73 2.6936 
687E-9 2.74 2.6982 
688E-9 2.75 2.7027 
689E-9 2.75 2.7073 
690E-9 2.76 2.7118 
691E-9 2.77 2.7164 
692E-9 2.7767 2.7209 
693E-9 2.78 2.7255 
694E-9 2.78 2.73 
695E-9 2.79 2.734 
696E-9 2.8 2.738 
697E-9 2.81 2.742 
698E-9 2.81 2.746 
699E-9 2.82 2.75 
700E-9 2.83 2.754 
701E-9 2.84 2.758 
702E-9 2.84 2.762 
703E-9 2.8433 2.766 
704E-9 2.85 2.77 
705E-9 2.86 2.774 
706E-9 2.87 2.778 
707E-9 2.87 2.782 
708E-9 2.88 2.786 
709E-9 2.89 2.79 
710E-9 2.9 2.794 
711E-9 2.91 2.798 
712E-9 2.91 2.802 
713E-9 2.92 2.806 
714E-9 2.92 2.81 
715E-9 2.9233 2.814 
716E-9 2.93 2.818 
717E-9 2.94 2.822 
718E-9 2.95 2.826 
719E-9 2.95 2.83 
720E-9 2.96 2.834 
721E-9 2.97 2.838 
722E-9 2.98 2.842 
723E-9 2.98 2.846 
724E-9 2.99 2.85 
725E-9 3 2.8538 
726E-9 3 2.8575 
727E-9 3 2.8613 
728E-9 3.01 2.865 
729E-9 3.02 2.8687 
730E-9 3.03 2.8725 
731E-9 3.03 2.8763 
732E-9 3.04 2.88 
733E-9 3.05 2.8838 
734E-9 3.05 2.8875 
735E-9 3.06 2.8913 
736E-9 3.07 2.895 
737E-9 3.08 2.8988 
738E-9 3.08 2.9025 
739E-9 3.08 2.9063 
740E-9 3.09 2.91 
741E-9 3.1 2.9143 
742E-9 3.1 2.9186 
743E-9 3.11 2.9229 
744E-9 3.12 2.9271 
745E-9 3.12 2.9314 
746E-9 3.13 2.9357 
747E-9 3.14 2.94 
748E-9 3.14 2.9443 
749E-9 3.1433 2.9486 
750E-9 3.15 2.9529 
751E-9 3.16 2.9571 
752E-9 3.16 2.9614 
753E-9 3.17 2.9657 
754E-9 3.18 2.97 
755E-9 3.19 2.974 
756E-9 3.19 2.978 
757E-9 3.2 2.982 
758E-9 3.2 2.986 
759E-9 3.21 2.99 
760E-9 3.22 2.994 
761E-9 3.2267 2.998 
762E-9 3.23 3.002 
763E-9 3.23 3.006 
764E-9 3.24 3.01 
765E-9 3.24 3.014 
766E-9 3.25 3.018 
767E-9 3.26 3.022 
768E-9 3.27 3.026 
769E-9 3.27 3.03 
770E-9 3.28 3.0337 
771E-9 3.28 3.0375 
772E-9 3.2833 3.0412 
773E-9 3.29 3.045 
774E-9 3.3 3.0487 
775E-9 3.3 3.0525 
776E-9 3.31 3.0562 
777E-9 3.32 3.06 
778E-9 3.32 3.0637 
779E-9 3.33 3.0675 
780E-9 3.34 3.0713 
781E-9 3.34 3.075 
782E-9 3.35 3.0787 
783E-9 3.36 3.0825 
784E-9 3.36 3.0862 
785E-9 3.36 3.09 
786E-9 3.37 3.094 
787E-9 3.38 3.098 
788E-9 3.38 3.102 
789E-9 3.39 3.106 
790E-9 3.39 3.11 
791E-9 3.4 3.114 
792E-9 3.41 3.118 
793E-9 3.41 3.122 
794E-9 3.42 3.126 
795E-9 3.4267 3.13 
796E-9 3.43 3.134 
797E-9 3.43 3.138 
798E-9 3.44 3.142 
799E-9 3.44 3.146 
800E-9 3.45 3.15 
