lambda n k
300E-9 2.18492 0.03102 
301E-9 2.1817 0.03068 
302E-9 2.17853 0.03035 
303E-9 2.17539 0.03002 
304E-9 2.17228 0.0297 
305E-9 2.16923 0.02938 
306E-9 2.16619 0.02907 
307E-9 2.1632 0.02877 
308E-9 2.16024 0.02847 
309E-9 2.15731 0.02817 
310E-9 2.15443 0.02788 
311E-9 2.15157 0.02759 
312E-9 2.14874 0.02731 
313E-9 2.14595 0.02704 
314E-9 2.14318 0.02676 
315E-9 2.14045 0.0265 
316E-9 2.13775 0.02623 
317E-9 2.13507 0.02597 
318E-9 2.13244 0.02572 
319E-9 2.12983 0.02547 
320E-9 2.12724 0.02522 
321E-9 2.12469 0.02498 
322E-9 2.12216 0.02474 
323E-9 2.11967 0.02451 
324E-9 2.1172 0.02427 
325E-9 2.11474 0.02405 
326E-9 2.11233 0.02382 
327E-9 2.10994 0.0236 
328E-9 2.10757 0.02338 
329E-9 2.10523 0.02317 
330E-9 2.10291 0.02296 
331E-9 2.10062 0.02275 
332E-9 2.09836 0.02254 
333E-9 2.09611 0.02234 
334E-9 2.09389 0.02214 
335E-9 2.09169 0.02195 
336E-9 2.08951 0.02175 
337E-9 2.08737 0.02157 
338E-9 2.08523 0.02138 
339E-9 2.08313 0.02119 
340E-9 2.08104 0.02101 
341E-9 2.07897 0.02083 
342E-9 2.07693 0.02066 
343E-9 2.07491 0.02048 
344E-9 2.0729 0.02031 
345E-9 2.07093 0.02014 
346E-9 2.06896 0.01997 
347E-9 2.06702 0.01981 
348E-9 2.0651 0.01965 
349E-9 2.06319 0.01949 
350E-9 2.06131 0.01933 
351E-9 2.05944 0.01917 
352E-9 2.05759 0.01902 
353E-9 2.05576 0.01887 
354E-9 2.05395 0.01872 
355E-9 2.05215 0.01857 
356E-9 2.05037 0.01842 
357E-9 2.04861 0.01828 
358E-9 2.04687 0.01814 
359E-9 2.04514 0.018 
360E-9 2.04343 0.01786 
361E-9 2.04174 0.01773 
362E-9 2.04006 0.01759 
363E-9 2.0384 0.01746 
364E-9 2.03675 0.01733 
365E-9 2.03512 0.0172 
366E-9 2.03351 0.01707 
367E-9 2.03191 0.01695 
368E-9 2.03032 0.01682 
369E-9 2.02875 0.0167 
370E-9 2.0272 0.01658 
371E-9 2.02565 0.01646 
372E-9 2.02413 0.01634 
373E-9 2.02261 0.01622 
374E-9 2.02111 0.01611 
375E-9 2.01963 0.016 
376E-9 2.01815 0.01588 
377E-9 2.0167 0.01577 
378E-9 2.01525 0.01566 
379E-9 2.01382 0.01555 
380E-9 2.0124 0.01545 
381E-9 2.01099 0.01534 
382E-9 2.00959 0.01524 
383E-9 2.00821 0.01513 
384E-9 2.00684 0.01503 
385E-9 2.00548 0.01493 
386E-9 2.00414 0.01483 
387E-9 2.0028 0.01473 
388E-9 2.00148 0.01464 
389E-9 2.00017 0.01454 
390E-9 1.99887 0.01445 
391E-9 1.99758 0.01435 
392E-9 1.9963 0.01426 
393E-9 1.99504 0.01417 
394E-9 1.99378 0.01408 
395E-9 1.99254 0.01399 
396E-9 1.99131 0.0139 
397E-9 1.99008 0.01381 
398E-9 1.98887 0.01372 
399E-9 1.98767 0.01364 
400E-9 1.98647 0.01355 
401E-9 1.98529 0.01347 
402E-9 1.98412 0.01339 
403E-9 1.98295 0.01331 
404E-9 1.9818 0.01322 
405E-9 1.98066 0.01314 
406E-9 1.97952 0.01307 
407E-9 1.9784 0.01299 
408E-9 1.97728 0.01291 
409E-9 1.97618 0.01283 
410E-9 1.97508 0.01276 
411E-9 1.97399 0.01268 
412E-9 1.97291 0.01261 
413E-9 1.97184 0.01253 
414E-9 1.97078 0.01246 
415E-9 1.96973 0.01239 
416E-9 1.96868 0.01232 
417E-9 1.96765 0.01225 
418E-9 1.96662 0.01218 
419E-9 1.9656 0.01211 
420E-9 1.96459 0.01204 
421E-9 1.96359 0.01197 
422E-9 1.96259 0.01191 
423E-9 1.9616 0.01184 
424E-9 1.96062 0.01178 
425E-9 1.95965 0.01171 
426E-9 1.95869 0.01165 
427E-9 1.95773 0.01158 
428E-9 1.95678 0.01152 
429E-9 1.95584 0.01146 
430E-9 1.9549 0.0114 
431E-9 1.95397 0.01134 
432E-9 1.95305 0.01128 
433E-9 1.95214 0.01122 
434E-9 1.95123 0.01116 
435E-9 1.95033 0.0111 
436E-9 1.94944 0.01104 
437E-9 1.94855 0.01098 
438E-9 1.94767 0.01093 
439E-9 1.9468 0.01087 
440E-9 1.94594 0.01081 
441E-9 1.94508 0.01076 
442E-9 1.94422 0.0107 
443E-9 1.94338 0.01065 
444E-9 1.94254 0.0106 
445E-9 1.9417 0.01054 
446E-9 1.94087 0.01049 
447E-9 1.94005 0.01044 
448E-9 1.93924 0.01039 
449E-9 1.93843 0.01034 
450E-9 1.93763 0.01028 
451E-9 1.93683 0.01023 
452E-9 1.93604 0.01018 
453E-9 1.93525 0.01013 
454E-9 1.93447 0.01009 
455E-9 1.93369 0.01004 
456E-9 1.93293 0.00999 
457E-9 1.93216 0.00994 
458E-9 1.9314 0.0099 
459E-9 1.93065 0.00985 
