lambda n k
300E-9 1.79768 0.1937 
301E-9 1.79572 0.19028 
302E-9 1.79378 0.18699 
303E-9 1.79186 0.18375 
304E-9 1.78996 0.18059 
305E-9 1.78808 0.17752 
306E-9 1.78621 0.1745 
307E-9 1.78437 0.17157 
308E-9 1.78254 0.1687 
309E-9 1.78073 0.16588 
310E-9 1.77894 0.16316 
311E-9 1.77716 0.16048 
312E-9 1.7754 0.15785 
313E-9 1.77367 0.15531 
314E-9 1.77194 0.1528 
315E-9 1.77023 0.15035 
316E-9 1.76854 0.14797 
317E-9 1.76686 0.14561 
318E-9 1.7652 0.14334 
319E-9 1.76356 0.1411 
320E-9 1.76193 0.13891 
321E-9 1.76032 0.13678 
322E-9 1.75871 0.13467 
323E-9 1.75713 0.13263 
324E-9 1.75556 0.13062 
325E-9 1.754 0.12865 
326E-9 1.75247 0.12673 
327E-9 1.75094 0.12485 
328E-9 1.74942 0.123 
329E-9 1.74793 0.1212 
330E-9 1.74644 0.11943 
331E-9 1.74497 0.1177 
332E-9 1.74351 0.11601 
333E-9 1.74206 0.11434 
334E-9 1.74063 0.11271 
335E-9 1.73921 0.11112 
336E-9 1.7378 0.10955 
337E-9 1.73641 0.10802 
338E-9 1.73503 0.10652 
339E-9 1.73366 0.10504 
340E-9 1.7323 0.1036 
341E-9 1.73095 0.10218 
342E-9 1.72962 0.1008 
343E-9 1.7283 0.09944 
344E-9 1.72698 0.09809 
345E-9 1.72568 0.09679 
346E-9 1.72439 0.0955 
347E-9 1.72312 0.09424 
348E-9 1.72185 0.09301 
349E-9 1.72059 0.09179 
350E-9 1.71935 0.0906 
351E-9 1.71812 0.08943 
352E-9 1.71689 0.08828 
353E-9 1.71568 0.08716 
354E-9 1.71448 0.08605 
355E-9 1.71328 0.08496 
356E-9 1.7121 0.0839 
357E-9 1.71093 0.08285 
358E-9 1.70977 0.08183 
359E-9 1.70861 0.08082 
360E-9 1.70747 0.07982 
361E-9 1.70633 0.07885 
362E-9 1.70521 0.07789 
363E-9 1.70409 0.07695 
364E-9 1.70299 0.07603 
365E-9 1.70189 0.07512 
366E-9 1.7008 0.07423 
367E-9 1.69972 0.07335 
368E-9 1.69865 0.07249 
369E-9 1.69759 0.07165 
370E-9 1.69653 0.07081 
371E-9 1.69549 0.06999 
372E-9 1.69445 0.06919 
373E-9 1.69342 0.0684 
374E-9 1.6924 0.06762 
375E-9 1.69139 0.06686 
376E-9 1.69039 0.0661 
377E-9 1.68939 0.06536 
378E-9 1.68841 0.06464 
379E-9 1.68742 0.06392 
380E-9 1.68645 0.06322 
381E-9 1.68549 0.06252 
382E-9 1.68453 0.06184 
383E-9 1.68358 0.06117 
384E-9 1.68264 0.06051 
385E-9 1.6817 0.05986 
386E-9 1.68078 0.05922 
387E-9 1.67986 0.05859 
388E-9 1.67894 0.05797 
389E-9 1.67804 0.05736 
390E-9 1.67714 0.05676 
391E-9 1.67625 0.05617 
392E-9 1.67536 0.05559 
393E-9 1.67448 0.05502 
394E-9 1.67361 0.05445 
395E-9 1.67274 0.0539 
396E-9 1.67188 0.05335 
397E-9 1.67103 0.05281 
398E-9 1.67018 0.05228 
399E-9 1.66935 0.05176 
400E-9 1.66851 0.05124 
401E-9 1.66769 0.05074 
402E-9 1.66686 0.05024 
403E-9 1.66605 0.04974 
404E-9 1.66524 0.04926 
405E-9 1.66444 0.04878 
406E-9 1.66364 0.04831 
407E-9 1.66285 0.04785 
408E-9 1.66206 0.04739 
409E-9 1.66128 0.04694 
410E-9 1.66051 0.04649 
411E-9 1.65974 0.04605 
412E-9 1.65898 0.04562 
413E-9 1.65822 0.0452 
414E-9 1.65747 0.04478 
415E-9 1.65672 0.04437 
416E-9 1.65598 0.04396 
417E-9 1.65525 0.04355 
418E-9 1.65452 0.04316 
419E-9 1.65379 0.04276 
420E-9 1.65307 0.04238 
421E-9 1.65236 0.042 
422E-9 1.65165 0.04162 
423E-9 1.65094 0.04125 
424E-9 1.65024 0.04089 
425E-9 1.64955 0.04053 
426E-9 1.64886 0.04017 
427E-9 1.64817 0.03982 
428E-9 1.64749 0.03948 
429E-9 1.64682 0.03913 
430E-9 1.64615 0.0388 
