lambda n k
300E-9 1.73051 0.2112 
301E-9 1.74332 0.22201 
302E-9 1.7563 0.2312 
303E-9 1.76918 0.23952 
304E-9 1.78191 0.2465 
305E-9 1.79412 0.25143 
306E-9 1.806 0.25524 
307E-9 1.81709 0.25671 
308E-9 1.82744 0.25672 
309E-9 1.83728 0.25575 
310E-9 1.84572 0.25323 
311E-9 1.85348 0.25038 
312E-9 1.86031 0.24706 
313E-9 1.86566 0.24367 
314E-9 1.87026 0.24038 
315E-9 1.87337 0.23748 
316E-9 1.87537 0.23494 
317E-9 1.87667 0.23263 
318E-9 1.87662 0.23065 
319E-9 1.87608 0.22876 
320E-9 1.87495 0.22695 
321E-9 1.87315 0.22513 
322E-9 1.87111 0.22325 
323E-9 1.86871 0.22124 
324E-9 1.86611 0.21909 
325E-9 1.86339 0.21688 
326E-9 1.86048 0.21461 
327E-9 1.8575 0.21238 
328E-9 1.85445 0.21021 
329E-9 1.85135 0.20824 
330E-9 1.84823 0.2064 
331E-9 1.84513 0.20482 
332E-9 1.84207 0.20357 
333E-9 1.83906 0.2025 
334E-9 1.83617 0.20176 
335E-9 1.83339 0.20113 
336E-9 1.83072 0.2006 
337E-9 1.82832 0.20013 
338E-9 1.82604 0.19963 
339E-9 1.82401 0.19909 
340E-9 1.82228 0.19838 
341E-9 1.82072 0.19757 
342E-9 1.81954 0.1965 
343E-9 1.81854 0.19527 
344E-9 1.81768 0.19391 
345E-9 1.81702 0.19235 
346E-9 1.81638 0.19071 
347E-9 1.8158 0.18896 
348E-9 1.81517 0.18712 
349E-9 1.8145 0.18524 
350E-9 1.8137 0.18331 
351E-9 1.81274 0.18136 
352E-9 1.81168 0.1794 
353E-9 1.81037 0.17744 
354E-9 1.809 0.17548 
355E-9 1.80751 0.17352 
356E-9 1.80593 0.17159 
357E-9 1.80432 0.16966 
358E-9 1.80266 0.16775 
359E-9 1.801 0.16588 
360E-9 1.79934 0.16402 
361E-9 1.79774 0.16222 
362E-9 1.79616 0.16044 
363E-9 1.79463 0.1587 
364E-9 1.79312 0.15701 
365E-9 1.79162 0.15536 
366E-9 1.79011 0.15375 
367E-9 1.78857 0.15218 
368E-9 1.787 0.15065 
369E-9 1.78534 0.14917 
370E-9 1.78362 0.14773 
371E-9 1.78182 0.14633 
372E-9 1.77988 0.14498 
373E-9 1.77787 0.14367 
374E-9 1.77572 0.1424 
375E-9 1.77352 0.14117 
376E-9 1.77128 0.13998 
377E-9 1.76902 0.13884 
378E-9 1.76679 0.13774 
379E-9 1.7646 0.13667 
380E-9 1.76253 0.13567 
381E-9 1.76054 0.13469 
382E-9 1.75869 0.13375 
383E-9 1.75704 0.13287 
