lambda n k
300E-9 1.51181 0.12989 
301E-9 1.50863 0.13137 
302E-9 1.50531 0.1329 
303E-9 1.50198 0.13449 
304E-9 1.49864 0.13615 
305E-9 1.49543 0.138 
306E-9 1.49228 0.13993 
307E-9 1.48924 0.14203 
308E-9 1.48625 0.14422 
309E-9 1.48329 0.14645 
310E-9 1.4804 0.14873 
311E-9 1.47755 0.151 
312E-9 1.47478 0.15325 
313E-9 1.47217 0.15544 
314E-9 1.46964 0.15768 
315E-9 1.46732 0.16008 
316E-9 1.46519 0.16284 
317E-9 1.4632 0.16583 
318E-9 1.46149 0.16932 
319E-9 1.45986 0.17285 
320E-9 1.45834 0.17643 
321E-9 1.4569 0.17979 
322E-9 1.45548 0.1831 
323E-9 1.45412 0.18638 
324E-9 1.45282 0.18992 
325E-9 1.45155 0.19362 
326E-9 1.45046 0.19776 
327E-9 1.44959 0.20181 
328E-9 1.44895 0.20577 
329E-9 1.44892 0.209 
330E-9 1.44915 0.21193 
331E-9 1.44982 0.21434 
332E-9 1.45066 0.21681 
333E-9 1.45157 0.21937 
334E-9 1.45242 0.22261 
335E-9 1.45324 0.22609 
336E-9 1.45405 0.22979 
337E-9 1.45498 0.23314 
338E-9 1.45601 0.23612 
339E-9 1.45722 0.23842 
340E-9 1.4585 0.24018 
341E-9 1.45978 0.24174 
342E-9 1.46092 0.24322 
343E-9 1.46187 0.24488 
344E-9 1.46267 0.24672 
345E-9 1.46324 0.24851 
346E-9 1.46379 0.25007 
347E-9 1.46431 0.25119 
348E-9 1.46493 0.25147 
349E-9 1.46557 0.25138 
350E-9 1.46621 0.25076 
351E-9 1.46672 0.25021 
352E-9 1.46715 0.24972 
353E-9 1.46723 0.24999 
354E-9 1.46721 0.25052 
355E-9 1.46704 0.25142 
356E-9 1.46686 0.25238 
357E-9 1.46673 0.25327 
358E-9 1.46677 0.25383 
359E-9 1.46694 0.25413 
360E-9 1.46718 0.25425 
361E-9 1.46742 0.25432 
362E-9 1.46758 0.25451 
363E-9 1.46762 0.25488 
364E-9 1.46734 0.25574 
365E-9 1.46686 0.25687 
366E-9 1.46595 0.25856 
367E-9 1.46459 0.26078 
368E-9 1.46294 0.26336 
369E-9 1.46055 0.26683 
370E-9 1.45804 0.27071 
371E-9 1.45538 0.27509 
372E-9 1.45309 0.28014 
373E-9 1.45114 0.28549 
374E-9 1.45 0.29135 
375E-9 1.44979 0.29751 
376E-9 1.45012 0.30384 
377E-9 1.45157 0.31029 
378E-9 1.45348 0.31665 
379E-9 1.45591 0.32291 
380E-9 1.45901 0.32876 
381E-9 1.46235 0.33442 
382E-9 1.46611 0.33973 
383E-9 1.47014 0.34478 
384E-9 1.47434 0.34968 
385E-9 1.47877 0.35432 
386E-9 1.48328 0.35885 
387E-9 1.48787 0.36326 
388E-9 1.49257 0.36743 
389E-9 1.49733 0.37148 
390E-9 1.50218 0.37531 
391E-9 1.50712 0.37887 
392E-9 1.5121 0.38227 
393E-9 1.51722 0.3853 
394E-9 1.52247 0.38805 
395E-9 1.52782 0.39057 
396E-9 1.53348 0.39255 
397E-9 1.53929 0.39427 
398E-9 1.54537 0.39557 
399E-9 1.55172 0.39638 
400E-9 1.55817 0.39695 
401E-9 1.56469 0.39707 
402E-9 1.57109 0.39695 
403E-9 1.57739 0.39665 
404E-9 1.58322 0.39604 
405E-9 1.5888 0.39534 
406E-9 1.59401 0.3945 
407E-9 1.59895 0.39347 
408E-9 1.60381 0.39234 
409E-9 1.60864 0.39102 
410E-9 1.61362 0.38955 
411E-9 1.61871 0.38798 
412E-9 1.62425 0.38618 
413E-9 1.62989 0.38427 
414E-9 1.63569 0.38221 
415E-9 1.64144 0.37994 
416E-9 1.64712 0.37755 
417E-9 1.65253 0.37495 
418E-9 1.65757 0.37215 
419E-9 1.66238 0.36922 
420E-9 1.66661 0.36589 
421E-9 1.67068 0.36229 
422E-9 1.67455 0.35834 
423E-9 1.6783 0.35375 
424E-9 1.68206 0.34879 
425E-9 1.68588 0.34313 
426E-9 1.68982 0.3368 
427E-9 1.69382 0.33009 
428E-9 1.69768 0.32265 
429E-9 1.70127 0.31501 
430E-9 1.70457 0.30713 
431E-9 1.70701 0.2991 
432E-9 1.70895 0.29107 
433E-9 1.70989 0.2831 
434E-9 1.70981 0.27526 
435E-9 1.70914 0.26751 
436E-9 1.70734 0.25991 
437E-9 1.70509 0.25239 
438E-9 1.70236 0.24494 
439E-9 1.69903 0.23758 
440E-9 1.69552 0.23026 
