lambda n k
210E-9 1.687386 0.377056 
211E-9 1.696696 0.377929 
212E-9 1.704806 0.376833 
213E-9 1.711558 0.374608 
214E-9 1.71713 0.371958 
215E-9 1.721982 0.369252 
216E-9 1.726434 0.36654 
217E-9 1.730725 0.363859 
218E-9 1.735196 0.361197 
219E-9 1.740219 0.358141 
220E-9 1.745701 0.354086 
221E-9 1.751208 0.348531 
222E-9 1.755842 0.341181 
223E-9 1.758568 0.33271 
224E-9 1.759183 0.324159 
225E-9 1.757957 0.316434 
226E-9 1.755655 0.310253 
227E-9 1.753327 0.30551 
228E-9 1.75142 0.301678 
229E-9 1.75007 0.298298 
230E-9 1.749195 0.294971 
231E-9 1.748531 0.291526 
232E-9 1.747944 0.287997 
233E-9 1.747393 0.28441 
234E-9 1.746884 0.280785 
235E-9 1.746486 0.277096 
236E-9 1.746227 0.273212 
237E-9 1.746052 0.268997 
238E-9 1.745853 0.264332 
239E-9 1.745454 0.259117 
240E-9 1.744619 0.253371 
241E-9 1.743192 0.247194 
242E-9 1.741055 0.240676 
243E-9 1.738088 0.233903 
244E-9 1.734116 0.226988 
245E-9 1.728981 0.220202 
246E-9 1.722672 0.213855 
247E-9 1.71527 0.208239 
248E-9 1.706934 0.203629 
249E-9 1.697962 0.200236 
250E-9 1.68866 0.198059 
251E-9 1.679211 0.197046 
252E-9 1.669754 0.197155 
253E-9 1.660404 0.198344 
254E-9 1.651249 0.200582 
255E-9 1.642378 0.203864 
256E-9 1.633901 0.208196 
257E-9 1.625951 0.213574 
258E-9 1.618685 0.21999 
259E-9 1.612315 0.227416 
260E-9 1.607102 0.235695 
261E-9 1.603193 0.244575 
262E-9 1.600656 0.25381 
263E-9 1.599514 0.263167 
264E-9 1.599756 0.272427 
265E-9 1.601352 0.281371 
266E-9 1.604235 0.289768 
267E-9 1.608281 0.297399 
268E-9 1.613326 0.304072 
269E-9 1.619168 0.309621 
270E-9 1.625552 0.313906 
271E-9 1.632137 0.316893 
272E-9 1.638662 0.318699 
273E-9 1.644962 0.319446 
274E-9 1.65091 0.319244 
275E-9 1.656394 0.318191 
276E-9 1.661305 0.316384 
277E-9 1.66551 0.313945 
278E-9 1.668926 0.311066 
279E-9 1.671532 0.307927 
280E-9 1.673341 0.304693 
281E-9 1.67439 0.301516 
282E-9 1.674742 0.298539 
283E-9 1.674497 0.295883 
284E-9 1.673769 0.293615 
285E-9 1.672646 0.291786 
286E-9 1.671217 0.290444 
287E-9 1.669579 0.289633 
288E-9 1.66784 0.289393 
289E-9 1.666142 0.289757 
290E-9 1.664687 0.29069 
291E-9 1.663612 0.292041 
292E-9 1.662969 0.293664 
293E-9 1.662773 0.295421 
294E-9 1.663002 0.297188 
295E-9 1.663606 0.298851 
296E-9 1.664488 0.300307 
297E-9 1.66549 0.301532 
298E-9 1.666516 0.302601 
299E-9 1.667529 0.303587 
300E-9 1.668526 0.304554 
301E-9 1.669523 0.305561 
302E-9 1.670558 0.30666 
303E-9 1.671699 0.307894 
304E-9 1.673066 0.309271 
305E-9 1.674757 0.310694 
306E-9 1.676796 0.312058 
307E-9 1.679178 0.313267 
308E-9 1.681873 0.314233 
309E-9 1.684833 0.314877 
310E-9 1.687989 0.315128 
311E-9 1.691239 0.314927 
312E-9 1.694441 0.314275 
313E-9 1.697504 0.31324 
314E-9 1.70038 0.311886 
315E-9 1.703038 0.310271 
316E-9 1.705462 0.308448 
317E-9 1.707643 0.306467 
318E-9 1.709584 0.304373 
319E-9 1.711295 0.302208 
