lambda n k
210E-9 1.635797 0.392422 
211E-9 1.647252 0.395698 
212E-9 1.657141 0.396732 
213E-9 1.665435 0.396714 
214E-9 1.672666 0.396596 
215E-9 1.679882 0.39653 
216E-9 1.687499 0.395928 
217E-9 1.695443 0.394291 
218E-9 1.703306 0.391257 
219E-9 1.710511 0.386943 
220E-9 1.716819 0.3817 
221E-9 1.722159 0.375826 
222E-9 1.726555 0.369576 
223E-9 1.730078 0.363126 
224E-9 1.732796 0.356612 
225E-9 1.734791 0.35016 
226E-9 1.736182 0.343873 
227E-9 1.737108 0.337775 
228E-9 1.73765 0.331846 
229E-9 1.737855 0.326074 
230E-9 1.737756 0.32045 
231E-9 1.737368 0.314994 
232E-9 1.73674 0.309746 
233E-9 1.735955 0.30474 
234E-9 1.735143 0.300001 
235E-9 1.734552 0.29545 
236E-9 1.734316 0.290762 
237E-9 1.734354 0.285606 
238E-9 1.734453 0.279692 
239E-9 1.734209 0.272789 
240E-9 1.733066 0.265014 
241E-9 1.730742 0.256718 
242E-9 1.727115 0.248217 
243E-9 1.722135 0.2398 
244E-9 1.715801 0.231744 
245E-9 1.708155 0.224323 
246E-9 1.699299 0.217808 
247E-9 1.689388 0.212458 
248E-9 1.678657 0.208521 
249E-9 1.667491 0.206172 
250E-9 1.656273 0.205322 
251E-9 1.645215 0.205824 
252E-9 1.634456 0.207541 
253E-9 1.624082 0.210342 
254E-9 1.614107 0.214125 
255E-9 1.604532 0.218894 
256E-9 1.595435 0.224685 
257E-9 1.586938 0.231524 
258E-9 1.579205 0.239425 
259E-9 1.572476 0.248376 
260E-9 1.567058 0.258193 
261E-9 1.563105 0.26857 
262E-9 1.56067 0.279212 
263E-9 1.559739 0.289843 
264E-9 1.560246 0.300207 
265E-9 1.562076 0.310076 
266E-9 1.565086 0.319272 
267E-9 1.569121 0.327638 
268E-9 1.574007 0.335039 
269E-9 1.579541 0.341363 
270E-9 1.585479 0.346518 
271E-9 1.591498 0.35052 
272E-9 1.597367 0.353538 
273E-9 1.602965 0.355734 
274E-9 1.608218 0.357255 
275E-9 1.613083 0.358231 
276E-9 1.617542 0.358783 
277E-9 1.621598 0.359012 
278E-9 1.625261 0.359001 
279E-9 1.628546 0.358823 
280E-9 1.63147 0.358549 
281E-9 1.63406 0.358242 
282E-9 1.63635 0.357962 
283E-9 1.638384 0.35776 
284E-9 1.640213 0.35767 
285E-9 1.641881 0.357722 
286E-9 1.643439 0.357941 
287E-9 1.644939 0.35835 
288E-9 1.646449 0.358968 
289E-9 1.648056 0.359806 
290E-9 1.649892 0.360822 
291E-9 1.652031 0.361888 
292E-9 1.654478 0.362883 
293E-9 1.657208 0.363698 
294E-9 1.660163 0.364237 
295E-9 1.663257 0.364415 
296E-9 1.666357 0.364163 
297E-9 1.669257 0.363511 
298E-9 1.671845 0.362609 
299E-9 1.674092 0.3616 
300E-9 1.676014 0.360609 
301E-9 1.677659 0.359751 
302E-9 1.67911 0.359128 
303E-9 1.680494 0.358825 
304E-9 1.682024 0.358866 
305E-9 1.683874 0.359104 
306E-9 1.686098 0.359377 
307E-9 1.688697 0.359542 
308E-9 1.691638 0.359469 
309E-9 1.694855 0.35904 
310E-9 1.698252 0.358153 
311E-9 1.701679 0.356722 
312E-9 1.704924 0.35476 
313E-9 1.70786 0.352383 
314E-9 1.710428 0.349701 
315E-9 1.712596 0.346812 
316E-9 1.714357 0.343804 
317E-9 1.715715 0.340761 
318E-9 1.716692 0.337757 
319E-9 1.717327 0.334862 
320E-9 1.717679 0.332121 
321E-9 1.717795 0.32955 
322E-9 1.71771 0.327166 
323E-9 1.717457 0.324981 
324E-9 1.71707 0.323012 
325E-9 1.716582 0.321272 
326E-9 1.716034 0.319772 
327E-9 1.715471 0.318524 
328E-9 1.714957 0.317527 
329E-9 1.714556 0.316743 
330E-9 1.714298 0.316122 
331E-9 1.714204 0.315621 
332E-9 1.71428 0.315198 
333E-9 1.714532 0.314814 
334E-9 1.714954 0.314432 
335E-9 1.71554 0.314018 
336E-9 1.716274 0.313539 
337E-9 1.717136 0.31297 
338E-9 1.718101 0.312294 
339E-9 1.71915 0.311501 
340E-9 1.720269 0.31058 
341E-9 1.721438 0.30952 
342E-9 1.72264 0.308312 
343E-9 1.723855 0.306947 
344E-9 1.725062 0.305416 
345E-9 1.726235 0.303714 
