lambda n k
300E-9 1.65172 0.16719 
301E-9 1.65159 0.1641 
302E-9 1.6512 0.16027 
303E-9 1.65066 0.15612 
304E-9 1.64987 0.15147 
305E-9 1.64875 0.14632 
306E-9 1.64745 0.14094 
307E-9 1.64582 0.13521 
308E-9 1.64404 0.12938 
309E-9 1.64216 0.12348 
310E-9 1.64026 0.11772 
311E-9 1.63842 0.11214 
312E-9 1.63665 0.10682 
313E-9 1.63502 0.10206 
314E-9 1.63345 0.09762 
315E-9 1.63203 0.09386 
316E-9 1.63073 0.0906 
317E-9 1.62952 0.08766 
318E-9 1.6285 0.08534 
319E-9 1.62758 0.08325 
320E-9 1.62677 0.08145 
321E-9 1.62617 0.08004 
322E-9 1.62566 0.07879 
323E-9 1.62533 0.07784 
324E-9 1.62514 0.07708 
325E-9 1.62503 0.07644 
326E-9 1.62508 0.07598 
327E-9 1.62521 0.07559 
328E-9 1.62541 0.07525 
329E-9 1.62577 0.07498 
330E-9 1.62621 0.07474 
331E-9 1.62681 0.07453 
332E-9 1.62753 0.07434 
333E-9 1.6283 0.07417 
334E-9 1.6291 0.074 
335E-9 1.62985 0.07384 
336E-9 1.63054 0.07368 
337E-9 1.63113 0.07351 
338E-9 1.63171 0.07332 
339E-9 1.63232 0.07311 
340E-9 1.63303 0.07287 
341E-9 1.63381 0.07261 
342E-9 1.63471 0.0723 
343E-9 1.63562 0.07197 
344E-9 1.63655 0.07163 
345E-9 1.6374 0.07126 
346E-9 1.6382 0.0709 
347E-9 1.63892 0.07055 
348E-9 1.63951 0.07023 
349E-9 1.64004 0.06995 
350E-9 1.64043 0.06976 
351E-9 1.64071 0.06964 
352E-9 1.64092 0.06959 
353E-9 1.64096 0.06969 
354E-9 1.64094 0.06986 
355E-9 1.64082 0.07015 
356E-9 1.64063 0.07059 
357E-9 1.64042 0.07112 
358E-9 1.64024 0.07182 
359E-9 1.64017 0.07266 
360E-9 1.64016 0.0736 
361E-9 1.6404 0.07474 
362E-9 1.64074 0.0759 
363E-9 1.64122 0.07709 
364E-9 1.64185 0.07818 
365E-9 1.64255 0.07918 
366E-9 1.64336 0.07997 
367E-9 1.64419 0.08058 
368E-9 1.64503 0.08108 
369E-9 1.64577 0.08138 
370E-9 1.6464 0.08162 
371E-9 1.64691 0.08178 
372E-9 1.64717 0.08187 
373E-9 1.64733 0.08194 
374E-9 1.64734 0.08198 
375E-9 1.64726 0.08203 
376E-9 1.64712 0.08209 
377E-9 1.64693 0.08219 
378E-9 1.64673 0.08232 
379E-9 1.64652 0.08248 
380E-9 1.64634 0.08269 
381E-9 1.64619 0.08291 
382E-9 1.64607 0.08317 
383E-9 1.64603 0.08344 
384E-9 1.64601 0.08372 
385E-9 1.64606 0.08399 
386E-9 1.64612 0.08424 
387E-9 1.6462 0.08448 
388E-9 1.6463 0.08464 
389E-9 1.64639 0.08477 
390E-9 1.64646 0.08483 
391E-9 1.64651 0.08482 
392E-9 1.64654 0.08478 
393E-9 1.64651 0.08464 
394E-9 1.64644 0.08446 
395E-9 1.64632 0.08422 
396E-9 1.6461 0.08391 
397E-9 1.64584 0.08356 
398E-9 1.64549 0.08317 
399E-9 1.64504 0.08274 
400E-9 1.64453 0.08229 
401E-9 1.64388 0.08183 
402E-9 1.64315 0.08135 
403E-9 1.64236 0.08088 
404E-9 1.64144 0.08041 
405E-9 1.64048 0.07996 
406E-9 1.63946 0.07953 
407E-9 1.63839 0.07913 
408E-9 1.6373 0.07876 
409E-9 1.63617 0.07844 
410E-9 1.63501 0.07815 
411E-9 1.63384 0.07789 
412E-9 1.63263 0.07769 
413E-9 1.63141 0.07751 
414E-9 1.63016 0.07736 
415E-9 1.62889 0.07726 
416E-9 1.62761 0.07718 
417E-9 1.62631 0.07714 
418E-9 1.625 0.07711 
419E-9 1.62369 0.0771 
420E-9 1.62237 0.07712 
421E-9 1.62105 0.07715 
422E-9 1.61973 0.07719 
423E-9 1.61842 0.07725 
424E-9 1.6171 0.07731 
425E-9 1.61577 0.07739 
426E-9 1.61441 0.07748 
427E-9 1.61304 0.07759 
428E-9 1.61163 0.07771 
429E-9 1.61018 0.07785 
430E-9 1.6087 0.07801 
431E-9 1.60718 0.07818 
432E-9 1.60563 0.07837 
433E-9 1.60407 0.07856 
434E-9 1.60249 0.07875 
435E-9 1.60091 0.07894 
436E-9 1.59933 0.07913 
437E-9 1.59776 0.07932 
438E-9 1.5962 0.07949 
439E-9 1.59465 0.07966 
440E-9 1.59309 0.07982 
441E-9 1.59153 0.07998 
442E-9 1.58997 0.08012 
443E-9 1.58839 0.08026 
444E-9 1.58678 0.0804 
445E-9 1.58516 0.08053 
446E-9 1.58351 0.08066 
447E-9 1.58181 0.08079 
448E-9 1.58009 0.08091 
449E-9 1.57832 0.08105 
450E-9 1.57648 0.08119 
451E-9 1.57462 0.08133 
452E-9 1.57267 0.08149 
453E-9 1.57066 0.08166 
454E-9 1.56861 0.08184 
455E-9 1.56647 0.08205 
456E-9 1.56431 0.08227 
457E-9 1.56211 0.0825 
458E-9 1.55989 0.08277 
459E-9 1.55765 0.08304 
460E-9 1.5554 0.08335 
461E-9 1.55316 0.08368 
462E-9 1.55091 0.08403 
463E-9 1.54867 0.08442 
464E-9 1.54642 0.08483 
465E-9 1.54416 0.08527 
466E-9 1.54185 0.08574 
467E-9 1.53952 0.08623 
468E-9 1.53713 0.08676 
469E-9 1.53468 0.08732 
470E-9 1.53219 0.0879 
471E-9 1.5296 0.08853 
472E-9 1.52697 0.08918 
473E-9 1.52429 0.08985 
474E-9 1.52158 0.09056 
475E-9 1.51886 0.09127 
476E-9 1.51613 0.09202 
477E-9 1.51342 0.09278 
478E-9 1.51071 0.09355 
479E-9 1.50807 0.09434 
480E-9 1.50545 0.09514 
481E-9 1.50286 0.09594 
482E-9 1.50031 0.09677 
483E-9 1.49776 0.0976 
484E-9 1.49522 0.09845 
485E-9 1.49266 0.09932 
