lambda n k
300E-9 1.62208 0.1436 
301E-9 1.62216 0.15114 
302E-9 1.62238 0.15785 
303E-9 1.62263 0.16397 
304E-9 1.62293 0.16916 
305E-9 1.62327 0.17273 
306E-9 1.62361 0.17535 
307E-9 1.62394 0.17588 
308E-9 1.62423 0.17491 
309E-9 1.6245 0.17293 
310E-9 1.62471 0.16936 
311E-9 1.6249 0.1655 
312E-9 1.62509 0.16123 
313E-9 1.62528 0.15707 
314E-9 1.62549 0.15313 
315E-9 1.62575 0.14989 
316E-9 1.62606 0.14739 
317E-9 1.62641 0.14534 
318E-9 1.62686 0.14414 
319E-9 1.62736 0.14322 
320E-9 1.62791 0.14264 
321E-9 1.62854 0.14236 
322E-9 1.6292 0.14216 
323E-9 1.62993 0.14204 
324E-9 1.63072 0.1419 
325E-9 1.63154 0.14174 
326E-9 1.63242 0.14153 
327E-9 1.63332 0.1413 
328E-9 1.63425 0.14103 
329E-9 1.6352 0.14072 
330E-9 1.63615 0.14038 
331E-9 1.6371 0.13999 
332E-9 1.63805 0.13956 
333E-9 1.63898 0.1391 
334E-9 1.63988 0.13855 
335E-9 1.64074 0.13793 
336E-9 1.64156 0.13725 
337E-9 1.64227 0.13641 
338E-9 1.64293 0.13549 
339E-9 1.64348 0.13443 
340E-9 1.64388 0.13321 
341E-9 1.6442 0.13189 
342E-9 1.64432 0.13037 
343E-9 1.6443 0.12879 
344E-9 1.64417 0.12714 
345E-9 1.6438 0.12545 
346E-9 1.64335 0.12377 
347E-9 1.64277 0.12213 
348E-9 1.64204 0.1206 
349E-9 1.64125 0.11913 
350E-9 1.64033 0.11784 
351E-9 1.63933 0.11671 
352E-9 1.63827 0.11568 
353E-9 1.63711 0.11487 
354E-9 1.63593 0.11413 
355E-9 1.63471 0.1135 
356E-9 1.63349 0.11296 
357E-9 1.63229 0.11246 
358E-9 1.63114 0.11202 
359E-9 1.63005 0.11161 
360E-9 1.62902 0.11121 
361E-9 1.62816 0.1108 
362E-9 1.62739 0.11039 
363E-9 1.62674 0.10997 
364E-9 1.62629 0.10956 
365E-9 1.62592 0.10914 
366E-9 1.62568 0.10873 
367E-9 1.62552 0.10833 
368E-9 1.62539 0.10794 
369E-9 1.6253 0.10757 
370E-9 1.62521 0.10721 
371E-9 1.62512 0.10687 
372E-9 1.62496 0.10656 
373E-9 1.62476 0.10626 
374E-9 1.62446 0.10598 
375E-9 1.62408 0.10572 
376E-9 1.62364 0.10546 
377E-9 1.62311 0.10521 
378E-9 1.62256 0.10495 
379E-9 1.62198 0.1047 
380E-9 1.62139 0.10445 
381E-9 1.6208 0.10418 
382E-9 1.62023 0.10391 
383E-9 1.61971 0.10362 
384E-9 1.61922 0.10332 
385E-9 1.61882 0.10298 
386E-9 1.61848 0.10262 
387E-9 1.6182 0.10224 
388E-9 1.61798 0.1018 
389E-9 1.61778 0.10132 
390E-9 1.61759 0.1008 
391E-9 1.61736 0.10021 
392E-9 1.61711 0.09958 
393E-9 1.61677 0.09886 
394E-9 1.61635 0.09808 
395E-9 1.61586 0.09725 
396E-9 1.61518 0.09632 
397E-9 1.6144 0.09535 
398E-9 1.61345 0.09433 
399E-9 1.61231 0.0933 
400E-9 1.61106 0.09226 
401E-9 1.60964 0.09122 
402E-9 1.60812 0.09022 
