lambda n k
300E-9 1.63425 0.19317 
301E-9 1.64087 0.20022 
302E-9 1.64719 0.2065 
303E-9 1.65332 0.21223 
304E-9 1.65912 0.21709 
305E-9 1.66435 0.22042 
306E-9 1.66924 0.22285 
307E-9 1.67339 0.22332 
308E-9 1.67694 0.22229 
309E-9 1.68007 0.22026 
310E-9 1.68225 0.21661 
311E-9 1.68405 0.21264 
312E-9 1.68533 0.20824 
313E-9 1.68591 0.20389 
314E-9 1.68615 0.19975 
315E-9 1.68575 0.19627 
316E-9 1.6849 0.1936 
317E-9 1.68376 0.19143 
318E-9 1.68219 0.19031 
319E-9 1.68056 0.18955 
320E-9 1.67883 0.18925 
321E-9 1.6772 0.18945 
322E-9 1.67569 0.18982 
323E-9 1.67445 0.19045 
324E-9 1.67358 0.19118 
325E-9 1.67295 0.19197 
326E-9 1.6728 0.19284 
327E-9 1.67286 0.19373 
328E-9 1.67313 0.19465 
329E-9 1.6737 0.19559 
330E-9 1.67437 0.19653 
331E-9 1.67521 0.19746 
332E-9 1.67615 0.19837 
333E-9 1.67715 0.19926 
334E-9 1.67824 0.20008 
335E-9 1.67938 0.20082 
336E-9 1.68058 0.20149 
337E-9 1.68187 0.20196 
338E-9 1.68322 0.20233 
339E-9 1.68464 0.20251 
340E-9 1.68615 0.20246 
341E-9 1.68771 0.20226 
342E-9 1.68938 0.20173 
343E-9 1.69108 0.20103 
344E-9 1.6928 0.20018 
345E-9 1.69442 0.19919 
346E-9 1.69594 0.19818 
347E-9 1.6973 0.19717 
348E-9 1.69835 0.19627 
349E-9 1.69923 0.19545 
350E-9 1.69966 0.19486 
351E-9 1.69973 0.1945 
352E-9 1.69951 0.19432 
353E-9 1.69859 0.19457 
354E-9 1.69739 0.19494 
355E-9 1.69575 0.19551 
356E-9 1.6936 0.19621 
357E-9 1.69117 0.19696 
358E-9 1.68823 0.19773 
359E-9 1.68491 0.19845 
360E-9 1.68134 0.19914 
361E-9 1.67717 0.19962 
362E-9 1.67277 0.19996 
363E-9 1.66802 0.20013 
364E-9 1.66294 0.20004 
365E-9 1.65773 0.19983 
366E-9 1.65239 0.19944 
367E-9 1.64707 0.19894 
368E-9 1.64178 0.19837 
369E-9 1.63673 0.19768 
370E-9 1.63191 0.19696 
371E-9 1.62734 0.19621 
372E-9 1.62336 0.19545 
373E-9 1.6197 0.1947 
374E-9 1.61668 0.19399 
375E-9 1.61421 0.19329 
376E-9 1.61207 0.19261 
377E-9 1.61056 0.19192 
378E-9 1.6093 0.19122 
379E-9 1.60833 0.19049 
380E-9 1.60771 0.18971 
381E-9 1.60721 0.18889 
382E-9 1.60689 0.188 
383E-9 1.60667 0.18702 
384E-9 1.6065 0.18599 
385E-9 1.60633 0.18481 
386E-9 1.60613 0.18355 
387E-9 1.6059 0.18221 
388E-9 1.60561 0.1807 
389E-9 1.6053 0.17912 
390E-9 1.60496 0.17741 
391E-9 1.60458 0.17557 
392E-9 1.60419 0.17366 
393E-9 1.60377 0.17158 
