lambda n k
300E-9 1.63425 0.19052 
301E-9 1.64087 0.19686 
302E-9 1.64719 0.20246 
303E-9 1.65332 0.20753 
304E-9 1.65912 0.21178 
305E-9 1.66435 0.21456 
306E-9 1.66924 0.21649 
307E-9 1.67339 0.21654 
308E-9 1.67694 0.21518 
309E-9 1.68007 0.21286 
310E-9 1.68225 0.209 
311E-9 1.68405 0.20486 
312E-9 1.68533 0.2003 
313E-9 1.68591 0.19582 
314E-9 1.68615 0.19155 
315E-9 1.68575 0.18793 
316E-9 1.6849 0.18509 
317E-9 1.68376 0.18275 
318E-9 1.68219 0.18139 
319E-9 1.68056 0.18037 
320E-9 1.67883 0.17976 
321E-9 1.6772 0.17957 
322E-9 1.67569 0.17952 
323E-9 1.67445 0.17965 
324E-9 1.67358 0.17981 
325E-9 1.67295 0.17997 
326E-9 1.6728 0.18012 
327E-9 1.67286 0.18025 
328E-9 1.67313 0.18035 
329E-9 1.6737 0.18039 
330E-9 1.67437 0.1804 
331E-9 1.67521 0.18036 
332E-9 1.67615 0.18024 
333E-9 1.67715 0.18007 
334E-9 1.67824 0.17977 
335E-9 1.67938 0.17934 
336E-9 1.68058 0.1788 
337E-9 1.68187 0.17797 
338E-9 1.68322 0.17697 
339E-9 1.68464 0.17571 
340E-9 1.68615 0.17411 
341E-9 1.68771 0.1723 
342E-9 1.68938 0.17003 
343E-9 1.69108 0.16748 
344E-9 1.6928 0.16469 
345E-9 1.69442 0.16147 
346E-9 1.69594 0.1581 
347E-9 1.6973 0.15449 
348E-9 1.69835 0.15065 
349E-9 1.69923 0.1467 
350E-9 1.69966 0.14256 
351E-9 1.69973 0.1383 
352E-9 1.69951 0.13398 
353E-9 1.69859 0.12955 
354E-9 1.69739 0.12515 
355E-9 1.69575 0.12077 
356E-9 1.6936 0.11655 
357E-9 1.69117 0.11242 
358E-9 1.68823 0.10856 
359E-9 1.68491 0.10498 
360E-9 1.68134 0.10158 
361E-9 1.67717 0.09876 
362E-9 1.67277 0.09622 
363E-9 1.66802 0.0941 
364E-9 1.66294 0.09254 
365E-9 1.65773 0.09124 
366E-9 1.65239 0.09043 
367E-9 1.64707 0.08995 
368E-9 1.64178 0.0897 
369E-9 1.63673 0.0899 
370E-9 1.63191 0.09029 
371E-9 1.62734 0.09091 
372E-9 1.62336 0.09182 
373E-9 1.6197 0.09286 
374E-9 1.61668 0.0941 
375E-9 1.61421 0.09546 
376E-9 1.61207 0.0969 
377E-9 1.61056 0.09842 
378E-9 1.6093 0.09994 
379E-9 1.60833 0.10145 
380E-9 1.60771 0.10288 
381E-9 1.60721 0.10425 
382E-9 1.60689 0.10549 
383E-9 1.60667 0.10656 
384E-9 1.6065 0.10751 
385E-9 1.60633 0.10816 
386E-9 1.60613 0.10863 
387E-9 1.6059 0.10893 
388E-9 1.60561 0.10894 
389E-9 1.6053 0.10884 
390E-9 1.60496 0.10857 
391E-9 1.60458 0.10816 
392E-9 1.60419 0.10768 
393E-9 1.60377 0.10706 
394E-9 1.60334 0.10639 
395E-9 1.6029 0.10568 
396E-9 1.60244 0.10492 
397E-9 1.60198 0.10415 
398E-9 1.60152 0.10338 
399E-9 1.60105 0.10262 
400E-9 1.60058 0.10187 
401E-9 1.6001 0.10113 
402E-9 1.59961 0.10041 
403E-9 1.59911 0.09969 
404E-9 1.59859 0.09899 
405E-9 1.59805 0.0983 
