lambda n k
300E-9 1.59612 0.19968 
301E-9 1.59554 0.20032 
302E-9 1.59458 0.20077 
303E-9 1.59353 0.20128 
304E-9 1.59232 0.20188 
305E-9 1.59107 0.20287 
306E-9 1.58978 0.20403 
307E-9 1.58836 0.20545 
308E-9 1.58668 0.20674 
309E-9 1.58482 0.20794 
310E-9 1.58264 0.20884 
311E-9 1.58071 0.20996 
312E-9 1.57915 0.21138 
313E-9 1.57877 0.21385 
314E-9 1.57881 0.21673 
315E-9 1.57936 0.22028 
316E-9 1.57937 0.22378 
317E-9 1.57902 0.22722 
318E-9 1.5774 0.23034 
319E-9 1.57596 0.23386 
320E-9 1.57475 0.23787 
321E-9 1.57551 0.24364 
322E-9 1.57738 0.25015 
323E-9 1.58147 0.25788 
324E-9 1.58741 0.26561 
325E-9 1.59445 0.27322 
326E-9 1.60368 0.27909 
327E-9 1.61366 0.2823 
328E-9 1.62443 0.28262 
329E-9 1.63583 0.27456 
330E-9 1.64723 0.26261 
331E-9 1.65848 0.24387 
332E-9 1.66812 0.22414 
333E-9 1.67654 0.20473 
334E-9 1.68053 0.19166 
335E-9 1.68175 0.18363 
336E-9 1.6803 0.18043 
337E-9 1.6768 0.18159 
338E-9 1.67348 0.18294 
339E-9 1.67094 0.18388 
340E-9 1.67 0.1828 
341E-9 1.66975 0.1808 
342E-9 1.67003 0.17771 
343E-9 1.66979 0.1748 
344E-9 1.6691 0.17204 
345E-9 1.66708 0.17026 
346E-9 1.66479 0.1688 
347E-9 1.66214 0.16784 
348E-9 1.65973 0.16725 
349E-9 1.65751 0.16681 
350E-9 1.65588 0.16654 
351E-9 1.65446 0.16625 
352E-9 1.65322 0.16595 
353E-9 1.65204 0.16537 
354E-9 1.65081 0.16466 
355E-9 1.64951 0.16375 
356E-9 1.64818 0.16285 
357E-9 1.64687 0.16203 
358E-9 1.64562 0.16152 
359E-9 1.64448 0.1614 
360E-9 1.64342 0.16154 
361E-9 1.64253 0.16206 
362E-9 1.64172 0.16259 
363E-9 1.64099 0.16313 
364E-9 1.64038 0.16341 
365E-9 1.63981 0.16353 
366E-9 1.63929 0.16331 
367E-9 1.63877 0.16284 
368E-9 1.63825 0.16222 
369E-9 1.63763 0.16126 
370E-9 1.63695 0.1602 
371E-9 1.63617 0.15901 
372E-9 1.63522 0.15788 
373E-9 1.63417 0.15685 
374E-9 1.63294 0.15612 
375E-9 1.63151 0.15582 
376E-9 1.62997 0.15578 
377E-9 1.62828 0.15629 
378E-9 1.62664 0.15692 
379E-9 1.62505 0.15767 
380E-9 1.62375 0.15837 
381E-9 1.62263 0.15897 
382E-9 1.62187 0.15934 
383E-9 1.62144 0.15955 
384E-9 1.62119 0.1597 
385E-9 1.62126 0.1598 
386E-9 1.62147 0.15996 
387E-9 1.6218 0.16019 
388E-9 1.62228 0.16057 
389E-9 1.62281 0.16094 
390E-9 1.62341 0.16127 
391E-9 1.62403 0.16136 
392E-9 1.62466 0.16127 
393E-9 1.62528 0.16068 
394E-9 1.62585 0.15972 
395E-9 1.62639 0.15846 
396E-9 1.62683 0.1568 
397E-9 1.62721 0.15506 
398E-9 1.6275 0.15323 
399E-9 1.62766 0.15148 
400E-9 1.62774 0.1498 
401E-9 1.62766 0.14831 
402E-9 1.62747 0.1469 
403E-9 1.62721 0.14554 
404E-9 1.62679 0.14417 
405E-9 1.62631 0.14276 
406E-9 1.62574 0.14126 
407E-9 1.62507 0.13959 
408E-9 1.62435 0.13786 
409E-9 1.62351 0.136 
410E-9 1.62259 0.13412 
411E-9 1.6216 0.13222 
412E-9 1.62046 0.13037 
413E-9 1.61924 0.12857 
414E-9 1.61792 0.12685 
415E-9 1.61647 0.12524 
416E-9 1.61496 0.12367 
417E-9 1.61335 0.12218 
418E-9 1.61166 0.12074 
419E-9 1.60993 0.11932 
420E-9 1.60812 0.11794 
421E-9 1.60627 0.11658 
422E-9 1.60438 0.11523 
423E-9 1.60243 0.11393 
424E-9 1.60046 0.11267 
425E-9 1.59843 0.11147 
426E-9 1.59636 0.11036 
427E-9 1.59426 0.10929 
428E-9 1.59211 0.10837 
429E-9 1.58993 0.1075 
430E-9 1.58772 0.1067 
431E-9 1.58547 0.10596 
432E-9 1.58321 0.10523 
433E-9 1.58093 0.10451 
434E-9 1.57864 0.10376 
435E-9 1.57634 0.103 
436E-9 1.57403 0.10217 
437E-9 1.57172 0.10131 
438E-9 1.56939 0.10044 
439E-9 1.56703 0.09959 
440E-9 1.56466 0.09877 
441E-9 1.56225 0.098 
442E-9 1.55979 0.09733 
443E-9 1.55731 0.09671 
444E-9 1.55476 0.09626 
445E-9 1.55217 0.09589 
446E-9 1.54955 0.09559 
447E-9 1.54687 0.0954 
448E-9 1.54418 0.09525 
449E-9 1.54145 0.09516 
450E-9 1.53871 0.09511 
451E-9 1.53594 0.09508 
452E-9 1.53317 0.09506 
453E-9 1.53039 0.09506 
454E-9 1.52761 0.09507 
455E-9 1.52486 0.09511 
456E-9 1.52213 0.09516 
457E-9 1.51944 0.09524 
458E-9 1.51681 0.09536 
459E-9 1.51422 0.09549 
460E-9 1.51171 0.09568 
461E-9 1.50926 0.09589 
462E-9 1.50684 0.09613 
463E-9 1.50445 0.09642 
464E-9 1.50204 0.09673 
465E-9 1.49962 0.09706 
466E-9 1.49713 0.09742 
467E-9 1.49459 0.09779 
468E-9 1.49194 0.09818 
469E-9 1.48917 0.09859 
470E-9 1.48634 0.099 
471E-9 1.48338 0.09944 
472E-9 1.48038 0.09989 
473E-9 1.47734 0.10034 
474E-9 1.47429 0.10082 
475E-9 1.47125 0.1013 
476E-9 1.46825 0.10181 
477E-9 1.46531 0.10232 
478E-9 1.46241 0.10284 
479E-9 1.45962 0.10339 
480E-9 1.45687 0.10394 
481E-9 1.45415 0.10451 
482E-9 1.45142 0.10511 
483E-9 1.44867 0.10572 
484E-9 1.44587 0.10635 
485E-9 1.44298 0.10701 
486E-9 1.44003 0.10769 
487E-9 1.4369 0.10841 
488E-9 1.43366 0.10915 
489E-9 1.43031 0.10991 
490E-9 1.4268 0.11074 
491E-9 1.42323 0.1116 
492E-9 1.41957 0.11252 
493E-9 1.41584 0.11351 
494E-9 1.41208 0.11454 
495E-9 1.40829 0.11568 
496E-9 1.40449 0.11687 
497E-9 1.40069 0.11813 
498E-9 1.39692 0.11952 
499E-9 1.39317 0.12096 
500E-9 1.38943 0.12249 
501E-9 1.3857 0.12412 
502E-9 1.38197 0.12579 
503E-9 1.37824 0.12756 
504E-9 1.37451 0.12938 
505E-9 1.37077 0.13126 
506E-9 1.367 0.13323 
507E-9 1.36323 0.13524 
508E-9 1.35943 0.13731 
509E-9 1.35559 0.13946 
510E-9 1.35174 0.14164 
511E-9 1.34784 0.14392 
512E-9 1.34392 0.14628 
513E-9 1.33997 0.14869 
514E-9 1.33598 0.15124 
515E-9 1.33196 0.15385 
516E-9 1.3279 0.15656 
517E-9 1.3238 0.1594 
518E-9 1.31968 0.16232 
519E-9 1.31551 0.16538 
520E-9 1.31131 0.16856 
521E-9 1.30709 0.17181 
522E-9 1.30284 0.17521 
523E-9 1.29857 0.17869 
524E-9 1.29428 0.18225 
525E-9 1.28999 0.18592 
526E-9 1.28569 0.18966 
527E-9 1.28138 0.19348 
528E-9 1.27708 0.19739 
529E-9 1.27278 0.20134 
530E-9 1.2685 0.20539 
531E-9 1.26422 0.20949 
532E-9 1.25996 0.21366 
533E-9 1.25571 0.21796 
534E-9 1.25146 0.22232 
535E-9 1.24724 0.2268 
536E-9 1.24303 0.23143 
537E-9 1.23883 0.23613 
538E-9 1.23465 0.24103 
539E-9 1.23049 0.24606 
540E-9 1.22635 0.2512 
541E-9 1.22224 0.25659 
542E-9 1.21815 0.2621 
543E-9 1.21409 0.26779 
544E-9 1.21008 0.27369 
545E-9 1.2061 0.27972 
546E-9 1.20219 0.28599 
547E-9 1.19834 0.29242 
548E-9 1.19454 0.29899 
549E-9 1.19086 0.30584 
550E-9 1.18723 0.31281 
551E-9 1.18369 0.31997 
552E-9 1.18028 0.32736 
553E-9 1.17693 0.33487 
554E-9 1.17374 0.34262 
555E-9 1.17066 0.35053 
556E-9 1.16766 0.35855 
557E-9 1.16489 0.36681 
558E-9 1.16223 0.37516 
559E-9 1.1597 0.38363 
560E-9 1.1574 0.39224 
561E-9 1.15521 0.40092 
562E-9 1.15323 0.40972 
563E-9 1.15145 0.41858 
564E-9 1.14978 0.42749 
565E-9 1.14842 0.43647 
566E-9 1.14719 0.44547 
567E-9 1.14614 0.4545 
568E-9 1.14535 0.46355 
569E-9 1.14467 0.4726 
570E-9 1.14418 0.48164 
571E-9 1.14385 0.49066 
572E-9 1.14361 0.49966 
573E-9 1.14356 0.50862 
574E-9 1.14358 0.51755 
575E-9 1.14369 0.52643 
576E-9 1.14392 0.53524 
577E-9 1.14419 0.54402 
578E-9 1.14454 0.55272 
579E-9 1.14493 0.56134 
580E-9 1.14535 0.56991 
581E-9 1.14582 0.57841 
582E-9 1.14631 0.58689 
583E-9 1.14683 0.59536 
584E-9 1.1474 0.60388 
585E-9 1.148 0.61245 
586E-9 1.14864 0.6211 
587E-9 1.14934 0.6299 
588E-9 1.15007 0.63879 
589E-9 1.15088 0.64789 
590E-9 1.15174 0.65718 
591E-9 1.15265 0.6666 
592E-9 1.15367 0.67639 
593E-9 1.15475 0.68635 
594E-9 1.15591 0.69656 
595E-9 1.15722 0.70713 
596E-9 1.15863 0.71787 
597E-9 1.16027 0.72892 
598E-9 1.16215 0.74021 
599E-9 1.16418 0.75164 
600E-9 1.16668 0.76339 
601E-9 1.16942 0.77527 
602E-9 1.17246 0.78731 
603E-9 1.17604 0.79956 
604E-9 1.17989 0.8119 
605E-9 1.18424 0.82438 
606E-9 1.18909 0.83697 
607E-9 1.19424 0.84962 
608E-9 1.20011 0.86238 
609E-9 1.20638 0.87516 
610E-9 1.21306 0.88798 
611E-9 1.22046 0.90071 
612E-9 1.22817 0.91337 
613E-9 1.2364 0.92587 
614E-9 1.24516 0.93812 
615E-9 1.25421 0.95021 
616E-9 1.26387 0.9619 
617E-9 1.27388 0.97328 
618E-9 1.28419 0.98441 
619E-9 1.29511 0.99492 
620E-9 1.30627 1.00513 
621E-9 1.31782 1.01489 
622E-9 1.32981 1.02402 
623E-9 1.34203 1.03282 
624E-9 1.35471 1.04092 
625E-9 1.36766 1.0485 
626E-9 1.38081 1.05573 
627E-9 1.39427 1.06212 
628E-9 1.40779 1.06818 
629E-9 1.42141 1.07378 
630E-9 1.43502 1.07875 
631E-9 1.44861 1.08342 
632E-9 1.4621 1.08754 
633E-9 1.47542 1.0912 
634E-9 1.48864 1.09458 
635E-9 1.50151 1.09732 
636E-9 1.51417 1.09976 
637E-9 1.52658 1.10184 
638E-9 1.53848 1.10337 
639E-9 1.55013 1.10463 
640E-9 1.56131 1.10544 
641E-9 1.57198 1.10584 
642E-9 1.58236 1.10601 
643E-9 1.59211 1.10581 
644E-9 1.60151 1.10549 
645E-9 1.61059 1.10505 
646E-9 1.61907 1.10456 
647E-9 1.62729 1.10411 
648E-9 1.63511 1.10374 
649E-9 1.64247 1.10358 
650E-9 1.64959 1.10355 
651E-9 1.65622 1.10389 
652E-9 1.66253 1.10458 
653E-9 1.66859 1.1055 
654E-9 1.67411 1.10715 
655E-9 1.6794 1.10916 
656E-9 1.68437 1.11168 
657E-9 1.68892 1.11502 
658E-9 1.69327 1.1188 
659E-9 1.69728 1.1234 
660E-9 1.7012 1.12867 
661E-9 1.70507 1.13435 
662E-9 1.70908 1.14096 
663E-9 1.71329 1.14798 
664E-9 1.71774 1.15549 
665E-9 1.72279 1.16372 
666E-9 1.72821 1.17228 
667E-9 1.73431 1.18137 
668E-9 1.74124 1.19095 
669E-9 1.74869 1.2008 
670E-9 1.75738 1.21119 
671E-9 1.76691 1.22186 
672E-9 1.77721 1.23278 
673E-9 1.78916 1.24414 
674E-9 1.8019 1.25566 
675E-9 1.81589 1.26745 
676E-9 1.83143 1.27946 
677E-9 1.84779 1.29156 
678E-9 1.86574 1.30369 
679E-9 1.88468 1.31563 
680E-9 1.90432 1.32743 
681E-9 1.92543 1.33858 
682E-9 1.94707 1.34934 
683E-9 1.96947 1.35954 
684E-9 1.99277 1.36874 
685E-9 2.01649 1.37739 
686E-9 2.04093 1.38494 
687E-9 2.0659 1.39141 
688E-9 2.09119 1.39718 
689E-9 2.11714 1.40123 
690E-9 2.14337 1.4043 
691E-9 2.16992 1.40632 
692E-9 2.19693 1.40639 
693E-9 2.22415 1.40552 
694E-9 2.25171 1.40303 
695E-9 2.27957 1.39878 
696E-9 2.3076 1.39352 
697E-9 2.33587 1.38623 
698E-9 2.36419 1.37777 
699E-9 2.39252 1.36835 
700E-9 2.42071 1.35711 
701E-9 2.44876 1.34514 
702E-9 2.47659 1.33209 
703E-9 2.50398 1.31781 
704E-9 2.5311 1.30292 
705E-9 2.55764 1.28688 
706E-9 2.58361 1.27003 
707E-9 2.60919 1.25264 
708E-9 2.63372 1.23406 
709E-9 2.65769 1.21497 
710E-9 2.68097 1.19524 
711E-9 2.70303 1.17458 
712E-9 2.72447 1.15346 
713E-9 2.74476 1.13158 
714E-9 2.76388 1.10899 
715E-9 2.78226 1.08598 
716E-9 2.79899 1.06205 
717E-9 2.81478 1.03766 
718E-9 2.8297 1.01283 
719E-9 2.84301 0.98733 
720E-9 2.85563 0.96158 
721E-9 2.86718 0.93546 
722E-9 2.87754 0.90903 
723E-9 2.88724 0.88246 
724E-9 2.89569 0.85567 
725E-9 2.90326 0.82883 
726E-9 2.91021 0.80194 
727E-9 2.91571 0.77509 
728E-9 2.92059 0.74832 
729E-9 2.92463 0.72166 
730E-9 2.92746 0.69527 
731E-9 2.92968 0.66905 
732E-9 2.93082 0.64318 
733E-9 2.93096 0.61771 
734E-9 2.93049 0.59251 
735E-9 2.92863 0.56798 
736E-9 2.926 0.54388 
737E-9 2.9226 0.52022 
738E-9 2.91778 0.49744 
739E-9 2.91235 0.47504 
740E-9 2.90597 0.45327 
741E-9 2.89862 0.43217 
742E-9 2.89075 0.41143 
743E-9 2.8819 0.39142 
744E-9 2.87245 0.37189 
745E-9 2.86257 0.35272 
746E-9 2.85179 0.33437 
747E-9 2.84068 0.31637 
748E-9 2.82912 0.29885 
749E-9 2.81703 0.28201 
750E-9 2.8047 0.26552 
751E-9 2.79199 0.24966 
752E-9 2.77902 0.23435 
753E-9 2.76591 0.2194 
754E-9 2.75257 0.20524 
755E-9 2.73917 0.19152 
756E-9 2.72571 0.17825 
757E-9 2.71227 0.16581 
758E-9 2.69889 0.15376 
759E-9 2.68561 0.14234 
760E-9 2.67254 0.13165 
761E-9 2.6596 0.12136 
762E-9 2.64693 0.11188 
763E-9 2.63445 0.10293 
764E-9 2.6221 0.09435 
765E-9 2.61006 0.08664 
766E-9 2.59816 0.07927 
767E-9 2.58643 0.07237 
768E-9 2.57495 0.0661 
769E-9 2.5636 0.06014 
770E-9 2.55248 0.05471 
771E-9 2.54155 0.04971 
772E-9 2.53076 0.04499 
773E-9 2.52023 0.04081 
774E-9 2.50986 0.03691 
775E-9 2.49964 0.03328 
776E-9 2.4897 0.03011 
777E-9 2.47988 0.02713 
778E-9 2.47027 0.02443 
779E-9 2.46089 0.02203 
780E-9 2.45165 0.01977 
781E-9 2.44266 0.01779 
782E-9 2.43387 0.01597 
783E-9 2.42521 0.01426 
784E-9 2.41686 0.01276 
785E-9 2.40866 0.01135 
786E-9 2.40064 0.01003 
787E-9 2.39288 0.00885 
788E-9 2.38526 0.00774 
789E-9 2.37785 0.00673 
790E-9 2.37064 0.00583 
791E-9 2.36356 0.00498 
792E-9 2.35671 0.00425 
793E-9 2.35001 0.00359 
794E-9 2.34343 0.00298 
795E-9 2.3371 0.00247 
796E-9 2.33087 0.00201 
797E-9 2.32478 0.00161 
798E-9 2.31888 0.00128 
799E-9 2.31307 9.80375E-4 
800E-9 2.30744 7.43651E-4 
