lambda n k
300E-9 2.2813 0.00187 
301E-9 2.2772 0.018603 
302E-9 2.2726 0.018079 
303E-9 2.2677 0.012044 
304E-9 2.2625 0.015326 
305E-9 2.2579 0.008774 
306E-9 2.2539 0.0072714 
307E-9 2.2475 0.0096037 
308E-9 2.2415 0.0068349 
309E-9 2.2361 0.016937 
310E-9 2.2313 0.020463 
311E-9 2.2263 0.024543 
312E-9 2.2198 0.027014 
313E-9 2.2134 0.022376 
314E-9 2.2071 0.02211 
315E-9 2.2033 0.024245 
316E-9 2.1991 0.024293 
317E-9 2.1943 0.029667 
318E-9 2.189 0.028785 
319E-9 2.1836 0.026074 
320E-9 2.178 0.027697 
321E-9 2.1735 0.027027 
322E-9 2.1694 0.025978 
323E-9 2.1626 0.025679 
324E-9 2.1567 0.021698 
325E-9 2.1521 0.019034 
326E-9 2.1471 0.02045 
327E-9 2.1419 0.020627 
328E-9 2.1357 0.022622 
329E-9 2.1306 0.023577 
330E-9 2.1262 0.022893 
331E-9 2.1228 0.022661 
332E-9 2.1181 0.020708 
333E-9 2.1117 0.020224 
334E-9 2.1074 0.020013 
335E-9 2.1034 0.019556 
336E-9 2.0996 0.02072 
337E-9 2.0958 0.021017 
338E-9 2.0919 0.019538 
339E-9 2.0886 0.019201 
340E-9 2.0856 0.018182 
341E-9 2.0828 0.017667 
342E-9 2.08 0.018114 
343E-9 2.0766 0.017231 
344E-9 2.0718 0.016527 
345E-9 2.067 0.017471 
346E-9 2.0623 0.016735 
347E-9 2.0576 0.016918 
348E-9 2.0533 0.016522 
349E-9 2.0496 0.015512 
350E-9 2.0479 0.015817 
351E-9 2.0447 0.01492 
352E-9 2.0381 0.014959 
353E-9 2.0359 0.014533 
354E-9 2.0349 0.013847 
355E-9 2.0314 0.013409 
356E-9 2.028 0.012806 
357E-9 2.0246 0.012533 
358E-9 2.0224 0.012349 
359E-9 2.0195 0.012155 
360E-9 2.0154 0.011969 
361E-9 2.0119 0.012039 
362E-9 2.0091 0.011581 
363E-9 2.0086 0.011391 
364E-9 2.0052 0.010411 
365E-9 1.9994 0.0099474 
366E-9 1.9968 0.0097086 
367E-9 1.9946 0.0092788 
368E-9 1.9932 0.009074 
369E-9 1.9897 0.0082 
370E-9 1.9864 0.0078682 
371E-9 1.986 0.0077123 
372E-9 1.9843 0.0077311 
373E-9 1.9817 0.0077597 
374E-9 1.9806 0.0075086 
375E-9 1.9791 0.0070569 
376E-9 1.9768 0.0070063 
377E-9 1.9748 0.006755 
378E-9 1.973 0.0065038 
379E-9 1.9712 0.0065226 
380E-9 1.9691 0.00627 
381E-9 1.9669 0.0057477 
382E-9 1.9645 0.00575 
383E-9 1.9635 0.005218 
384E-9 1.9644 0.00523 
385E-9 1.9614 0.00481 
386E-9 1.9587 0.0047046 
387E-9 1.9599 0.00472 
388E-9 1.9591 0.00445 
389E-9 1.9572 0.0041482 
390E-9 1.9562 0.00391 
391E-9 1.9551 0.00364 
392E-9 1.954 0.0031476 
393E-9 1.9508 0.0031 
394E-9 1.9477 0.00295 
395E-9 1.9463 0.0026982 
396E-9 1.946 0.00284 
397E-9 1.9462 0.0027732 
398E-9 1.9439 0.00257 
399E-9 1.9431 0.00229 
400E-9 1.9438 0.00229 
401E-9 1.9428 0.00201 
402E-9 1.9418 0.00202 
403E-9 1.9412 0.00231 
404E-9 1.9415 0.00232 
405E-9 1.9419 0.00232 
406E-9 1.9392 0.0022276 
407E-9 1.9376 0.0023326 
408E-9 1.9369 0.00205 
409E-9 1.9356 0.00205 
410E-9 1.9347 0.0017688 
411E-9 1.9349 0.00177 
412E-9 1.9337 0.00148 
413E-9 1.9324 0.0012743 
414E-9 1.9334 0.00148 
415E-9 1.9332 0.00149 
416E-9 1.932 0.00179 
417E-9 1.9321 0.0016962 
418E-9 1.9323 0.0015 
419E-9 1.9324 0.0012 
420E-9 1.9317 0.0012006 
421E-9 1.9309 0.00121 
422E-9 1.9318 0.00121 
423E-9 1.9312 0.00152 
424E-9 1.9295 0.00152 
425E-9 1.9306 0.00122 
426E-9 1.931 0.00122 
427E-9 1.9299 0.0012249 
428E-9 1.9301 0.00123 
429E-9 1.93 0.00123 
430E-9 1.9258 0.0011517 
431E-9 1.9256 0.00092697 
432E-9 1.9285 0.00095649 
433E-9 1.9274 0.00093127 
434E-9 1.9255 0.00124 
435E-9 1.9228 0.00125 
436E-9 1.9251 0.00125 
437E-9 1.928 0.00125 
438E-9 1.9281 0.00126 
439E-9 1.9265 0.00126 
440E-9 1.9236 0.00126 
441E-9 1.9263 0.0014432 
442E-9 1.9283 0.0015838 
443E-9 1.929 0.0014865 
444E-9 1.9279 0.0015147 
445E-9 1.9269 0.0015918 
446E-9 1.9281 0.0016 
447E-9 1.9296 0.0016188 
448E-9 1.931 0.00193 
449E-9 1.929 0.00193 
450E-9 1.9292 0.0019385 
451E-9 1.9323 0.00194 
452E-9 1.9311 0.00194 
453E-9 1.9296 0.0020535 
454E-9 1.9295 0.00195 
455E-9 1.9311 0.00196 
456E-9 1.9334 0.00196 
457E-9 1.9312 0.0021206 
458E-9 1.9293 0.0023 
459E-9 1.9278 0.0024165 
460E-9 1.928 0.00264 
461E-9 1.9286 0.0026426 
462E-9 1.9296 0.00298 
463E-9 1.9307 0.00299 
464E-9 1.9317 0.0029912 
465E-9 1.9309 0.003 
466E-9 1.9292 0.00301 
467E-9 1.9266 0.00301 
468E-9 1.9274 0.0033591 
469E-9 1.9286 0.00366 
470E-9 1.9295 0.0037082 
471E-9 1.9299 0.0033779 
472E-9 1.9298 0.00338 
473E-9 1.9275 0.00339 
474E-9 1.9257 0.0034 
475E-9 1.9246 0.0034064 
476E-9 1.9263 0.00375 
477E-9 1.9262 0.00376 
478E-9 1.9214 0.00377 
479E-9 1.9198 0.00412 
480E-9 1.9188 0.00413 
481E-9 1.9146 0.00428 
482E-9 1.9122 0.00449 
483E-9 1.9115 0.0045 
484E-9 1.9122 0.00451 
485E-9 1.9117 0.0046229 
486E-9 1.909 0.00453 
487E-9 1.9058 0.00489 
488E-9 1.9026 0.00455 
489E-9 1.8999 0.0046236 
490E-9 1.8991 0.00492 
491E-9 1.8996 0.00493 
492E-9 1.8989 0.00494 
493E-9 1.8971 0.00495 
494E-9 1.8935 0.0053109 
495E-9 1.8912 0.0053206 
496E-9 1.8894 0.0053303 
497E-9 1.8875 0.0057 
498E-9 1.8866 0.00571 
499E-9 1.8862 0.00572 
500E-9 1.8839 0.0057397 
501E-9 1.8833 0.0057497 
502E-9 1.8853 0.0060982 
503E-9 1.8833 0.00613 
504E-9 1.8807 0.00614 
505E-9 1.879 0.0061591 
506E-9 1.8778 0.0061691 
507E-9 1.8768 0.0065073 
508E-9 1.8726 0.0065591 
509E-9 1.871 0.0065691 
510E-9 1.873 0.00658 
511E-9 1.8694 0.00659 
512E-9 1.8655 0.0066088 
513E-9 1.8641 0.00662 
514E-9 1.8642 0.0069552 
515E-9 1.865 0.0070188 
516E-9 1.8641 0.0070288 
517E-9 1.8634 0.00704 
518E-9 1.8629 0.0070588 
519E-9 1.8602 0.00744 
520E-9 1.8577 0.0074591 
521E-9 1.8564 0.00747 
522E-9 1.8557 0.0074891 
523E-9 1.8553 0.00787 
524E-9 1.855 0.0078894 
525E-9 1.8533 0.0079 
526E-9 1.8502 0.00754 
527E-9 1.8492 0.0075597 
528E-9 1.8481 0.00795 
529E-9 1.8466 0.00796 
530E-9 1.8459 0.00836 
531E-9 1.8456 0.0083703 
532E-9 1.8446 0.0083906 
533E-9 1.8432 0.00841 
534E-9 1.8415 0.0084209 
535E-9 1.8412 0.00844 
536E-9 1.8407 0.0085091 
537E-9 1.8394 0.0088518 
538E-9 1.8387 0.0088718 
539E-9 1.8379 0.00889 
540E-9 1.8349 0.0089024 
541E-9 1.8335 0.00892 
