lambda n k
350E-9 2.10832 0.02051 
351E-9 2.10414 0.0202 
352E-9 2.09995 0.01989 
353E-9 2.09576 0.01958 
354E-9 2.09157 0.01927 
355E-9 2.08738 0.01896 
356E-9 2.0832 0.01864 
357E-9 2.07901 0.01833 
358E-9 2.07482 0.01799 
359E-9 2.07063 0.0176 
360E-9 2.06644 0.0172 
361E-9 2.06226 0.0168 
362E-9 2.05804 0.01641 
363E-9 2.05255 0.01601 
364E-9 2.04706 0.01562 
365E-9 2.04157 0.01522 
366E-9 2.03608 0.01482 
367E-9 2.0306 0.01443 
368E-9 2.02511 0.01403 
369E-9 2.01962 0.01363 
370E-9 2.0145 0.01326 
371E-9 2.01076 0.01289 
372E-9 2.00702 0.01252 
373E-9 2.00328 0.01214 
374E-9 1.99954 0.01177 
375E-9 1.9958 0.0114 
376E-9 1.99206 0.01103 
377E-9 1.98831 0.01066 
378E-9 1.98457 0.01029 
379E-9 1.98083 0.00992 
380E-9 1.97709 0.00954 
381E-9 1.97335 0.00917 
382E-9 1.96961 0.0088 
383E-9 1.96587 0.00854 
384E-9 1.96213 0.00832 
385E-9 1.95839 0.0081 
386E-9 1.95465 0.00788 
387E-9 1.95091 0.00767 
388E-9 1.94832 0.00745 
389E-9 1.9458 0.00723 
390E-9 1.94329 0.00702 
391E-9 1.94078 0.0068 
392E-9 1.93826 0.00658 
393E-9 1.93575 0.00637 
394E-9 1.93324 0.00615 
395E-9 1.93072 0.00593 
396E-9 1.92821 0.00571 
397E-9 1.9257 0.0055 
398E-9 1.92318 0.00528 
399E-9 1.92067 0.00509 
400E-9 1.91816 0.00498 
401E-9 1.91565 0.00487 
402E-9 1.91313 0.00476 
403E-9 1.91062 0.00466 
404E-9 1.90811 0.00455 
405E-9 1.90492 0.00444 
406E-9 1.90151 0.00434 
407E-9 1.89811 0.00423 
408E-9 1.8947 0.00412 
409E-9 1.8913 0.00402 
410E-9 1.88789 0.00391 
411E-9 1.88449 0.0038 
412E-9 1.88108 0.0037 
413E-9 1.87768 0.00359 
414E-9 1.87427 0.00348 
415E-9 1.87087 0.00338 
416E-9 1.86746 0.00327 
417E-9 1.86422 0.00316 
418E-9 1.86181 0.00306 
419E-9 1.8594 0.00295 
420E-9 1.857 0.00284 
421E-9 1.85459 0.00277 
422E-9 1.85218 0.00271 
423E-9 1.84977 0.00265 
424E-9 1.84737 0.00259 
425E-9 1.84496 0.00253 
426E-9 1.84255 0.00246 
427E-9 1.84015 0.0024 
428E-9 1.83774 0.00234 
429E-9 1.83533 0.00228 
430E-9 1.83292 0.00222 
431E-9 1.83052 0.00215 
432E-9 1.82811 0.00209 
433E-9 1.82622 0.00203 
434E-9 1.82498 0.00197 
435E-9 1.82373 0.00191 
436E-9 1.82248 0.00185 
437E-9 1.82123 0.00178 
438E-9 1.81999 0.00172 
439E-9 1.81874 0.00166 
440E-9 1.81749 0.0016 
441E-9 1.81624 0.00154 
442E-9 1.815 0.00147 
443E-9 1.81375 0.00141 
444E-9 1.8125 0.00135 
445E-9 1.81126 0.00129 
446E-9 1.81001 0.00123 
447E-9 1.80876 0.0012 
448E-9 1.80751 0.0012 
449E-9 1.80627 0.0012 
450E-9 1.8051 0.0012 
451E-9 1.80417 0.0012 
452E-9 1.80324 0.0012 
453E-9 1.80231 0.0012 
454E-9 1.80138 0.0012 
455E-9 1.80045 0.0012 
456E-9 1.79952 0.0012 
457E-9 1.79859 0.0012 
458E-9 1.79766 0.0012 
459E-9 1.79673 0.0012 
460E-9 1.7958 0.0012 
461E-9 1.79487 0.0012 
462E-9 1.79394 0.0012 
463E-9 1.793 0.0012 
464E-9 1.79207 0.0012 
465E-9 1.79114 0.0012 
466E-9 1.79021 0.0012 
467E-9 1.78928 0.0012 
468E-9 1.78835 0.0012 
469E-9 1.78742 0.0012 
470E-9 1.78649 0.00119 
471E-9 1.78556 0.00116 
472E-9 1.78463 0.00114 
473E-9 1.7837 0.00112 
474E-9 1.78277 0.00109 
475E-9 1.78184 0.00107 
476E-9 1.78091 0.00105 
477E-9 1.77998 0.00102 
478E-9 1.77905 9.99503E-4 
479E-9 1.77812 9.7596E-4 
480E-9 1.77718 9.52417E-4 
481E-9 1.77625 9.28875E-4 
482E-9 1.77532 9.05332E-4 
483E-9 1.77439 8.81789E-4 
484E-9 1.77346 8.58246E-4 
485E-9 1.7727 8.34703E-4 
486E-9 1.772 8.1116E-4 
487E-9 1.77131 7.87617E-4 
488E-9 1.77061 7.64074E-4 
489E-9 1.76991 7.40531E-4 
490E-9 1.76921 7.16988E-4 
491E-9 1.76852 6.93446E-4 
492E-9 1.76782 6.69903E-4 
493E-9 1.76712 6.4636E-4 
494E-9 1.76643 6.22817E-4 
495E-9 1.76573 5.99274E-4 
496E-9 1.76503 5.75731E-4 
497E-9 1.76434 5.52188E-4 
498E-9 1.76364 5.44328E-4 
499E-9 1.76294 5.44328E-4 
500E-9 1.76225 5.44328E-4 
501E-9 1.76155 5.44328E-4 
502E-9 1.76085 5.44328E-4 
503E-9 1.76016 5.44328E-4 
504E-9 1.75946 5.44328E-4 
505E-9 1.75876 5.44328E-4 
506E-9 1.75807 5.44328E-4 
507E-9 1.75737 5.44328E-4 
508E-9 1.75677 5.44328E-4 
509E-9 1.75657 5.44328E-4 
510E-9 1.75637 5.44328E-4 
511E-9 1.75616 5.44328E-4 
512E-9 1.75596 5.44328E-4 
513E-9 1.75576 5.44328E-4 
514E-9 1.75556 5.44328E-4 
515E-9 1.75536 5.44328E-4 
516E-9 1.75516 5.44328E-4 
517E-9 1.75496 5.44328E-4 
518E-9 1.75476 5.44328E-4 
519E-9 1.75456 5.44328E-4 
520E-9 1.75436 5.44328E-4 
521E-9 1.75415 5.44328E-4 
522E-9 1.75395 5.44328E-4 
523E-9 1.75375 5.44328E-4 
524E-9 1.75355 5.44328E-4 
525E-9 1.75335 5.44328E-4 
526E-9 1.75315 5.44328E-4 
527E-9 1.75295 5.44328E-4 
528E-9 1.75275 5.44328E-4 
529E-9 1.75255 5.44328E-4 
530E-9 1.75234 5.44328E-4 
531E-9 1.75214 5.64102E-4 
532E-9 1.75194 5.89045E-4 
533E-9 1.75174 6.13987E-4 
534E-9 1.75154 6.38929E-4 
535E-9 1.75111 6.63872E-4 
536E-9 1.75049 6.88814E-4 
537E-9 1.74987 7.13756E-4 
538E-9 1.74925 7.38699E-4 
539E-9 1.74863 7.63641E-4 
540E-9 1.74801 7.88583E-4 
541E-9 1.74739 8.13525E-4 
542E-9 1.74677 8.38468E-4 
543E-9 1.74615 8.6341E-4 
544E-9 1.74553 8.88352E-4 
545E-9 1.74491 9.13295E-4 
546E-9 1.74429 9.38237E-4 
547E-9 1.74366 9.63179E-4 
548E-9 1.74304 9.88122E-4 
549E-9 1.74242 0.00101 
550E-9 1.7418 0.00104 
551E-9 1.74118 0.00106 
552E-9 1.74047 0.00109 
553E-9 1.73949 0.00111 
554E-9 1.73851 0.00114 
555E-9 1.73754 0.00116 
556E-9 1.73656 0.00119 
557E-9 1.73559 0.00121 
558E-9 1.73461 0.00124 
559E-9 1.73363 0.00126 
560E-9 1.73266 0.00129 
561E-9 1.73168 0.00131 
562E-9 1.73071 0.00134 
563E-9 1.72973 0.00136 
564E-9 1.72875 0.00139 
565E-9 1.72778 0.00141 
566E-9 1.7268 0.00144 
567E-9 1.72583 0.00146 
568E-9 1.72485 0.00149 
569E-9 1.72387 0.00151 
570E-9 1.7229 0.00154 
571E-9 1.72192 0.00158 
572E-9 1.72095 0.00162 
573E-9 1.71997 0.00166 
574E-9 1.71915 0.0017 
575E-9 1.7187 0.00174 
576E-9 1.71824 0.00178 
577E-9 1.71779 0.00182 
578E-9 1.71733 0.00186 
579E-9 1.71688 0.0019 
580E-9 1.71642 0.00194 
581E-9 1.71597 0.00197 
582E-9 1.71551 0.00201 
583E-9 1.71505 0.00205 
584E-9 1.7146 0.00209 
585E-9 1.71414 0.00213 
586E-9 1.71369 0.00217 
587E-9 1.71323 0.00221 
588E-9 1.71278 0.00225 
589E-9 1.71232 0.00229 
590E-9 1.71186 0.00233 
591E-9 1.71141 0.00237 
592E-9 1.71095 0.00241 
593E-9 1.7105 0.00245 
594E-9 1.71004 0.00249 
595E-9 1.70959 0.00253 
596E-9 1.70913 0.00257 
597E-9 1.70868 0.00261 
598E-9 1.70824 0.00264 
599E-9 1.70781 0.00268 
600E-9 1.70739 0.00272 
601E-9 1.70696 0.00276 
602E-9 1.70653 0.0028 
603E-9 1.70611 0.00284 
604E-9 1.70568 0.00286 
605E-9 1.70525 0.00289 
606E-9 1.70482 0.00291 
607E-9 1.7044 0.00294 
608E-9 1.70397 0.00297 
609E-9 1.70354 0.00299 
610E-9 1.70312 0.00302 
611E-9 1.70269 0.00304 
612E-9 1.70226 0.00307 
613E-9 1.70183 0.0031 
614E-9 1.70141 0.00312 
615E-9 1.70098 0.00315 
616E-9 1.70055 0.00318 
617E-9 1.70012 0.0032 
618E-9 1.6997 0.00323 
619E-9 1.69927 0.00325 
620E-9 1.69884 0.00328 
621E-9 1.69842 0.00331 
622E-9 1.69799 0.00333 
623E-9 1.69748 0.00336 
624E-9 1.69694 0.00338 
625E-9 1.6964 0.00341 
626E-9 1.69586 0.00344 
627E-9 1.69532 0.00346 
628E-9 1.69478 0.00349 
629E-9 1.69424 0.00351 
630E-9 1.6937 0.00354 
631E-9 1.69316 0.00357 
632E-9 1.69261 0.00359 
633E-9 1.69207 0.00362 
634E-9 1.69153 0.00365 
635E-9 1.69099 0.00367 
636E-9 1.69045 0.0037 
637E-9 1.68991 0.00372 
638E-9 1.68937 0.00375 
639E-9 1.68883 0.00378 
640E-9 1.68829 0.0038 
641E-9 1.68775 0.00382 
642E-9 1.68721 0.00384 
643E-9 1.68675 0.00386 
644E-9 1.68648 0.00388 
645E-9 1.68622 0.0039 
646E-9 1.68596 0.00392 
647E-9 1.68569 0.00393 
648E-9 1.68543 0.00395 
649E-9 1.68516 0.00397 
650E-9 1.6849 0.00399 
