lambda n k
300E-9 2.41941 0.60782 
301E-9 2.42237 0.60019 
302E-9 2.42513 0.59247 
303E-9 2.42782 0.58471 
304E-9 2.43041 0.5769 
305E-9 2.43288 0.56903 
306E-9 2.4353 0.56113 
307E-9 2.43762 0.55317 
308E-9 2.43986 0.54518 
309E-9 2.44204 0.53716 
310E-9 2.4441 0.52912 
311E-9 2.4461 0.52108 
312E-9 2.44802 0.51302 
313E-9 2.44983 0.50497 
314E-9 2.45159 0.49693 
315E-9 2.45325 0.4889 
316E-9 2.45481 0.48089 
317E-9 2.45632 0.47289 
318E-9 2.4577 0.46494 
319E-9 2.45902 0.45702 
320E-9 2.46026 0.44913 
321E-9 2.46137 0.4413 
322E-9 2.46243 0.4335 
323E-9 2.46339 0.42577 
324E-9 2.46424 0.41809 
325E-9 2.46503 0.41045 
326E-9 2.46569 0.40291 
327E-9 2.46628 0.39542 
328E-9 2.46679 0.38799 
329E-9 2.46716 0.38066 
330E-9 2.46747 0.37339 
331E-9 2.46767 0.3662 
332E-9 2.46776 0.3591 
333E-9 2.4678 0.35205 
334E-9 2.46769 0.34511 
335E-9 2.46751 0.33824 
336E-9 2.46725 0.33143 
337E-9 2.46686 0.32473 
338E-9 2.4664 0.31808 
339E-9 2.46584 0.31152 
340E-9 2.46517 0.30505 
341E-9 2.46444 0.29862 
342E-9 2.46358 0.2923 
343E-9 2.46264 0.28605 
344E-9 2.46163 0.27986 
345E-9 2.46048 0.27378 
346E-9 2.45927 0.26775 
347E-9 2.45796 0.26179 
348E-9 2.45654 0.25593 
349E-9 2.45506 0.25012 
350E-9 2.45346 0.2444 
351E-9 2.45178 0.23876 
352E-9 2.45003 0.23316 
353E-9 2.44814 0.22768 
354E-9 2.4462 0.22224 
355E-9 2.44416 0.21688 
356E-9 2.44201 0.21161 
357E-9 2.4398 0.20638 
358E-9 2.43747 0.20125 
359E-9 2.43506 0.19619 
360E-9 2.4326 0.19117 
361E-9 2.43 0.18626 
362E-9 2.42735 0.1814 
363E-9 2.42462 0.1766 
364E-9 2.42181 0.1719 
365E-9 2.41895 0.16724 
366E-9 2.41601 0.16267 
367E-9 2.41302 0.15817 
368E-9 2.40999 0.15371 
369E-9 2.40687 0.14936 
370E-9 2.40372 0.14506 
371E-9 2.40053 0.14082 
372E-9 2.39728 0.13668 
373E-9 2.39401 0.13258 
374E-9 2.39069 0.12856 
375E-9 2.38734 0.12462 
376E-9 2.38396 0.12072 
377E-9 2.38055 0.11693 
378E-9 2.37711 0.11319 
379E-9 2.37366 0.1095 
380E-9 2.37018 0.10592 
381E-9 2.36668 0.10238 
382E-9 2.36317 0.09892 
383E-9 2.35964 0.09553 
384E-9 2.35611 0.09219 
385E-9 2.35257 0.08896 
386E-9 2.34902 0.08577 
387E-9 2.34546 0.08265 
388E-9 2.34191 0.07962 
389E-9 2.33835 0.07665 
390E-9 2.3348 0.07374 
391E-9 2.33125 0.07092 
392E-9 2.32771 0.06815 
393E-9 2.32418 0.06547 
394E-9 2.32065 0.06286 
395E-9 2.31714 0.06029 
396E-9 2.31364 0.05783 
397E-9 2.31016 0.05541 
398E-9 2.30669 0.05307 
399E-9 2.30325 0.0508 
400E-9 2.29982 0.04857 
401E-9 2.29641 0.04643 
402E-9 2.29303 0.04435 
403E-9 2.28967 0.04232 
404E-9 2.28635 0.04037 
405E-9 2.28305 0.03847 
406E-9 2.27977 0.03663 
407E-9 2.27654 0.03487 
408E-9 2.27332 0.03314 
409E-9 2.27015 0.03149 
410E-9 2.26702 0.02989 
411E-9 2.2639 0.02833 
412E-9 2.26085 0.02686 
413E-9 2.25782 0.02543 
414E-9 2.25483 0.02405 
415E-9 2.25189 0.02274 
416E-9 2.24899 0.02146 
417E-9 2.24613 0.02026 
418E-9 2.24332 0.0191 
419E-9 2.24054 0.01798 
420E-9 2.23783 0.01694 
421E-9 2.23515 0.01593 
422E-9 2.23252 0.01497 
423E-9 2.22995 0.01407 
424E-9 2.22742 0.01321 
425E-9 2.22495 0.01241 
426E-9 2.22253 0.01166 
427E-9 2.22014 0.01093 
428E-9 2.21784 0.01028 
429E-9 2.21558 0.00966 
430E-9 2.21336 0.00908 
431E-9 2.21122 0.00857 
432E-9 2.20912 0.00808 
433E-9 2.20709 0.00765 
434E-9 2.20511 0.00726 
435E-9 2.20318 0.0069 
436E-9 2.20133 0.0066 
437E-9 2.19952 0.00633 
438E-9 2.19775 0.0061 
439E-9 2.19606 0.00591 
440E-9 2.19441 0.00575 
441E-9 2.1928 0.00563 
442E-9 2.19125 0.00554 
443E-9 2.18972 0.00547 
444E-9 2.18826 0.00544 
445E-9 2.18683 0.00543 
446E-9 2.18542 0.00544 
447E-9 2.18408 0.00548 
448E-9 2.18275 0.00554 
449E-9 2.18146 0.00562 
450E-9 2.18021 0.00572 
451E-9 2.17898 0.00583 
452E-9 2.17778 0.00597 
453E-9 2.17661 0.00611 
454E-9 2.17546 0.00627 
455E-9 2.17435 0.00644 
456E-9 2.17325 0.00663 
457E-9 2.17217 0.00682 
458E-9 2.17112 0.00702 
459E-9 2.17008 0.00722 
460E-9 2.16906 0.00743 
461E-9 2.16805 0.00765 
462E-9 2.16706 0.00787 
463E-9 2.16609 0.00809 
464E-9 2.16512 0.00832 
465E-9 2.16417 0.00854 
466E-9 2.16323 0.00876 
467E-9 2.16229 0.00898 
468E-9 2.16137 0.0092 
469E-9 2.16045 0.00942 
470E-9 2.15954 0.00963 
471E-9 2.15863 0.00983 
472E-9 2.15772 0.01003 
473E-9 2.15682 0.01022 
474E-9 2.15592 0.0104 
475E-9 2.15502 0.01058 
476E-9 2.15412 0.01074 
477E-9 2.15322 0.01089 
478E-9 2.15232 0.01104 
479E-9 2.15141 0.01117 
480E-9 2.1505 0.01129 
481E-9 2.14959 0.0114 
482E-9 2.14867 0.01148 
483E-9 2.14775 0.01156 
484E-9 2.14682 0.01162 
485E-9 2.14588 0.01167 
486E-9 2.14493 0.0117 
487E-9 2.14397 0.01171 
