lambda n k
350E-9 1.8634 0.02344 
351E-9 1.86132 0.02267 
352E-9 1.85924 0.0219 
353E-9 1.85716 0.02113 
354E-9 1.85507 0.02035 
355E-9 1.85299 0.01964 
356E-9 1.85081 0.01913 
357E-9 1.84828 0.01862 
358E-9 1.84574 0.01811 
359E-9 1.84321 0.0176 
360E-9 1.84068 0.01709 
361E-9 1.83814 0.01658 
362E-9 1.83561 0.01607 
363E-9 1.83307 0.01568 
364E-9 1.83151 0.01531 
365E-9 1.8302 0.01495 
366E-9 1.82889 0.01458 
367E-9 1.82758 0.01421 
368E-9 1.82627 0.01385 
369E-9 1.82496 0.01348 
370E-9 1.82366 0.01311 
371E-9 1.82235 0.01274 
372E-9 1.82104 0.0125 
373E-9 1.81973 0.01232 
374E-9 1.81842 0.01214 
375E-9 1.81711 0.01197 
376E-9 1.8158 0.01179 
377E-9 1.81423 0.01161 
378E-9 1.81259 0.01143 
379E-9 1.81094 0.01125 
380E-9 1.80929 0.01107 
381E-9 1.80764 0.01089 
382E-9 1.80599 0.01071 
383E-9 1.80434 0.01054 
384E-9 1.80269 0.01036 
385E-9 1.80104 0.01018 
386E-9 1.79919 0.01 
387E-9 1.79712 0.00982 
388E-9 1.79505 0.00964 
389E-9 1.79299 0.00947 
390E-9 1.79092 0.0093 
391E-9 1.78885 0.00913 
392E-9 1.78678 0.00896 
393E-9 1.78476 0.00879 
394E-9 1.78358 0.00862 
395E-9 1.78239 0.00844 
396E-9 1.7812 0.00827 
397E-9 1.78001 0.0081 
398E-9 1.77882 0.00793 
399E-9 1.77764 0.00776 
400E-9 1.77645 0.00759 
401E-9 1.77526 0.00742 
402E-9 1.77407 0.00725 
403E-9 1.77289 0.00714 
404E-9 1.7717 0.0071 
405E-9 1.77051 0.00706 
406E-9 1.76935 0.00702 
407E-9 1.76844 0.00699 
408E-9 1.76753 0.00695 
409E-9 1.76661 0.00691 
410E-9 1.7657 0.00687 
411E-9 1.76479 0.00684 
412E-9 1.76387 0.0068 
413E-9 1.76296 0.00676 
414E-9 1.76204 0.00672 
415E-9 1.76113 0.00669 
416E-9 1.76022 0.00665 
417E-9 1.7593 0.00661 
418E-9 1.75839 0.00657 
419E-9 1.75749 0.00654 
420E-9 1.75677 0.0065 
421E-9 1.75606 0.00646 
422E-9 1.75534 0.00642 
423E-9 1.75462 0.00639 
424E-9 1.7539 0.00635 
425E-9 1.75318 0.00635 
426E-9 1.75247 0.00639 
427E-9 1.75175 0.00643 
428E-9 1.75103 0.00647 
429E-9 1.75031 0.00651 
430E-9 1.74959 0.00655 
431E-9 1.74888 0.00659 
432E-9 1.74816 0.00663 
433E-9 1.74744 0.00668 
434E-9 1.74672 0.00672 
435E-9 1.746 0.00676 
436E-9 1.74529 0.0068 
437E-9 1.74458 0.00684 
438E-9 1.74386 0.00688 
439E-9 1.74315 0.00692 
440E-9 1.74244 0.00696 
441E-9 1.74172 0.007 
442E-9 1.74101 0.00704 
443E-9 1.7403 0.00708 
444E-9 1.73959 0.00712 
445E-9 1.73887 0.00716 
446E-9 1.73816 0.0072 
447E-9 1.73745 0.00724 
448E-9 1.73673 0.00728 
449E-9 1.73602 0.00732 
450E-9 1.73531 0.00736 
451E-9 1.73459 0.00739 
452E-9 1.73388 0.00743 
453E-9 1.73317 0.00747 
454E-9 1.73246 0.00751 
455E-9 1.73174 0.00755 
456E-9 1.73103 0.00759 
457E-9 1.73032 0.00762 
458E-9 1.7296 0.00766 
459E-9 1.72889 0.0077 
460E-9 1.72818 0.00774 
461E-9 1.72747 0.00778 
462E-9 1.72675 0.00782 
463E-9 1.72604 0.00785 
464E-9 1.72533 0.00789 
465E-9 1.72461 0.00793 
466E-9 1.7239 0.00797 
467E-9 1.72319 0.00802 
468E-9 1.72248 0.0081 
469E-9 1.72176 0.00817 
470E-9 1.72125 0.00825 
471E-9 1.72075 0.00833 
472E-9 1.72024 0.0084 
473E-9 1.71973 0.00848 
474E-9 1.71923 0.00856 
475E-9 1.71872 0.00863 
476E-9 1.71822 0.00871 
477E-9 1.71771 0.00879 
478E-9 1.71721 0.00886 
479E-9 1.7167 0.00894 
480E-9 1.71619 0.00901 
481E-9 1.71569 0.00909 
482E-9 1.71518 0.00917 
483E-9 1.71468 0.00924 
484E-9 1.71417 0.00933 
485E-9 1.71367 0.00941 
486E-9 1.71316 0.0095 
487E-9 1.71265 0.00958 
488E-9 1.71215 0.00967 
489E-9 1.71164 0.00975 
490E-9 1.71109 0.00984 
491E-9 1.71051 0.00992 
492E-9 1.70992 0.01001 
493E-9 1.70934 0.01009 
494E-9 1.70875 0.01018 
495E-9 1.70817 0.01026 
496E-9 1.70758 0.01035 
497E-9 1.707 0.01043 
498E-9 1.70641 0.01052 
499E-9 1.70583 0.01075 
500E-9 1.70525 0.01098 
501E-9 1.70466 0.01121 
502E-9 1.70408 0.01144 
503E-9 1.70349 0.01167 
504E-9 1.70291 0.01189 
505E-9 1.70232 0.01212 
506E-9 1.70174 0.01235 
507E-9 1.70115 0.01258 
508E-9 1.70057 0.01281 
509E-9 1.69999 0.01304 
510E-9 1.69942 0.01327 
511E-9 1.69891 0.01349 
512E-9 1.6984 0.01372 
513E-9 1.69789 0.01395 
514E-9 1.69738 0.01418 
515E-9 1.69686 0.01439 
516E-9 1.69635 0.01459 
517E-9 1.69584 0.01478 
518E-9 1.69533 0.01498 
519E-9 1.69482 0.01517 
520E-9 1.69431 0.01537 
521E-9 1.6938 0.01557 
522E-9 1.69329 0.01576 
523E-9 1.69278 0.01596 
524E-9 1.69227 0.01615 
525E-9 1.69176 0.01635 
526E-9 1.69125 0.01654 
527E-9 1.69073 0.01674 
528E-9 1.6902 0.01696 
529E-9 1.68967 0.01719 
530E-9 1.68915 0.01742 
531E-9 1.68862 0.01765 
532E-9 1.68809 0.01788 
533E-9 1.68757 0.01811 
534E-9 1.68704 0.01834 
535E-9 1.68651 0.01857 
536E-9 1.68599 0.0188 
537E-9 1.68546 0.01903 
538E-9 1.68493 0.01927 
539E-9 1.68441 0.01955 
540E-9 1.68388 0.01985 
541E-9 1.68335 0.02015 
542E-9 1.68283 0.02045 
543E-9 1.6823 0.02076 
544E-9 1.68177 0.02106 
545E-9 1.68125 0.02136 
546E-9 1.68072 0.02167 
547E-9 1.68019 0.02197 
548E-9 1.67967 0.02227 
549E-9 1.67914 0.02258 
550E-9 1.67861 0.0228 
551E-9 1.67809 0.02297 
552E-9 1.67756 0.02314 
553E-9 1.67718 0.02331 
554E-9 1.67693 0.02349 
555E-9 1.67667 0.02366 
556E-9 1.67642 0.02383 
557E-9 1.67616 0.024 
558E-9 1.67591 0.02418 
559E-9 1.67565 0.02435 
560E-9 1.67539 0.02452 
561E-9 1.67514 0.02469 
562E-9 1.67488 0.02486 
563E-9 1.67463 0.02504 
564E-9 1.67437 0.02521 
565E-9 1.67412 0.02546 
566E-9 1.67386 0.02572 
567E-9 1.67361 0.02597 
568E-9 1.67335 0.02623 
569E-9 1.6731 0.02648 
570E-9 1.67284 0.02674 
571E-9 1.67259 0.02699 
572E-9 1.67233 0.02724 
573E-9 1.67208 0.0275 
574E-9 1.67182 0.02775 
575E-9 1.67156 0.02801 
576E-9 1.67131 0.02826 
577E-9 1.67105 0.02851 
578E-9 1.6708 0.02877 
579E-9 1.67054 0.02902 
580E-9 1.67029 0.02928 
581E-9 1.67003 0.0296 
582E-9 1.66978 0.02999 
583E-9 1.66952 0.03038 
584E-9 1.66927 0.03077 
585E-9 1.66901 0.03116 
586E-9 1.66871 0.03156 
587E-9 1.66815 0.03195 
588E-9 1.66759 0.03234 
589E-9 1.66702 0.03273 
590E-9 1.66646 0.03312 
591E-9 1.6659 0.03351 
592E-9 1.66533 0.0339 
593E-9 1.66477 0.0343 
594E-9 1.66421 0.0346 
595E-9 1.66364 0.03485 
596E-9 1.66308 0.03511 
597E-9 1.66252 0.03536 
598E-9 1.66195 0.03561 
599E-9 1.66139 0.03587 
600E-9 1.66083 0.03612 
601E-9 1.66026 0.03638 
602E-9 1.6597 0.03663 
603E-9 1.65914 0.03688 
604E-9 1.65857 0.03714 
605E-9 1.65801 0.03739 
606E-9 1.65745 0.03765 
607E-9 1.65688 0.0379 
608E-9 1.65632 0.03816 
609E-9 1.65576 0.03841 
610E-9 1.65519 0.03866 
611E-9 1.6548 0.03893 
612E-9 1.65441 0.03919 
613E-9 1.65401 0.03945 
614E-9 1.65362 0.03971 
615E-9 1.65323 0.03997 
616E-9 1.65283 0.04023 
617E-9 1.65244 0.04049 
618E-9 1.65205 0.04076 
619E-9 1.65165 0.04102 
