lambda n k
300E-9 1.1 0.06995 
301E-9 1.10014 0.06946 
302E-9 1.10028 0.06873 
303E-9 1.10043 0.06775 
304E-9 1.10057 0.06749 
305E-9 1.10071 0.06699 
306E-9 1.10085 0.06599 
307E-9 1.10099 0.06572 
308E-9 1.10114 0.06569 
309E-9 1.10128 0.06516 
310E-9 1.10142 0.06488 
311E-9 1.10156 0.06484 
312E-9 1.10171 0.06455 
313E-9 1.10185 0.06401 
314E-9 1.10199 0.06397 
315E-9 1.10213 0.06367 
316E-9 1.10227 0.06312 
317E-9 1.10242 0.06307 
318E-9 1.10256 0.06326 
319E-9 1.1027 0.06346 
320E-9 1.10284 0.06341 
321E-9 1.10298 0.06361 
322E-9 1.10313 0.0638 
323E-9 1.10327 0.064 
324E-9 1.10341 0.0642 
325E-9 1.10355 0.06414 
326E-9 1.1037 0.06434 
327E-9 1.10384 0.06453 
328E-9 1.10398 0.06499 
329E-9 1.10412 0.06624 
330E-9 1.10426 0.06644 
331E-9 1.10441 0.06664 
332E-9 1.10455 0.06737 
333E-9 1.10469 0.0681 
334E-9 1.10483 0.06857 
335E-9 1.10497 0.06905 
336E-9 1.10512 0.06979 
337E-9 1.10526 0.06946 
338E-9 1.1054 0.06617 
339E-9 1.10554 0.06501 
340E-9 1.10569 0.06439 
341E-9 1.10583 0.06268 
342E-9 1.10597 0.06123 
343E-9 1.10611 0.0606 
344E-9 1.10625 0.06077 
345E-9 1.1064 0.0615 
346E-9 1.10654 0.06085 
347E-9 1.10668 0.06158 
348E-9 1.10682 0.06314 
349E-9 1.10696 0.06415 
350E-9 1.10711 0.06573 
351E-9 1.10725 0.06759 
352E-9 1.10739 0.06919 
353E-9 1.10753 0.06995 
354E-9 1.10768 0.07155 
355E-9 1.10782 0.0726 
356E-9 1.10796 0.07337 
357E-9 1.1081 0.07415 
358E-9 1.10824 0.07521 
359E-9 1.10839 0.07599 
360E-9 1.10853 0.07706 
361E-9 1.10867 0.07871 
362E-9 1.10881 0.07951 
363E-9 1.10895 0.08117 
364E-9 1.1091 0.08284 
365E-9 1.10924 0.08394 
366E-9 1.10938 0.08475 
367E-9 1.10952 0.08615 
368E-9 1.10967 0.08756 
369E-9 1.10981 0.08839 
370E-9 1.10995 0.08951 
371E-9 1.11009 0.09123 
372E-9 1.11023 0.09206 
373E-9 1.11038 0.0938 
374E-9 1.11052 0.09494 
375E-9 1.11066 0.09609 
376E-9 1.1108 0.09784 
377E-9 1.11094 0.0996 
378E-9 1.11109 0.10137 
379E-9 1.11123 0.10315 
380E-9 1.11137 0.10584 
381E-9 1.11151 0.10763 
382E-9 1.11166 0.10883 
383E-9 1.1118 0.11033 
384E-9 1.11194 0.11245 
385E-9 1.11208 0.11489 
386E-9 1.11222 0.11734 
387E-9 1.11237 0.11826 
388E-9 1.11251 0.11826 
389E-9 1.11265 0.12011 
390E-9 1.11279 0.12197 
391E-9 1.11293 0.12384 
392E-9 1.11308 0.12571 
393E-9 1.11322 0.12791 
394E-9 1.11336 0.13043 
395E-9 1.1135 0.13328 
396E-9 1.11365 0.13677 
397E-9 1.11379 0.13932 
398E-9 1.11393 0.14157 
399E-9 1.11407 0.14352 
400E-9 1.11421 0.14515 
401E-9 1.11436 0.14807 
402E-9 1.1145 0.15131 
403E-9 1.11464 0.15393 
404E-9 1.11478 0.15592 
405E-9 1.11492 0.15857 
406E-9 1.11507 0.16057 
407E-9 1.11521 0.16259 
408E-9 1.11535 0.16558 
409E-9 1.11549 0.16859 
410E-9 1.11563 0.17064 
411E-9 1.11578 0.17269 
412E-9 1.11592 0.17475 
413E-9 1.11606 0.17682 
414E-9 1.1144 0.17955 
415E-9 1.11617 0.1823 
416E-9 1.1201 0.18472 
417E-9 1.12245 0.18682 
418E-9 1.12559 0.18927 
419E-9 1.12692 0.19206 
420E-9 1.13125 0.19418 
421E-9 1.13242 0.199 
422E-9 1.135 0.20283 
423E-9 1.135 0.20904 
424E-9 1.13893 0.21358 
425E-9 1.14316 0.21747 
426E-9 1.14736 0.22171 
427E-9 1.14841 0.2263 
428E-9 1.15257 0.23024 
429E-9 1.15383 0.23419 
430E-9 1.15771 0.23816 
431E-9 1.16182 0.24214 
432E-9 1.16324 0.24614 
433E-9 1.16998 0.24912 
434E-9 1.17266 0.25177 
435E-9 1.17492 0.25512 
436E-9 1.17893 0.25918 
437E-9 1.18293 0.26325 
438E-9 1.1869 0.26734 
439E-9 1.19338 0.27144 
440E-9 1.19499 0.27626 
441E-9 1.20187 0.28321 
442E-9 1.20577 0.28877 
443E-9 1.21214 0.2933 
444E-9 1.21361 0.29856 
445E-9 1.22052 0.30383 
446E-9 1.22435 0.30878 
447E-9 1.23034 0.31409 
448E-9 1.23795 0.31907 
449E-9 1.24204 0.32443 
450E-9 1.24677 0.32802 
451E-9 1.25111 0.33162 
452E-9 1.25547 0.33739 
453E-9 1.2629 0.34354 
454E-9 1.27031 0.34972 
455E-9 1.27694 0.35592 
456E-9 1.28187 0.36469 
457E-9 1.2874 0.37167 
458E-9 1.29332 0.37831 
459E-9 1.30056 0.38572 
460E-9 1.30777 0.39278 
461E-9 1.31495 0.39657 
462E-9 1.3221 0.39228 
463E-9 1.32921 0.39313 
464E-9 1.3363 0.39915 
465E-9 1.34336 0.4063 
466E-9 1.35038 0.41756 
467E-9 1.35738 0.42737 
468E-9 1.36448 0.43424 
469E-9 1.37488 0.44152 
470E-9 1.38446 0.44807 
471E-9 1.39134 0.45577 
472E-9 1.39819 0.46312 
473E-9 1.40664 0.47088 
474E-9 1.41683 0.47791 
475E-9 1.42483 0.48572 
476E-9 1.43393 0.49432 
477E-9 1.44399 0.50295 
478E-9 1.45123 0.51199 
479E-9 1.46084 0.52069 
480E-9 1.47078 0.52827 
481E-9 1.47753 0.52592 
482E-9 1.48707 0.53085 
483E-9 1.49449 0.53849 
484E-9 1.5064 0.55462 
485E-9 1.51355 0.57468 
486E-9 1.52323 0.58283 
487E-9 1.53288 0.59061 
488E-9 1.54249 0.59882 
489E-9 1.55112 0.60588 
490E-9 1.55845 0.61297 
491E-9 1.56795 0.62008 
492E-9 1.5774 0.628 
493E-9 1.58681 0.63595 
494E-9 1.5972 0.64274 
495E-9 1.60768 0.64916 
496E-9 1.61483 0.65521 
497E-9 1.6241 0.66246 
498E-9 1.63416 0.66974 
499E-9 1.64641 0.67704 
500E-9 1.65727 0.68437 
501E-9 1.66449 0.69251 
502E-9 1.6766 0.70069 
503E-9 1.68866 0.70809 
504E-9 1.70026 0.71551 
505E-9 1.70642 0.72416 
506E-9 1.72131 0.73244 
507E-9 1.73042 0.74115 
508E-9 1.74197 0.74949 
509E-9 1.75374 0.75785 
510E-9 1.76319 0.76583 
511E-9 1.77608 0.77424 
512E-9 1.79246 0.78187 
513E-9 1.80666 0.7883 
514E-9 1.81619 0.79311 
515E-9 1.82338 0.79875 
516E-9 1.83094 0.80235 
517E-9 1.84108 0.80514 
518E-9 1.85768 0.80876 
519E-9 1.86901 0.81197 
520E-9 1.88303 0.81478 
521E-9 1.89225 0.81842 
522E-9 1.90272 0.82207 
523E-9 1.9156 0.82489 
524E-9 1.92812 0.82813 
525E-9 1.93819 0.83055 
526E-9 1.94646 0.83213 
527E-9 1.9547 0.83288 
528E-9 1.96291 0.83235 
529E-9 1.97363 0.83393 
530E-9 1.98449 0.83551 
531E-9 1.99362 0.83497 
532E-9 2.00295 0.83612 
533E-9 2.01369 0.83769 
534E-9 2.02406 0.83841 
535E-9 2.03205 0.83871 
536E-9 2.04001 0.83942 
537E-9 2.04996 0.84099 
538E-9 2.05899 0.84255 
539E-9 2.06786 0.84412 
540E-9 2.07785 0.84526 
541E-9 2.08567 0.84682 
542E-9 2.096 0.84968 
543E-9 2.10833 0.85298 
544E-9 2.11978 0.85541 
545E-9 2.13177 0.85829 
546E-9 2.14657 0.8616 
547E-9 2.15676 0.86448 
548E-9 2.16914 0.86781 
549E-9 2.18179 0.8707 
550E-9 2.1944 0.87404 
551E-9 2.20734 0.87694 
552E-9 2.22236 0.87854 
553E-9 2.23508 0.88013 
554E-9 2.2475 0.88128 
555E-9 2.26172 0.88066 
556E-9 2.27874 0.88003 
557E-9 2.29349 0.87807 
558E-9 2.30818 0.87476 
559E-9 2.3215 0.87055 
560E-9 2.33367 0.86587 
561E-9 2.34579 0.86072 
562E-9 2.36016 0.85644 
563E-9 2.37144 0.8499 
564E-9 2.38103 0.84333 
565E-9 2.39059 0.83583 
566E-9 2.40011 0.82785 
