lambda n k
300E-9 1.75 0.1888075 
301E-9 1.75 0.186179 
302E-9 1.75 0.1835085 
303E-9 1.75 0.180866 
304E-9 1.75 0.178395 
305E-9 1.75 0.176253 
306E-9 1.74 0.1740165 
307E-9 1.74 0.1718395 
308E-9 1.74 0.16975 
309E-9 1.74 0.1680945 
310E-9 1.73 0.16639 
311E-9 1.73 0.1646505 
312E-9 1.73 0.1631035 
313E-9 1.725 0.161462 
314E-9 1.72 0.159866 
315E-9 1.72 0.160181 
316E-9 1.72 0.1604575 
317E-9 1.72 0.1606955 
318E-9 1.71 0.1610665 
319E-9 1.71 0.1614375 
320E-9 1.71 0.161798 
321E-9 1.71 0.162246 
322E-9 1.7 0.162645 
323E-9 1.7 0.1628795 
324E-9 1.7 0.1637545 
325E-9 1.7 0.164969 
326E-9 1.7 0.1668065 
327E-9 1.7 0.168588 
328E-9 1.7 0.170289 
329E-9 1.7 0.1718745 
330E-9 1.7 0.1734355 
331E-9 1.7 0.1750945 
332E-9 1.7 0.176722 
333E-9 1.7 0.1783075 
334E-9 1.7 0.1797075 
335E-9 1.71 0.1810375 
336E-9 1.71 0.1810655 
337E-9 1.71 0.18095 
338E-9 1.72 0.180425 
339E-9 1.72 0.1799175 
340E-9 1.72 0.179424 
341E-9 1.73 0.1778665 
342E-9 1.73 0.1759275 
343E-9 1.73 0.173614 
344E-9 1.73 0.1712095 
345E-9 1.73 0.1683325 
346E-9 1.74 0.165354 
347E-9 1.74 0.162148 
348E-9 1.74 0.15904 
349E-9 1.74 0.1560545 
350E-9 1.74 0.1527155 
351E-9 1.74 0.149128 
352E-9 1.74 0.1456175 
353E-9 1.74 0.144454 
354E-9 1.74 0.1457827 
355E-9 1.74 0.1466898 
356E-9 1.73 0.147594 
357E-9 1.73 0.1486076 
358E-9 1.73 0.1496198 
359E-9 1.73 0.1505578 
360E-9 1.73 0.1515098 
361E-9 1.73 0.1524494 
362E-9 1.73 0.1534011 
363E-9 1.73 0.1540478 
364E-9 1.72 0.1546951 
365E-9 1.72 0.155601 
366E-9 1.72 0.1565115 
367E-9 1.72 0.1574092 
368E-9 1.72 0.1583137 
369E-9 1.71 0.1588511 
370E-9 1.71 0.1593958 
371E-9 1.71 0.1601924 
372E-9 1.71 0.1609873 
373E-9 1.71 0.1617109 
374E-9 1.71 0.1624352 
375E-9 1.71 0.1630175 
376E-9 1.7 0.1636067 
377E-9 1.7 0.1644682 
378E-9 1.7 0.1653376 
379E-9 1.7 0.166222 
380E-9 1.7 0.1671132 
381E-9 1.69 0.1677378 
382E-9 1.69 0.1683561 
383E-9 1.69 0.1693214 
384E-9 1.69 0.1702799 
385E-9 1.69 0.1708582 
386E-9 1.68 0.1714375 
387E-9 1.68 0.1723773 
388E-9 1.68 0.1733186 
389E-9 1.68 0.1742736 
390E-9 1.68 0.1752262 
391E-9 1.68 0.1758401 
392E-9 1.67 0.1764469 
393E-9 1.67 0.1773731 
394E-9 1.67 0.1782993 
395E-9 1.67 0.1791719 
396E-9 1.67 0.1800376 
397E-9 1.66 0.1805361 
398E-9 1.66 0.1810277 
399E-9 1.66 0.1819545 
400E-9 1.66 0.1828747 
401E-9 1.66 0.18355 
402E-9 1.65 0.1842261 
403E-9 1.65 0.1853445 
404E-9 1.65 0.1864719 
405E-9 1.65 0.187755 
406E-9 1.65 0.1890381 
407E-9 1.65 0.1899754 
408E-9 1.64 0.1909199 
409E-9 1.64 0.1922111 
