lambda n k
300E-9 2.00843 0.39856 
301E-9 2.00899 0.39266 
302E-9 2.00927 0.38682 
303E-9 2.00944 0.381 
304E-9 2.00944 0.37522 
305E-9 2.00923 0.3695 
306E-9 2.00891 0.36382 
307E-9 2.00837 0.3582 
308E-9 2.00767 0.35264 
309E-9 2.00686 0.34713 
310E-9 2.00578 0.34172 
311E-9 2.00461 0.33637 
312E-9 2.00327 0.33109 
313E-9 2.00173 0.32593 
314E-9 2.00009 0.32082 
315E-9 1.99825 0.31584 
316E-9 1.99625 0.31096 
317E-9 1.99416 0.30615 
318E-9 1.99184 0.30152 
319E-9 1.98941 0.29698 
320E-9 1.98686 0.29255 
321E-9 1.98412 0.2883 
322E-9 1.98129 0.28414 
323E-9 1.97831 0.28016 
324E-9 1.97519 0.27634 
325E-9 1.972 0.27263 
326E-9 1.96864 0.26916 
327E-9 1.96519 0.26582 
328E-9 1.96166 0.26263 
329E-9 1.958 0.2597 
330E-9 1.95429 0.25689 
331E-9 1.95049 0.2543 
332E-9 1.94661 0.25194 
333E-9 1.9427 0.24971 
334E-9 1.93871 0.24777 
335E-9 1.9347 0.246 
336E-9 1.93067 0.2444 
337E-9 1.92661 0.24312 
338E-9 1.92255 0.24197 
339E-9 1.91849 0.24106 
340E-9 1.91447 0.2404 
341E-9 1.91046 0.23988 
342E-9 1.90651 0.23966 
343E-9 1.90262 0.23961 
344E-9 1.89876 0.23972 
345E-9 1.89504 0.24014 
346E-9 1.89137 0.24067 
347E-9 1.88781 0.24141 
348E-9 1.8844 0.24236 
349E-9 1.88106 0.24343 
350E-9 1.8779 0.24472 
351E-9 1.87488 0.24614 
352E-9 1.87196 0.24767 
353E-9 1.86929 0.2494 
354E-9 1.86674 0.25121 
355E-9 1.86435 0.25312 
356E-9 1.86219 0.25515 
357E-9 1.86015 0.25723 
358E-9 1.85834 0.2594 
359E-9 1.85672 0.26162 
360E-9 1.85522 0.26386 
361E-9 1.85401 0.26615 
362E-9 1.85292 0.26843 
363E-9 1.85201 0.27073 
