lambda n k
300E-9 1.82104 0.23265 
301E-9 1.8207 0.22733 
302E-9 1.82007 0.2221 
303E-9 1.81932 0.21691 
304E-9 1.8184 0.21179 
305E-9 1.81727 0.20675 
306E-9 1.81603 0.20177 
307E-9 1.81459 0.19689 
308E-9 1.81299 0.19209 
309E-9 1.8113 0.18735 
310E-9 1.80937 0.18277 
311E-9 1.80736 0.17825 
312E-9 1.80521 0.17383 
313E-9 1.80289 0.16956 
314E-9 1.8005 0.16536 
315E-9 1.79795 0.1613 
316E-9 1.79529 0.15736 
317E-9 1.79256 0.15351 
318E-9 1.78967 0.14984 
319E-9 1.78672 0.14627 
320E-9 1.78367 0.14282 
321E-9 1.78052 0.13955 
322E-9 1.77731 0.13637 
323E-9 1.77402 0.13335 
324E-9 1.77065 0.13048 
325E-9 1.76724 0.12771 
326E-9 1.76375 0.12514 
327E-9 1.76023 0.12269 
328E-9 1.75666 0.12036 
329E-9 1.75305 0.11823 
330E-9 1.74942 0.11619 
331E-9 1.74576 0.11432 
332E-9 1.74208 0.11261 
333E-9 1.7384 0.111 
334E-9 1.73471 0.10958 
335E-9 1.73102 0.10829 
336E-9 1.72733 0.1071 
337E-9 1.72367 0.1061 
338E-9 1.72002 0.1052 
339E-9 1.71639 0.10444 
340E-9 1.71281 0.10382 
341E-9 1.70924 0.10329 
342E-9 1.70573 0.10292 
343E-9 1.70226 0.10266 
344E-9 1.69882 0.10247 
345E-9 1.69547 0.10245 
346E-9 1.69215 0.1025 
347E-9 1.6889 0.10265 
348E-9 1.68572 0.10291 
349E-9 1.68258 0.10323 
350E-9 1.67954 0.10366 
351E-9 1.67656 0.10416 
352E-9 1.67362 0.10471 
353E-9 1.6708 0.10536 
354E-9 1.66803 0.10606 
355E-9 1.66533 0.10681 
356E-9 1.66272 0.10762 
357E-9 1.66016 0.10847 
358E-9 1.6577 0.10937 
359E-9 1.6553 0.11031 
360E-9 1.65294 0.11127 
361E-9 1.65069 0.11227 
362E-9 1.64849 0.11329 
363E-9 1.64635 0.11434 
364E-9 1.64428 0.1154 
365E-9 1.64226 0.11648 
366E-9 1.6403 0.11757 
367E-9 1.6384 0.11867 
368E-9 1.63653 0.11978 
369E-9 1.63473 0.1209 
370E-9 1.63296 0.12202 
371E-9 1.63123 0.12315 
372E-9 1.62956 0.12428 
373E-9 1.6279 0.12542 
374E-9 1.62629 0.12656 
375E-9 1.6247 0.1277 
376E-9 1.62314 0.12884 
377E-9 1.62161 0.12999 
378E-9 1.6201 0.13114 
379E-9 1.61861 0.1323 
380E-9 1.61714 0.13347 
381E-9 1.61569 0.13465 
382E-9 1.61425 0.13584 
383E-9 1.61284 0.13704 
384E-9 1.61143 0.13825 
385E-9 1.61004 0.13948 
386E-9 1.60867 0.14073 
387E-9 1.6073 0.142 
388E-9 1.60596 0.14329 
389E-9 1.60462 0.1446 
390E-9 1.60331 0.14594 
391E-9 1.60201 0.1473 
392E-9 1.60072 0.14869 
393E-9 1.59946 0.15011 
394E-9 1.59822 0.15157 
395E-9 1.59699 0.15304 
396E-9 1.5958 0.15457 
397E-9 1.59463 0.15611 
398E-9 1.59348 0.1577 
399E-9 1.59238 0.15932 
400E-9 1.59129 0.16096 
401E-9 1.59025 0.16265 
402E-9 1.58925 0.16438 
403E-9 1.58828 0.16612 
404E-9 1.58737 0.16791 
405E-9 1.58649 0.16973 
406E-9 1.58567 0.17157 
407E-9 1.5849 0.17345 
408E-9 1.58417 0.17535 
409E-9 1.58351 0.17727 
410E-9 1.5829 0.17922 
411E-9 1.58234 0.18118 
412E-9 1.58187 0.18317 
413E-9 1.58144 0.18516 
414E-9 1.58107 0.18717 
415E-9 1.58079 0.18918 
416E-9 1.58055 0.1912 
417E-9 1.58039 0.19322 
418E-9 1.58031 0.19523 
419E-9 1.58026 0.19725 
420E-9 1.58033 0.19924 
421E-9 1.58043 0.20123 
422E-9 1.58061 0.2032 
423E-9 1.58087 0.20514 
424E-9 1.58117 0.20707 
425E-9 1.58155 0.20896 
426E-9 1.582 0.21082 
427E-9 1.58249 0.21265 
428E-9 1.58307 0.21443 
429E-9 1.58369 0.21617 
430E-9 1.58436 0.21788 
431E-9 1.5851 0.21951 
432E-9 1.58588 0.22111 
433E-9 1.58671 0.22265 
434E-9 1.58759 0.22412 
435E-9 1.58849 0.22556 
436E-9 1.58945 0.2269 
437E-9 1.59043 0.22819 
438E-9 1.59145 0.22942 
439E-9 1.59249 0.23056 
440E-9 1.59355 0.23165 
441E-9 1.59463 0.23266 
442E-9 1.59573 0.23359 
443E-9 1.59683 0.23447 
444E-9 1.59794 0.23524 
445E-9 1.59905 0.23595 
446E-9 1.60016 0.23661 
447E-9 1.60125 0.23715 
448E-9 1.60234 0.23764 
449E-9 1.6034 0.23806 
450E-9 1.60444 0.23838 
451E-9 1.60546 0.23866 
452E-9 1.60644 0.23884 
453E-9 1.60739 0.23897 
454E-9 1.60831 0.23904 
455E-9 1.60916 0.239 
456E-9 1.60997 0.23893 
457E-9 1.61074 0.2388 
458E-9 1.61143 0.23859 
459E-9 1.61208 0.23834 
460E-9 1.61265 0.23803 
461E-9 1.61315 0.23767 
462E-9 1.61361 0.23728 
463E-9 1.61394 0.23682 
464E-9 1.61423 0.23633 
465E-9 1.61443 0.23581 
466E-9 1.61452 0.23526 
467E-9 1.61455 0.23469 
468E-9 1.61447 0.23409 
469E-9 1.6143 0.23348 
470E-9 1.61406 0.23285 
471E-9 1.61367 0.23223 
472E-9 1.61321 0.2316 
473E-9 1.61266 0.23097 
474E-9 1.61197 0.23037 
475E-9 1.61121 0.22977 
476E-9 1.61033 0.22921 
477E-9 1.60934 0.22867 
478E-9 1.60828 0.22816 
479E-9 1.60706 0.22771 
480E-9 1.60577 0.22731 
481E-9 1.60438 0.22694 
482E-9 1.60286 0.22667 
483E-9 1.60127 0.22644 
484E-9 1.59957 0.2263 
485E-9 1.59777 0.22624 
486E-9 1.5959 0.22625 
487E-9 1.59391 0.22639 
488E-9 1.59184 0.22662 
489E-9 1.58971 0.22693 
490E-9 1.58748 0.2274 
491E-9 1.58519 0.22796 
492E-9 1.58283 0.22865 
493E-9 1.5804 0.2295 
494E-9 1.57794 0.23044 
495E-9 1.57541 0.23157 
496E-9 1.57284 0.23283 
497E-9 1.57025 0.2342 
498E-9 1.56762 0.23581 
499E-9 1.56498 0.23752 
500E-9 1.56233 0.2394 
501E-9 1.55968 0.24148 
502E-9 1.55703 0.24367 
503E-9 1.55441 0.24609 
504E-9 1.55182 0.24866 
505E-9 1.54925 0.25135 
506E-9 1.54675 0.25431 
507E-9 1.54429 0.25738 
508E-9 1.5419 0.26062 
509E-9 1.53961 0.26406 
510E-9 1.53737 0.26761 
511E-9 1.53526 0.27138 
512E-9 1.53326 0.27529 
513E-9 1.53133 0.2793 
514E-9 1.5296 0.28355 
515E-9 1.52797 0.28788 
516E-9 1.52647 0.29234 
517E-9 1.52518 0.29697 
518E-9 1.52399 0.30167 
519E-9 1.52301 0.30651 
520E-9 1.52221 0.31145 
521E-9 1.52153 0.31645 
522E-9 1.52115 0.32157 
523E-9 1.5209 0.32673 
524E-9 1.52082 0.33195 
525E-9 1.52103 0.33723 
526E-9 1.52136 0.34253 
527E-9 1.52194 0.34785 
528E-9 1.52275 0.35318 
529E-9 1.52368 0.35852 
530E-9 1.52493 0.36382 
531E-9 1.52633 0.36911 
532E-9 1.52791 0.37436 
533E-9 1.52976 0.37954 
534E-9 1.53175 0.38467 
535E-9 1.53395 0.38972 
536E-9 1.53636 0.39467 
537E-9 1.53889 0.39956 
538E-9 1.54166 0.40429 
539E-9 1.54457 0.40892 
540E-9 1.5476 0.41346 
541E-9 1.55085 0.41779 
542E-9 1.55419 0.42202 
543E-9 1.55767 0.4261 
544E-9 1.56128 0.42998 
545E-9 1.56497 0.43375 
546E-9 1.56879 0.43729 
547E-9 1.57268 0.44066 
548E-9 1.57662 0.44391 
549E-9 1.58066 0.44687 
550E-9 1.58472 0.4497 
551E-9 1.58882 0.45234 
552E-9 1.59294 0.45473 
553E-9 1.59707 0.457 
554E-9 1.60119 0.459 
555E-9 1.60529 0.46082 
556E-9 1.60937 0.46251 
557E-9 1.61337 0.46388 
558E-9 1.61732 0.46513 
559E-9 1.6212 0.46619 
560E-9 1.62495 0.46701 
561E-9 1.62863 0.46771 
562E-9 1.63215 0.46818 
563E-9 1.63553 0.46849 
564E-9 1.6388 0.46868 
565E-9 1.6418 0.46863 
566E-9 1.64465 0.46848 
567E-9 1.64733 0.46821 
568E-9 1.64968 0.46777 
569E-9 1.65186 0.46727 
570E-9 1.65374 0.46665 
571E-9 1.6553 0.46595 
572E-9 1.65667 0.46522 
573E-9 1.65756 0.46444 
574E-9 1.65818 0.46367 
575E-9 1.65852 0.4629 
576E-9 1.65831 0.46222 
577E-9 1.65784 0.46161 
578E-9 1.65694 0.46112 
579E-9 1.65555 0.46084 
580E-9 1.65389 0.4607 
581E-9 1.65163 0.46092 
582E-9 1.649 0.46143 
583E-9 1.64606 0.46219 
584E-9 1.64248 0.46362 
585E-9 1.63864 0.46539 
586E-9 1.63441 0.46772 
587E-9 1.62975 0.47084 
588E-9 1.62488 0.47442 
589E-9 1.61965 0.479 
590E-9 1.61426 0.48439 
591E-9 1.60875 0.49036 
592E-9 1.60316 0.49787 
593E-9 1.59764 0.50608 
594E-9 1.59221 0.5153 
