lambda n k
300E-9 2.23199 0.50755 
301E-9 2.22999 0.50219 
302E-9 2.22799 0.49697 
303E-9 2.22598 0.49181 
304E-9 2.22398 0.48674 
305E-9 2.22198 0.48178 
306E-9 2.21998 0.47687 
307E-9 2.21798 0.47208 
308E-9 2.21599 0.46736 
309E-9 2.214 0.46269 
310E-9 2.21202 0.45815 
311E-9 2.21004 0.45366 
312E-9 2.20807 0.44924 
313E-9 2.20611 0.44491 
314E-9 2.20415 0.44063 
315E-9 2.2022 0.43644 
316E-9 2.20026 0.43232 
317E-9 2.19833 0.42824 
318E-9 2.19641 0.42426 
319E-9 2.19449 0.42033 
320E-9 2.19259 0.41645 
321E-9 2.19069 0.41266 
322E-9 2.18881 0.4089 
323E-9 2.18693 0.40522 
324E-9 2.18507 0.4016 
325E-9 2.18321 0.39801 
326E-9 2.18137 0.3945 
327E-9 2.17954 0.39104 
328E-9 2.17771 0.38762 
329E-9 2.17591 0.38427 
330E-9 2.17411 0.38096 
331E-9 2.17232 0.3777 
332E-9 2.17054 0.37449 
333E-9 2.16878 0.37132 
334E-9 2.16702 0.36821 
335E-9 2.16528 0.36514 
336E-9 2.16355 0.36211 
337E-9 2.16184 0.35914 
338E-9 2.16013 0.3562 
339E-9 2.15844 0.3533 
340E-9 2.15676 0.35045 
341E-9 2.15508 0.34763 
342E-9 2.15343 0.34486 
343E-9 2.15178 0.34213 
344E-9 2.15014 0.33942 
345E-9 2.14852 0.33677 
346E-9 2.14691 0.33414 
347E-9 2.14531 0.33155 
348E-9 2.14373 0.329 
349E-9 2.14215 0.32648 
350E-9 2.14059 0.324 
351E-9 2.13903 0.32155 
352E-9 2.13749 0.31913 
353E-9 2.13596 0.31675 
354E-9 2.13445 0.31439 
355E-9 2.13294 0.31206 
356E-9 2.13145 0.30978 
357E-9 2.12996 0.30751 
358E-9 2.12849 0.30527 
359E-9 2.12703 0.30307 
360E-9 2.12558 0.30088 
361E-9 2.12414 0.29874 
362E-9 2.12271 0.29662 
363E-9 2.1213 0.29452 
364E-9 2.11989 0.29245 
365E-9 2.1185 0.2904 
366E-9 2.11711 0.28838 
367E-9 2.11574 0.28639 
368E-9 2.11438 0.28441 
369E-9 2.11303 0.28247 
370E-9 2.11168 0.28055 
371E-9 2.11035 0.27864 
372E-9 2.10903 0.27677 
373E-9 2.10772 0.27491 
374E-9 2.10642 0.27308 
375E-9 2.10513 0.27127 
376E-9 2.10385 0.26947 
377E-9 2.10258 0.2677 
378E-9 2.10132 0.26595 
379E-9 2.10006 0.26422 
380E-9 2.09882 0.26251 
381E-9 2.09759 0.26082 
382E-9 2.09637 0.25915 
383E-9 2.09515 0.2575 
384E-9 2.09395 0.25586 
385E-9 2.09275 0.25425 
386E-9 2.09157 0.25265 
387E-9 2.09039 0.25106 
388E-9 2.08922 0.2495 
389E-9 2.08806 0.24795 
390E-9 2.08692 0.24642 
391E-9 2.08577 0.24491 
392E-9 2.08464 0.24341 
393E-9 2.08352 0.24193 
394E-9 2.0824 0.24047 
395E-9 2.08129 0.23902 
396E-9 2.0802 0.23759 
397E-9 2.07911 0.23616 
398E-9 2.07802 0.23476 
399E-9 2.07695 0.23337 
400E-9 2.07588 0.23199 
401E-9 2.07483 0.23063 
402E-9 2.07378 0.22928 
403E-9 2.07273 0.22795 
404E-9 2.0717 0.22663 
405E-9 2.07067 0.22532 
406E-9 2.06965 0.22402 
407E-9 2.06864 0.22275 
408E-9 2.06763 0.22147 
409E-9 2.06664 0.22022 
410E-9 2.06565 0.21898 
411E-9 2.06467 0.21774 
412E-9 2.06369 0.21652 
413E-9 2.06272 0.21532 
414E-9 2.06176 0.21412 
415E-9 2.06081 0.21293 
416E-9 2.05986 0.21176 
417E-9 2.05892 0.2106 
418E-9 2.05799 0.20945 
419E-9 2.05706 0.2083 
420E-9 2.05614 0.20717 
421E-9 2.05523 0.20605 
422E-9 2.05432 0.20494 
423E-9 2.05342 0.20385 
424E-9 2.05253 0.20276 
425E-9 2.05164 0.20168 
426E-9 2.05076 0.20061 
427E-9 2.04988 0.19955 
428E-9 2.04902 0.1985 
429E-9 2.04815 0.19746 
430E-9 2.0473 0.19643 
431E-9 2.04645 0.19541 
432E-9 2.0456 0.19439 
433E-9 2.04476 0.19339 
434E-9 2.04393 0.1924 
435E-9 2.0431 0.19141 
436E-9 2.04228 0.19043 
437E-9 2.04147 0.18946 
438E-9 2.04066 0.1885 
439E-9 2.03985 0.18755 
440E-9 2.03905 0.1866 
441E-9 2.03826 0.18567 
442E-9 2.03747 0.18474 
443E-9 2.03669 0.18382 
444E-9 2.03591 0.18291 
445E-9 2.03514 0.182 
446E-9 2.03437 0.1811 
447E-9 2.03361 0.18021 
448E-9 2.03285 0.17933 
449E-9 2.0321 0.17845 
450E-9 2.03136 0.17759 
451E-9 2.03061 0.17672 
452E-9 2.02988 0.17587 
453E-9 2.02915 0.17502 
454E-9 2.02842 0.17418 
455E-9 2.0277 0.17335 
456E-9 2.02698 0.17252 
457E-9 2.02627 0.1717 
458E-9 2.02556 0.17089 
459E-9 2.02485 0.17008 
460E-9 2.02416 0.16928 
461E-9 2.02346 0.16849 
462E-9 2.02277 0.1677 
463E-9 2.02209 0.16692 
464E-9 2.02141 0.16614 
465E-9 2.02073 0.16537 
466E-9 2.02006 0.1646 
467E-9 2.01939 0.16384 
468E-9 2.01873 0.16309 
469E-9 2.01807 0.16235 
470E-9 2.01741 0.1616 
471E-9 2.01676 0.16087 
472E-9 2.01611 0.16014 
473E-9 2.01547 0.15941 
474E-9 2.01483 0.15869 
475E-9 2.0142 0.15798 
476E-9 2.01357 0.15727 
477E-9 2.01294 0.15657 
478E-9 2.01232 0.15587 
479E-9 2.0117 0.15518 
480E-9 2.01108 0.15449 
481E-9 2.01047 0.1538 
482E-9 2.00986 0.15313 
483E-9 2.00926 0.15245 
484E-9 2.00866 0.15178 
485E-9 2.00806 0.15112 
486E-9 2.00747 0.15046 
487E-9 2.00688 0.14981 
488E-9 2.00629 0.14916 
489E-9 2.00571 0.14851 
490E-9 2.00513 0.14787 
491E-9 2.00456 0.14724 
492E-9 2.00398 0.1466 
493E-9 2.00342 0.14598 
494E-9 2.00285 0.14535 
495E-9 2.00229 0.14474 
496E-9 2.00173 0.14412 
497E-9 2.00117 0.14351 
498E-9 2.00062 0.1429 
499E-9 2.00007 0.1423 
500E-9 1.99953 0.14171 
501E-9 1.99899 0.14111 
502E-9 1.99845 0.14052 
503E-9 1.99791 0.13994 
504E-9 1.99738 0.13935 
505E-9 1.99685 0.13878 
506E-9 1.99632 0.1382 
507E-9 1.9958 0.13763 
508E-9 1.99528 0.13707 
509E-9 1.99476 0.1365 
510E-9 1.99424 0.13594 
511E-9 1.99373 0.13539 
512E-9 1.99322 0.13484 
513E-9 1.99272 0.13429 
514E-9 1.99222 0.13375 
515E-9 1.99171 0.1332 
516E-9 1.99122 0.13267 
517E-9 1.99072 0.13213 
518E-9 1.99023 0.1316 
519E-9 1.98974 0.13107 
520E-9 1.98925 0.13055 
521E-9 1.98877 0.13003 
522E-9 1.98829 0.12951 
523E-9 1.98781 0.129 
524E-9 1.98733 0.12849 
525E-9 1.98686 0.12798 
526E-9 1.98639 0.12747 
527E-9 1.98592 0.12697 
528E-9 1.98546 0.12648 
529E-9 1.98499 0.12598 
530E-9 1.98453 0.12549 
531E-9 1.98408 0.125 
532E-9 1.98362 0.12451 
533E-9 1.98317 0.12403 
534E-9 1.98272 0.12355 
535E-9 1.98227 0.12307 
536E-9 1.98182 0.1226 
537E-9 1.98138 0.12212 
538E-9 1.98094 0.12166 
539E-9 1.9805 0.12119 
540E-9 1.98006 0.12073 
541E-9 1.97963 0.12027 
542E-9 1.97919 0.11981 
543E-9 1.97876 0.11935 
544E-9 1.97834 0.1189 
545E-9 1.97791 0.11845 
546E-9 1.97749 0.11801 
547E-9 1.97707 0.11756 
548E-9 1.97665 0.11712 
549E-9 1.97623 0.11668 
550E-9 1.97582 0.11624 
551E-9 1.97541 0.11581 
552E-9 1.975 0.11538 
553E-9 1.97459 0.11495 
554E-9 1.97418 0.11452 
555E-9 1.97378 0.1141 
556E-9 1.97338 0.11368 
557E-9 1.97298 0.11326 
