lambda n k
300E-9 2.12362 0.53945 
301E-9 2.12033 0.53194 
302E-9 2.11767 0.52431 
303E-9 2.11562 0.51676 
304E-9 2.11318 0.5097 
305E-9 2.10953 0.50358 
306E-9 2.10714 0.49719 
307E-9 2.10461 0.49097 
308E-9 2.10176 0.485 
309E-9 2.09711 0.48027 
310E-9 2.09318 0.4754 
311E-9 2.08971 0.47043 
312E-9 2.08393 0.46601 
313E-9 2.07938 0.46132 
314E-9 2.0758 0.45676 
315E-9 2.07253 0.45766 
316E-9 2.07029 0.45845 
317E-9 2.06896 0.45913 
318E-9 2.0659 0.46019 
319E-9 2.06288 0.46125 
320E-9 2.05994 0.46228 
321E-9 2.05595 0.46356 
322E-9 2.05258 0.4647 
323E-9 2.05126 0.46537 
324E-9 2.05033 0.46787 
325E-9 2.04965 0.47134 
326E-9 2.04989 0.47659 
327E-9 2.05072 0.48168 
328E-9 2.05235 0.48654 
329E-9 2.05517 0.49107 
330E-9 2.05862 0.49553 
331E-9 2.06456 0.50027 
332E-9 2.07135 0.50492 
333E-9 2.07931 0.50945 
334E-9 2.08903 0.51345 
335E-9 2.09944 0.51725 
336E-9 2.11005 0.51733 
337E-9 2.12102 0.517 
338E-9 2.13301 0.5155 
339E-9 2.14485 0.51405 
340E-9 2.15654 0.51264 
341E-9 2.16762 0.50819 
342E-9 2.17848 0.50265 
343E-9 2.18876 0.49604 
344E-9 2.19879 0.48917 
345E-9 2.20737 0.48095 
346E-9 2.21576 0.47244 
347E-9 2.22372 0.46328 
348E-9 2.23041 0.4544 
349E-9 2.23556 0.44587 
350E-9 2.24018 0.43633 
351E-9 2.24442 0.42608 
352E-9 2.24749 0.41605 
353E-9 2.25002 0.40612 
354E-9 2.25198 0.39619 
355E-9 2.25378 0.38626 
356E-9 2.25441 0.37672 
357E-9 2.25483 0.36724 
358E-9 2.25427 0.3583 
359E-9 2.25359 0.34942 
360E-9 2.25204 0.34194 
361E-9 2.25042 0.33458 
362E-9 2.24858 0.32843 
363E-9 2.24673 0.32238 
364E-9 2.24467 0.31639 
365E-9 2.2426 0.31042 
366E-9 2.24048 0.30491 
367E-9 2.23835 0.29948 
368E-9 2.23656 0.29405 
369E-9 2.23485 0.28863 
370E-9 2.23296 0.28326 
371E-9 2.231 0.27792 
372E-9 2.22906 0.27309 
373E-9 2.22713 0.26861 
374E-9 2.22489 0.2642 
375E-9 2.22226 0.25987 
376E-9 2.21959 0.25555 
377E-9 2.21684 0.25126 
378E-9 2.21405 0.24708 
379E-9 2.2109 0.24372 
380E-9 2.20776 0.24036 
381E-9 2.20557 0.23754 
382E-9 2.20348 0.23477 
383E-9 2.20142 0.23202 
384E-9 2.19936 0.22927 
385E-9 2.1968 0.22658 
386E-9 2.19347 0.22399 
387E-9 2.19023 0.22141 
388E-9 2.18771 0.21898 
389E-9 2.18519 0.21656 
390E-9 2.18283 0.21458 
391E-9 2.1805 0.21273 
392E-9 2.17847 0.21085 
393E-9 2.1768 0.20895 
394E-9 2.17509 0.20705 
395E-9 2.17282 0.20523 
396E-9 2.17054 0.2034 
397E-9 2.16847 0.20157 
398E-9 2.16651 0.19973 
399E-9 2.16454 0.19789 
400E-9 2.16258 0.19607 
401E-9 2.16062 0.19424 
402E-9 2.15797 0.19249 
403E-9 2.15509 0.19077 
404E-9 2.15239 0.18927 
405E-9 2.15018 0.18838 
406E-9 2.14796 0.18749 
407E-9 2.14564 0.1867 
408E-9 2.14328 0.18595 
409E-9 2.14097 0.18519 
410E-9 2.13887 0.18442 
411E-9 2.13678 0.18364 
412E-9 2.13528 0.18283 
413E-9 2.13419 0.18198 
414E-9 2.1331 0.18113 
415E-9 2.13188 0.1803 
416E-9 2.13065 0.17947 
417E-9 2.12942 0.17865 
418E-9 2.12821 0.17783 
419E-9 2.12699 0.17701 
420E-9 2.1258 0.17634 
421E-9 2.12462 0.17577 
422E-9 2.12344 0.17519 
423E-9 2.12227 0.17464 
424E-9 2.12111 0.17408 
425E-9 2.11994 0.17354 
426E-9 2.11879 0.17299 
427E-9 2.11764 0.17245 
428E-9 2.1165 0.1719 
429E-9 2.11536 0.17136 
430E-9 2.11422 0.17082 
431E-9 2.11336 0.17027 
432E-9 2.11277 0.16969 
433E-9 2.11219 0.16911 
434E-9 2.11193 0.16843 
435E-9 2.11187 0.16767 
436E-9 2.11181 0.16692 
437E-9 2.11174 0.166 
438E-9 2.11166 0.16502 
439E-9 2.11159 0.16404 
440E-9 2.11151 0.16307 
441E-9 2.11144 0.1621 
442E-9 2.11136 0.16113 
443E-9 2.11129 0.16017 
444E-9 2.11122 0.15922 
445E-9 2.11115 0.15826 
446E-9 2.11042 0.15736 
447E-9 2.10948 0.15648 
448E-9 2.10854 0.1556 
449E-9 2.1081 0.1547 
450E-9 2.1079 0.15378 
451E-9 2.1077 0.15285 
452E-9 2.10757 0.15193 
453E-9 2.1075 0.15101 
454E-9 2.10744 0.1501 
455E-9 2.10722 0.14915 
456E-9 2.10678 0.14815 
457E-9 2.10634 0.14716 
458E-9 2.10594 0.14614 
459E-9 2.1057 0.14506 
460E-9 2.10546 0.14397 
461E-9 2.10522 0.14288 
462E-9 2.10474 0.14182 
463E-9 2.10425 0.14076 
464E-9 2.10376 0.1397 
465E-9 2.10324 0.13865 
466E-9 2.1027 0.13761 
467E-9 2.10217 0.13657 
468E-9 2.10164 0.13553 
469E-9 2.10111 0.1345 
470E-9 2.10058 0.13347 
471E-9 2.10006 0.13244 
472E-9 2.09995 0.1314 
473E-9 2.09988 0.13036 
474E-9 2.09982 0.12931 
475E-9 2.09958 0.12816 
476E-9 2.09913 0.12687 
477E-9 2.09868 0.12558 
478E-9 2.09823 0.12428 
479E-9 2.09764 0.12302 
480E-9 2.09705 0.12175 
481E-9 2.09646 0.12049 
482E-9 2.09609 0.11921 
483E-9 2.09602 0.11794 
484E-9 2.09595 0.11666 
485E-9 2.09588 0.11538 
486E-9 2.09551 0.11413 
487E-9 2.09507 0.11289 
488E-9 2.09463 0.11165 
489E-9 2.09418 0.11042 
490E-9 2.09363 0.1092 
491E-9 2.09309 0.10798 
492E-9 2.09255 0.10677 
493E-9 2.09203 0.10555 
494E-9 2.09156 0.10435 
495E-9 2.09108 0.10314 
496E-9 2.0906 0.10194 
497E-9 2.09016 0.10071 
498E-9 2.08974 0.09948 
499E-9 2.08931 0.09825 
500E-9 2.08889 0.09702 
501E-9 2.08839 0.09581 
502E-9 2.08789 0.0946 
503E-9 2.08739 0.09338 
504E-9 2.08689 0.09217 
505E-9 2.08643 0.09098 
506E-9 2.08598 0.08978 
507E-9 2.08553 0.08859 
508E-9 2.08508 0.08739 
509E-9 2.08464 0.08621 
510E-9 2.0842 0.08503 
511E-9 2.08376 0.08385 
512E-9 2.08329 0.08267 
513E-9 2.08226 0.08153 
514E-9 2.08123 0.08039 
515E-9 2.0802 0.07925 
516E-9 2.07918 0.07811 
517E-9 2.07834 0.07697 
518E-9 2.07751 0.07584 
519E-9 2.07667 0.07471 
520E-9 2.07584 0.07357 
521E-9 2.07493 0.07252 
522E-9 2.07401 0.07148 
523E-9 2.0731 0.07044 
524E-9 2.07218 0.06941 
525E-9 2.07111 0.06858 
526E-9 2.06995 0.06787 
527E-9 2.0688 0.06716 
528E-9 2.06765 0.06646 
529E-9 2.06656 0.06575 
530E-9 2.06556 0.06504 
531E-9 2.06457 0.06434 
532E-9 2.06358 0.06363 
533E-9 2.0626 0.06293 
534E-9 2.06173 0.06223 
535E-9 2.06086 0.06153 
536E-9 2.06 0.06083 
537E-9 2.05913 0.06013 
538E-9 2.05827 0.05944 
539E-9 2.05742 0.05875 
540E-9 2.05656 0.05806 
541E-9 2.05571 0.05737 
542E-9 2.05484 0.05668 
543E-9 2.05389 0.056 
544E-9 2.05294 0.05532 
545E-9 2.05198 0.05464 
546E-9 2.05103 0.05396 
547E-9 2.05022 0.0533 
548E-9 2.0495 0.05264 
549E-9 2.04879 0.05199 
550E-9 2.04807 0.05134 
551E-9 2.04736 0.05068 
552E-9 2.04643 0.05011 
553E-9 2.0455 0.04955 
554E-9 2.04456 0.04898 
555E-9 2.04363 0.04841 
556E-9 2.04275 0.04785 
557E-9 2.04208 0.04728 
558E-9 2.0414 0.04672 
559E-9 2.04073 0.04615 
560E-9 2.04005 0.04559 
561E-9 2.03933 0.04503 
562E-9 2.03854 0.04448 
563E-9 2.03776 0.04392 
564E-9 2.03697 0.04337 
565E-9 2.03619 0.04281 
566E-9 2.03541 0.04226 
567E-9 2.03464 0.04172 
568E-9 2.03386 0.04117 
569E-9 2.03309 0.04063 
570E-9 2.03232 0.04008 
571E-9 2.03155 0.03954 
572E-9 2.0308 0.039 
573E-9 2.03004 0.03846 
574E-9 2.02928 0.03792 
575E-9 2.02852 0.03738 
576E-9 2.02777 0.03694 
577E-9 2.02702 0.03657 
578E-9 2.02628 0.03621 
579E-9 2.02553 0.03585 
580E-9 2.02479 0.03549 
581E-9 2.0241 0.03516 
582E-9 2.0235 0.03488 
583E-9 2.02291 0.0346 
584E-9 2.02231 0.03432 
585E-9 2.02171 0.03404 
586E-9 2.02111 0.03376 
587E-9 2.0205 0.03349 
588E-9 2.01988 0.03321 
589E-9 2.01927 0.03293 
590E-9 2.01866 0.03266 
591E-9 2.01804 0.03238 
592E-9 2.01738 0.03211 
593E-9 2.01671 0.03184 
594E-9 2.01603 0.03157 
595E-9 2.01536 0.0313 
596E-9 2.01469 0.03103 
597E-9 2.01402 0.03076 
598E-9 2.01336 0.0305 
599E-9 2.0127 0.03023 
600E-9 2.01204 0.02996 
601E-9 2.01138 0.0297 
602E-9 2.01072 0.02943 
603E-9 2.01024 0.02916 
604E-9 2.00979 0.0289 
605E-9 2.00934 0.02863 
606E-9 2.00889 0.02837 
607E-9 2.00844 0.0281 
608E-9 2.00795 0.02784 
609E-9 2.00734 0.02758 
610E-9 2.00672 0.02732 
611E-9 2.0061 0.02706 
612E-9 2.00549 0.0268 
613E-9 2.00487 0.02655 
614E-9 2.0043 0.02626 
615E-9 2.00378 0.02596 
616E-9 2.00326 0.02565 
617E-9 2.00274 0.02534 
618E-9 2.00221 0.02503 
619E-9 2.00169 0.02473 
620E-9 2.00118 0.02442 
621E-9 2.00067 0.02411 
622E-9 2.00016 0.02379 
623E-9 1.99965 0.02348 
624E-9 1.99914 0.02317 
625E-9 1.99863 0.02286 
626E-9 1.99807 0.02255 
627E-9 1.99749 0.02225 
628E-9 1.9969 0.02194 
629E-9 1.99631 0.02164 
630E-9 1.99572 0.02133 
631E-9 1.99513 0.02103 
632E-9 1.99465 0.02072 
633E-9 1.99424 0.02042 
634E-9 1.99383 0.02012 
635E-9 1.99343 0.01982 
636E-9 1.99302 0.01951 
637E-9 1.99261 0.01921 
638E-9 1.99222 0.01891 
639E-9 1.99187 0.01861 
640E-9 1.99152 0.01832 
641E-9 1.99117 0.01802 
642E-9 1.99081 0.01772 
643E-9 1.99046 0.01742 
644E-9 1.9901 0.01713 
645E-9 1.9897 0.01686 
646E-9 1.9893 0.0166 
647E-9 1.9889 0.01633 
648E-9 1.9885 0.01607 
649E-9 1.9881 0.01581 
650E-9 1.9877 0.01554 
651E-9 1.98713 0.01532 
652E-9 1.98646 0.01512 
653E-9 1.98578 0.01492 
654E-9 1.9851 0.01473 
655E-9 1.98443 0.01453 
656E-9 1.98375 0.01433 
657E-9 1.98309 0.01414 
658E-9 1.98287 0.01394 
659E-9 1.98265 0.01374 
