lambda n k
300E-9 1.95924 0.35861 
301E-9 1.95651 0.35486 
302E-9 1.95377 0.35155 
303E-9 1.95101 0.3484 
304E-9 1.9482 0.34549 
305E-9 1.94536 0.34284 
306E-9 1.94253 0.34031 
307E-9 1.93972 0.33798 
308E-9 1.93692 0.33581 
309E-9 1.93413 0.33375 
310E-9 1.93129 0.33203 
311E-9 1.92842 0.33047 
312E-9 1.92551 0.32917 
313E-9 1.92258 0.32826 
314E-9 1.91966 0.32758 
315E-9 1.91675 0.32733 
316E-9 1.91391 0.32747 
317E-9 1.9111 0.32787 
318E-9 1.90843 0.32891 
319E-9 1.90585 0.33027 
320E-9 1.9034 0.33201 
321E-9 1.90132 0.33437 
322E-9 1.89948 0.33701 
323E-9 1.89811 0.34017 
324E-9 1.89732 0.34375 
325E-9 1.8969 0.34757 
326E-9 1.89744 0.35181 
327E-9 1.89856 0.35618 
328E-9 1.90032 0.36069 
329E-9 1.90325 0.36516 
330E-9 1.90676 0.36949 
331E-9 1.91127 0.37352 
332E-9 1.91677 0.37699 
333E-9 1.92281 0.38011 
334E-9 1.92982 0.38219 
335E-9 1.93718 0.38351 
336E-9 1.94487 0.3841 
337E-9 1.95282 0.38315 
338E-9 1.96076 0.38159 
339E-9 1.96861 0.37903 
340E-9 1.97608 0.37557 
341E-9 1.98331 0.37164 
342E-9 1.98985 0.36685 
343E-9 1.99592 0.36165 
344E-9 2.0016 0.3561 
345E-9 2.00645 0.35003 
346E-9 2.01093 0.34381 
347E-9 2.01485 0.33737 
348E-9 2.01812 0.33078 
349E-9 2.02106 0.32413 
350E-9 2.02335 0.31745 
351E-9 2.02522 0.31082 
352E-9 2.02678 0.30423 
353E-9 2.02771 0.29778 
354E-9 2.0284 0.2914 
355E-9 2.02875 0.28515 
356E-9 2.02871 0.27909 
357E-9 2.02849 0.27314 
358E-9 2.02795 0.26744 
359E-9 2.02722 0.26198 
360E-9 2.02635 0.25667 
361E-9 2.02523 0.2518 
362E-9 2.02405 0.2471 
363E-9 2.02277 0.24264 
364E-9 2.02143 0.23841 
365E-9 2.02007 0.23428 
366E-9 2.01872 0.23027 
367E-9 2.0174 0.22632 
368E-9 2.01609 0.22241 
369E-9 2.01477 0.21857 
370E-9 2.0134 0.21477 
371E-9 2.01197 0.21102 
372E-9 2.01039 0.20734 
373E-9 2.00874 0.2037 
374E-9 2.00697 0.20015 
375E-9 2.00511 0.1967 
376E-9 2.00321 0.19331 
377E-9 2.00123 0.19009 
378E-9 1.99924 0.18696 
379E-9 1.99723 0.18394 
380E-9 1.9952 0.1811 
381E-9 1.99318 0.17833 
382E-9 1.99115 0.17571 
383E-9 1.98914 0.1732 
384E-9 1.98714 0.17076 
385E-9 1.98516 0.16847 
386E-9 1.98319 0.16624 
387E-9 1.98123 0.16407 
388E-9 1.97928 0.16199 
389E-9 1.97733 0.15993 
390E-9 1.97537 0.15791 
391E-9 1.9734 0.15593 
392E-9 1.97142 0.15398 
393E-9 1.96941 0.15208 
394E-9 1.96736 0.15022 
395E-9 1.96527 0.14839 
396E-9 1.96312 0.14665 
397E-9 1.96093 0.14496 
398E-9 1.95871 0.14333 
399E-9 1.95647 0.14182 
400E-9 1.95424 0.14036 
401E-9 1.95204 0.13906 
402E-9 1.9499 0.13786 
403E-9 1.94779 0.13676 
404E-9 1.9458 0.13584 
405E-9 1.94388 0.13498 
406E-9 1.94207 0.13421 
407E-9 1.94041 0.13351 
408E-9 1.93884 0.13283 
409E-9 1.93746 0.1322 
410E-9 1.93622 0.13157 
411E-9 1.93507 0.13094 
412E-9 1.93408 0.13029 
413E-9 1.93314 0.12962 
414E-9 1.93226 0.12893 
415E-9 1.93141 0.12818 
416E-9 1.93056 0.1274 
417E-9 1.9297 0.12656 
418E-9 1.92881 0.1257 
419E-9 1.92791 0.12481 
420E-9 1.92698 0.12392 
421E-9 1.92602 0.12304 
422E-9 1.92504 0.12219 
423E-9 1.92403 0.1214 
424E-9 1.92299 0.12065 
425E-9 1.92193 0.11998 
426E-9 1.92087 0.11936 
427E-9 1.91982 0.11879 
428E-9 1.9188 0.11829 
429E-9 1.91782 0.11783 
430E-9 1.91688 0.11741 
431E-9 1.91603 0.11706 
432E-9 1.91522 0.11673 
433E-9 1.91449 0.11643 
434E-9 1.91382 0.11612 
435E-9 1.9132 0.11582 
436E-9 1.91264 0.11547 
437E-9 1.91212 0.11509 
438E-9 1.91163 0.11466 
