lambda n k
300E-9 1.70023 0.01975 
301E-9 1.69667 0.01951 
302E-9 1.69355 0.01928 
303E-9 1.69099 0.01904 
304E-9 1.68843 0.01881 
305E-9 1.68587 0.01857 
306E-9 1.68239 0.01834 
307E-9 1.67883 0.0181 
308E-9 1.67527 0.01787 
309E-9 1.67279 0.01763 
310E-9 1.67115 0.0174 
311E-9 1.66951 0.01716 
312E-9 1.66787 0.01693 
313E-9 1.66539 0.01669 
314E-9 1.66283 0.01646 
315E-9 1.66027 0.01622 
316E-9 1.65808 0.01599 
317E-9 1.65644 0.01575 
318E-9 1.6548 0.01552 
319E-9 1.65316 0.01528 
320E-9 1.65152 0.01505 
321E-9 1.64988 0.01481 
322E-9 1.64824 0.01458 
323E-9 1.64669 0.01434 
324E-9 1.6459 0.01411 
325E-9 1.64511 0.01387 
326E-9 1.64432 0.01364 
327E-9 1.64326 0.0134 
328E-9 1.64162 0.01317 
329E-9 1.63998 0.01293 
330E-9 1.63834 0.0127 
331E-9 1.6367 0.01246 
332E-9 1.63506 0.01223 
333E-9 1.63342 0.01199 
334E-9 1.6318 0.01176 
335E-9 1.6318 0.01152 
336E-9 1.6318 0.01129 
337E-9 1.6318 0.01105 
338E-9 1.63167 0.01082 
339E-9 1.63003 0.01058 
340E-9 1.62839 0.01035 
341E-9 1.62675 0.01011 
342E-9 1.62511 0.00988 
343E-9 1.62347 0.00964 
344E-9 1.62182 0.00941 
345E-9 1.62018 0.00917 
346E-9 1.61921 0.00894 
347E-9 1.61842 0.0087 
348E-9 1.61763 0.00847 
349E-9 1.61684 0.00823 
350E-9 1.61605 0.008 
351E-9 1.61526 0.00803 
352E-9 1.61447 0.00805 
353E-9 1.61368 0.00808 
354E-9 1.61289 0.00811 
355E-9 1.6121 0.00814 
356E-9 1.61131 0.00816 
357E-9 1.61052 0.00819 
358E-9 1.60973 0.00822 
359E-9 1.60894 0.00825 
360E-9 1.60815 0.00827 
361E-9 1.60684 0.0083 
362E-9 1.6052 0.00833 
363E-9 1.60356 0.00836 
364E-9 1.60192 0.00838 
365E-9 1.6011 0.00841 
366E-9 1.60031 0.00844 
367E-9 1.59952 0.00847 
368E-9 1.59873 0.00849 
369E-9 1.59794 0.00852 
370E-9 1.59715 0.00855 
371E-9 1.59636 0.00858 
372E-9 1.59557 0.0086 
373E-9 1.59478 0.00863 
374E-9 1.59399 0.00866 
375E-9 1.5932 0.00868 
376E-9 1.59241 0.00871 
377E-9 1.59162 0.00874 
378E-9 1.59083 0.00877 
379E-9 1.59004 0.00879 
380E-9 1.58857 0.00882 
381E-9 1.58693 0.00885 
382E-9 1.58529 0.00888 
383E-9 1.58389 0.0089 
384E-9 1.58389 0.00893 
385E-9 1.58389 0.00896 
386E-9 1.58389 0.00899 
387E-9 1.58354 0.00901 
388E-9 1.5819 0.00904 
389E-9 1.58026 0.00907 
390E-9 1.57862 0.0091 
391E-9 1.57746 0.00912 
392E-9 1.57667 0.00915 
393E-9 1.57588 0.00918 
394E-9 1.57509 0.00921 
395E-9 1.5743 0.00923 
396E-9 1.57351 0.00926 
397E-9 1.57272 0.00929 
398E-9 1.57193 0.00932 
399E-9 1.57114 0.00934 
400E-9 1.57035 0.00937 
401E-9 1.56956 0.00943 
402E-9 1.56877 0.00949 
403E-9 1.56798 0.00956 
404E-9 1.56719 0.00962 
405E-9 1.5664 0.00968 
406E-9 1.56561 0.00974 
407E-9 1.56482 0.0098 
408E-9 1.56403 0.00986 
409E-9 1.56324 0.00993 
410E-9 1.56293 0.00999 
411E-9 1.56293 0.01005 
412E-9 1.56293 0.01011 
413E-9 1.56293 0.01017 
414E-9 1.5624 0.01024 
415E-9 1.56161 0.0103 
416E-9 1.56082 0.01036 
417E-9 1.56003 0.01042 
418E-9 1.55924 0.01048 
419E-9 1.55845 0.01055 
420E-9 1.55766 0.01061 
421E-9 1.55695 0.01067 
422E-9 1.55695 0.01073 
423E-9 1.55695 0.01079 
424E-9 1.55695 0.01085 
425E-9 1.55668 0.01092 
426E-9 1.55504 0.01098 
427E-9 1.5534 0.01104 
428E-9 1.55176 0.0111 
429E-9 1.55096 0.01116 
430E-9 1.55096 0.01123 
431E-9 1.55096 0.01129 
432E-9 1.55096 0.01135 
433E-9 1.55096 0.01141 
434E-9 1.55096 0.01147 
435E-9 1.55096 0.01154 
436E-9 1.55096 0.0116 
437E-9 1.55096 0.01166 
438E-9 1.55096 0.01172 
439E-9 1.55096 0.01178 
440E-9 1.55096 0.01184 
441E-9 1.54979 0.01191 
442E-9 1.54815 0.01197 
443E-9 1.54651 0.01203 
444E-9 1.54497 0.01209 
445E-9 1.54497 0.01215 
446E-9 1.54497 0.01222 
447E-9 1.54497 0.01228 
448E-9 1.54487 0.01234 
449E-9 1.54408 0.0124 
450E-9 1.54329 0.01246 
451E-9 1.5425 0.01261 
452E-9 1.54171 0.01277 
453E-9 1.54092 0.01292 
454E-9 1.54013 0.01307 
455E-9 1.53934 0.01322 
456E-9 1.53898 0.01337 
457E-9 1.53898 0.01352 
458E-9 1.53898 0.01367 
459E-9 1.53898 0.01382 
460E-9 1.5385 0.01397 
461E-9 1.53771 0.01412 
462E-9 1.53692 0.01427 
463E-9 1.53613 0.01442 
464E-9 1.53534 0.01457 
465E-9 1.53455 0.01472 
466E-9 1.53376 0.01488 
467E-9 1.53297 0.01503 
468E-9 1.53218 0.01518 
469E-9 1.53139 0.01533 
470E-9 1.5306 0.01548 
471E-9 1.52981 0.01563 
472E-9 1.52902 0.01578 
473E-9 1.52823 0.01593 
474E-9 1.52744 0.01608 
475E-9 1.52701 0.01623 
476E-9 1.52701 0.01638 
477E-9 1.52701 0.01653 
478E-9 1.52701 0.01668 
479E-9 1.52616 0.01683 
480E-9 1.52452 0.01699 
481E-9 1.52288 0.01714 
482E-9 1.52124 0.01729 
483E-9 1.52102 0.01744 
484E-9 1.52102 0.01759 
485E-9 1.52102 0.01774 
486E-9 1.52102 0.01789 
487E-9 1.52028 0.01804 
488E-9 1.51949 0.01819 
489E-9 1.5187 0.01834 
490E-9 1.51791 0.01849 
491E-9 1.51712 0.01864 
492E-9 1.51633 0.01879 
493E-9 1.51554 0.01894 
494E-9 1.51503 0.0191 
495E-9 1.51503 0.01925 
496E-9 1.51503 0.0194 
497E-9 1.51503 0.01955 
498E-9 1.5147 0.0197 
499E-9 1.51391 0.01985 
500E-9 1.51312 0.02 
501E-9 1.51233 0.0202 
502E-9 1.51154 0.02041 
503E-9 1.51075 0.02061 
504E-9 1.50996 0.02082 
505E-9 1.50917 0.02102 
506E-9 1.50904 0.02122 
507E-9 1.50904 0.02143 
508E-9 1.50904 0.02163 
509E-9 1.50904 0.02183 
510E-9 1.50833 0.02204 
511E-9 1.50754 0.02224 
512E-9 1.50675 0.02245 
513E-9 1.50596 0.02265 
514E-9 1.50517 0.02285 
515E-9 1.50438 0.02306 
516E-9 1.50359 0.02326 
517E-9 1.50305 0.02347 
518E-9 1.50305 0.02367 
519E-9 1.50305 0.02387 
520E-9 1.50305 0.02408 
521E-9 1.50275 0.02428 
522E-9 1.50196 0.02448 
523E-9 1.50117 0.02469 
524E-9 1.50038 0.02489 
525E-9 1.49959 0.0251 
526E-9 1.4988 0.0253 
527E-9 1.49801 0.0255 
528E-9 1.49722 0.02571 
529E-9 1.49707 0.02591 
530E-9 1.49707 0.02611 
531E-9 1.49707 0.02632 
532E-9 1.49707 0.02652 
533E-9 1.49638 0.02673 
534E-9 1.49559 0.02693 
535E-9 1.4948 0.02713 
536E-9 1.49401 0.02734 
537E-9 1.49322 0.02754 
538E-9 1.49243 0.02775 
539E-9 1.49164 0.02795 
540E-9 1.49108 0.02815 
541E-9 1.49108 0.02836 
542E-9 1.49108 0.02856 
543E-9 1.49108 0.02876 
544E-9 1.49108 0.02897 
545E-9 1.49108 0.02917 
546E-9 1.49108 0.02938 
547E-9 1.49108 0.02958 
548E-9 1.49038 0.02978 
549E-9 1.48874 0.02999 
550E-9 1.4871 0.03019 
551E-9 1.48546 0.03047 
552E-9 1.48509 0.03075 
553E-9 1.48509 0.03104 
554E-9 1.48509 0.03132 
555E-9 1.48509 0.0316 
556E-9 1.48442 0.03188 
557E-9 1.48363 0.03216 
558E-9 1.48284 0.03244 
559E-9 1.48205 0.03272 
560E-9 1.48126 0.03301 
561E-9 1.48047 0.03329 
562E-9 1.47969 0.03357 
563E-9 1.4791 0.03385 
564E-9 1.4791 0.03413 
565E-9 1.4791 0.03441 
566E-9 1.4791 0.03469 
567E-9 1.47884 0.03497 
568E-9 1.47805 0.03526 
569E-9 1.47726 0.03554 
570E-9 1.47647 0.03582 
571E-9 1.47611 0.0361 
572E-9 1.47611 0.03638 
573E-9 1.47611 0.03666 
574E-9 1.47611 0.03694 
575E-9 1.47563 0.03723 
576E-9 1.47484 0.03751 
577E-9 1.47405 0.03779 
578E-9 1.47326 0.03807 
579E-9 1.47247 0.03835 
580E-9 1.47168 0.03863 
581E-9 1.47089 0.03891 
582E-9 1.4701 0.03919 
583E-9 1.46931 0.03948 
584E-9 1.46852 0.03976 
