lambda n k
350E-9 1.64651 0.204 
351E-9 1.64633 0.204 
352E-9 1.64616 0.204 
353E-9 1.64597 0.204 
354E-9 1.64576 0.204 
355E-9 1.64553 0.204 
356E-9 1.64529 0.203 
357E-9 1.64503 0.203 
358E-9 1.64475 0.203 
359E-9 1.64445 0.204 
360E-9 1.64413 0.203 
361E-9 1.6438 0.202 
362E-9 1.64345 0.201 
363E-9 1.64308 0.2 
364E-9 1.64269 0.199 
365E-9 1.64228 0.199 
366E-9 1.64185 0.2 
367E-9 1.6414 0.202 
368E-9 1.64093 0.205 
369E-9 1.64045 0.208 
370E-9 1.63994 0.209 
371E-9 1.63941 0.21 
372E-9 1.63887 0.211 
373E-9 1.6383 0.211 
374E-9 1.63771 0.211 
375E-9 1.6371 0.21 
376E-9 1.63647 0.209 
377E-9 1.63582 0.208 
378E-9 1.63515 0.208 
379E-9 1.63445 0.207 
380E-9 1.63374 0.206 
381E-9 1.633 0.205 
382E-9 1.63224 0.204 
383E-9 1.63146 0.203 
384E-9 1.63065 0.201 
385E-9 1.62983 0.199 
386E-9 1.62898 0.197 
387E-9 1.62811 0.195 
388E-9 1.62722 0.193 
389E-9 1.62631 0.191 
390E-9 1.62537 0.19 
391E-9 1.62441 0.189 
392E-9 1.62343 0.189 
393E-9 1.62243 0.188 
394E-9 1.62141 0.188 
395E-9 1.62036 0.187 
396E-9 1.61929 0.187 
397E-9 1.61821 0.186 
398E-9 1.6171 0.186 
399E-9 1.61596 0.186 
400E-9 1.61481 0.186 
401E-9 1.61364 0.186 
402E-9 1.61245 0.187 
403E-9 1.61124 0.187 
404E-9 1.61001 0.188 
405E-9 1.60876 0.188 
406E-9 1.60749 0.189 
407E-9 1.6062 0.189 
408E-9 1.6049 0.19 
409E-9 1.60358 0.19 
410E-9 1.60224 0.19 
411E-9 1.60089 0.191 
412E-9 1.59952 0.192 
413E-9 1.59814 0.192 
414E-9 1.59674 0.193 
415E-9 1.59533 0.193 
416E-9 1.59391 0.194 
417E-9 1.59248 0.195 
418E-9 1.59104 0.195 
419E-9 1.58959 0.196 
420E-9 1.58813 0.197 
421E-9 1.58666 0.197 
422E-9 1.58519 0.198 
423E-9 1.58371 0.198 
424E-9 1.58223 0.199 
425E-9 1.58075 0.2 
426E-9 1.57926 0.201 
427E-9 1.57778 0.201 
428E-9 1.5763 0.202 
429E-9 1.57482 0.203 
430E-9 1.57335 0.203 
431E-9 1.57188 0.204 
432E-9 1.57043 0.205 
433E-9 1.56899 0.206 
434E-9 1.56756 0.207 
435E-9 1.56615 0.208 
436E-9 1.56476 0.209 
437E-9 1.5634 0.21 
438E-9 1.56208 0.211 
439E-9 1.5608 0.212 
440E-9 1.55956 0.213 
441E-9 1.55834 0.214 
442E-9 1.55714 0.216 
443E-9 1.55597 0.217 
444E-9 1.5548 0.218 
445E-9 1.55366 0.219 
446E-9 1.55253 0.221 
447E-9 1.55141 0.222 
448E-9 1.55031 0.223 
449E-9 1.54922 0.224 
450E-9 1.54815 0.225 
451E-9 1.54708 0.226 
452E-9 1.54603 0.227 
453E-9 1.54499 0.228 
454E-9 1.54395 0.23 
455E-9 1.54293 0.231 
456E-9 1.54192 0.232 
457E-9 1.54092 0.234 
458E-9 1.53993 0.235 
459E-9 1.53895 0.237 
460E-9 1.53798 0.238 
461E-9 1.53702 0.24 
462E-9 1.53607 0.241 
463E-9 1.53512 0.243 
464E-9 1.53419 0.244 
465E-9 1.53326 0.246 
466E-9 1.53235 0.248 
467E-9 1.53144 0.249 
468E-9 1.53054 0.251 
469E-9 1.52965 0.253 
470E-9 1.52877 0.255 
471E-9 1.5279 0.257 
472E-9 1.52704 0.259 
473E-9 1.52619 0.261 
474E-9 1.52534 0.263 
475E-9 1.52451 0.265 
476E-9 1.52368 0.267 
477E-9 1.52286 0.269 
478E-9 1.52205 0.271 
479E-9 1.52125 0.274 
480E-9 1.52046 0.276 
481E-9 1.51968 0.278 
482E-9 1.51891 0.28 
483E-9 1.51814 0.282 
484E-9 1.51739 0.285 
485E-9 1.51664 0.287 
486E-9 1.51591 0.289 
487E-9 1.51518 0.292 
488E-9 1.51446 0.294 
489E-9 1.51375 0.296 
490E-9 1.51306 0.298 
491E-9 1.51236 0.301 
492E-9 1.51169 0.302 
493E-9 1.51101 0.304 
494E-9 1.51035 0.307 
495E-9 1.5097 0.309 
496E-9 1.50906 0.312 
497E-9 1.50843 0.314 
498E-9 1.50781 0.316 
499E-9 1.5072 0.319 
500E-9 1.50659 0.321 
501E-9 1.506 0.324 
502E-9 1.50542 0.326 
503E-9 1.50485 0.328 
504E-9 1.50429 0.33 
505E-9 1.50373 0.332 
506E-9 1.50319 0.335 
507E-9 1.50266 0.337 
508E-9 1.50214 0.34 
509E-9 1.50163 0.343 
510E-9 1.50112 0.345 
511E-9 1.50063 0.348 
512E-9 1.50015 0.351 
513E-9 1.49968 0.354 
514E-9 1.49922 0.356 
515E-9 1.49876 0.359 
516E-9 1.49832 0.362 
517E-9 1.49789 0.365 
518E-9 1.49747 0.367 
519E-9 1.49705 0.37 
520E-9 1.49665 0.373 
521E-9 1.49626 0.376 
522E-9 1.49587 0.379 
523E-9 1.49549 0.382 
524E-9 1.49513 0.385 
525E-9 1.49477 0.388 
526E-9 1.49442 0.39 
527E-9 1.49407 0.393 
528E-9 1.49374 0.395 
529E-9 1.49341 0.398 
530E-9 1.49309 0.401 
531E-9 1.49278 0.404 
532E-9 1.49247 0.407 
533E-9 1.49217 0.41 
534E-9 1.49188 0.413 
535E-9 1.49159 0.416 
536E-9 1.4913 0.419 
537E-9 1.49102 0.421 
538E-9 1.49075 0.424 
539E-9 1.49047 0.428 
540E-9 1.4902 0.431 
541E-9 1.48994 0.434 
542E-9 1.48967 0.437 
543E-9 1.4894 0.44 
544E-9 1.48914 0.444 
545E-9 1.48887 0.447 
546E-9 1.4886 0.45 
547E-9 1.48833 0.454 
548E-9 1.48805 0.458 
549E-9 1.48777 0.461 
550E-9 1.48748 0.465 
551E-9 1.48719 0.469 
552E-9 1.48689 0.472 
553E-9 1.48658 0.477 
554E-9 1.48625 0.481 
555E-9 1.48591 0.485 
556E-9 1.48556 0.49 
557E-9 1.48519 0.495 
558E-9 1.48481 0.499 
559E-9 1.4844 0.504 
560E-9 1.48397 0.509 
561E-9 1.48351 0.514 
562E-9 1.48303 0.519 
563E-9 1.48252 0.524 
564E-9 1.48197 0.529 
565E-9 1.48138 0.534 
566E-9 1.48076 0.539 
567E-9 1.48009 0.543 
568E-9 1.47937 0.548 
569E-9 1.4786 0.553 
570E-9 1.47777 0.558 
571E-9 1.47688 0.563 
572E-9 1.47593 0.568 
573E-9 1.47489 0.572 
574E-9 1.47378 0.577 
575E-9 1.47259 0.581 
576E-9 1.4713 0.585 
577E-9 1.46992 0.589 
578E-9 1.46844 0.593 
579E-9 1.46684 0.597 
580E-9 1.46512 0.6 
581E-9 1.46329 0.603 
582E-9 1.46132 0.606 
583E-9 1.45922 0.609 
584E-9 1.457 0.612 
585E-9 1.45463 0.615 
586E-9 1.45212 0.618 
587E-9 1.44948 0.621 
588E-9 1.44669 0.624 
589E-9 1.44378 0.626 
590E-9 1.44076 0.629 
591E-9 1.43762 0.632 
592E-9 1.4344 0.635 
593E-9 1.43111 0.638 
594E-9 1.42777 0.641 
595E-9 1.42442 0.644 
596E-9 1.42109 0.648 
597E-9 1.41783 0.652 
598E-9 1.41468 0.655 
599E-9 1.41167 0.659 
600E-9 1.4089 0.664 
601E-9 1.4064 0.668 
602E-9 1.40421 0.673 
603E-9 1.40248 0.678 
604E-9 1.4012 0.683 
605E-9 1.40044 0.688 
606E-9 1.40035 0.693 
607E-9 1.4009 0.698 
608E-9 1.40216 0.704 
609E-9 1.4043 0.709 
610E-9 1.40722 0.715 
611E-9 1.41101 0.721 
612E-9 1.41578 0.726 
613E-9 1.42142 0.731 
614E-9 1.42799 0.736 
615E-9 1.43556 0.74 
616E-9 1.44399 0.745 
617E-9 1.45332 0.749 
618E-9 1.46354 0.753 
619E-9 1.47452 0.757 
620E-9 1.48626 0.76 
621E-9 1.49872 0.763 
622E-9 1.51174 0.765 
623E-9 1.52533 0.766 
624E-9 1.53938 0.768 
625E-9 1.55379 0.768 
626E-9 1.56849 0.768 
627E-9 1.5834 0.767 
628E-9 1.59842 0.766 
629E-9 1.61348 0.764 
630E-9 1.62847 0.762 
631E-9 1.64335 0.758 
632E-9 1.658 0.754 
633E-9 1.67237 0.75 
634E-9 1.6864 0.744 
635E-9 1.69998 0.738 
636E-9 1.7131 0.732 
637E-9 1.72571 0.724 
638E-9 1.73768 0.716 
639E-9 1.74905 0.707 
640E-9 1.7598 0.699 
641E-9 1.76977 0.689 
642E-9 1.77906 0.68 
643E-9 1.78764 0.67 
644E-9 1.79538 0.66 
645E-9 1.80241 0.65 
646E-9 1.80867 0.64 
647E-9 1.81411 0.629 
648E-9 1.81882 0.619 
649E-9 1.82278 0.609 
650E-9 1.82594 0.599 
651E-9 1.82843 0.589 
652E-9 1.8302 0.579 
653E-9 1.83052 0.57 
654E-9 1.82933 0.561 
655E-9 1.82815 0.553 
656E-9 1.82697 0.544 
657E-9 1.82578 0.536 
658E-9 1.8246 0.528 
659E-9 1.82341 0.521 
660E-9 1.82223 0.514 
661E-9 1.81905 0.508 
662E-9 1.81543 0.503 
663E-9 1.81149 0.498 
664E-9 1.80721 0.493 
665E-9 1.80267 0.489 
666E-9 1.7979 0.485 
667E-9 1.79291 0.482 
668E-9 1.78776 0.479 
669E-9 1.78247 0.477 
670E-9 1.77706 0.475 
671E-9 1.77156 0.473 
672E-9 1.766 0.472 
673E-9 1.7604 0.47 
674E-9 1.75478 0.47 
675E-9 1.74917 0.47 
676E-9 1.74356 0.47 
677E-9 1.73799 0.471 
678E-9 1.73247 0.471 
679E-9 1.72701 0.473 
680E-9 1.72161 0.474 
681E-9 1.71629 0.476 
682E-9 1.71106 0.477 
683E-9 1.7059 0.479 
684E-9 1.70086 0.482 
685E-9 1.6959 0.485 
686E-9 1.69105 0.488 
687E-9 1.6863 0.491 
688E-9 1.68165 0.493 
689E-9 1.67711 0.497 
690E-9 1.67267 0.501 
691E-9 1.66833 0.504 
692E-9 1.66409 0.508 
693E-9 1.65995 0.513 
694E-9 1.65591 0.516 
695E-9 1.65196 0.52 
696E-9 1.64811 0.525 
697E-9 1.64434 0.53 
698E-9 1.64067 0.534 
699E-9 1.63708 0.539 
700E-9 1.63358 0.544 
701E-9 1.63016 0.548 
702E-9 1.62682 0.553 
703E-9 1.62356 0.558 
704E-9 1.62038 0.562 
705E-9 1.61728 0.567 
706E-9 1.61425 0.572 
707E-9 1.6113 0.577 
708E-9 1.60843 0.582 
709E-9 1.60563 0.586 
710E-9 1.6029 0.591 
711E-9 1.60025 0.596 
712E-9 1.59768 0.6 
713E-9 1.59518 0.605 
714E-9 1.59276 0.609 
715E-9 1.59042 0.613 
716E-9 1.58816 0.618 
717E-9 1.58597 0.622 
718E-9 1.58388 0.627 
719E-9 1.58186 0.631 
720E-9 1.57993 0.636 
721E-9 1.5781 0.639 
722E-9 1.57636 0.643 
723E-9 1.5747 0.647 
724E-9 1.57316 0.651 
725E-9 1.5717 0.655 
726E-9 1.57035 0.658 
727E-9 1.56911 0.662 
728E-9 1.56798 0.665 
729E-9 1.56696 0.669 
730E-9 1.56606 0.671 
731E-9 1.56527 0.674 
732E-9 1.56462 0.678 
733E-9 1.56409 0.681 
