lambda n k
300E-9 1.55 0 
301E-9 1.55 0 
302E-9 1.55 0 
303E-9 1.55 0 
304E-9 1.545 0 
305E-9 1.54 0 
306E-9 1.54 0 
307E-9 1.54 0 
308E-9 1.54 0 
309E-9 1.54 0 
310E-9 1.54 0 
311E-9 1.54 0 
312E-9 1.54 0 
313E-9 1.54 0 
314E-9 1.54 0 
315E-9 1.535 0 
316E-9 1.53 0 
317E-9 1.53 0 
318E-9 1.53 0 
319E-9 1.53 0 
320E-9 1.53 0 
321E-9 1.53 0 
322E-9 1.53 0 
323E-9 1.53 0 
324E-9 1.52 0 
325E-9 1.52 0 
326E-9 1.52 0 
327E-9 1.52 0 
328E-9 1.52 0 
329E-9 1.52 0 
330E-9 1.52 0 
331E-9 1.52 0 
332E-9 1.52 0 
333E-9 1.52 0 
334E-9 1.52 0 
335E-9 1.51 0 
336E-9 1.51 0 
337E-9 1.51 0 
338E-9 1.51 0 
339E-9 1.51 0 
340E-9 1.51 0 
341E-9 1.51 0 
342E-9 1.51 0 
343E-9 1.51 0 
344E-9 1.51 0 
345E-9 1.5 0 
346E-9 1.5 0 
347E-9 1.5 0 
348E-9 1.5 0 
349E-9 1.5 0 
350E-9 1.5 0 
351E-9 1.5 0 
352E-9 1.5 0 
353E-9 1.5 0 
354E-9 1.5 0 
355E-9 1.5 0 
356E-9 1.5 0 
357E-9 1.5 0 
358E-9 1.5 0 
359E-9 1.5 0 
360E-9 1.49 0 
361E-9 1.49 0 
362E-9 1.49 0 
363E-9 1.49 0 
364E-9 1.49 0 
365E-9 1.49 0 
366E-9 1.49 0 
367E-9 1.49 0 
368E-9 1.49 0 
369E-9 1.49 0 
370E-9 1.49 0 
371E-9 1.49 0 
372E-9 1.49 0 
373E-9 1.49 0 
374E-9 1.49 0 
375E-9 1.49 0 
376E-9 1.49 0 
377E-9 1.49 0 
378E-9 1.49 0 
379E-9 1.48 0 
380E-9 1.48 0 
381E-9 1.48 0 
382E-9 1.48 0 
383E-9 1.48 0 
384E-9 1.48 0 
385E-9 1.48 0 
386E-9 1.48 0 
387E-9 1.48 0 
388E-9 1.48 0 
389E-9 1.48 0 
390E-9 1.48 0 
391E-9 1.48 0 
392E-9 1.48 0 
393E-9 1.48 0 
394E-9 1.48 0 
395E-9 1.48 0 
396E-9 1.48 0 
397E-9 1.48 0 
398E-9 1.48 0 
399E-9 1.47 0 
400E-9 1.47 0 
401E-9 1.47 0 
402E-9 1.47 0 
403E-9 1.47 0 
404E-9 1.47 0 
405E-9 1.47 0 
406E-9 1.47 0 
407E-9 1.47 0 
408E-9 1.47 0 
409E-9 1.47 0 
410E-9 1.47 0 
411E-9 1.47 0 
412E-9 1.47 0 
413E-9 1.47 0 
414E-9 1.47 0 
415E-9 1.47 0 
416E-9 1.47 0 
417E-9 1.47 0 
418E-9 1.47 0 
419E-9 1.47 0 
420E-9 1.47 0 
421E-9 1.47 0 
422E-9 1.47 0 
423E-9 1.46 0 
424E-9 1.46 0 
425E-9 1.46 0 
426E-9 1.46 0 
427E-9 1.46 0 
428E-9 1.46 0 
429E-9 1.46 0 
430E-9 1.46 0 
431E-9 1.46 0 
432E-9 1.46 0 
433E-9 1.46 0 
434E-9 1.46 0 
435E-9 1.46 0 
436E-9 1.46 0 
437E-9 1.46 0 
438E-9 1.46 0 
439E-9 1.46 0 
440E-9 1.46 0 
441E-9 1.46 0 
442E-9 1.46 0 
443E-9 1.46 0 
444E-9 1.46 0 
445E-9 1.46 0 
446E-9 1.46 0 
447E-9 1.46 0 
448E-9 1.46 0 
449E-9 1.45 0 
450E-9 1.45 0 
451E-9 1.45 0 
452E-9 1.45 0 
453E-9 1.45 0 
454E-9 1.45 0 
455E-9 1.45 0 
456E-9 1.45 0 
457E-9 1.45 0 
458E-9 1.45 0 
459E-9 1.45 0 
460E-9 1.45 0 
461E-9 1.45 0 
462E-9 1.45 0 
463E-9 1.45 0 
464E-9 1.45 0 
465E-9 1.45 0 
466E-9 1.45 0 
467E-9 1.45 0 
468E-9 1.45 0 
469E-9 1.45 0 
470E-9 1.45 0 
471E-9 1.45 0 
472E-9 1.45 0 
473E-9 1.45 0 
474E-9 1.45 0 
475E-9 1.45 0 
476E-9 1.45 0 
477E-9 1.45 0 
478E-9 1.45 0 
479E-9 1.45 0 
480E-9 1.45 0 
481E-9 1.45 0 
482E-9 1.45 0 
483E-9 1.45 0 
484E-9 1.45 0 
485E-9 1.45 0 
486E-9 1.45 0 
487E-9 1.45 0 
488E-9 1.45 0 
489E-9 1.45 0 
490E-9 1.45 0 
491E-9 1.45 0 
492E-9 1.45 0 
493E-9 1.45 0 
494E-9 1.45 0 
495E-9 1.45 0 
496E-9 1.45 0 
497E-9 1.45 0 
498E-9 1.45 0 
499E-9 1.44 0 
500E-9 1.44 0 
501E-9 1.44 0 
502E-9 1.44 0 
503E-9 1.44 0 
504E-9 1.44 0 
505E-9 1.44 0 
506E-9 1.44 0 
507E-9 1.44 0 
508E-9 1.44 0 
509E-9 1.44 0 
510E-9 1.44 0 
511E-9 1.44 0 
512E-9 1.44 0 
513E-9 1.44 0 
514E-9 1.44 0 
515E-9 1.44 0 
516E-9 1.44 0 
517E-9 1.44 0 
518E-9 1.44 0 
519E-9 1.44 0 
520E-9 1.44 0 
521E-9 1.44 0 
522E-9 1.44 0 
523E-9 1.44 0 
524E-9 1.44 0 
525E-9 1.44 0 
