lambda n k
300E-9 1.67 0 
301E-9 1.6692 0 
302E-9 1.6685 0 
303E-9 1.6677 0 
304E-9 1.6669 0 
305E-9 1.6662 0 
306E-9 1.6654 0 
307E-9 1.6646 0 
308E-9 1.6638 0 
309E-9 1.6631 0 
310E-9 1.6623 0 
311E-9 1.6615 0 
312E-9 1.6608 0 
313E-9 1.66 0 
314E-9 1.6594 0 
315E-9 1.6587 0 
316E-9 1.6581 0 
317E-9 1.6575 0 
318E-9 1.6569 0 
319E-9 1.6563 0 
320E-9 1.6556 0 
321E-9 1.655 0 
322E-9 1.6544 0 
323E-9 1.6537 0 
324E-9 1.6531 0 
325E-9 1.6525 0 
326E-9 1.6519 0 
327E-9 1.6512 0 
328E-9 1.6506 0 
329E-9 1.65 0 
330E-9 1.649 0 
331E-9 1.6481 0 
332E-9 1.6471 0 
333E-9 1.6462 0 
334E-9 1.6452 0 
335E-9 1.6443 0 
336E-9 1.6433 0 
337E-9 1.6424 0 
338E-9 1.6414 0 
339E-9 1.6405 0 
340E-9 1.6395 0 
341E-9 1.6386 0 
342E-9 1.6376 0 
343E-9 1.6367 0 
344E-9 1.6357 0 
345E-9 1.6348 0 
346E-9 1.6338 0 
347E-9 1.6329 0 
348E-9 1.6319 0 
349E-9 1.631 0 
350E-9 1.63 0 
351E-9 1.63 0 
352E-9 1.63 0 
353E-9 1.63 0 
354E-9 1.63 0 
355E-9 1.63 0 
356E-9 1.63 0 
357E-9 1.63 0 
358E-9 1.63 0 
359E-9 1.63 0 
360E-9 1.63 0 
361E-9 1.63 0 
362E-9 1.63 0 
363E-9 1.63 0 
364E-9 1.6294 0 
365E-9 1.6287 0 
366E-9 1.6281 0 
367E-9 1.6275 0 
368E-9 1.6269 0 
369E-9 1.6263 0 
370E-9 1.6256 0 
371E-9 1.625 0 
372E-9 1.6244 0 
373E-9 1.6238 0 
374E-9 1.6231 0 
375E-9 1.6225 0 
376E-9 1.6219 0 
377E-9 1.6213 0 
378E-9 1.6206 0 
379E-9 1.62 0 
380E-9 1.62 0 
381E-9 1.62 0 
382E-9 1.62 0 
383E-9 1.62 0 
384E-9 1.62 0 
385E-9 1.62 0 
386E-9 1.62 0 
387E-9 1.62 0 
388E-9 1.62 0 
389E-9 1.62 0 
390E-9 1.62 0 
391E-9 1.62 0 
392E-9 1.62 0 
393E-9 1.62 0 
394E-9 1.62 0 
395E-9 1.62 0 
396E-9 1.62 0 
397E-9 1.62 0 
398E-9 1.62 0 
399E-9 1.62 0 
400E-9 1.62 0 
401E-9 1.6189 0 
402E-9 1.6178 0 
403E-9 1.6167 0 
404E-9 1.6156 0 
405E-9 1.6144 0 
406E-9 1.6133 0 
407E-9 1.6122 0 
408E-9 1.6111 0 
409E-9 1.61 0 
410E-9 1.61 0 
411E-9 1.61 0 
412E-9 1.61 0 
413E-9 1.61 0 
414E-9 1.61 0 
415E-9 1.61 0 
416E-9 1.61 0 
417E-9 1.61 0 
418E-9 1.61 0 
419E-9 1.61 0 
420E-9 1.61 0 
421E-9 1.61 0 
422E-9 1.61 0 
423E-9 1.61 0 
424E-9 1.61 0 
425E-9 1.61 0 
426E-9 1.61 0 
427E-9 1.61 0 
428E-9 1.61 0 
429E-9 1.61 0 
430E-9 1.61 0 
431E-9 1.61 0 
432E-9 1.61 0 
433E-9 1.61 0 
434E-9 1.61 0 
435E-9 1.61 0 
436E-9 1.61 0 
437E-9 1.61 0 
438E-9 1.61 0 
439E-9 1.61 0 
440E-9 1.61 0 
441E-9 1.61 0 
442E-9 1.61 0 
443E-9 1.6086 0 
444E-9 1.6071 0 
445E-9 1.6057 0 
446E-9 1.6043 0 
447E-9 1.6029 0 
448E-9 1.6014 0 
449E-9 1.6 0 
450E-9 1.6011 0 
451E-9 1.6022 0 
452E-9 1.6033 0 
453E-9 1.6044 0 
454E-9 1.6056 0 
455E-9 1.6067 0 
456E-9 1.6078 0 
457E-9 1.6089 0 
458E-9 1.61 0 
459E-9 1.61 0 
460E-9 1.61 0 
461E-9 1.61 0 
462E-9 1.61 0 
463E-9 1.61 0 
464E-9 1.61 0 
465E-9 1.61 0 
466E-9 1.61 0 
467E-9 1.61 0 
468E-9 1.61 0 
469E-9 1.61 0 
470E-9 1.61 0 
471E-9 1.61 0 
472E-9 1.61 0 
473E-9 1.61 0 
474E-9 1.61 0 
475E-9 1.61 0 
476E-9 1.61 0 
477E-9 1.61 0 
478E-9 1.61 0 
479E-9 1.61 0 
480E-9 1.61 0 
481E-9 1.61 0 
482E-9 1.61 0 
483E-9 1.61 0 
484E-9 1.61 0 
485E-9 1.61 0 
486E-9 1.61 0 
487E-9 1.61 0 
488E-9 1.61 0 
489E-9 1.61 0 
490E-9 1.61 0 
491E-9 1.61 0 
492E-9 1.61 0 
493E-9 1.61 0 
494E-9 1.61 0 
495E-9 1.61 0 
496E-9 1.61 0 
497E-9 1.61 0 
498E-9 1.61 0 
499E-9 1.61 0 
500E-9 1.61 0 
501E-9 1.61 0 
502E-9 1.61 0 
503E-9 1.61 0 
504E-9 1.61 0 
505E-9 1.61 0 
506E-9 1.61 0 
507E-9 1.61 0 
508E-9 1.61 0 
509E-9 1.61 0 
510E-9 1.61 0 
511E-9 1.61 0 
512E-9 1.61 0 
513E-9 1.61 0 
514E-9 1.61 0 
515E-9 1.61 0 
516E-9 1.61 0 
517E-9 1.61 0 
518E-9 1.61 0 
519E-9 1.61 0 
520E-9 1.61 0 
521E-9 1.61 0 
522E-9 1.61 0 
523E-9 1.61 0 
524E-9 1.61 0 
525E-9 1.61 0 
526E-9 1.61 0 
527E-9 1.61 0 
528E-9 1.61 0 
529E-9 1.61 0 
530E-9 1.61 0 
531E-9 1.61 0 
532E-9 1.61 0 
533E-9 1.61 0 
534E-9 1.61 0 
535E-9 1.61 0 
536E-9 1.61 0 
537E-9 1.61 0 
538E-9 1.61 0 
539E-9 1.61 0 
540E-9 1.61 0 
541E-9 1.61 0 
542E-9 1.61 0 
543E-9 1.61 0 
544E-9 1.61 0 
545E-9 1.61 0 
546E-9 1.61 0 
547E-9 1.61 0 
548E-9 1.61 0 
549E-9 1.61 0 
550E-9 1.61 0 
551E-9 1.61 0 
552E-9 1.61 0 
553E-9 1.61 0 
554E-9 1.61 0 
555E-9 1.61 0 
556E-9 1.61 0 
557E-9 1.61 0 
558E-9 1.61 0 
559E-9 1.61 0 
560E-9 1.61 0 
561E-9 1.61 0 
562E-9 1.61 0 
563E-9 1.61 0 
564E-9 1.61 0 
565E-9 1.61 0 
566E-9 1.61 0 
567E-9 1.61 0 
568E-9 1.61 0 
569E-9 1.61 0 
570E-9 1.61 0 
571E-9 1.61 0 
572E-9 1.61 0 
573E-9 1.61 0 
574E-9 1.61 0 
575E-9 1.61 0 
576E-9 1.61 0 
577E-9 1.61 0 
578E-9 1.61 0 
579E-9 1.61 0 
580E-9 1.61 0 
581E-9 1.61 0 
582E-9 1.61 0 
583E-9 1.61 0 
584E-9 1.61 0 
585E-9 1.61 0 
586E-9 1.61 0 
587E-9 1.61 0 
588E-9 1.61 0 
589E-9 1.61 0 
590E-9 1.61 0 
591E-9 1.61 0 
592E-9 1.61 0 
593E-9 1.61 0 
594E-9 1.61 0 
595E-9 1.61 0 
596E-9 1.61 0 
597E-9 1.61 0 
598E-9 1.61 0 
599E-9 1.61 0 
600E-9 1.61 0 
601E-9 1.61 0 
602E-9 1.61 0 
603E-9 1.61 0 
604E-9 1.61 0 
605E-9 1.61 0 
606E-9 1.61 0 
607E-9 1.61 0 
608E-9 1.61 0 
609E-9 1.61 0 
610E-9 1.61 0 
611E-9 1.61 0 
612E-9 1.61 0 
613E-9 1.61 0 
614E-9 1.61 0 
615E-9 1.61 0 
616E-9 1.61 0 
617E-9 1.61 0 
618E-9 1.61 0 
619E-9 1.61 0 
620E-9 1.61 0 
621E-9 1.61 0 
622E-9 1.61 0 
623E-9 1.61 0 
624E-9 1.6106 0 
625E-9 1.6113 0 
626E-9 1.6119 0 
627E-9 1.6125 0 
628E-9 1.6131 0 
629E-9 1.6138 0 
630E-9 1.6144 0 
631E-9 1.615 0 
632E-9 1.6156 0 
633E-9 1.6163 0 
634E-9 1.6169 0 
635E-9 1.6175 0 
636E-9 1.6181 0 
637E-9 1.6188 0 
638E-9 1.6194 0 
639E-9 1.62 0 
640E-9 1.62 0 
641E-9 1.62 0 
642E-9 1.62 0 
643E-9 1.62 0 
644E-9 1.62 0 
645E-9 1.62 0 
646E-9 1.62 0 
647E-9 1.62 0 
648E-9 1.62 0 
649E-9 1.62 0 
650E-9 1.62 0 
651E-9 1.62 0 
652E-9 1.62 0 
653E-9 1.62 0 
654E-9 1.62 0 
655E-9 1.62 0 
656E-9 1.62 0 
657E-9 1.62 0 
658E-9 1.62 0 
659E-9 1.62 0 
660E-9 1.62 0 
661E-9 1.62 0 
662E-9 1.62 0 
663E-9 1.62 0 
664E-9 1.62 0 
665E-9 1.62 0 
666E-9 1.62 0 
667E-9 1.62 0 
668E-9 1.62 0 
669E-9 1.62 0 
670E-9 1.62 0 
671E-9 1.62 0 
672E-9 1.62 0 
673E-9 1.62 0 
674E-9 1.62 0 
675E-9 1.62 0 
676E-9 1.62 0 
677E-9 1.62 0 
678E-9 1.62 0 
679E-9 1.62 0 
680E-9 1.62 0 
681E-9 1.62 0 
682E-9 1.62 0 
683E-9 1.62 0 
684E-9 1.62 0 
685E-9 1.62 0 
686E-9 1.62 0 
687E-9 1.62 0 
688E-9 1.62 0 
689E-9 1.62 0 
690E-9 1.62 0 
691E-9 1.62 0 
692E-9 1.62 0 
693E-9 1.62 0 
694E-9 1.62 0 
695E-9 1.62 0 
696E-9 1.62 0 
697E-9 1.62 0 
698E-9 1.62 0 
699E-9 1.62 0 
700E-9 1.62 0 
701E-9 1.62 0 
702E-9 1.62 0 
703E-9 1.62 0 
704E-9 1.62 0 
705E-9 1.62 0 
706E-9 1.62 0 
707E-9 1.62 0 
708E-9 1.62 0 
