lambda n k
300E-9 1.54252 0.13628 
301E-9 1.53952 0.14087 
302E-9 1.53673 0.14568 
303E-9 1.53416 0.15073 
304E-9 1.53185 0.15601 
305E-9 1.52982 0.1615 
306E-9 1.5281 0.1672 
307E-9 1.52672 0.17309 
308E-9 1.52573 0.17914 
309E-9 1.52514 0.18533 
310E-9 1.52499 0.19163 
311E-9 1.5253 0.19799 
312E-9 1.52609 0.20438 
313E-9 1.52739 0.21072 
314E-9 1.5292 0.21698 
315E-9 1.53153 0.22309 
316E-9 1.53437 0.22897 
317E-9 1.53768 0.23458 
318E-9 1.54146 0.23984 
319E-9 1.54565 0.2447 
320E-9 1.5502 0.24909 
321E-9 1.55505 0.25296 
322E-9 1.56013 0.2563 
323E-9 1.56536 0.25905 
324E-9 1.57064 0.26124 
325E-9 1.57592 0.26284 
326E-9 1.5811 0.26388 
327E-9 1.5861 0.26439 
328E-9 1.59085 0.26441 
329E-9 1.59531 0.26398 
330E-9 1.5994 0.26319 
331E-9 1.60309 0.26208 
332E-9 1.60636 0.26073 
333E-9 1.60919 0.25921 
334E-9 1.61157 0.25758 
335E-9 1.6135 0.25593 
336E-9 1.61499 0.25431 
337E-9 1.61607 0.25278 
338E-9 1.61677 0.2514 
339E-9 1.6171 0.25023 
340E-9 1.61712 0.24931 
341E-9 1.61686 0.24867 
342E-9 1.61638 0.24836 
343E-9 1.61571 0.2484 
344E-9 1.61492 0.24882 
345E-9 1.61405 0.24965 
346E-9 1.61315 0.25088 
347E-9 1.6123 0.25253 
348E-9 1.61155 0.2546 
349E-9 1.61095 0.25708 
350E-9 1.61058 0.25997 
351E-9 1.6105 0.26323 
352E-9 1.61077 0.26685 
353E-9 1.61144 0.27077 
354E-9 1.61259 0.27495 
355E-9 1.61426 0.27932 
356E-9 1.61649 0.28382 
357E-9 1.61932 0.28835 
358E-9 1.62279 0.29283 
359E-9 1.62686 0.29715 
360E-9 1.63158 0.30121 
361E-9 1.63688 0.30492 
362E-9 1.64271 0.30815 
363E-9 1.64901 0.31084 
364E-9 1.65568 0.31288 
365E-9 1.66262 0.31422 
366E-9 1.66972 0.31481 
367E-9 1.67683 0.31464 
368E-9 1.68384 0.31371 
369E-9 1.69062 0.31204 
370E-9 1.69704 0.30969 
371E-9 1.703 0.30675 
372E-9 1.70842 0.30329 
373E-9 1.71321 0.29941 
374E-9 1.71733 0.29524 
375E-9 1.72074 0.29087 
376E-9 1.72343 0.28645 
377E-9 1.72539 0.28207 
378E-9 1.72664 0.27785 
379E-9 1.72722 0.27391 
380E-9 1.72715 0.27035 
381E-9 1.7265 0.26728 
382E-9 1.72533 0.2648 
383E-9 1.72372 0.263 
384E-9 1.72175 0.26199 
385E-9 1.71954 0.26184 
386E-9 1.7172 0.26268 
387E-9 1.71489 0.26458 
388E-9 1.71279 0.26762 
389E-9 1.71113 0.27188 
390E-9 1.71018 0.27738 
391E-9 1.71024 0.28411 
392E-9 1.7117 0.29201 
393E-9 1.71495 0.30085 
394E-9 1.72036 0.31033 
395E-9 1.72832 0.31996 
396E-9 1.73909 0.32908 
397E-9 1.75269 0.33689 
398E-9 1.76886 0.34255 
399E-9 1.78705 0.34526 
400E-9 1.80641 0.34441 
401E-9 1.8259 0.33971 
402E-9 1.84442 0.33136 
403E-9 1.86107 0.31984 
404E-9 1.87521 0.30592 
405E-9 1.8865 0.29041 
406E-9 1.89491 0.27414 
407E-9 1.90065 0.25778 
408E-9 1.90402 0.24184 
409E-9 1.90542 0.22667 
410E-9 1.90522 0.21248 
411E-9 1.90376 0.19935 
412E-9 1.90138 0.18731 
413E-9 1.89829 0.17634 
414E-9 1.89471 0.16635 
415E-9 1.8908 0.15728 
416E-9 1.88667 0.14904 
417E-9 1.88241 0.14156 
418E-9 1.87811 0.13475 
419E-9 1.8738 0.12854 
420E-9 1.86953 0.12287 
421E-9 1.86531 0.11768 
422E-9 1.86119 0.11292 
423E-9 1.85716 0.10854 
424E-9 1.85323 0.1045 
425E-9 1.8494 0.10077 
426E-9 1.84568 0.0973 
427E-9 1.84207 0.09409 
428E-9 1.83858 0.0911 
429E-9 1.83519 0.0883 
430E-9 1.83189 0.08569 
431E-9 1.82871 0.08324 
432E-9 1.82562 0.08094 
433E-9 1.82262 0.07878 
434E-9 1.81972 0.07674 
435E-9 1.8169 0.07481 
436E-9 1.81417 0.073 
437E-9 1.81151 0.07128 
438E-9 1.80893 0.06964 
439E-9 1.80643 0.06808 
440E-9 1.804 0.06661 
441E-9 1.80162 0.0652 
442E-9 1.79932 0.06386 
443E-9 1.79708 0.06258 
444E-9 1.79489 0.06136 
445E-9 1.79277 0.06019 
446E-9 1.79071 0.05907 
447E-9 1.78868 0.05798 
448E-9 1.78671 0.05695 
449E-9 1.7848 0.05596 
450E-9 1.78292 0.05501 
451E-9 1.78109 0.05409 
452E-9 1.77931 0.05321 
453E-9 1.77756 0.05235 
454E-9 1.77586 0.05154 
455E-9 1.77419 0.05074 
456E-9 1.77255 0.04998 
457E-9 1.77096 0.04924 
458E-9 1.7694 0.04852 
459E-9 1.76787 0.04783 
460E-9 1.76637 0.04716 
461E-9 1.76491 0.0465 
462E-9 1.76347 0.04588 
463E-9 1.76206 0.04527 
464E-9 1.76069 0.04467 
465E-9 1.75933 0.0441 
466E-9 1.75801 0.04354 
467E-9 1.75671 0.043 
468E-9 1.75543 0.04247 
469E-9 1.75418 0.04196 
470E-9 1.75294 0.04146 
471E-9 1.75173 0.04097 
472E-9 1.75055 0.0405 
473E-9 1.74939 0.04003 
474E-9 1.74824 0.03958 
475E-9 1.74712 0.03915 
476E-9 1.74601 0.03872 
477E-9 1.74492 0.0383 
478E-9 1.74385 0.0379 
479E-9 1.7428 0.0375 
480E-9 1.74176 0.03711 
481E-9 1.74075 0.03673 
482E-9 1.73975 0.03636 
483E-9 1.73876 0.036 
484E-9 1.73779 0.03565 
485E-9 1.73684 0.0353 
