lambda n k
210E-9 1.498545 0.246335 
211E-9 1.496468 0.248613 
212E-9 1.49449 0.251038 
213E-9 1.492622 0.253605 
214E-9 1.490877 0.256309 
215E-9 1.489264 0.259144 
216E-9 1.487795 0.262101 
217E-9 1.486479 0.265173 
218E-9 1.485326 0.268349 
219E-9 1.484345 0.271619 
220E-9 1.483542 0.274971 
221E-9 1.482926 0.278394 
222E-9 1.482501 0.281876 
223E-9 1.482273 0.285401 
224E-9 1.482245 0.288958 
225E-9 1.48242 0.292532 
226E-9 1.482799 0.296108 
227E-9 1.483382 0.299673 
228E-9 1.484169 0.303212 
229E-9 1.485156 0.306711 
230E-9 1.486341 0.310156 
231E-9 1.487719 0.313534 
232E-9 1.489284 0.316832 
233E-9 1.491032 0.320037 
234E-9 1.492953 0.323137 
235E-9 1.495039 0.326121 
236E-9 1.497283 0.328979 
237E-9 1.499674 0.331701 
238E-9 1.502202 0.334279 
239E-9 1.504856 0.336703 
240E-9 1.507626 0.338968 
241E-9 1.5105 0.341068 
242E-9 1.513466 0.342996 
243E-9 1.516512 0.344749 
244E-9 1.519627 0.346323 
245E-9 1.522798 0.347715 
246E-9 1.526014 0.348925 
247E-9 1.529263 0.34995 
248E-9 1.532533 0.350791 
249E-9 1.535813 0.351447 
250E-9 1.539092 0.351922 
251E-9 1.542359 0.352215 
252E-9 1.545603 0.35233 
253E-9 1.548814 0.352269 
254E-9 1.551982 0.352037 
255E-9 1.555099 0.351637 
256E-9 1.558154 0.351073 
257E-9 1.561139 0.350351 
258E-9 1.564047 0.349475 
259E-9 1.566868 0.348452 
260E-9 1.569597 0.347286 
261E-9 1.572226 0.345984 
262E-9 1.574748 0.344552 
263E-9 1.577157 0.342997 
264E-9 1.579447 0.341325 
265E-9 1.581614 0.339543 
266E-9 1.583652 0.337658 
267E-9 1.585556 0.335676 
268E-9 1.587323 0.333606 
269E-9 1.588947 0.331453 
270E-9 1.590426 0.329226 
271E-9 1.591756 0.326931 
272E-9 1.592935 0.324576 
273E-9 1.593958 0.322169 
274E-9 1.594824 0.319716 
275E-9 1.595531 0.317226 
276E-9 1.596076 0.314706 
277E-9 1.596457 0.312164 
278E-9 1.596675 0.309607 
279E-9 1.596726 0.307044 
280E-9 1.59661 0.304482 
281E-9 1.596327 0.301929 
282E-9 1.595876 0.299394 
283E-9 1.595257 0.296884 
284E-9 1.594471 0.294408 
285E-9 1.593517 0.291975 
286E-9 1.592397 0.289593 
287E-9 1.591112 0.28727 
288E-9 1.589664 0.285015 
289E-9 1.588055 0.282837 
290E-9 1.586287 0.280745 
291E-9 1.584362 0.278747 
292E-9 1.582286 0.276853 
293E-9 1.580061 0.275072 
294E-9 1.577692 0.273412 
295E-9 1.575184 0.271883 
296E-9 1.572542 0.270493 
297E-9 1.569773 0.269251 
298E-9 1.566884 0.268165 
299E-9 1.563882 0.267244 
300E-9 1.560775 0.266495 
301E-9 1.557571 0.265927 
302E-9 1.554281 0.265547 
303E-9 1.550915 0.265362 
304E-9 1.547482 0.265378 
305E-9 1.543994 0.265601 
306E-9 1.540464 0.266037 
307E-9 1.536904 0.266689 
308E-9 1.533326 0.267562 
309E-9 1.529744 0.268659 
310E-9 1.526173 0.269981 
311E-9 1.522626 0.27153 
312E-9 1.519118 0.273306 
313E-9 1.515664 0.275308 
314E-9 1.512279 0.277534 
315E-9 1.508979 0.279981 
