lambda n k
300E-9 1.70496 0.12388 
301E-9 1.70386 0.1233 
302E-9 1.70151 0.12271 
303E-9 1.69857 0.12223 
304E-9 1.69475 0.12196 
305E-9 1.69167 0.12262 
306E-9 1.68938 0.12385 
307E-9 1.68957 0.12647 
308E-9 1.69103 0.12909 
309E-9 1.69334 0.13169 
310E-9 1.69567 0.13192 
311E-9 1.69753 0.13106 
312E-9 1.6987 0.12865 
313E-9 1.6988 0.126 
314E-9 1.69838 0.12368 
315E-9 1.69699 0.12267 
316E-9 1.69526 0.12263 
317E-9 1.69336 0.12319 
318E-9 1.69184 0.12441 
319E-9 1.69071 0.12568 
320E-9 1.69006 0.12701 
321E-9 1.68997 0.12824 
322E-9 1.6901 0.12939 
323E-9 1.69055 0.13034 
324E-9 1.69142 0.13118 
325E-9 1.69259 0.13195 
326E-9 1.69473 0.13274 
327E-9 1.69744 0.13356 
328E-9 1.70078 0.13442 
329E-9 1.70445 0.13479 
330E-9 1.70798 0.13472 
331E-9 1.71106 0.13377 
332E-9 1.71336 0.13178 
333E-9 1.71526 0.12929 
334E-9 1.7166 0.12619 
335E-9 1.71792 0.12318 
336E-9 1.71923 0.12027 
337E-9 1.72065 0.11779 
338E-9 1.72202 0.11534 
339E-9 1.72326 0.1129 
340E-9 1.72409 0.11009 
341E-9 1.72469 0.10707 
342E-9 1.72478 0.10357 
343E-9 1.72469 0.10002 
344E-9 1.72444 0.09641 
345E-9 1.72412 0.09313 
346E-9 1.72378 0.09003 
347E-9 1.7234 0.08723 
348E-9 1.72282 0.08461 
349E-9 1.72208 0.08204 
350E-9 1.72093 0.07947 
351E-9 1.71955 0.07686 
352E-9 1.71798 0.07424 
353E-9 1.71655 0.07186 
354E-9 1.7154 0.0697 
355E-9 1.71467 0.06788 
356E-9 1.71476 0.06653 
357E-9 1.71519 0.06532 
358E-9 1.71618 0.06412 
359E-9 1.71735 0.06251 
360E-9 1.71865 0.06063 
361E-9 1.71991 0.05756 
362E-9 1.72113 0.05403 
363E-9 1.72231 0.04986 
364E-9 1.72346 0.04508 
365E-9 1.72461 0.04006 
366E-9 1.72576 0.03472 
367E-9 1.72676 0.02941 
368E-9 1.72765 0.02413 
369E-9 1.72777 0.01944 
370E-9 1.7273 0.01527 
371E-9 1.72608 0.01174 
372E-9 1.72344 0.0095 
373E-9 1.72024 0.00781 
374E-9 1.71615 0.00702 
375E-9 1.71171 0.00675 
376E-9 1.70712 0.00676 
377E-9 1.70265 0.00707 
378E-9 1.69843 0.00742 
379E-9 1.69448 0.00781 
380E-9 1.691 0.0082 
381E-9 1.68775 0.00858 
382E-9 1.68488 0.00893 
383E-9 1.68236 0.00924 
384E-9 1.68004 0.00954 
385E-9 1.67802 0.0099 
386E-9 1.67603 0.01039 
387E-9 1.67407 0.01101 
388E-9 1.67192 0.01207 
389E-9 1.66962 0.01337 
390E-9 1.66703 0.0151 
391E-9 1.66418 0.0172 
392E-9 1.6612 0.01947 
393E-9 1.65804 0.022 
394E-9 1.65484 0.02457 
395E-9 1.65162 0.02717 
396E-9 1.64846 0.02966 
397E-9 1.64535 0.03204 
398E-9 1.64231 0.03424 
399E-9 1.63938 0.03612 
400E-9 1.63652 0.03781 
