lambda n k
300E-9 1.4607 0 
301E-9 1.4606 0 
302E-9 1.4605 0 
303E-9 1.4605 0 
304E-9 1.4604 0 
305E-9 1.4603 0 
306E-9 1.4602 0 
307E-9 1.4601 0 
308E-9 1.46 0 
309E-9 1.46 0 
310E-9 1.4599 0 
311E-9 1.4598 0 
312E-9 1.4598 0 
313E-9 1.4597 0 
314E-9 1.4596 0 
315E-9 1.4596 0 
316E-9 1.4596 0 
317E-9 1.4595 0 
318E-9 1.4595 0 
319E-9 1.4594 0 
320E-9 1.4594 0 
321E-9 1.4593 0 
322E-9 1.4592 0 
323E-9 1.4591 0 
324E-9 1.459 0 
325E-9 1.4589 0 
326E-9 1.4589 0 
327E-9 1.4589 0 
328E-9 1.4588 0 
329E-9 1.4588 0 
330E-9 1.4587 0 
331E-9 1.4587 0 
332E-9 1.4586 0 
333E-9 1.4586 0 
334E-9 1.4586 0 
335E-9 1.4585 0 
336E-9 1.4584 0 
337E-9 1.4583 0 
338E-9 1.4583 0 
339E-9 1.4582 0 
340E-9 1.4581 0 
341E-9 1.4581 0 
342E-9 1.458 0 
343E-9 1.458 0 
344E-9 1.4579 0 
345E-9 1.4579 0 
346E-9 1.4578 0 
347E-9 1.4578 0 
348E-9 1.4578 0 
349E-9 1.4577 0 
350E-9 1.4577 0 
351E-9 1.4576 0 
352E-9 1.4576 0 
353E-9 1.4575 0 
354E-9 1.4574 0 
355E-9 1.4574 0 
356E-9 1.4573 0 
357E-9 1.4573 0 
358E-9 1.4573 0 
359E-9 1.4573 0 
360E-9 1.4573 0 
361E-9 1.4572 0 
362E-9 1.4572 0 
363E-9 1.4571 0 
364E-9 1.457 0 
365E-9 1.457 0 
366E-9 1.4569 0 
367E-9 1.4568 0 
368E-9 1.4568 0 
369E-9 1.4568 0 
370E-9 1.4567 0 
371E-9 1.4567 0 
372E-9 1.4567 0 
373E-9 1.4566 0 
374E-9 1.4566 0 
375E-9 1.4565 0 
376E-9 1.4565 0 
377E-9 1.4565 0 
378E-9 1.4564 0 
379E-9 1.4564 0 
380E-9 1.4563 0 
381E-9 1.4563 0 
382E-9 1.4562 0 
383E-9 1.4562 0 
384E-9 1.4561 0 
385E-9 1.4561 0 
386E-9 1.456 0 
387E-9 1.456 0 
388E-9 1.456 0 
389E-9 1.456 0 
390E-9 1.456 0 
391E-9 1.4559 0 
392E-9 1.4558 0 
393E-9 1.4558 0 
394E-9 1.4557 0 
395E-9 1.4556 0 
396E-9 1.4555 0 
397E-9 1.4555 0 
398E-9 1.4555 0 
399E-9 1.4555 0 
400E-9 1.4555 0 
401E-9 1.4555 0 
402E-9 1.4555 0 
403E-9 1.4555 0 
404E-9 1.4554 0 
405E-9 1.4554 0 
406E-9 1.4553 0 
407E-9 1.4553 0 
408E-9 1.4552 0 
409E-9 1.4551 0 
410E-9 1.4551 0 
411E-9 1.4551 0 
412E-9 1.4551 0 
413E-9 1.4551 0 
414E-9 1.4551 0 
415E-9 1.4551 0 
416E-9 1.455 0 
417E-9 1.455 0 
418E-9 1.4549 0 
419E-9 1.4548 0 
420E-9 1.4548 0 
421E-9 1.4547 0 
422E-9 1.4546 0 
423E-9 1.4546 0 
424E-9 1.4546 0 
425E-9 1.4546 0 
426E-9 1.4546 0 
427E-9 1.4546 0 
428E-9 1.4546 0 
429E-9 1.4546 0 
430E-9 1.4545 0 
431E-9 1.4545 0 
432E-9 1.4544 0 
433E-9 1.4543 0 
434E-9 1.4543 0 
435E-9 1.4542 0 
436E-9 1.4542 0 
437E-9 1.4542 0 
438E-9 1.4542 0 
439E-9 1.4542 0 
440E-9 1.4542 0 
441E-9 1.4542 0 
442E-9 1.4542 0 
443E-9 1.4541 0 
444E-9 1.4541 0 
445E-9 1.454 0 
446E-9 1.454 0 
447E-9 1.4539 0 
448E-9 1.4539 0 
449E-9 1.4538 0 
450E-9 1.4538 0 
451E-9 1.4538 0 
452E-9 1.4538 0 
453E-9 1.4538 0 
454E-9 1.4538 0 
455E-9 1.4538 0 
456E-9 1.4538 0 
457E-9 1.4537 0 
458E-9 1.4537 0 
459E-9 1.4536 0 
460E-9 1.4536 0 
461E-9 1.4536 0 
462E-9 1.4535 0 
463E-9 1.4535 0 
464E-9 1.4535 0 
465E-9 1.4534 0 
466E-9 1.4534 0 
467E-9 1.4534 0 
468E-9 1.4534 0 
469E-9 1.4534 0 
470E-9 1.4533 0 
471E-9 1.4533 0 
472E-9 1.4533 0 
473E-9 1.4533 0 
474E-9 1.4532 0 
475E-9 1.4532 0 
476E-9 1.4532 0 
477E-9 1.4531 0 
478E-9 1.4531 0 
479E-9 1.4531 0 
480E-9 1.4531 0 
481E-9 1.453 0 
482E-9 1.453 0 
483E-9 1.453 0 
484E-9 1.4529 0 
485E-9 1.4529 0 
486E-9 1.4529 0 
487E-9 1.4529 0 
