lambda n k
350E-9 1.4594 0 
351E-9 1.4593 0 
352E-9 1.4592 0 
353E-9 1.4591 0 
354E-9 1.459 0 
355E-9 1.4589 0 
356E-9 1.4589 0 
357E-9 1.4589 0 
358E-9 1.4588 0 
359E-9 1.4588 0 
360E-9 1.4587 0 
361E-9 1.4587 0 
362E-9 1.4586 0 
363E-9 1.4586 0 
364E-9 1.4586 0 
365E-9 1.4585 0 
366E-9 1.4584 0 
367E-9 1.4583 0 
368E-9 1.4583 0 
369E-9 1.4582 0 
370E-9 1.4581 0 
371E-9 1.4581 0 
372E-9 1.458 0 
373E-9 1.458 0 
374E-9 1.4579 0 
375E-9 1.4579 0 
376E-9 1.4578 0 
377E-9 1.4578 0 
378E-9 1.4578 0 
379E-9 1.4577 0 
380E-9 1.4577 0 
381E-9 1.4576 0 
382E-9 1.4576 0 
383E-9 1.4575 0 
384E-9 1.4574 0 
385E-9 1.4574 0 
386E-9 1.4573 0 
387E-9 1.4573 0 
388E-9 1.4573 0 
389E-9 1.4573 0 
390E-9 1.4573 0 
391E-9 1.4572 0 
392E-9 1.4572 0 
393E-9 1.4571 0 
394E-9 1.457 0 
395E-9 1.457 0 
396E-9 1.4569 0 
397E-9 1.4568 0 
398E-9 1.4568 0 
399E-9 1.4568 0 
400E-9 1.4567 0 
401E-9 1.4567 0 
402E-9 1.4567 0 
403E-9 1.4566 0 
404E-9 1.4566 0 
405E-9 1.4565 0 
406E-9 1.4565 0 
407E-9 1.4565 0 
408E-9 1.4564 0 
409E-9 1.4564 0 
410E-9 1.4563 0 
411E-9 1.4563 0 
412E-9 1.4562 0 
413E-9 1.4562 0 
414E-9 1.4561 0 
415E-9 1.4561 0 
416E-9 1.456 0 
417E-9 1.456 0 
418E-9 1.456 0 
419E-9 1.456 0 
420E-9 1.456 0 
421E-9 1.4559 0 
422E-9 1.4558 0 
423E-9 1.4558 0 
424E-9 1.4557 0 
425E-9 1.4556 0 
426E-9 1.4555 0 
427E-9 1.4555 0 
428E-9 1.4555 0 
429E-9 1.4555 0 
430E-9 1.4555 0 
431E-9 1.4555 0 
432E-9 1.4555 0 
433E-9 1.4555 0 
434E-9 1.4554 0 
435E-9 1.4554 0 
436E-9 1.4553 0 
437E-9 1.4553 0 
438E-9 1.4552 0 
439E-9 1.4551 0 
440E-9 1.4551 0 
441E-9 1.4551 0 
442E-9 1.4551 0 
443E-9 1.4551 0 
444E-9 1.4551 0 
445E-9 1.4551 0 
446E-9 1.455 0 
447E-9 1.455 0 
448E-9 1.4549 0 
449E-9 1.4548 0 
450E-9 1.4548 0 
451E-9 1.4547 0 
452E-9 1.4546 0 
453E-9 1.4546 0 
454E-9 1.4546 0 
455E-9 1.4546 0 
456E-9 1.4546 0 
457E-9 1.4546 0 
458E-9 1.4546 0 
459E-9 1.4546 0 
460E-9 1.4545 0 
461E-9 1.4545 0 
462E-9 1.4544 0 
463E-9 1.4543 0 
464E-9 1.4543 0 
465E-9 1.4542 0 
466E-9 1.4542 0 
467E-9 1.4542 0 
468E-9 1.4542 0 
469E-9 1.4542 0 
470E-9 1.4542 0 
471E-9 1.4542 0 
472E-9 1.4542 0 
473E-9 1.4541 0 
474E-9 1.4541 0 
475E-9 1.454 0 
476E-9 1.454 0 
477E-9 1.4539 0 
478E-9 1.4539 0 
479E-9 1.4538 0 
480E-9 1.4538 0 
481E-9 1.4538 0 
482E-9 1.4538 0 
483E-9 1.4538 0 
484E-9 1.4538 0 
485E-9 1.4538 0 
486E-9 1.4538 0 
487E-9 1.4537 0 
488E-9 1.4537 0 
489E-9 1.4536 0 
490E-9 1.4536 0 
491E-9 1.4536 0 
492E-9 1.4535 0 
493E-9 1.4535 0 
494E-9 1.4535 0 
495E-9 1.4534 0 
496E-9 1.4534 0 
497E-9 1.4534 0 
498E-9 1.4534 0 
499E-9 1.4534 0 
500E-9 1.4533 0 
501E-9 1.4533 0 
502E-9 1.4533 0 
503E-9 1.4533 0 
504E-9 1.4532 0 
505E-9 1.4532 0 
506E-9 1.4532 0 
507E-9 1.4531 0 
508E-9 1.4531 0 
509E-9 1.4531 0 
510E-9 1.4531 0 
511E-9 1.453 0 
512E-9 1.453 0 
513E-9 1.453 0 
514E-9 1.4529 0 
515E-9 1.4529 0 
516E-9 1.4529 0 
517E-9 1.4529 0 
518E-9 1.4529 0 
519E-9 1.4529 0 
520E-9 1.4529 0 
521E-9 1.4529 0 
522E-9 1.4529 0 
523E-9 1.4529 0 
524E-9 1.4528 0 
525E-9 1.4528 0 
526E-9 1.4527 0 
527E-9 1.4526 0 
528E-9 1.4526 0 
529E-9 1.4525 0 
530E-9 1.4525 0 
531E-9 1.4525 0 
532E-9 1.4525 0 
533E-9 1.4525 0 
534E-9 1.4525 0 
535E-9 1.4525 0 
536E-9 1.4525 0 
537E-9 1.4525 0 
538E-9 1.4525 0 
539E-9 1.4524 0 
540E-9 1.4524 0 
541E-9 1.4523 0 
542E-9 1.4523 0 
543E-9 1.4522 0 
544E-9 1.4522 0 
545E-9 1.4521 0 
546E-9 1.4521 0 
547E-9 1.4521 0 
548E-9 1.4521 0 
549E-9 1.4521 0 
550E-9 1.4521 0 
551E-9 1.4521 0 
552E-9 1.4521 0 
553E-9 1.4521 0 
554E-9 1.452 0 
555E-9 1.452 0 
556E-9 1.452 0 
557E-9 1.452 0 
558E-9 1.452 0 
559E-9 1.452 0 
560E-9 1.452 0 
561E-9 1.452 0 
562E-9 1.452 0 
563E-9 1.4519 0 
564E-9 1.4519 0 
565E-9 1.4518 0 
566E-9 1.4518 0 
567E-9 1.4518 0 
568E-9 1.4517 0 
569E-9 1.4517 0 
570E-9 1.4516 0 
571E-9 1.4516 0 
572E-9 1.4516 0 
573E-9 1.4516 0 
574E-9 1.4516 0 
575E-9 1.4516 0 
576E-9 1.4516 0 
577E-9 1.4516 0 
578E-9 1.4516 0 
579E-9 1.4516 0 
580E-9 1.4516 0 
581E-9 1.4515 0 
582E-9 1.4515 0 
583E-9 1.4515 0 
584E-9 1.4514 0 
585E-9 1.4514 0 
586E-9 1.4514 0 
587E-9 1.4513 0 
588E-9 1.4513 0 
589E-9 1.4513 0 
