lambda n k
300E-9 1.43138 0.32976 
301E-9 1.43503 0.32975 
302E-9 1.43869 0.32973 
303E-9 1.44235 0.32972 
304E-9 1.446 0.32971 
305E-9 1.44966 0.3297 
306E-9 1.45332 0.32969 
307E-9 1.45697 0.32968 
308E-9 1.46063 0.32966 
309E-9 1.46429 0.32965 
310E-9 1.46794 0.32964 
311E-9 1.4716 0.32963 
312E-9 1.47526 0.32962 
313E-9 1.47891 0.3296 
314E-9 1.48257 0.32959 
315E-9 1.48623 0.32958 
316E-9 1.48988 0.32957 
317E-9 1.49354 0.32956 
318E-9 1.4972 0.32955 
319E-9 1.50085 0.32953 
320E-9 1.50451 0.32952 
321E-9 1.50817 0.32951 
322E-9 1.51182 0.3295 
323E-9 1.51548 0.32949 
324E-9 1.51914 0.32948 
325E-9 1.52279 0.32946 
326E-9 1.52645 0.32945 
327E-9 1.53011 0.32944 
328E-9 1.53376 0.32943 
329E-9 1.53742 0.32942 
330E-9 1.54108 0.3294 
331E-9 1.54473 0.32939 
332E-9 1.54839 0.32938 
333E-9 1.55205 0.32937 
334E-9 1.5557 0.32936 
335E-9 1.55936 0.32935 
336E-9 1.56302 0.32933 
337E-9 1.56667 0.32932 
338E-9 1.57033 0.32931 
339E-9 1.57399 0.3293 
340E-9 1.57764 0.32929 
341E-9 1.5813 0.32928 
342E-9 1.58496 0.32926 
343E-9 1.58861 0.32925 
344E-9 1.59227 0.32924 
345E-9 1.59593 0.32923 
346E-9 1.59958 0.32922 
347E-9 1.60324 0.3292 
348E-9 1.6069 0.32919 
349E-9 1.61055 0.32918 
350E-9 1.61421 0.32917 
351E-9 1.61816 0.29237 
352E-9 1.62172 0.29639 
353E-9 1.62528 0.3004 
354E-9 1.62884 0.30442 
355E-9 1.6324 0.30844 
356E-9 1.63596 0.31245 
357E-9 1.63952 0.31647 
358E-9 1.64308 0.32048 
359E-9 1.64664 0.3245 
360E-9 1.6502 0.32852 
361E-9 1.65587 0.33094 
362E-9 1.6616 0.33332 
363E-9 1.66732 0.33571 
364E-9 1.67305 0.33809 
365E-9 1.67877 0.34047 
366E-9 1.68449 0.34286 
367E-9 1.69022 0.34524 
368E-9 1.69594 0.34763 
369E-9 1.70166 0.35001 
370E-9 1.70739 0.35239 
371E-9 1.71456 0.35212 
372E-9 1.72176 0.35178 
373E-9 1.72897 0.35145 
374E-9 1.73617 0.35111 
375E-9 1.74338 0.35077 
376E-9 1.75058 0.35043 
377E-9 1.75779 0.35009 
378E-9 1.76499 0.34975 
379E-9 1.7722 0.34941 
380E-9 1.7794 0.34908 
381E-9 1.7867 0.34528 
382E-9 1.794 0.34139 
383E-9 1.80131 0.33751 
384E-9 1.80861 0.33362 
385E-9 1.81591 0.32973 
386E-9 1.82321 0.32584 
387E-9 1.83051 0.32196 
388E-9 1.83781 0.31807 
389E-9 1.84511 0.31418 
390E-9 1.85241 0.31029 
391E-9 1.85781 0.30291 
392E-9 1.86315 0.29544 
393E-9 1.86849 0.28796 
394E-9 1.87384 0.28049 
395E-9 1.87918 0.27301 
396E-9 1.88452 0.26554 
397E-9 1.88987 0.25806 
398E-9 1.89521 0.25059 
399E-9 1.90055 0.24311 
400E-9 1.90589 0.23564 
401E-9 1.90719 0.22611 
402E-9 1.90837 0.21653 
403E-9 1.90955 0.20695 
404E-9 1.91073 0.19736 
405E-9 1.91191 0.18778 
406E-9 1.91309 0.17819 
407E-9 1.91427 0.16861 
408E-9 1.91545 0.15903 
409E-9 1.91663 0.14944 
410E-9 1.91782 0.13986 
411E-9 1.91419 0.13138 
412E-9 1.91043 0.12294 
413E-9 1.90668 0.11449 
414E-9 1.90292 0.10605 
415E-9 1.89916 0.0976 
416E-9 1.8954 0.08916 
417E-9 1.89164 0.08071 
418E-9 1.88788 0.07227 
419E-9 1.88412 0.06383 
420E-9 1.88037 0.05538 
421E-9 1.87403 0.05098 
422E-9 1.86762 0.04669 
423E-9 1.86121 0.04241 
424E-9 1.8548 0.03812 
425E-9 1.8484 0.03384 
426E-9 1.84199 0.02956 
427E-9 1.83558 0.02527 
428E-9 1.82917 0.02099 
429E-9 1.82276 0.0167 
430E-9 1.81635 0.01242 
431E-9 1.81089 0.012 
432E-9 1.80546 0.0117 
433E-9 1.80003 0.01139 
434E-9 1.7946 0.01109 
435E-9 1.78917 0.01079 
436E-9 1.78374 0.01049 
437E-9 1.77831 0.01018 
438E-9 1.77288 0.00988 
439E-9 1.76744 0.00958 
440E-9 1.76201 0.00928 
441E-9 1.75896 0.01045 
442E-9 1.75598 0.01167 
443E-9 1.75301 0.01289 
444E-9 1.75003 0.01411 
445E-9 1.74705 0.01533 
446E-9 1.74407 0.01656 
447E-9 1.74109 0.01778 
448E-9 1.73812 0.019 
449E-9 1.73514 0.02022 
450E-9 1.73216 0.02144 
451E-9 1.73088 0.02242 
452E-9 1.72966 0.0234 
453E-9 1.72844 0.02438 
454E-9 1.72722 0.02536 
455E-9 1.72599 0.02634 
456E-9 1.72477 0.02732 
457E-9 1.72355 0.02829 
458E-9 1.72232 0.02927 
459E-9 1.7211 0.03025 
460E-9 1.71988 0.03123 
461E-9 1.71936 0.03156 
