lambda n k
300E-9 1.54378 0.21384 
301E-9 1.53568 0.2158 
302E-9 1.5283 0.21139 
303E-9 1.52166 0.21779 
304E-9 1.51575 0.22366 
305E-9 1.5104 0.22272 
306E-9 1.50569 0.22569 
307E-9 1.50158 0.227 
308E-9 1.49788 0.23437 
309E-9 1.49469 0.23683 
310E-9 1.49194 0.24314 
311E-9 1.48962 0.24606 
312E-9 1.48768 0.25243 
313E-9 1.48615 0.25812 
314E-9 1.48503 0.26859 
315E-9 1.48437 0.27811 
316E-9 1.48387 0.2858 
317E-9 1.48393 0.29687 
318E-9 1.48423 0.30831 
319E-9 1.48491 0.32127 
320E-9 1.48597 0.33445 
321E-9 1.48732 0.34727 
322E-9 1.48907 0.36414 
323E-9 1.49117 0.37786 
324E-9 1.49353 0.39923 
325E-9 1.49632 0.41282 
326E-9 1.49945 0.43098 
327E-9 1.50314 0.44744 
328E-9 1.50707 0.46881 
329E-9 1.51299 0.48984 
330E-9 1.51931 0.50525 
331E-9 1.52587 0.52392 
332E-9 1.53287 0.54423 
333E-9 1.54061 0.56174 
334E-9 1.54893 0.58149 
335E-9 1.55808 0.59859 
336E-9 1.56787 0.61671 
337E-9 1.57826 0.63785 
338E-9 1.58947 0.65586 
339E-9 1.60111 0.6724 
340E-9 1.61325 0.68623 
341E-9 1.62579 0.70169 
342E-9 1.63873 0.71535 
343E-9 1.65166 0.73191 
344E-9 1.66466 0.74713 
345E-9 1.67779 0.76148 
346E-9 1.69061 0.77368 
347E-9 1.70351 0.78896 
348E-9 1.71619 0.80432 
349E-9 1.72889 0.81063 
350E-9 1.74135 0.82594 
351E-9 1.75348 0.84359 
352E-9 1.7654 0.85019 
353E-9 1.77727 0.86134 
354E-9 1.78932 0.87222 
355E-9 1.8013 0.88119 
356E-9 1.81331 0.88498 
357E-9 1.82534 0.89499 
358E-9 1.83766 0.90325 
359E-9 1.84989 0.90857 
360E-9 1.86237 0.91621 
361E-9 1.87505 0.92405 
362E-9 1.88771 0.92346 
363E-9 1.9007 0.92535 
364E-9 1.91385 0.92973 
365E-9 1.92719 0.92961 
366E-9 1.94059 0.93165 
367E-9 1.95421 0.92848 
368E-9 1.96786 0.93084 
369E-9 1.98168 0.92846 
370E-9 1.99584 0.92335 
371E-9 2.01011 0.91938 
372E-9 2.02451 0.91401 
373E-9 2.03923 0.9098 
374E-9 2.05411 0.90264 
375E-9 2.06907 0.89972 
376E-9 2.08431 0.89023 
377E-9 2.0999 0.88067 
378E-9 2.1158 0.87712 
379E-9 2.13173 0.86589 
380E-9 2.14764 0.85563 
