lambda n k
300E-9 1.54378 0.24245 
301E-9 1.53568 0.25305 
302E-9 1.5283 0.24863 
303E-9 1.52166 0.25876 
304E-9 1.51575 0.25543 
305E-9 1.5104 0.25516 
306E-9 1.50569 0.26062 
307E-9 1.50158 0.26485 
308E-9 1.49788 0.26938 
309E-9 1.49469 0.27012 
310E-9 1.49194 0.2754 
311E-9 1.48962 0.28099 
312E-9 1.48768 0.28904 
313E-9 1.48615 0.29671 
314E-9 1.48503 0.30529 
315E-9 1.48437 0.31435 
316E-9 1.48387 0.3265 
317E-9 1.48393 0.33683 
318E-9 1.48423 0.34912 
319E-9 1.48491 0.36089 
320E-9 1.48597 0.37845 
321E-9 1.48732 0.39523 
322E-9 1.48907 0.40901 
323E-9 1.49117 0.42894 
324E-9 1.49353 0.44646 
325E-9 1.49632 0.46094 
326E-9 1.49945 0.48448 
327E-9 1.50314 0.50095 
328E-9 1.50707 0.52609 
329E-9 1.51299 0.54036 
330E-9 1.51931 0.56576 
331E-9 1.52587 0.58477 
332E-9 1.53287 0.60815 
333E-9 1.54061 0.62921 
334E-9 1.54893 0.64993 
335E-9 1.55808 0.66677 
336E-9 1.56787 0.68817 
337E-9 1.57826 0.70922 
338E-9 1.58947 0.72775 
339E-9 1.60111 0.7456 
340E-9 1.61325 0.7612 
341E-9 1.62579 0.78001 
342E-9 1.63873 0.79829 
343E-9 1.65166 0.81477 
344E-9 1.66466 0.83087 
345E-9 1.67779 0.84862 
346E-9 1.69061 0.85885 
347E-9 1.70351 0.87883 
348E-9 1.71619 0.89413 
349E-9 1.72889 0.90773 
350E-9 1.74135 0.91804 
351E-9 1.75348 0.92806 
352E-9 1.7654 0.94313 
353E-9 1.77727 0.956 
354E-9 1.78932 0.96488 
355E-9 1.8013 0.972 
356E-9 1.81331 0.97571 
357E-9 1.82534 0.98893 
358E-9 1.83766 0.99498 
359E-9 1.84989 1.00039 
360E-9 1.86237 1.00549 
361E-9 1.87505 1.01573 
362E-9 1.88771 1.01639 
363E-9 1.9007 1.01553 
364E-9 1.91385 1.01733 
365E-9 1.92719 1.02381 
366E-9 1.94059 1.02326 
367E-9 1.95421 1.01781 
368E-9 1.96786 1.01822 
369E-9 1.98168 1.01185 
370E-9 1.99584 1.01273 
371E-9 2.01011 1.00424 
372E-9 2.02451 0.99996 
373E-9 2.03923 0.99153 
374E-9 2.05411 0.98442 
375E-9 2.06907 0.97519 
376E-9 2.08431 0.97072 
377E-9 2.0999 0.95931 
378E-9 2.1158 0.94851 
379E-9 2.13173 0.93694 
380E-9 2.14764 0.92461 
381E-9 2.16376 0.91045 
382E-9 2.17924 0.89813 
383E-9 2.19415 0.88064 
384E-9 2.20817 0.86763 
385E-9 2.22135 0.8533 
386E-9 2.23332 0.83658 
387E-9 2.24397 0.81711 
388E-9 2.25317 0.80641 
389E-9 2.26077 0.78816 
390E-9 2.26673 0.77285 
391E-9 2.27111 0.7578 
392E-9 2.27386 0.73746 
393E-9 2.27515 0.71952 
394E-9 2.27485 0.69968 
395E-9 2.27317 0.68335 
396E-9 2.27026 0.66384 
397E-9 2.26633 0.64696 
398E-9 2.26152 0.62979 
399E-9 2.25581 0.61254 
400E-9 2.24942 0.59537 
401E-9 2.24236 0.5748 
402E-9 2.23472 0.55762 
403E-9 2.22647 0.5385 
404E-9 2.21762 0.52262 
405E-9 2.20816 0.50256 
406E-9 2.19798 0.48891 
407E-9 2.18696 0.47295 
408E-9 2.17509 0.45261 
409E-9 2.16255 0.4404 
410E-9 2.14962 0.42363 
411E-9 2.13682 0.40657 
412E-9 2.12455 0.39415 
413E-9 2.11315 0.38015 
414E-9 2.10272 0.36608 
415E-9 2.09332 0.35612 
416E-9 2.08483 0.3402 
417E-9 2.07715 0.3305 
418E-9 2.07012 0.32114 
419E-9 2.06361 0.31154 
420E-9 2.05751 0.2988 
421E-9 2.05171 0.29276 
422E-9 2.04609 0.28282 
423E-9 2.04056 0.27689 
424E-9 2.03507 0.26958 
425E-9 2.02956 0.2634 
426E-9 2.02398 0.25718 
427E-9 2.01833 0.24996 
428E-9 2.01263 0.24466 
429E-9 2.00677 0.2411 
430E-9 2.00075 0.2391 
431E-9 1.99454 0.23432 
432E-9 1.9882 0.22714 
433E-9 1.9819 0.22469 
434E-9 1.97568 0.22342 
435E-9 1.96962 0.22094 
436E-9 1.96375 0.21885 
437E-9 1.95814 0.21454 
438E-9 1.95282 0.21503 
439E-9 1.94778 0.2109 
440E-9 1.94309 0.21218 
441E-9 1.93875 0.20984 
442E-9 1.93466 0.20829 
443E-9 1.93082 0.2049 
444E-9 1.92711 0.20516 
445E-9 1.92361 0.20419 
446E-9 1.92032 0.2022 
447E-9 1.91715 0.20163 
448E-9 1.91404 0.19982 
449E-9 1.91093 0.198 
450E-9 1.9078 0.19927 
451E-9 1.90477 0.1995 
452E-9 1.90178 0.19704 
453E-9 1.89876 0.19686 
454E-9 1.89592 0.19667 
455E-9 1.89325 0.19501 
456E-9 1.8907 0.19461 
457E-9 1.88823 0.19587 
458E-9 1.88576 0.19441 
459E-9 1.88341 0.19126 
460E-9 1.88118 0.19104 
461E-9 1.87898 0.19188 
462E-9 1.87682 0.19124 
463E-9 1.87466 0.19059 
464E-9 1.87264 0.18845 
465E-9 1.87069 0.19099 
466E-9 1.86882 0.18798 
467E-9 1.86705 0.18903 
468E-9 1.8653 0.18793 
469E-9 1.86361 0.18425 
470E-9 1.86203 0.1855 
471E-9 1.8605 0.18611 
472E-9 1.85897 0.18542 
473E-9 1.85744 0.18452 
474E-9 1.85597 0.18404 
475E-9 1.85452 0.18355 
476E-9 1.85314 0.18285 
477E-9 1.8518 0.18149 
478E-9 1.85048 0.17989 
479E-9 1.84922 0.17961 
480E-9 1.84791 0.18043 
481E-9 1.84666 0.17816 
482E-9 1.84538 0.17831 
483E-9 1.84415 0.17624 
484E-9 1.84294 0.17749 
485E-9 1.84172 0.17764 
486E-9 1.84053 0.1731 
487E-9 1.83939 0.1748 
488E-9 1.8383 0.17337 
489E-9 1.8372 0.17484 
490E-9 1.83605 0.17385 
491E-9 1.83487 0.17083 
492E-9 1.83382 0.17073 
493E-9 1.83279 0.16859 
494E-9 1.83188 0.16938 
495E-9 1.83105 0.16768 
496E-9 1.83011 0.16757 
497E-9 1.82916 0.16927 
498E-9 1.82816 0.16459 
499E-9 1.82722 0.16218 
500E-9 1.82628 0.16182 
501E-9 1.82539 0.16283 
502E-9 1.82452 0.16292 
503E-9 1.82363 0.16071 
504E-9 1.82278 0.15964 
505E-9 1.82198 0.1588 
506E-9 1.82117 0.15935 
507E-9 1.82036 0.15897 
508E-9 1.81959 0.15556 
509E-9 1.81883 0.15539 
510E-9 1.8181 0.15687 
511E-9 1.81733 0.15249 
512E-9 1.81651 0.15396 
513E-9 1.81566 0.15144 
514E-9 1.81479 0.15032 
515E-9 1.81397 0.14873 
516E-9 1.81314 0.14665 
517E-9 1.81231 0.14575 
518E-9 1.8117 0.14532 
519E-9 1.81111 0.14227 
520E-9 1.81053 0.14779 
521E-9 1.80991 0.1433 
522E-9 1.80925 0.14333 
523E-9 1.80864 0.14504 
524E-9 1.80798 0.13643 
525E-9 1.80734 0.13621 
526E-9 1.80676 0.13864 
527E-9 1.80618 0.13577 
528E-9 1.80565 0.13699 
529E-9 1.80508 0.13483 
530E-9 1.80445 0.13314 
531E-9 1.80387 0.13315 
532E-9 1.80325 0.13315 
533E-9 1.80266 0.13194 
534E-9 1.80206 0.12925 
535E-9 1.80142 0.12777 
536E-9 1.80078 0.12801 
537E-9 1.80011 0.12702 
538E-9 1.79947 0.12578 
539E-9 1.79876 0.12329 
540E-9 1.79806 0.12575 
541E-9 1.79737 0.12053 
542E-9 1.79671 0.121 
543E-9 1.7961 0.11923 
544E-9 1.79541 0.11895 
545E-9 1.79472 0.11967 
546E-9 1.79398 0.12014 
547E-9 1.79331 0.11935 
548E-9 1.79259 0.11781 
549E-9 1.79188 0.11702 
550E-9 1.79117 0.11446 
551E-9 1.79053 0.11467 
552E-9 1.78983 0.11564 
553E-9 1.7891 0.1161 
554E-9 1.78838 0.11453 
555E-9 1.78769 0.1122 
556E-9 1.78708 0.11112 
557E-9 1.78635 0.11132 
558E-9 1.78567 0.1105 
559E-9 1.78499 0.10865 
560E-9 1.7843 0.10961 
561E-9 1.78366 0.10878 
562E-9 1.78294 0.1082 
563E-9 1.78231 0.10478 
564E-9 1.78165 0.10471 
565E-9 1.78108 0.10412 
566E-9 1.78047 0.10378 
567E-9 1.77984 0.10526 
568E-9 1.77924 0.10441 
569E-9 1.77868 0.10068 
570E-9 1.7781 0.10112 
571E-9 1.77753 0.10051 
572E-9 1.77695 0.10069 
573E-9 1.77633 0.09955 
574E-9 1.7758 0.09683 
575E-9 1.77518 0.09858 
576E-9 1.7746 0.09901 
577E-9 1.774 0.09733 
578E-9 1.77341 0.09379 
579E-9 1.77284 0.09343 
580E-9 1.7723 0.09385 
581E-9 1.7718 0.09188 
582E-9 1.77129 0.09071 
583E-9 1.77069 0.0922 
584E-9 1.77008 0.09423 
585E-9 1.76948 0.09144 
586E-9 1.76892 0.09375 
587E-9 1.76841 0.09283 
588E-9 1.76792 0.09191 
589E-9 1.76744 0.09288 
590E-9 1.76697 0.0925 
591E-9 1.76644 0.09238 
592E-9 1.76594 0.09607 
593E-9 1.76546 0.09161 
594E-9 1.765 0.09122 
595E-9 1.76449 0.09219 
596E-9 1.76401 0.09262 
597E-9 1.76355 0.0914 
598E-9 1.76311 0.08936 
599E-9 1.76265 0.09089 
600E-9 1.76219 0.08774 
601E-9 1.76165 0.08706 
602E-9 1.76115 0.08748 
603E-9 1.76065 0.09039 
604E-9 1.76019 0.0922 
605E-9 1.75971 0.08736 
606E-9 1.75922 0.08695 
607E-9 1.75872 0.08598 
