lambda n k
300E-9 2.64194 0.78266 
301E-9 2.65787 0.74074 
302E-9 2.67381 0.71056 
303E-9 2.6876 0.68565 
304E-9 2.68634 0.66029 
305E-9 2.68508 0.62974 
306E-9 2.68382 0.59919 
307E-9 2.68256 0.5702 
308E-9 2.6813 0.54236 
309E-9 2.68004 0.51452 
310E-9 2.67878 0.48142 
311E-9 2.67753 0.44549 
312E-9 2.67627 0.41827 
313E-9 2.66848 0.39366 
314E-9 2.65824 0.37455 
315E-9 2.648 0.35801 
316E-9 2.63776 0.34146 
317E-9 2.62752 0.32492 
318E-9 2.61794 0.30919 
319E-9 2.60899 0.29379 
320E-9 2.60005 0.2784 
321E-9 2.59111 0.26476 
322E-9 2.58217 0.25411 
323E-9 2.57323 0.24345 
324E-9 2.56429 0.2328 
325E-9 2.55509 0.22214 
326E-9 2.54482 0.21176 
327E-9 2.53456 0.20188 
328E-9 2.5243 0.19199 
329E-9 2.51404 0.18211 
330E-9 2.50377 0.17222 
331E-9 2.49351 0.16233 
332E-9 2.48449 0.15664 
333E-9 2.47557 0.15126 
334E-9 2.46664 0.14588 
335E-9 2.45772 0.1405 
336E-9 2.44879 0.13512 
337E-9 2.43986 0.12974 
338E-9 2.43168 0.12436 
339E-9 2.42387 0.11898 
340E-9 2.41607 0.11361 
341E-9 2.40826 0.10823 
342E-9 2.40045 0.1038 
343E-9 2.39264 0.10037 
344E-9 2.38518 0.09694 
345E-9 2.37825 0.09351 
346E-9 2.37132 0.09009 
347E-9 2.36439 0.08666 
348E-9 2.35746 0.08323 
349E-9 2.35052 0.0798 
350E-9 2.34359 0.07637 
351E-9 2.33676 0.07294 
352E-9 2.33094 0.06951 
353E-9 2.32512 0.06609 
354E-9 2.3193 0.06403 
355E-9 2.31347 0.06197 
356E-9 2.30765 0.05991 
357E-9 2.30183 0.05785 
358E-9 2.29601 0.05579 
359E-9 2.29019 0.05373 
360E-9 2.28437 0.05167 
361E-9 2.27924 0.04961 
362E-9 2.27442 0.04755 
363E-9 2.26961 0.04549 
364E-9 2.26479 0.04343 
365E-9 2.25998 0.04137 
366E-9 2.25516 0.03973 
367E-9 2.25034 0.03856 
368E-9 2.24553 0.0374 
369E-9 2.24071 0.03623 
370E-9 2.2359 0.03506 
371E-9 2.23108 0.0339 
372E-9 2.22653 0.03273 
373E-9 2.22302 0.03156 
374E-9 2.21951 0.0304 
375E-9 2.216 0.02923 
376E-9 2.21249 0.02806 
377E-9 2.20897 0.0269 
378E-9 2.20546 0.02573 
379E-9 2.20195 0.02483 
380E-9 2.19844 0.02394 
381E-9 2.19493 0.02305 
382E-9 2.19142 0.02216 
383E-9 2.18791 0.02128 
384E-9 2.18439 0.02039 
385E-9 2.18118 0.0195 
386E-9 2.17812 0.01861 
387E-9 2.17506 0.01773 
388E-9 2.17199 0.01684 
389E-9 2.16893 0.01595 
390E-9 2.16587 0.01506 
391E-9 2.1628 0.01431 
392E-9 2.15974 0.01376 
393E-9 2.15668 0.01321 
394E-9 2.15361 0.01265 
395E-9 2.15055 0.0121 
396E-9 2.14748 0.01155 
397E-9 2.14452 0.011 
398E-9 2.14212 0.01044 
399E-9 2.13973 0.00989 
400E-9 2.13733 0.00934 
401E-9 2.13494 0.00878 
402E-9 2.13254 0.00823 
403E-9 2.13015 0.00768 
404E-9 2.12775 0.00761 
405E-9 2.12536 0.00762 
406E-9 2.12296 0.00763 
407E-9 2.12057 0.00763 
408E-9 2.11817 0.00764 
409E-9 2.11578 0.00764 
410E-9 2.11366 0.00765 
411E-9 2.11171 0.00765 
412E-9 2.10976 0.00766 
413E-9 2.10781 0.00767 
414E-9 2.10586 0.00767 
415E-9 2.10392 0.00768 
416E-9 2.10197 0.00755 
417E-9 2.10002 0.00716 
418E-9 2.09807 0.00678 
419E-9 2.09612 0.00639 
420E-9 2.09418 0.006 
421E-9 2.09223 0.00562 
422E-9 2.0903 0.00523 
423E-9 2.08857 0.00485 
424E-9 2.08685 0.00446 
425E-9 2.08513 0.00408 
426E-9 2.0834 0.00369 
427E-9 2.08168 0.00331 
428E-9 2.07995 0.00292 
429E-9 2.07823 0.00263 
430E-9 2.0765 0.00235 
431E-9 2.07478 0.00208 
432E-9 2.07305 0.00181 
433E-9 2.07133 0.00153 
434E-9 2.0696 0.00126 
435E-9 2.06803 9.86097E-4 
