lambda n k
300E-9 1.41103 0.1976 
301E-9 1.40798 0.19974 
302E-9 1.4049 0.20264 
303E-9 1.40189 0.20581 
304E-9 1.39897 0.20936 
305E-9 1.39635 0.21325 
306E-9 1.39393 0.2173 
307E-9 1.39198 0.22162 
308E-9 1.39053 0.22611 
309E-9 1.3894 0.23071 
310E-9 1.38912 0.23536 
311E-9 1.38914 0.23984 
312E-9 1.38956 0.24407 
313E-9 1.39042 0.24766 
314E-9 1.39146 0.25095 
315E-9 1.39276 0.25364 
316E-9 1.39418 0.25593 
317E-9 1.39568 0.25796 
318E-9 1.39725 0.25951 
319E-9 1.39885 0.2609 
320E-9 1.40048 0.26209 
321E-9 1.40212 0.26308 
322E-9 1.40371 0.26399 
323E-9 1.40514 0.26478 
324E-9 1.40624 0.26545 
325E-9 1.40712 0.26607 
326E-9 1.40747 0.26659 
327E-9 1.40775 0.26715 
328E-9 1.40794 0.26775 
329E-9 1.40834 0.26855 
330E-9 1.40888 0.26943 
331E-9 1.40971 0.27045 
332E-9 1.41078 0.27144 
333E-9 1.41197 0.2724 
334E-9 1.41339 0.27314 
335E-9 1.4149 0.27373 
336E-9 1.41652 0.27418 
337E-9 1.41824 0.2744 
338E-9 1.42001 0.27452 
339E-9 1.42182 0.27447 
340E-9 1.42371 0.27409 
341E-9 1.42565 0.27348 
342E-9 1.42773 0.27225 
343E-9 1.42989 0.27051 
344E-9 1.43213 0.26836 
345E-9 1.43434 0.26557 
346E-9 1.43645 0.26262 
347E-9 1.43837 0.25947 
348E-9 1.43993 0.25631 
349E-9 1.44131 0.25319 
350E-9 1.44237 0.25022 
351E-9 1.44334 0.24748 
352E-9 1.44424 0.24489 
353E-9 1.44514 0.2428 
354E-9 1.44606 0.24089 
355E-9 1.44699 0.23924 
356E-9 1.44791 0.23782 
357E-9 1.44881 0.23648 
358E-9 1.44965 0.23524 
359E-9 1.45053 0.23396 
360E-9 1.45144 0.23268 
361E-9 1.45268 0.23116 
362E-9 1.45416 0.2295 
363E-9 1.45599 0.22762 
364E-9 1.45829 0.22535 
365E-9 1.46071 0.22289 
366E-9 1.4632 0.2201 
367E-9 1.46542 0.21703 
368E-9 1.46745 0.2138 
369E-9 1.46866 0.21021 
370E-9 1.46952 0.20654 
371E-9 1.46994 0.20277 
372E-9 1.46983 0.19907 
373E-9 1.46953 0.19546 
374E-9 1.46891 0.19209 
375E-9 1.46808 0.18901 
376E-9 1.46712 0.18608 
377E-9 1.46593 0.18346 
378E-9 1.46463 0.18095 
379E-9 1.46321 0.17856 
380E-9 1.46164 0.17627 
381E-9 1.46001 0.17404 
382E-9 1.45831 0.17193 
383E-9 1.45659 0.16998 
384E-9 1.45486 0.16814 
385E-9 1.45317 0.16657 
386E-9 1.45152 0.16519 
387E-9 1.44992 0.16399 
388E-9 1.44837 0.16304 
389E-9 1.44682 0.16218 
390E-9 1.44528 0.16144 
391E-9 1.4437 0.16078 
392E-9 1.44211 0.16014 
393E-9 1.44046 0.15953 
394E-9 1.43881 0.15891 
395E-9 1.43717 0.1583 
396E-9 1.4356 0.15767 
397E-9 1.43408 0.15703 
398E-9 1.43265 0.15636 
399E-9 1.43135 0.15566 
400E-9 1.43011 0.15495 
401E-9 1.42894 0.15421 
402E-9 1.42778 0.15345 
