lambda n k
350E-9 1.77716 0.19547 
351E-9 1.77921 0.1966 
352E-9 1.78126 0.19774 
353E-9 1.78331 0.19799 
354E-9 1.78536 0.19744 
355E-9 1.78979 0.19689 
356E-9 1.7944 0.19635 
357E-9 1.79901 0.1958 
358E-9 1.80265 0.19525 
359E-9 1.80511 0.1947 
360E-9 1.80758 0.19354 
361E-9 1.81004 0.19167 
362E-9 1.8125 0.18979 
363E-9 1.81681 0.18514 
364E-9 1.82736 0.17935 
365E-9 1.83864 0.17355 
366E-9 1.85104 0.16231 
367E-9 1.85804 0.14924 
368E-9 1.86219 0.13472 
369E-9 1.86634 0.12203 
370E-9 1.87049 0.10986 
371E-9 1.87464 0.09712 
372E-9 1.87727 0.08023 
373E-9 1.8779 0.07732 
374E-9 1.87852 0.07214 
375E-9 1.87915 0.05501 
376E-9 1.87978 0.04922 
377E-9 1.87937 0.04402 
378E-9 1.87509 0.03881 
379E-9 1.87081 0.0336 
380E-9 1.86653 0.02722 
381E-9 1.8588 0.02041 
382E-9 1.8491 0.0136 
383E-9 1.84069 0.01192 
384E-9 1.83257 0.01092 
385E-9 1.82519 0.00991 
386E-9 1.81876 0.00891 
387E-9 1.81366 0.0079 
388E-9 1.80857 0.0069 
389E-9 1.80348 0.00589 
390E-9 1.79841 0.00538 
391E-9 1.79334 0.00499 
392E-9 1.78827 0.00459 
393E-9 1.78408 0.00419 
394E-9 1.78095 0.00379 
395E-9 1.77783 0.00339 
396E-9 1.7747 0.003 
397E-9 1.77189 0.0026 
398E-9 1.76912 0.0022 
399E-9 1.76635 0.0018 
400E-9 1.76359 0.00177 
401E-9 1.76082 0.00174 
402E-9 1.75865 0.00171 
403E-9 1.75681 0.00167 
404E-9 1.75496 0.00164 
405E-9 1.75312 0.00161 
406E-9 1.75127 0.00158 
407E-9 1.74942 0.00155 
408E-9 1.74758 0.00151 
409E-9 1.74545 0.00148 
410E-9 1.74319 0.00145 
411E-9 1.74093 0.00142 
412E-9 1.73869 0.00139 
413E-9 1.73653 0.00136 
414E-9 1.73437 0.00132 
415E-9 1.73222 0.00129 
416E-9 1.73006 0.00126 
417E-9 1.72791 0.00123 
418E-9 1.72645 0.0012 
419E-9 1.72507 0.00117 
420E-9 1.7237 0.00116 
421E-9 1.72232 0.00116 
422E-9 1.72095 0.00116 
423E-9 1.71957 0.00115 
424E-9 1.7182 0.00115 
425E-9 1.71767 0.00114 
426E-9 1.71721 0.00114 
427E-9 1.71675 0.00113 
428E-9 1.71629 0.00113 
429E-9 1.71582 0.00112 
430E-9 1.71536 0.00112 
431E-9 1.7149 0.00111 
432E-9 1.71444 0.00111 
433E-9 1.71397 0.0011 
434E-9 1.71351 0.0011 
435E-9 1.71292 0.00109 
436E-9 1.71214 0.00109 
437E-9 1.71136 0.00109 
