lambda n k
300E-9 1.71763 0.15699 
301E-9 1.71809 0.15663 
302E-9 1.7185 0.15631 
303E-9 1.71889 0.15599 
304E-9 1.71926 0.15568 
305E-9 1.71961 0.15537 
306E-9 1.71997 0.15507 
307E-9 1.72033 0.15476 
308E-9 1.72071 0.15444 
309E-9 1.7211 0.15411 
310E-9 1.72153 0.15378 
311E-9 1.72197 0.15347 
312E-9 1.72244 0.15316 
313E-9 1.72295 0.15289 
314E-9 1.72349 0.15264 
315E-9 1.72407 0.15244 
316E-9 1.72469 0.15228 
317E-9 1.72533 0.15214 
318E-9 1.72602 0.15203 
319E-9 1.72672 0.15193 
320E-9 1.72744 0.15182 
321E-9 1.72817 0.15166 
322E-9 1.72891 0.15148 
323E-9 1.72964 0.15124 
324E-9 1.73036 0.15093 
325E-9 1.73107 0.15056 
326E-9 1.73178 0.15013 
327E-9 1.73249 0.14968 
328E-9 1.73319 0.14923 
329E-9 1.73391 0.14882 
330E-9 1.73464 0.14844 
331E-9 1.73538 0.14814 
332E-9 1.73615 0.14794 
333E-9 1.73694 0.14781 
334E-9 1.73776 0.14784 
335E-9 1.73862 0.14792 
336E-9 1.73951 0.14806 
337E-9 1.74047 0.14822 
338E-9 1.74146 0.14836 
339E-9 1.74252 0.14848 
340E-9 1.74365 0.1485 
341E-9 1.74483 0.14847 
342E-9 1.7461 0.14828 
343E-9 1.74745 0.14798 
344E-9 1.74887 0.1476 
345E-9 1.75047 0.14715 
346E-9 1.75217 0.14671 
347E-9 1.75402 0.14629 
348E-9 1.7561 0.146 
349E-9 1.7583 0.1458 
350E-9 1.76077 0.14581 
351E-9 1.76346 0.14604 
352E-9 1.76631 0.14643 
353E-9 1.76955 0.14718 
354E-9 1.77295 0.14795 
355E-9 1.7766 0.14875 
356E-9 1.78053 0.14927 
357E-9 1.78461 0.14958 
358E-9 1.78898 0.14931 
359E-9 1.79355 0.14841 
360E-9 1.79826 0.14709 
361E-9 1.8033 0.14441 
362E-9 1.80846 0.14105 
363E-9 1.81381 0.13674 
364E-9 1.81929 0.13113 
365E-9 1.82474 0.12498 
366E-9 1.83002 0.11796 
367E-9 1.83494 0.1105 
368E-9 1.83961 0.10277 
369E-9 1.8434 0.09475 
370E-9 1.84663 0.08676 
371E-9 1.84916 0.07879 
372E-9 1.85034 0.07114 
373E-9 1.85081 0.06372 
374E-9 1.84987 0.05681 
375E-9 1.84768 0.05042 
376E-9 1.84476 0.04436 
377E-9 1.84045 0.03898 
378E-9 1.83562 0.03394 
379E-9 1.83021 0.02925 
380E-9 1.82417 0.02512 
381E-9 1.81796 0.02125 
382E-9 1.81149 0.0178 
383E-9 1.80504 0.01476 
384E-9 1.79863 0.01194 
385E-9 1.79256 0.00963 
386E-9 1.7868 0.00758 
387E-9 1.78137 0.00579 
388E-9 1.77653 0.00441 
389E-9 1.77192 0.0032 
390E-9 1.76769 0.00226 
391E-9 1.76383 0.00155 
392E-9 1.76015 9.5965E-4 
393E-9 1.75683 5.88284E-4 
394E-9 1.75371 3.15959E-4 
395E-9 1.75074 1.30277E-4 
396E-9 1.74804 5.71341E-5 
397E-9 1.74544 1.09691E-5 
398E-9 1.74297 2.18695E-6 
399E-9 1.74063 0 
400E-9 1.73835 0 
401E-9 1.7362 0 
402E-9 1.73413 0 
403E-9 1.73212 0 
404E-9 1.73023 0 
405E-9 1.7284 0 
406E-9 1.72665 0 
407E-9 1.72499 0 
408E-9 1.72337 0 
409E-9 1.72185 0 
410E-9 1.72039 0 
411E-9 1.71897 0 
412E-9 1.71765 0 
413E-9 1.71636 0 
414E-9 1.71513 0 
415E-9 1.71396 0 
416E-9 1.71283 0 
417E-9 1.71175 0 
418E-9 1.71071 0 
419E-9 1.7097 0 
420E-9 1.70874 0 
421E-9 1.7078 0 
422E-9 1.70688 0 
423E-9 1.706 0 
424E-9 1.70514 0 
425E-9 1.70429 0 
426E-9 1.70347 0 
427E-9 1.70265 0 
428E-9 1.70186 0 
429E-9 1.70108 0 
430E-9 1.7003 0 
431E-9 1.69955 0 
432E-9 1.6988 0 
433E-9 1.69806 0 
434E-9 1.69733 0 
435E-9 1.69662 0 
436E-9 1.69591 0 
437E-9 1.69522 0 
438E-9 1.69453 0 
439E-9 1.69385 0 
440E-9 1.69318 0 
441E-9 1.69252 0 
442E-9 1.69187 0 
443E-9 1.69122 0 
444E-9 1.69058 0 
445E-9 1.68995 0 
446E-9 1.68933 0 
447E-9 1.68872 0 
448E-9 1.68811 0 
449E-9 1.68752 0 
450E-9 1.68693 0 
451E-9 1.68635 0 
452E-9 1.68578 0 
453E-9 1.68522 0 
454E-9 1.68466 0 
455E-9 1.68412 0 
456E-9 1.68359 0 
457E-9 1.68306 0 
458E-9 1.68255 0 
459E-9 1.68204 0 
460E-9 1.68155 0 
461E-9 1.68106 0 
462E-9 1.68058 0 
463E-9 1.68011 0 
464E-9 1.67964 0 
465E-9 1.67918 0 
466E-9 1.67873 0 
467E-9 1.67829 0 
468E-9 1.67784 0 
469E-9 1.67741 0 
470E-9 1.67697 0 
471E-9 1.67655 0 
472E-9 1.67612 0 
473E-9 1.6757 0 
474E-9 1.67528 0 
475E-9 1.67486 0 
476E-9 1.67444 0 
477E-9 1.67403 0 
478E-9 1.67361 0 
479E-9 1.6732 0 
480E-9 1.6728 0 
481E-9 1.67239 0 
482E-9 1.67199 0 
483E-9 1.67159 0 
484E-9 1.6712 0 
485E-9 1.67082 0 
486E-9 1.67044 0 
487E-9 1.67006 0 
488E-9 1.6697 0 
489E-9 1.66934 0 
490E-9 1.66899 0 
491E-9 1.66864 0 
492E-9 1.66831 0 
493E-9 1.66799 0 
494E-9 1.66767 0 
495E-9 1.66737 0 
496E-9 1.66708 0 
497E-9 1.66679 0 
498E-9 1.66652 0 
499E-9 1.66625 0 
500E-9 1.66599 0 
501E-9 1.66574 0 
502E-9 1.6655 0 
503E-9 1.66526 0 
504E-9 1.66503 0 
505E-9 1.66479 0 
506E-9 1.66457 0 
507E-9 1.66434 0 
508E-9 1.66411 0 
509E-9 1.66389 0 
510E-9 1.66367 0 
511E-9 1.66344 0 
512E-9 1.66321 0 
513E-9 1.66299 0 
514E-9 1.66275 0 
515E-9 1.66252 0 
516E-9 1.66228 0 
517E-9 1.66204 0 
518E-9 1.66179 0 
519E-9 1.66154 0 
520E-9 1.66128 0 
521E-9 1.66102 0 
522E-9 1.66076 0 
523E-9 1.66049 0 
524E-9 1.66023 0 
525E-9 1.65996 0 
526E-9 1.65969 0 
527E-9 1.65942 0 
528E-9 1.65915 0 
529E-9 1.65888 0 
530E-9 1.65861 0 
531E-9 1.65834 0 
532E-9 1.65807 0 
533E-9 1.65781 0 
534E-9 1.65754 0 
535E-9 1.65728 0 
536E-9 1.65703 0 
537E-9 1.65677 0 
538E-9 1.65652 0 
