lambda n k
300E-9 1.37462 0.09374 
301E-9 1.37675 0.09306 
302E-9 1.37875 0.09224 
303E-9 1.3807 0.09137 
304E-9 1.38257 0.09042 
305E-9 1.38434 0.08938 
306E-9 1.38605 0.0883 
307E-9 1.38765 0.08714 
308E-9 1.38917 0.08593 
309E-9 1.39064 0.0847 
310E-9 1.39199 0.08339 
311E-9 1.39328 0.08207 
312E-9 1.3945 0.08071 
313E-9 1.39561 0.07932 
314E-9 1.39668 0.07792 
315E-9 1.39766 0.07649 
316E-9 1.39856 0.07505 
317E-9 1.39942 0.0736 
318E-9 1.40018 0.07213 
319E-9 1.40089 0.07067 
320E-9 1.40154 0.0692 
321E-9 1.4021 0.06773 
322E-9 1.40263 0.06626 
323E-9 1.40309 0.0648 
324E-9 1.40349 0.06335 
325E-9 1.40386 0.0619 
326E-9 1.40414 0.06047 
327E-9 1.4044 0.05905 
328E-9 1.40461 0.05764 
329E-9 1.40475 0.05626 
330E-9 1.40487 0.05488 
331E-9 1.40494 0.05352 
332E-9 1.40497 0.05218 
333E-9 1.40497 0.05086 
334E-9 1.40492 0.04956 
335E-9 1.40485 0.04828 
336E-9 1.40474 0.04702 
337E-9 1.40459 0.04579 
338E-9 1.40443 0.04458 
339E-9 1.40423 0.04338 
340E-9 1.404 0.04222 
341E-9 1.40376 0.04107 
342E-9 1.40348 0.03995 
343E-9 1.40318 0.03885 
344E-9 1.40287 0.03777 
345E-9 1.40253 0.03673 
346E-9 1.40218 0.0357 
347E-9 1.40181 0.03469 
348E-9 1.40142 0.03371 
349E-9 1.40103 0.03275 
350E-9 1.40061 0.03181 
351E-9 1.40018 0.0309 
352E-9 1.39975 0.03 
353E-9 1.3993 0.02914 
354E-9 1.39884 0.02829 
355E-9 1.39837 0.02746 
356E-9 1.39789 0.02666 
357E-9 1.39741 0.02587 
358E-9 1.39692 0.02511 
359E-9 1.39642 0.02437 
360E-9 1.39592 0.02364 
361E-9 1.39542 0.02294 
362E-9 1.39491 0.02225 
363E-9 1.39439 0.02159 
364E-9 1.39388 0.02094 
365E-9 1.39336 0.02031 
366E-9 1.39284 0.0197 
367E-9 1.39231 0.0191 
368E-9 1.39179 0.01852 
369E-9 1.39127 0.01796 
370E-9 1.39074 0.01742 
371E-9 1.39022 0.01689 
372E-9 1.3897 0.01637 
373E-9 1.38917 0.01587 
374E-9 1.38865 0.01539 
375E-9 1.38813 0.01492 
376E-9 1.38761 0.01446 
377E-9 1.3871 0.01402 
378E-9 1.38658 0.01359 
379E-9 1.38607 0.01317 
380E-9 1.38556 0.01277 
381E-9 1.38506 0.01237 
382E-9 1.38455 0.01199 
383E-9 1.38405 0.01163 
384E-9 1.38356 0.01127 
385E-9 1.38306 0.01092 
386E-9 1.38257 0.01058 
387E-9 1.38209 0.01026 
388E-9 1.3816 0.00994 
389E-9 1.38113 0.00963 
390E-9 1.38065 0.00934 
391E-9 1.38018 0.00905 
392E-9 1.37971 0.00877 
393E-9 1.37925 0.0085 
394E-9 1.37879 0.00824 
395E-9 1.37834 0.00798 
396E-9 1.37789 0.00774 
397E-9 1.37744 0.0075 
398E-9 1.377 0.00727 
399E-9 1.37656 0.00705 
400E-9 1.37613 0.00683 
401E-9 1.3757 0.00662 
402E-9 1.37528 0.00642 
403E-9 1.37486 0.00622 
404E-9 1.37444 0.00603 
405E-9 1.37403 0.00584 
406E-9 1.37362 0.00566 
407E-9 1.37322 0.00549 
408E-9 1.37282 0.00532 
409E-9 1.37243 0.00516 
410E-9 1.37204 0.005 
411E-9 1.37166 0.00485 
412E-9 1.37128 0.0047 
413E-9 1.3709 0.00456 
414E-9 1.37053 0.00442 
415E-9 1.37016 0.00429 
416E-9 1.3698 0.00416 
417E-9 1.36944 0.00403 
418E-9 1.36908 0.00391 
419E-9 1.36873 0.00379 
420E-9 1.36838 0.00368 
421E-9 1.36804 0.00357 
422E-9 1.3677 0.00346 
423E-9 1.36736 0.00335 
424E-9 1.36703 0.00325 
425E-9 1.3667 0.00316 
426E-9 1.36638 0.00306 
427E-9 1.36606 0.00297 
428E-9 1.36574 0.00288 
429E-9 1.36543 0.00279 
430E-9 1.36512 0.00271 
431E-9 1.36482 0.00263 
432E-9 1.36451 0.00255 
433E-9 1.36422 0.00248 
434E-9 1.36392 0.0024 
435E-9 1.36363 0.00233 
436E-9 1.36334 0.00226 
437E-9 1.36306 0.0022 
