lambda n k
300E-9 1.73 2.77 
301E-9 1.73 2.77 
302E-9 1.74 2.77 
303E-9 1.75 2.77 
304E-9 1.76 2.8 
305E-9 1.78 2.8 
306E-9 1.795 2.8 
307E-9 1.81 2.82 
308E-9 1.81 2.82 
309E-9 1.82 2.82 
310E-9 1.83 2.82 
311E-9 1.85 2.82 
312E-9 1.85 2.82 
313E-9 1.85 2.82 
314E-9 1.86 2.82 
315E-9 1.86 2.85 
316E-9 1.88 2.85 
317E-9 1.9 2.85 
318E-9 1.9 2.88 
319E-9 1.91 2.88 
320E-9 1.92 2.88 
321E-9 1.94 2.88 
322E-9 1.94 2.88 
323E-9 1.945 2.88 
324E-9 1.95 2.88 
325E-9 1.97 2.91 
326E-9 1.98 2.91 
327E-9 1.99 2.91 
328E-9 2.01 2.91 
329E-9 2.02 2.91 
330E-9 2.03 2.91 
331E-9 2.05 2.93 
332E-9 2.05 2.93 
333E-9 2.07 2.93 
334E-9 2.09 2.93 
335E-9 2.11 2.93 
336E-9 2.12 2.93 
337E-9 2.13 2.93 
338E-9 2.15 2.96 
339E-9 2.16 2.96 
340E-9 2.17 2.96 
341E-9 2.19 2.96 
342E-9 2.19 2.96 
343E-9 2.2 2.96 
344E-9 2.21 2.96 
345E-9 2.23 2.96 
346E-9 2.24 2.96 
347E-9 2.25 2.96 
348E-9 2.27 2.99 
349E-9 2.29 2.99 
350E-9 2.29 2.99 
351E-9 2.29 2.99 
352E-9 2.32 2.99 
353E-9 2.33 3.005 
354E-9 2.34 3.02 
355E-9 2.34 3.02 
356E-9 2.36 3.02 
357E-9 2.38 3.02 
358E-9 2.38 3.02 
359E-9 2.38 3.02 
360E-9 2.405 3.02 
361E-9 2.43 3.02 
362E-9 2.43 3.02 
363E-9 2.45 3.02 
364E-9 2.47 3.02 
365E-9 2.47 3.02 
366E-9 2.47 3.02 
367E-9 2.47 3.02 
368E-9 2.52 3.02 
369E-9 2.52 3.02 
370E-9 2.52 3.035 
371E-9 2.52 3.05 
372E-9 2.57 3.05 
373E-9 2.57 3.05 
374E-9 2.57 3.05 
375E-9 2.62 3.05 
376E-9 2.62 3.05 
377E-9 2.62 3.05 
378E-9 2.64 3.07 
379E-9 2.69 3.07 
380E-9 2.69 3.07 
381E-9 2.69 3.07 
382E-9 2.72 3.07 
383E-9 2.735 3.07 
384E-9 2.75 3.07 
385E-9 2.75 3.07 
386E-9 2.77 3.07 
387E-9 2.785 3.07 
388E-9 2.8 3.07 
389E-9 2.82 3.07 
390E-9 2.89 3.07 
391E-9 2.96 3.07 
392E-9 2.96 2.96 
393E-9 2.96 2.96 
394E-9 2.96 2.96 
395E-9 2.96 2.96 
396E-9 2.9667 2.9667 
397E-9 2.9733 2.9733 
398E-9 2.98 2.98 
399E-9 2.995 2.995 
400E-9 3.01 3.01 
401E-9 3.03 3.03 
402E-9 3.05 3.05 
403E-9 3.055 3.055 
404E-9 3.06 3.06 
405E-9 3.0633 3.0633 
406E-9 3.0667 3.0667 
407E-9 3.07 3.07 
408E-9 3.07 3.07 
409E-9 3.07 3.07 
410E-9 3.08 3.08 
411E-9 3.09 3.09 
412E-9 3.095 3.095 
413E-9 3.1 3.1 
414E-9 3.1067 3.1067 
415E-9 3.1133 3.1133 
416E-9 3.12 3.12 
417E-9 3.19 3.04 
418E-9 3.26 2.96 
419E-9 3.27 2.96 
420E-9 3.28 2.96 
421E-9 3.315 2.96 
422E-9 3.35 2.96 
423E-9 3.35 2.96 
424E-9 3.35 2.96 
