lambda n k
300E-9 1.76705 0.13542 
301E-9 1.76739 0.13492 
302E-9 1.76771 0.13441 
303E-9 1.76803 0.1339 
304E-9 1.76834 0.13339 
305E-9 1.76865 0.13288 
306E-9 1.76896 0.13237 
307E-9 1.76926 0.13187 
308E-9 1.76957 0.13138 
309E-9 1.76988 0.13089 
310E-9 1.7702 0.13043 
311E-9 1.77052 0.12997 
312E-9 1.77085 0.12953 
313E-9 1.7712 0.12911 
314E-9 1.77155 0.12871 
315E-9 1.77193 0.12834 
316E-9 1.77232 0.12799 
317E-9 1.77272 0.12766 
318E-9 1.77316 0.12736 
319E-9 1.77363 0.12708 
320E-9 1.77412 0.12681 
321E-9 1.77466 0.12657 
322E-9 1.77523 0.12634 
323E-9 1.77585 0.12611 
324E-9 1.77652 0.1259 
325E-9 1.77722 0.12569 
326E-9 1.77802 0.12548 
327E-9 1.77888 0.12524 
328E-9 1.77981 0.12499 
329E-9 1.78087 0.12469 
330E-9 1.78199 0.12435 
331E-9 1.78324 0.12395 
332E-9 1.78462 0.12348 
333E-9 1.78609 0.12296 
334E-9 1.78773 0.12232 
335E-9 1.78947 0.12156 
336E-9 1.79129 0.12071 
337E-9 1.79325 0.11959 
338E-9 1.79525 0.11833 
339E-9 1.79734 0.11684 
340E-9 1.79949 0.11505 
341E-9 1.80167 0.11308 
342E-9 1.80391 0.11071 
343E-9 1.80616 0.10807 
344E-9 1.80841 0.10521 
345E-9 1.81053 0.10194 
346E-9 1.81256 0.09853 
347E-9 1.81441 0.09488 
348E-9 1.81596 0.09101 
349E-9 1.81733 0.08702 
350E-9 1.81827 0.08283 
351E-9 1.81885 0.07853 
352E-9 1.81916 0.07414 
353E-9 1.81878 0.06961 
354E-9 1.81812 0.06506 
355E-9 1.81707 0.06048 
356E-9 1.81556 0.05594 
357E-9 1.81383 0.05144 
358E-9 1.81171 0.04706 
359E-9 1.80932 0.04282 
360E-9 1.80675 0.03868 
361E-9 1.80383 0.03487 
362E-9 1.80077 0.03123 
363E-9 1.79754 0.02783 
364E-9 1.79412 0.0248 
365E-9 1.79062 0.02195 
366E-9 1.78701 0.01941 
367E-9 1.78337 0.01712 
368E-9 1.77971 0.01499 
369E-9 1.77609 0.01319 
370E-9 1.77251 0.01154 
371E-9 1.769 0.01007 
372E-9 1.76566 0.00885 
373E-9 1.76242 0.00774 
374E-9 1.75938 0.00683 
375E-9 1.75653 0.00608 
376E-9 1.75381 0.00542 
377E-9 1.75133 0.00494 
378E-9 1.74895 0.00454 
379E-9 1.7467 0.00421 
380E-9 1.74461 0.00397 
381E-9 1.7426 0.00377 
382E-9 1.74069 0.00361 
383E-9 1.73888 0.00348 
384E-9 1.7371 0.00336 
385E-9 1.73542 0.00323 
386E-9 1.73377 0.00308 
387E-9 1.73215 0.00291 
388E-9 1.73058 0.00272 
389E-9 1.72904 0.00252 
390E-9 1.72753 0.00231 
391E-9 1.72606 0.00209 
392E-9 1.72461 0.00186 
393E-9 1.72319 0.00164 
394E-9 1.7218 0.00142 
395E-9 1.72043 0.00121 
396E-9 1.71908 0.00102 
397E-9 1.71775 8.35928E-4 
398E-9 1.71645 6.73459E-4 
399E-9 1.71516 5.36428E-4 
400E-9 1.71388 4.12849E-4 
401E-9 1.71263 3.16244E-4 
402E-9 1.7114 2.34818E-4 
403E-9 1.71019 1.65189E-4 
404E-9 1.70901 1.17431E-4 
405E-9 1.70785 7.67252E-5 
406E-9 1.70671 4.66151E-5 
407E-9 1.70561 2.72733E-5 
408E-9 1.70453 1.27153E-5 
409E-9 1.70349 5.81502E-6 
410E-9 1.70247 1.88585E-6 
411E-9 1.70148 3.96325E-9 
412E-9 1.70053 0 
413E-9 1.69961 0 
414E-9 1.69872 0 
415E-9 1.69787 0 
416E-9 1.69703 0 
417E-9 1.69622 0 
418E-9 1.69544 0 
419E-9 1.69467 0 
420E-9 1.69393 0 
421E-9 1.6932 0 
422E-9 1.69249 0 
423E-9 1.6918 0 
424E-9 1.69112 0 
425E-9 1.69045 0 
426E-9 1.68979 0 
427E-9 1.68913 0 
428E-9 1.68849 0 
429E-9 1.68786 0 
430E-9 1.68723 0 
431E-9 1.68662 0 
432E-9 1.68601 0 
433E-9 1.68541 0 
434E-9 1.68483 0 
435E-9 1.68425 0 
436E-9 1.68369 0 
437E-9 1.68313 0 
438E-9 1.68259 0 
439E-9 1.68206 0 
440E-9 1.68154 0 
441E-9 1.68103 0 
442E-9 1.68053 0 
443E-9 1.68005 0 
444E-9 1.67957 0 
445E-9 1.67911 0 
446E-9 1.67866 0 
447E-9 1.67822 0 
448E-9 1.67779 0 
449E-9 1.67736 0 
450E-9 1.67695 0 
451E-9 1.67654 0 
452E-9 1.67614 0 
453E-9 1.67575 0 
454E-9 1.67537 0 
455E-9 1.67499 0 
456E-9 1.67462 0 
457E-9 1.67426 0 
458E-9 1.6739 0 
459E-9 1.67355 0 
460E-9 1.6732 0 
461E-9 1.67285 0 
462E-9 1.67251 0 
463E-9 1.67218 0 
464E-9 1.67184 0 
465E-9 1.67151 0 
466E-9 1.67119 0 
467E-9 1.67086 0 
468E-9 1.67054 0 
469E-9 1.67021 0 
470E-9 1.66989 0 
471E-9 1.66957 0 
472E-9 1.66925 0 
473E-9 1.66893 0 
474E-9 1.66861 0 
475E-9 1.66828 0 
