lambda n k
300E-9 1.5522 0 
301E-9 1.55191 0 
302E-9 1.55162 0 
303E-9 1.55133 0 
304E-9 1.55105 0 
305E-9 1.55076 0 
306E-9 1.55047 0 
307E-9 1.55018 0 
308E-9 1.54989 0 
309E-9 1.54961 0 
310E-9 1.54932 0 
311E-9 1.54903 0 
312E-9 1.54874 0 
313E-9 1.54845 0 
314E-9 1.54819 0 
315E-9 1.54788 0 
316E-9 1.54759 0 
317E-9 1.54729 0 
318E-9 1.547 0 
319E-9 1.54671 0 
320E-9 1.54643 0 
321E-9 1.54615 0 
322E-9 1.54587 0 
323E-9 1.54559 0 
324E-9 1.54532 0 
325E-9 1.54505 0 
326E-9 1.54479 0 
327E-9 1.54453 0 
328E-9 1.54427 0 
329E-9 1.54401 0 
330E-9 1.54375 0 
331E-9 1.5435 0 
332E-9 1.54325 0 
333E-9 1.54301 0 
334E-9 1.54276 0 
335E-9 1.54252 0 
336E-9 1.54228 0 
337E-9 1.54204 0 
338E-9 1.54181 0 
339E-9 1.54157 0 
340E-9 1.54134 0 
341E-9 1.54111 0 
342E-9 1.54089 0 
343E-9 1.54067 0 
344E-9 1.54045 0 
345E-9 1.54023 0 
346E-9 1.54001 0 
347E-9 1.5398 0 
348E-9 1.53959 0 
349E-9 1.53937 0 
350E-9 1.53916 0 
351E-9 1.53896 0 
352E-9 1.53875 0 
353E-9 1.53855 0 
354E-9 1.53835 0 
355E-9 1.53815 0 
356E-9 1.53796 0 
357E-9 1.53776 0 
358E-9 1.53757 0 
359E-9 1.53738 0 
360E-9 1.53719 0 
361E-9 1.53701 0 
362E-9 1.53682 0 
363E-9 1.53664 0 
364E-9 1.53645 0 
365E-9 1.53627 0 
366E-9 1.53609 0 
367E-9 1.53591 0 
368E-9 1.53573 0 
369E-9 1.53556 0 
370E-9 1.53539 0 
371E-9 1.53522 0 
372E-9 1.53506 0 
373E-9 1.53488 0 
374E-9 1.53472 0 
375E-9 1.53455 0 
376E-9 1.53438 0 
377E-9 1.53422 0 
378E-9 1.53406 0 
379E-9 1.53391 0 
380E-9 1.53375 0 
381E-9 1.53359 0 
382E-9 1.53343 0 
383E-9 1.53328 0 
384E-9 1.53312 0 
385E-9 1.53297 0 
386E-9 1.53283 0 
387E-9 1.53268 0 
388E-9 1.53253 0 
389E-9 1.53238 0 
390E-9 1.53224 0 
391E-9 1.53209 0 
392E-9 1.53195 0 
393E-9 1.53181 0 
394E-9 1.53167 0 
395E-9 1.53153 0 
396E-9 1.53139 0 
397E-9 1.53125 0 
398E-9 1.53112 0 
399E-9 1.53099 0 
400E-9 1.53085 0 
401E-9 1.53072 0 
402E-9 1.53059 0 
403E-9 1.53045 0 
404E-9 1.53033 0 
405E-9 1.5302 0 
406E-9 1.53007 0 
407E-9 1.52994 0 
408E-9 1.52981 0 
409E-9 1.52969 0 
410E-9 1.52957 0 
411E-9 1.52945 0 
412E-9 1.52933 0 
413E-9 1.52921 0 
414E-9 1.52908 0 
415E-9 1.52896 0 
416E-9 1.52884 0 
417E-9 1.52873 0 
418E-9 1.52862 0 
419E-9 1.5285 0 
420E-9 1.52839 0 
421E-9 1.52827 0 
422E-9 1.52816 0 
423E-9 1.52804 0 
424E-9 1.52793 0 
425E-9 1.52782 0 
426E-9 1.52772 0 
427E-9 1.52761 0 
428E-9 1.5275 0 
429E-9 1.5274 0 
430E-9 1.52729 0 
431E-9 1.52718 0 
432E-9 1.52708 0 
433E-9 1.52698 0 
434E-9 1.52687 0 
435E-9 1.52677 0 
436E-9 1.52667 0 
437E-9 1.52656 0 
438E-9 1.52647 0 
439E-9 1.52637 0 
440E-9 1.52627 0 
441E-9 1.52617 0 
442E-9 1.52607 0 
443E-9 1.52598 0 
444E-9 1.52588 0 
445E-9 1.52578 0 
446E-9 1.52569 0 
447E-9 1.5256 0 
448E-9 1.52551 0 
449E-9 1.52541 0 
450E-9 1.52532 0 
451E-9 1.52523 0 
452E-9 1.52513 0 
453E-9 1.52504 0 
454E-9 1.52496 0 
455E-9 1.52487 0 
456E-9 1.52478 0 
457E-9 1.52469 0 
458E-9 1.52461 0 
459E-9 1.52452 0 
460E-9 1.52443 0 
461E-9 1.52435 0 
462E-9 1.52426 0 
463E-9 1.52418 0 
464E-9 1.5241 0 
465E-9 1.52401 0 
466E-9 1.52393 0 
467E-9 1.52385 0 
468E-9 1.52376 0 
469E-9 1.52368 0 
470E-9 1.5236 0 
471E-9 1.52353 0 
472E-9 1.52345 0 
473E-9 1.52337 0 
474E-9 1.52329 0 
475E-9 1.52322 0 
476E-9 1.52313 0 
477E-9 1.52306 0 
478E-9 1.52298 0 
479E-9 1.5229 0 
480E-9 1.52283 0 
481E-9 1.52275 0 
482E-9 1.52268 0 
483E-9 1.5226 0 
484E-9 1.52253 0 
485E-9 1.52246 0 
486E-9 1.52238 0 
487E-9 1.52232 0 
488E-9 1.52225 0 
489E-9 1.52217 0 
490E-9 1.5221 0 
491E-9 1.52203 0 
492E-9 1.52196 0 
493E-9 1.52189 0 
494E-9 1.52182 0 
495E-9 1.52176 0 
496E-9 1.52169 0 
497E-9 1.52161 0 
498E-9 1.52155 0 
499E-9 1.52148 0 
500E-9 1.52141 0 
501E-9 1.52135 0 
502E-9 1.52128 0 
503E-9 1.52121 0 
504E-9 1.52115 0 
505E-9 1.52109 0 
506E-9 1.52103 0 
507E-9 1.52096 0 
508E-9 1.5209 0 
509E-9 1.52084 0 
510E-9 1.52077 0 
511E-9 1.52071 0 
512E-9 1.52065 0 
513E-9 1.52058 0 
514E-9 1.52052 0 
515E-9 1.52046 0 
516E-9 1.5204 0 
517E-9 1.52033 0 
518E-9 1.52028 0 
519E-9 1.52022 0 
520E-9 1.52016 0 
521E-9 1.5201 0 
522E-9 1.52004 0 
523E-9 1.51998 0 
524E-9 1.51992 0 
525E-9 1.51987 0 
526E-9 1.51981 0 
527E-9 1.51975 0 
528E-9 1.5197 0 
529E-9 1.51964 0 
530E-9 1.51959 0 
531E-9 1.51953 0 
532E-9 1.51947 0 
533E-9 1.51942 0 
534E-9 1.51937 0 
535E-9 1.51931 0 
536E-9 1.51925 0 
537E-9 1.5192 0 
538E-9 1.51914 0 
539E-9 1.51909 0 
540E-9 1.51904 0 
541E-9 1.51898 0 
542E-9 1.51893 0 
543E-9 1.51888 0 
544E-9 1.51883 0 
545E-9 1.51878 0 
546E-9 1.51873 0 
547E-9 1.51867 0 
548E-9 1.51862 0 
549E-9 1.51857 0 
550E-9 1.51852 0 
551E-9 1.51848 0 
552E-9 1.51843 0 
553E-9 1.51837 0 
554E-9 1.51832 0 
555E-9 1.51827 0 
556E-9 1.51823 0 
557E-9 1.51818 0 
558E-9 1.51813 0 
559E-9 1.51808 0 
560E-9 1.51803 0 
561E-9 1.51798 0 
562E-9 1.51794 0 
563E-9 1.51789 0 
564E-9 1.51784 0 
565E-9 1.5178 0 
566E-9 1.51775 0 
567E-9 1.5177 0 
568E-9 1.51765 0 
569E-9 1.51761 0 
570E-9 1.51757 0 
571E-9 1.51752 0 
572E-9 1.51748 0 
573E-9 1.51743 0 
574E-9 1.51739 0 
575E-9 1.51735 0 
576E-9 1.5173 0 
577E-9 1.51726 0 
578E-9 1.51721 0 
579E-9 1.51717 0 
580E-9 1.51712 0 
581E-9 1.51708 0 
582E-9 1.51703 0 
583E-9 1.51699 0 
584E-9 1.51695 0 
585E-9 1.5169 0 
586E-9 1.51687 0 
587E-9 1.51682 0 
588E-9 1.51678 0 
589E-9 1.51675 0 
590E-9 1.5167 0 
591E-9 1.51666 0 
592E-9 1.51662 0 
593E-9 1.51658 0 
594E-9 1.51653 0 
595E-9 1.51649 0 
596E-9 1.51646 0 
597E-9 1.51641 0 
598E-9 1.51637 0 
599E-9 1.51634 0 
600E-9 1.5163 0 
601E-9 1.51625 0 
602E-9 1.51622 0 
603E-9 1.51618 0 
604E-9 1.51614 0 
605E-9 1.5161 0 
606E-9 1.51606 0 
607E-9 1.51602 0 
608E-9 1.51598 0 
609E-9 1.51595 0 
610E-9 1.51591 0 
611E-9 1.51587 0 
612E-9 1.51584 0 
613E-9 1.5158 0 
614E-9 1.51576 0 
615E-9 1.51573 0 
616E-9 1.51569 0 
617E-9 1.51565 0 
618E-9 1.51562 0 
619E-9 1.51558 0 
620E-9 1.51554 0 
621E-9 1.51551 0 
622E-9 1.51547 0 
623E-9 1.51543 0 
624E-9 1.51539 0 
625E-9 1.51536 0 
626E-9 1.51532 0 
627E-9 1.51529 0 
628E-9 1.51526 0 
629E-9 1.51522 0 
630E-9 1.51519 0 
631E-9 1.51516 0 
632E-9 1.51512 0 
633E-9 1.51508 0 
634E-9 1.51505 0 
635E-9 1.51502 0 
636E-9 1.51498 0 
637E-9 1.51494 0 
638E-9 1.51491 0 
639E-9 1.51488 0 
640E-9 1.51484 0 
641E-9 1.51481 0 
642E-9 1.51478 0 
643E-9 1.51474 0 
644E-9 1.51471 0 
645E-9 1.51468 0 
646E-9 1.51465 0 
647E-9 1.51462 0 
648E-9 1.51459 0 
649E-9 1.51456 0 
650E-9 1.51452 0 
651E-9 1.51449 0 
652E-9 1.51446 0 
653E-9 1.51443 0 
654E-9 1.5144 0 
655E-9 1.51436 0 
656E-9 1.51433 0 
657E-9 1.5143 0 
658E-9 1.51427 0 
659E-9 1.51424 0 
660E-9 1.51421 0 
661E-9 1.51417 0 
662E-9 1.51414 0 
663E-9 1.51411 0 
664E-9 1.51408 0 
665E-9 1.51405 0 
666E-9 1.51402 0 
667E-9 1.51399 0 
668E-9 1.51396 0 
669E-9 1.51394 0 
670E-9 1.51391 0 
671E-9 1.51388 0 
672E-9 1.51385 0 
673E-9 1.51382 0 
674E-9 1.51379 0 
675E-9 1.51376 0 
676E-9 1.51373 0 
677E-9 1.5137 0 
678E-9 1.51367 0 
679E-9 1.51364 0 
680E-9 1.51361 0 
681E-9 1.51359 0 
682E-9 1.51356 0 
683E-9 1.51353 0 
684E-9 1.5135 0 
685E-9 1.51347 0 
686E-9 1.51344 0 
687E-9 1.51341 0 
688E-9 1.51339 0 
689E-9 1.51336 0 
690E-9 1.51334 0 
691E-9 1.51331 0 
692E-9 1.51328 0 
693E-9 1.51325 0 
694E-9 1.51323 0 
695E-9 1.5132 0 
696E-9 1.51317 0 
697E-9 1.51315 0 
698E-9 1.51312 0 
699E-9 1.51309 0 
700E-9 1.51306 0 
701E-9 1.51303 0 
702E-9 1.51301 0 
703E-9 1.51298 0 
704E-9 1.51296 0 
705E-9 1.51293 0 
706E-9 1.5129 0 
707E-9 1.51288 0 
708E-9 1.51286 0 
709E-9 1.51284 0 
710E-9 1.51282 0 
711E-9 1.51279 0 
712E-9 1.51277 0 
713E-9 1.51275 0 
714E-9 1.51273 0 
715E-9 1.51271 0 
716E-9 1.51269 0 
717E-9 1.51267 0 
718E-9 1.51265 0 
719E-9 1.51262 0 
720E-9 1.5126 0 
721E-9 1.51258 0 
722E-9 1.51256 0 
723E-9 1.51254 0 
724E-9 1.51252 0 
725E-9 1.5125 0 
726E-9 1.51248 0 
727E-9 1.51245 0 
728E-9 1.51243 0 
729E-9 1.51241 0 
730E-9 1.51239 0 
731E-9 1.51237 0 
732E-9 1.51235 0 
