lambda n k
300E-9 1.58878 0.87048 
301E-9 1.58909 0.87575 
302E-9 1.58575 0.88511 
303E-9 1.58309 0.89428 
304E-9 1.58111 0.90261 
305E-9 1.58134 0.90806 
306E-9 1.58224 0.91345 
307E-9 1.58403 0.91986 
308E-9 1.58727 0.92515 
309E-9 1.58785 0.93202 
310E-9 1.58674 0.94222 
311E-9 1.59048 0.94659 
312E-9 1.59818 0.948 
313E-9 1.60556 0.94895 
314E-9 1.60792 0.95726 
315E-9 1.60695 0.96838 
316E-9 1.60625 0.97991 
317E-9 1.61477 0.9831 
318E-9 1.62501 0.98438 
319E-9 1.63105 0.98951 
320E-9 1.62862 1.00388 
321E-9 1.62763 1.01916 
322E-9 1.63097 1.03039 
323E-9 1.63881 1.03473 
324E-9 1.64602 1.03986 
325E-9 1.65061 1.05068 
326E-9 1.65441 1.06151 
327E-9 1.66113 1.06903 
328E-9 1.66751 1.07663 
329E-9 1.67439 1.08545 
330E-9 1.68216 1.09305 
331E-9 1.68749 1.10112 
332E-9 1.70075 1.10217 
333E-9 1.71728 1.09954 
334E-9 1.72329 1.10782 
335E-9 1.72577 1.11998 
336E-9 1.73282 1.12854 
337E-9 1.74596 1.12942 
338E-9 1.76379 1.12469 
339E-9 1.78179 1.1188 
340E-9 1.7928 1.12276 
341E-9 1.79343 1.13696 
342E-9 1.79617 1.14927 
343E-9 1.80584 1.15385 
344E-9 1.81939 1.15268 
345E-9 1.84336 1.14125 
346E-9 1.85818 1.13897 
347E-9 1.86298 1.14699 
348E-9 1.8585 1.16942 
349E-9 1.86812 1.17323 
350E-9 1.88153 1.17266 
351E-9 1.89287 1.17242 
352E-9 1.91225 1.16472 
353E-9 1.92306 1.16584 
354E-9 1.92771 1.17546 
355E-9 1.93282 1.18264 
356E-9 1.94472 1.18184 
357E-9 1.95172 1.18487 
358E-9 1.96046 1.18816 
359E-9 1.97283 1.18581 
360E-9 1.98683 1.1806 
361E-9 1.99602 1.18519 
362E-9 2.00498 1.18663 
363E-9 2.01995 1.17862 
364E-9 2.0346 1.17421 
365E-9 2.04314 1.17332 
366E-9 2.04785 1.1789 
367E-9 2.05821 1.17712 
368E-9 2.06779 1.17655 
369E-9 2.07841 1.17076 
370E-9 2.09209 1.16587 
371E-9 2.11255 1.14803 
372E-9 2.12715 1.14092 
373E-9 2.1291 1.14491 
374E-9 2.13242 1.14896 
375E-9 2.13679 1.15265 
376E-9 2.14724 1.14831 
377E-9 2.16393 1.13608 
378E-9 2.17804 1.11902 
379E-9 2.19816 1.09986 
380E-9 2.20869 1.08884 
381E-9 2.21062 1.09334 
382E-9 2.21216 1.09973 
383E-9 2.21425 1.10144 
384E-9 2.2209 1.0967 
385E-9 2.23234 1.08621 
386E-9 2.24379 1.07868 
387E-9 2.25961 1.05456 
388E-9 2.27024 1.04229 
389E-9 2.27543 1.03803 
390E-9 2.27742 1.04108 
391E-9 2.27639 1.04506 
392E-9 2.27673 1.04795 
393E-9 2.28507 1.03721 
394E-9 2.2914 1.02499 
395E-9 2.30118 1.01172 
396E-9 2.30854 0.99717 
397E-9 2.31683 0.9832 
398E-9 2.32051 0.97947 
399E-9 2.31895 0.98074 
400E-9 2.31913 0.97833 
401E-9 2.3202 0.97529 
402E-9 2.32253 0.96862 
403E-9 2.32763 0.95779 
404E-9 2.32937 0.94934 
405E-9 2.33198 0.94146 
406E-9 2.33635 0.93176 
407E-9 2.33761 0.92574 
408E-9 2.33838 0.92091 
409E-9 2.33713 0.91872 
410E-9 2.33685 0.9144 
411E-9 2.33832 0.90783 
412E-9 2.33953 0.90299 
413E-9 2.3401 0.89767 
414E-9 2.34046 0.8927 
415E-9 2.34026 0.88686 
416E-9 2.34044 0.88081 
417E-9 2.34021 0.87674 
418E-9 2.3402 0.87343 
419E-9 2.34009 0.87023 
420E-9 2.33914 0.86684 
421E-9 2.33799 0.86315 
422E-9 2.33771 0.85998 
423E-9 2.33745 0.85725 
424E-9 2.33724 0.85393 
425E-9 2.33696 0.85115 
426E-9 2.33653 0.84833 
427E-9 2.33637 0.84566 
428E-9 2.33641 0.84278 
429E-9 2.33645 0.84068 
430E-9 2.33646 0.83903 
431E-9 2.33685 0.83767 
432E-9 2.33664 0.83578 
433E-9 2.337 0.83416 
434E-9 2.33735 0.83261 
435E-9 2.33706 0.83108 
436E-9 2.33683 0.82979 
437E-9 2.33682 0.82848 
438E-9 2.33686 0.82726 
439E-9 2.33664 0.82589 
440E-9 2.3367 0.82524 
441E-9 2.337 0.82513 
442E-9 2.33746 0.82512 
443E-9 2.33797 0.8246 
444E-9 2.33909 0.82447 
445E-9 2.34024 0.82442 
446E-9 2.34122 0.82487 
447E-9 2.34268 0.82513 
448E-9 2.34437 0.82524 
449E-9 2.34611 0.82513 
450E-9 2.34815 0.82495 
451E-9 2.35056 0.82513 
452E-9 2.35314 0.82526 
453E-9 2.35562 0.82514 
454E-9 2.35829 0.82497 
455E-9 2.36107 0.82485 
456E-9 2.36421 0.82488 
457E-9 2.36736 0.8251 
458E-9 2.37051 0.82515 
459E-9 2.3736 0.82512 
460E-9 2.37715 0.82466 
461E-9 2.38069 0.82446 
462E-9 2.38395 0.82493 
463E-9 2.38764 0.82485 
464E-9 2.39125 0.82431 
465E-9 2.39519 0.82345 
466E-9 2.39935 0.82248 
467E-9 2.40383 0.82177 
468E-9 2.40824 0.82074 
469E-9 2.41254 0.81953 
470E-9 2.41685 0.81813 
471E-9 2.42095 0.81654 
472E-9 2.42514 0.81526 
473E-9 2.42919 0.81372 
474E-9 2.43339 0.81166 
475E-9 2.43782 0.80912 
476E-9 2.44273 0.8066 
477E-9 2.44763 0.8042 
478E-9 2.4525 0.80182 
479E-9 2.45733 0.79933 
480E-9 2.46195 0.79675 
481E-9 2.46653 0.79352 
482E-9 2.47082 0.79053 
483E-9 2.47523 0.7882 
484E-9 2.47954 0.78496 
485E-9 2.4835 0.78184 
486E-9 2.48773 0.77842 
487E-9 2.49234 0.77501 
488E-9 2.49688 0.77145 
489E-9 2.50146 0.76785 
490E-9 2.50585 0.76437 
491E-9 2.51019 0.7606 
492E-9 2.51484 0.75624 
493E-9 2.51942 0.75235 
494E-9 2.52392 0.74863 
495E-9 2.52853 0.74442 
496E-9 2.53306 0.73985 
497E-9 2.53772 0.73506 
498E-9 2.54235 0.73004 
499E-9 2.54664 0.72499 
500E-9 2.551 0.72003 
501E-9 2.55474 0.71457 
502E-9 2.55818 0.70882 
503E-9 2.5615 0.70256 
504E-9 2.56449 0.69646 
505E-9 2.56723 0.69014 
506E-9 2.56987 0.68393 
507E-9 2.5726 0.67714 
508E-9 2.57481 0.67047 
509E-9 2.5766 0.66402 
510E-9 2.57822 0.65772 
511E-9 2.57972 0.65194 
512E-9 2.58078 0.64548 
513E-9 2.58154 0.63934 
514E-9 2.58208 0.63362 
515E-9 2.58269 0.62796 
516E-9 2.58309 0.62237 
517E-9 2.58362 0.6168 
518E-9 2.58432 0.61086 
519E-9 2.58468 0.60549 
520E-9 2.58483 0.60035 
521E-9 2.58524 0.59506 
522E-9 2.58537 0.59008 
523E-9 2.58543 0.58478 
524E-9 2.58545 0.57987 
525E-9 2.58536 0.57511 
526E-9 2.58526 0.56994 
527E-9 2.58502 0.5649 
528E-9 2.58497 0.55989 
529E-9 2.58485 0.5549 
530E-9 2.58455 0.55009 
531E-9 2.58401 0.5452 
532E-9 2.58341 0.54041 
533E-9 2.58247 0.53617 
534E-9 2.58148 0.53194 
535E-9 2.58061 0.52797 
536E-9 2.57946 0.52347 
537E-9 2.57846 0.51896 
538E-9 2.57757 0.51472 
539E-9 2.57656 0.51049 
540E-9 2.57528 0.50624 
541E-9 2.57396 0.50195 
542E-9 2.57234 0.49794 
543E-9 2.57058 0.49432 
544E-9 2.56898 0.4909 
545E-9 2.56725 0.48743 
546E-9 2.56561 0.48413 
547E-9 2.56368 0.4808 
548E-9 2.56208 0.47789 
549E-9 2.56047 0.47476 
550E-9 2.55853 0.47171 
551E-9 2.55659 0.46892 
552E-9 2.55483 0.4659 
553E-9 2.55283 0.46311 
554E-9 2.55099 0.46061 
555E-9 2.54915 0.45843 
556E-9 2.54743 0.45631 
557E-9 2.54552 0.45427 
558E-9 2.54348 0.45238 
559E-9 2.54163 0.4511 
560E-9 2.53987 0.44941 
561E-9 2.53807 0.4482 
562E-9 2.53648 0.44689 
563E-9 2.53518 0.4456 
564E-9 2.53396 0.44443 
565E-9 2.53292 0.44311 
566E-9 2.53193 0.44158 
567E-9 2.53103 0.44034 
568E-9 2.53012 0.439 
569E-9 2.52937 0.43802 
570E-9 2.52868 0.43716 
571E-9 2.52822 0.43638 
572E-9 2.52766 0.43499 
573E-9 2.52742 0.43395 
574E-9 2.52747 0.4331 
575E-9 2.52751 0.43222 
576E-9 2.52757 0.43057 
577E-9 2.52758 0.42905 
578E-9 2.5276 0.42794 
579E-9 2.52787 0.42657 
580E-9 2.52803 0.42513 
581E-9 2.5282 0.42363 
582E-9 2.52855 0.42213 
583E-9 2.52888 0.42077 
584E-9 2.52923 0.41903 
585E-9 2.52987 0.41758 
586E-9 2.53046 0.41586 
587E-9 2.53131 0.4139 
