V   J   P  recLan  recSRH  Jbimo  JSRH_bulk  JSRH_LI  JSRH_RI  Jph  Jn_l  Jp_l  Jn_r  Jp_r  Vext  Jext
0.000000   -7.2249703758257226E+001    1.0000000000000000E+000   7.5396621423057407E+025    0.0000000000000000E+000   6.0400233268463603E+000   0.0000000000000000E+000   0.0000000000000000E+000   0.0000000000000000E+000  -7.9316831683168218E+001  -7.3255847403800814E+001   1.0068321116367056E+000   2.0299617836126653E-002  -7.2270125077444391E+001   0.0000000000000000E+000  -7.2249703758257226E+001
0.030000   -7.1936569611701998E+001    1.0000000000000000E+000   7.8988178859423280E+025    0.0000000000000000E+000   6.3277429923422019E+000   0.0000000000000000E+000   0.0000000000000000E+000   0.0000000000000000E+000  -7.9316831683168218E+001  -7.2970493645253399E+001   1.0320461250403654E+000   2.0439639484069537E-002  -7.1956584379660939E+001   2.9999999999999999E-002  -7.1936569611701998E+001
0.060000   -7.1600229969965596E+001    1.0000000000000000E+000   8.2854039487735109E+025    0.0000000000000000E+000   6.6374370864889674E+000   0.0000000000000000E+000   0.0000000000000000E+000   0.0000000000000000E+000  -7.9316831683168218E+001  -7.2661082130866561E+001   1.0585402000692576E+000   2.0580889885555304E-002  -7.1620189597429814E+001   5.9999999999999998E-002  -7.1600229969965596E+001
0.090000   -7.1238209914857492E+001    1.0000000000000000E+000   8.7025822856468586E+025    0.0000000000000000E+000   6.9716386513086048E+000   0.0000000000000000E+000   0.0000000000000000E+000   0.0000000000000000E+000  -7.9316831683168218E+001  -7.2326961246940570E+001   1.0862122521566149E+000   2.0724604784966474E-002  -7.1258146574786522E+001   8.9999999999999997E-002  -7.1238209914857492E+001
0.120000   -7.0847829071492413E+001    1.0000000000000000E+000   9.1535926239830665E+025    0.0000000000000000E+000   7.3329430324312410E+000   0.0000000000000000E+000   0.0000000000000000E+000   0.0000000000000000E+000  -7.9316831683168218E+001  -7.1965734776039440E+001   1.1151398062623834E+000   2.0871109479588004E-002  -7.0867729715236891E+001   1.2000000000000000E-001  -7.0847829071492413E+001
0.150000   -7.0426100237711921E+001    1.0000000000000000E+000   9.6420248403233246E+025    0.0000000000000000E+000   7.7242260799467202E+000   0.0000000000000000E+000   0.0000000000000000E+000   0.0000000000000000E+000  -7.9316831683168218E+001  -7.1574551606953989E+001   1.1454329568963515E+000   2.1020669781973613E-002  -7.0445943164907732E+001   1.4999999999999999E-001  -7.0426100237711921E+001
0.180000   -6.9969684545832450E+001    1.0000000000000000E+000   1.0171883676419109E+026    0.0000000000000000E+000   8.1486959924639759E+000   0.0000000000000000E+000   0.0000000000000000E+000   0.0000000000000000E+000  -7.9316831683168218E+001  -7.1150210234820776E+001   1.1772216564530806E+000   2.1173584154204235E-002  -6.9989443563353660E+001   1.7999999999999999E-001  -6.9969684545832450E+001
0.210000   -6.9474855479091474E+001    1.0000000000000000E+000   1.0747630169241418E+026    0.0000000000000000E+000   8.6099265066914015E+000   0.0000000000000000E+000   0.0000000000000000E+000   0.0000000000000000E+000  -7.9316831683168218E+001  -7.0689142407191312E+001   1.2106578802701722E+000   2.1330201077008865E-002  -6.9494499781870161E+001   2.0999999999999999E-001  -6.9474855479091474E+001
0.240000   -6.8937465255061880E+001    1.0000000000000000E+000   1.1374217698037909E+026    0.0000000000000000E+000   9.1118857747341959E+000   0.0000000000000000E+000   0.0000000000000000E+000   0.0000000000000000E+000  -7.9316831683168218E+001  -7.0187386274766268E+001   1.2459202661568394E+000   2.1490930056475437E-002  -6.8956958617899147E+001   2.3999999999999999E-001  -6.8937465255061880E+001
0.270000   -6.8352915141877403E+001    1.0000000000000000E+000   1.2057121480170256E+026    0.0000000000000000E+000   9.6589599932096739E+000   0.0000000000000000E+000   0.0000000000000000E+000   0.0000000000000000E+000  -7.9316831683168218E+001  -6.9640563186501737E+001   1.2832201271310968E+000   2.1656253716975035E-002  -6.8372214837208759E+001   2.7000000000000002E-001  -6.8352915141877403E+001
0.300000   -6.7716132908061496E+001    1.0000000000000000E+000   1.2802357249335270E+026    0.0000000000000000E+000   1.0255968366370066E+001   0.0000000000000000E+000   0.0000000000000000E+000   0.0000000000000000E+000  -7.9316831683168218E+001  -6.9043862993570286E+001   1.3228090065731610E+000   2.1826742104831952E-002  -6.7735188396706718E+001   2.9999999999999999E-001  -6.7716132908061496E+001
0.330000   -6.7022035229261292E+001    1.0000000000000000E+000   1.3615327254471798E+026    0.0000000000000000E+000   1.0907238635829300E+001   0.0000000000000000E+000   0.0000000000000000E+000   0.0000000000000000E+000  -7.9316831683168218E+001  -6.8388026348675425E+001   1.3655394922864958E+000   2.2000737597202960E-002  -6.7043778529395738E+001   3.2999999999999996E-001  -6.7022035229261292E+001
0.360000   -6.6263240618809448E+001    1.0000000000000000E+000   1.4506527395973768E+026    0.0000000000000000E+000   1.1621179067371578E+001   0.0000000000000000E+000   0.0000000000000000E+000   0.0000000000000000E+000  -7.9316831683168218E+001  -6.7679348791218544E+001   1.4101388760233449E+000   2.2185984883036639E-002  -6.6281676082459981E+001   3.5999999999999999E-001  -6.6263240618809448E+001
0.390000   -6.5436055395401738E+001    1.0000000000000000E+000   1.5477511050899794E+026    0.0000000000000000E+000   1.2399034071355375E+001   0.0000000000000000E+000   0.0000000000000000E+000   0.0000000000000000E+000  -7.9316831683168218E+001  -6.6895839229490036E+001   1.4593516178466097E+000   2.2373657120695896E-002  -6.5458159229088665E+001   3.9000000000000001E-001  -6.5436055395401738E+001
0.420000   -6.4530398880993033E+001    1.0000000000000000E+000   1.6543173012358378E+026    0.0000000000000000E+000   1.3252735866509584E+001   0.0000000000000000E+000   0.0000000000000000E+000   0.0000000000000000E+000  -7.9316831683168218E+001  -6.6049726025874435E+001   1.5109976451206024E+000   2.2575976435629700E-002  -6.4547292990546737E+001   4.1999999999999998E-001  -6.4530398880993033E+001
0.450000   -6.3541457208191687E+001    1.0000000000000000E+000   1.7705081028494609E+026    0.0000000000000000E+000   1.4183540375870054E+001   0.0000000000000000E+000   0.0000000000000000E+000   0.0000000000000000E+000  -7.9316831683168218E+001  -6.5110878115047981E+001   1.5690374228249080E+000   2.2781336034309960E-002  -6.3563980962572899E+001   4.4999999999999996E-001  -6.3541457208191687E+001
0.480000   -6.2459700065582908E+001    1.0000000000000000E+000   1.8977051801945952E+026    0.0000000000000000E+000   1.5202516159891511E+001   0.0000000000000000E+000   0.0000000000000000E+000   0.0000000000000000E+000  -7.9316831683168218E+001  -6.4091641047959982E+001   1.6315999166084534E+000   2.3001729163155613E-002  -6.2482465432878129E+001   4.7999999999999998E-001  -6.2459700065582908E+001
0.510000   -6.1276251567854978E+001    1.0000000000000000E+000   2.0370020738602792E+026    0.0000000000000000E+000   1.6318423572210488E+001   0.0000000000000000E+000   0.0000000000000000E+000   0.0000000000000000E+000  -7.9316831683168218E+001  -6.2991477804719587E+001   1.6986901440395026E+000   2.3242385967097656E-002  -6.1287037017645538E+001   5.1000000000000001E-001  -6.1276251567854978E+001
0.540000   -5.9989951344988540E+001    1.0000000000000000E+000   2.1877542200932617E+026    0.0000000000000000E+000   1.7526099012612800E+001   0.0000000000000000E+000   0.0000000000000000E+000   0.0000000000000000E+000  -7.9316831683168218E+001  -6.1767529625890127E+001   1.7772838467866743E+000   2.3485195320545910E-002  -6.0013221356594364E+001   5.4000000000000004E-001  -5.9989951344988540E+001
0.570000   -5.8587292277994152E+001    1.0000000000000000E+000   2.3520833027376532E+026    0.0000000000000000E+000   1.8842539290330404E+001   0.0000000000000000E+000   0.0000000000000000E+000   0.0000000000000000E+000  -7.9316831683168218E+001  -6.0450797293760282E+001   1.8632355331330628E+000   2.3753128249260444E-002  -5.8610844011152786E+001   5.6999999999999995E-001  -5.8587292277994152E+001
0.600000   -5.7063010332174059E+001    1.0000000000000000E+000   2.5301794805074348E+026    0.0000000000000000E+000   2.0269267766817141E+001   0.0000000000000000E+000   0.0000000000000000E+000   0.0000000000000000E+000  -7.9316831683168218E+001  -5.9023780193449333E+001   1.9604990621951131E+000   2.4042764853618774E-002  -5.7086846677360967E+001   5.9999999999999998E-001  -5.7063010332174059E+001
0.630000   -5.5410218572184725E+001    1.0000000000000000E+000   2.7225879791454557E+026    0.0000000000000000E+000   2.1810652245487862E+001   0.0000000000000000E+000   0.0000000000000000E+000   0.0000000000000000E+000  -7.9316831683168218E+001  -5.7482050679466433E+001   2.0715922164165548E+000   2.4357962442346757E-002  -5.5434390470194884E+001   6.3000000000000000E-001  -5.5410218572184725E+001
0.660000   -5.3621943441338622E+001    1.0000000000000000E+000   2.9297532365703769E+026    0.0000000000000000E+000   2.3470253118499912E+001   0.0000000000000000E+000   0.0000000000000000E+000   0.0000000000000000E+000  -7.9316831683168218E+001  -5.5822072704469576E+001   2.1999221099521398E+000   2.4703505330015040E-002  -5.3646483811856498E+001   6.5999999999999992E-001  -5.3621943441338622E+001
0.690000   -5.1691210877762870E+001    1.0000000000000000E+000   3.1520109192982243E+026    0.0000000000000000E+000   2.5250759410306340E+001   0.0000000000000000E+000   0.0000000000000000E+000   0.0000000000000000E+000  -7.9316831683168218E+001  -5.4041170501385750E+001   2.3497670182403199E+000   2.5085232966621240E-002  -5.1716142414055305E+001   6.8999999999999995E-001  -5.1691210877762870E+001
0.720000   -4.9610034865566242E+001    1.0000000000000000E+000   3.3896474369659908E+026    0.0000000000000000E+000   2.7154465548503271E+001   0.0000000000000000E+000   0.0000000000000000E+000   0.0000000000000000E+000  -7.9316831683168218E+001  -5.2137019668528005E+001   2.5268121638923340E+000   2.5510588440934515E-002  -4.9635406102700003E+001   7.1999999999999997E-001  -4.9610034865566242E+001
0.750000   -4.7370778442167605E+001    1.0000000000000000E+000   3.6427741599054642E+026    0.0000000000000000E+000   2.9182263720816398E+001   0.0000000000000000E+000   0.0000000000000000E+000   0.0000000000000000E+000  -7.9316831683168218E+001  -5.0108736995356892E+001   2.7377929253574433E+000   2.5988074423462307E-002  -4.7396631488650435E+001   7.5000000000000000E-001  -4.7370778442167605E+001
