V   J   P  recLan  recSRH  Jbimo  JSRH_bulk  JSRH_LI  JSRH_RI  Jph  Jn_l  Jp_l  Jn_r  Jp_r  Vext  Jext
0.000000   -5.1703482117622364E+001    1.0000000000000000E+000   1.5459394981499386E+026    0.0000000000000000E+000   1.2384521288195593E+001   0.0000000000000000E+000   0.0000000000000000E+000   0.0000000000000000E+000  -6.4087999999999866E+001  -5.1700515730703565E+001   1.2099960412132553E-013   1.2741558197053354E-013  -5.1706542185171699E+001   0.0000000000000000E+000  -5.1703482117622364E+001
0.030000   -5.1343957751162669E+001    1.0000000000000000E+000   1.5908182707302451E+026    0.0000000000000000E+000   1.2744045134422457E+001   0.0000000000000000E+000   0.0000000000000000E+000   0.0000000000000000E+000  -6.4087999999999866E+001  -5.1343480280310146E+001   1.3827674562951185E-013   1.4522009360573896E-013  -5.1344467041015882E+001   2.9999999999999999E-002  -5.1343957751162669E+001
0.060000   -5.0970083797066465E+001    1.0000000000000000E+000   1.6374884054548912E+026    0.0000000000000000E+000   1.3117919582751149E+001   0.0000000000000000E+000   0.0000000000000000E+000   0.0000000000000000E+000  -6.4087999999999866E+001  -5.0969723056900257E+001   1.5800673834406641E-013   1.6554807399037579E-013  -5.0970476036569018E+001   5.9999999999999998E-002  -5.0970083797066465E+001
0.090000   -5.0581184881705738E+001    1.0000000000000000E+000   1.6860340766917994E+026    0.0000000000000000E+000   1.3506818954041368E+001   0.0000000000000000E+000   0.0000000000000000E+000   0.0000000000000000E+000  -6.4087999999999866E+001  -5.0580829147501319E+001   1.8056507118857789E-013   1.8873406656677854E-013  -5.0581573922137245E+001   8.9999999999999997E-002  -5.0581184881705738E+001
0.120000   -5.0176552837986492E+001    1.0000000000000000E+000   1.7365436953024913E+026    0.0000000000000000E+000   1.3911451507702989E+001   0.0000000000000000E+000   0.0000000000000000E+000   0.0000000000000000E+000  -6.4087999999999866E+001  -5.0176197338365768E+001   2.0636223444298910E-013   2.1518141569908904E-013  -5.0176943837896893E+001   1.2000000000000000E-001  -5.0176552837986492E+001
0.150000   -4.9755445581720515E+001    1.0000000000000000E+000   1.7891098959301522E+026    0.0000000000000000E+000   1.4332559339860646E+001   0.0000000000000000E+000   0.0000000000000000E+000   0.0000000000000000E+000  -6.4087999999999866E+001  -4.9755090741942254E+001   2.3586788972638184E-013   2.4535248079976477E-013  -4.9755838065342566E+001   1.4999999999999999E-001  -4.9755445581720515E+001
0.180000   -4.9317086094099395E+001    1.0000000000000000E+000   1.8438296736136970E+026    0.0000000000000000E+000   1.4770919477769128E+001   0.0000000000000000E+000   0.0000000000000000E+000   0.0000000000000000E+000  -6.4087999999999866E+001  -4.9316732859711848E+001   2.6962081823574047E-013   2.7977616953337725E-013  -4.9317479112755393E+001   1.7999999999999999E-001  -4.9317086094099395E+001
0.210000   -4.8860658657993639E+001    1.0000000000000000E+000   1.9008044622982847E+026    0.0000000000000000E+000   1.5227344508761060E+001   0.0000000000000000E+000   0.0000000000000000E+000   0.0000000000000000E+000  -6.4087999999999866E+001  -4.8860355024832259E+001   3.0824101028287645E-013   3.1905585930260861E-013  -4.8860987541466180E+001   2.0999999999999999E-001  -4.8860658657993639E+001
0.240000   -4.8385318205894819E+001    1.0000000000000000E+000   1.9601404883806360E+026    0.0000000000000000E+000   1.5702685412498386E+001   0.0000000000000000E+000   0.0000000000000000E+000   0.0000000000000000E+000  -6.4087999999999866E+001  -4.8385019552481069E+001   3.5243568802410146E-013   3.6388733643728451E-013  -4.8385643477262377E+001   2.3999999999999999E-001  -4.8385318205894819E+001
0.270000   -4.7890174208040776E+001    1.0000000000000000E+000   2.0219485657163368E+026    0.0000000000000000E+000   1.6197829918775927E+001   0.0000000000000000E+000   0.0000000000000000E+000   0.0000000000000000E+000  -6.4087999999999866E+001  -4.7889878941218477E+001   4.0302161121458521E-013   4.1506237270948752E-013  -4.7890497622442673E+001   2.7000000000000002E-001  -4.7890174208040776E+001
