t	Vext	G_frac	Track
0	oc	1.1	0
1.0020040080160321e-07	oc	1	0
2.0040080160320643e-07	oc	1	0
2.4749498997995993e-05	oc	1	0
2.4849699398797597e-05	oc	1	0
2.49498997995992e-05	oc	1	0
2.5050100200400805e-05	oc	1	1
2.5150300601202406e-05	oc	1	3
2.525050100200401e-05	oc	1	3
2.5350701402805614e-05	oc	1	3
2.5450901803607218e-05	oc	1	3
2.555110220440882e-05	oc	1	3
2.5651302605210423e-05	oc	1	3
2.5751503006012027e-05	oc	1	3
2.5851703406813628e-05	oc	1	3
2.5951903807615232e-05	oc	1	3
2.6052104208416836e-05	oc	1	3
2.615230460921844e-05	oc	1	3
2.625250501002004e-05	oc	1	3
2.6352705410821645e-05	oc	1	3
2.645290581162325e-05	oc	1	3
2.6553106212424853e-05	oc	1	3
2.6653306613226454e-05	oc	1	3
2.6753507014028058e-05	oc	1	3
2.6853707414829662e-05	oc	1	3
2.6953907815631266e-05	oc	1	3
2.7054108216432867e-05	oc	1	3
2.715430861723447e-05	oc	1	3
2.7254509018036075e-05	oc	1	3
2.7354709418837676e-05	oc	1	3
2.745490981963928e-05	oc	1	3
2.7555110220440884e-05	oc	1	3
2.7655310621242488e-05	oc	1	3
2.775551102204409e-05	oc	1	3
2.7855711422845693e-05	oc	1	3
2.7955911823647297e-05	oc	1	3
2.80561122244489e-05	oc	1	3
2.8156312625250502e-05	oc	1	3
2.8256513026052106e-05	oc	1	3
2.835671342685371e-05	oc	1	3
2.8456913827655314e-05	oc	1	3
2.8557114228456915e-05	oc	1	3
2.865731462925852e-05	oc	1	3
2.8757515030060123e-05	oc	1	3
2.8857715430861727e-05	oc	1	3
2.8957915831663328e-05	oc	1	3
2.9058116232464932e-05	oc	1	3
2.9158316633266536e-05	oc	1	3
2.9258517034068137e-05	oc	1	3
2.935871743486974e-05	oc	1	3
2.9458917835671345e-05	oc	1	3
2.955911823647295e-05	oc	1	3
2.965931863727455e-05	oc	1	3
2.9759519038076154e-05	oc	1	3
2.985971943887776e-05	oc	1	3
2.9959919839679363e-05	oc	1	3
3.0060120240480963e-05	oc	1	3
3.0160320641282567e-05	oc	1	3
3.026052104208417e-05	oc	1	3
3.0360721442885776e-05	oc	1	3
3.0460921843687376e-05	oc	1	3
3.056112224448898e-05	oc	1	3
3.066132264529058e-05	oc	1	3
3.076152304609219e-05	oc	1	3
3.086172344689379e-05	oc	1	3
3.096192384769539e-05	oc	1	3
3.1062124248497e-05	oc	1	3
3.11623246492986e-05	oc	1	3
3.1262525050100206e-05	oc	1	3
3.1362725450901807e-05	oc	1	3
3.146292585170341e-05	oc	1	3
3.1563126252505015e-05	oc	1	3
3.1663326653306616e-05	oc	1	3
3.1763527054108216e-05	oc	1	3
3.1863727454909824e-05	oc	1	3
3.1963927855711424e-05	oc	1	3
3.206412825651303e-05	oc	1	3
3.216432865731463e-05	oc	1	3
3.2264529058116233e-05	oc	1	3
3.236472945891784e-05	oc	1	3
3.246492985971944e-05	oc	1	3
3.256513026052104e-05	oc	1	3
3.266533066132265e-05	oc	1	3
3.276553106212425e-05	oc	1	3
3.286573146292585e-05	oc	1	3
3.296593186372746e-05	oc	1	3
3.306613226452906e-05	oc	1	3
3.316633266533067e-05	oc	1	3
3.326653306613227e-05	oc	1	3
3.336673346693387e-05	oc	1	3
3.3466933867735476e-05	oc	1	3
3.356713426853708e-05	oc	1	3
3.366733466933868e-05	oc	1	3
3.3767535070140285e-05	oc	1	3
3.3867735470941886e-05	oc	1	3
3.3967935871743486e-05	oc	1	3
3.4068136272545094e-05	oc	1	3
3.4168336673346695e-05	oc	1	3
3.42685370741483e-05	oc	1	3
3.43687374749499e-05	oc	1	3
3.4468937875751504e-05	oc	1	3
3.456913827655311e-05	oc	1	3
3.466933867735471e-05	oc	1	3
3.476953907815631e-05	oc	1	3
3.486973947895792e-05	oc	1	3
